region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
11302,0,1589,1589,1943,84,2027,707,7,714,698,0,698,313,3,316,159,0,159,3820,1683,5503
11303,0,8703,8703,10925,925,11850,4450,196,4646,4230,65,4295,2271,17,2288,1088,0,1088,22964,9906,32870
11401,0,9946,9946,13583,769,14352,4591,72,4663,4173,17,4190,1853,6,1859,858,0,858,25058,10810,35868
11402,0,4329,4329,6131,276,6407,2117,26,2143,2226,13,2239,1079,3,1082,505,0,505,12058,4647,16705
11501,0,5011,5011,11110,441,11551,7971,87,8058,10847,29,10876,4492,26,4518,1828,23,1851,36248,5617,41865
11502,0,1247,1247,2307,106,2413,1286,14,1300,1649,0,1649,895,0,895,532,3,535,6669,1370,8039
11503,0,1163,1163,2332,109,2441,1245,4,1249,1450,7,1457,801,3,804,432,0,432,6260,1286,7546
11504,0,890,890,1896,102,1998,1376,18,1394,2154,3,2157,1103,3,1106,481,0,481,7010,1016,8026
11601,0,7760,7760,10701,789,11490,7950,149,8099,7990,60,8050,3606,19,3625,2312,6,2318,32559,8783,41342
11602,0,2715,2715,5187,314,5501,4429,80,4509,5828,30,5858,2536,16,2552,1352,18,1370,19332,3173,22505
11603,0,4781,4781,6882,550,7432,5757,48,5805,6077,23,6100,3529,7,3536,2963,3,2966,25208,5412,30620
11701,0,3465,3465,3699,485,4184,2506,132,2638,2413,44,2457,927,13,940,430,5,435,9975,4144,14119
11702,0,5468,5468,5586,1322,6908,2850,447,3297,2269,190,2459,785,46,831,447,14,461,11937,7487,19424
11703,0,29775,29775,22546,6689,29235,6876,2355,9231,4022,1218,5240,1007,323,1330,375,163,538,34826,40523,75349
11801,0,14976,14976,14162,3237,17399,5836,996,6832,5246,269,5515,2059,60,2119,581,22,603,27884,19560,47444
11802,0,12994,12994,13104,2942,16046,6959,1106,8065,6602,427,7029,2374,145,2519,844,66,910,29883,17680,47563
11901,0,10175,10175,12328,780,13108,8548,151,8699,9324,47,9371,5185,23,5208,3751,12,3763,39136,11188,50324
11902,0,7785,7785,10006,938,10944,7686,220,7906,7353,117,7470,3705,51,3756,2576,23,2599,31326,9134,40460
11903,0,8932,8932,10782,928,11710,7390,292,7682,7428,141,7569,3154,44,3198,1599,22,1621,30353,10359,40712
11904,0,10062,10062,12082,1279,13361,7766,315,8081,6909,159,7068,2956,63,3019,1728,37,1765,31441,11915,43356
12001,0,6374,6374,8521,962,9483,4706,311,5017,4426,90,4516,1565,19,1584,527,4,531,19745,7760,27505
12002,0,6290,6290,6696,1124,7820,3215,385,3600,2594,99,2693,696,23,719,190,4,194,13391,7925,21316
12003,0,11510,11510,12902,1935,14837,8372,704,9076,7827,342,8169,3041,144,3185,1497,63,1560,33639,14698,48337
12101,0,8992,8992,10862,1377,12239,6012,361,6373,6339,105,6444,2457,45,2502,694,13,707,26364,10893,37257
12102,0,5285,5285,7671,526,8197,4941,77,5018,5379,34,5413,2111,12,2123,732,7,739,20834,5941,26775
12103,0,5826,5826,10433,359,10792,5923,93,6016,8236,26,8262,3718,11,3729,1239,5,1244,29549,6320,35869
12104,0,13831,13831,12787,1849,14636,4453,498,4951,3470,91,3561,1196,7,1203,286,4,290,22192,16280,38472
12201,0,3831,3831,4800,638,5438,2089,224,2313,2382,43,2425,924,12,936,186,3,189,10381,4751,15132
12202,0,3874,3874,6231,367,6598,3081,83,3164,3891,19,3910,1658,6,1664,561,3,564,15422,4352,19774
12203,0,11574,11574,14697,1417,16114,7828,269,8097,9471,92,9563,3813,31,3844,1433,11,1444,37242,13394,50636
12301,0,2309,2309,4556,236,4792,2876,46,2922,4034,7,4041,1692,3,1695,807,0,807,13965,2601,16566
12302,0,8903,8903,12543,916,13459,8892,108,9000,8890,27,8917,4256,9,4265,3013,0,3013,37594,9963,47557
12303,0,1977,1977,3544,175,3719,1949,20,1969,2296,7,2303,1212,4,1216,657,0,657,9658,2183,11841
12401,0,7161,7161,8893,678,9571,4255,88,4343,4233,20,4253,1810,5,1815,810,4,814,20001,7956,27957
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,0,8430,8430,11915,895,12810,7400,125,7525,7904,24,7928,3694,7,3701,1937,0,1937,32850,9481,42331
12404,0,2839,2839,3298,281,3579,2074,52,2126,1951,7,1958,976,0,976,579,0,579,8878,3179,12057
12405,0,3007,3007,4400,364,4764,3200,46,3246,3281,9,3290,1630,3,1633,986,0,986,13497,3429,16926
12501,0,3791,3791,5066,661,5727,4164,250,4414,4246,122,4368,2119,60,2179,1759,43,1802,17354,4927,22281
12502,0,3951,3951,5392,360,5752,3637,87,3724,4145,44,4189,1674,15,1689,798,4,802,15646,4461,20107
12503,0,8832,8832,10439,810,11249,7238,168,7406,7313,77,7390,4194,23,4217,3702,14,3716,32886,9924,42810
12504,0,10206,10206,12046,1316,13362,8140,411,8551,7155,159,7314,2784,49,2833,1429,20,1449,31554,12161,43715
12601,0,2620,2620,4017,225,4242,2601,89,2690,3220,48,3268,1325,13,1338,466,10,476,11629,3005,14634
12602,0,10921,10921,11952,1319,13271,7104,446,7550,7307,242,7549,2852,103,2955,1111,63,1174,30326,13094,43420
12701,0,2930,2930,4562,258,4820,4041,27,4068,5194,9,5203,3124,3,3127,2333,4,2337,19254,3231,22485
12702,0,7795,7795,11541,808,12349,9859,155,10014,10643,54,10697,6344,18,6362,4878,12,4890,43265,8842,52107
12703,0,5909,5909,7709,592,8301,5964,76,6040,6916,27,6943,3278,7,3285,1996,4,2000,25863,6615,32478
12801,0,10067,10067,12316,1064,13380,5765,141,5906,6337,26,6363,2795,4,2799,939,4,943,28152,11306,39458
12802,0,6223,6223,10160,534,10694,6249,68,6317,7860,16,7876,3434,4,3438,1152,0,1152,28855,6845,35700
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
