region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
10101,5952,473,366,116,6,6913,14690,427,275,139,34,15565,898,28,13,6,0,945,845,51,59,17,0,972,16433,506,347,162,34,17482,732,44,55,25,0,856,23117,1023,768,303,40,25251
10102,2098,451,619,45,6,3219,10989,1486,1374,139,11,13999,489,61,66,9,0,625,498,154,245,17,0,914,11976,1701,1685,165,11,15538,396,77,96,31,0,600,14470,2229,2400,241,17,19357
10103,1406,149,110,28,10,1703,3949,216,181,35,26,4407,261,8,18,3,0,290,200,43,34,3,3,283,4410,267,233,41,29,4980,177,21,17,21,36,272,5993,437,360,90,75,6955
10104,5151,683,793,243,12,6882,15127,946,906,251,8,17238,1023,73,60,21,3,1180,644,76,86,12,3,821,16794,1095,1052,284,14,19239,705,116,96,37,3,957,22650,1894,1941,564,29,27078
10201,8002,2897,1741,307,27,12974,34351,4736,2805,244,66,42202,1468,315,169,24,4,1980,1494,345,289,27,7,2162,37313,5396,3263,295,77,46344,1411,425,297,34,6,2173,46726,8718,5301,636,110,61491
10202,10213,1890,1434,373,9,13919,31718,2650,1381,213,8,35970,1389,140,95,18,0,1642,1543,201,149,44,6,1943,34650,2991,1625,275,14,39555,1713,246,221,54,3,2237,46576,5127,3280,702,26,55711
10301,2890,336,370,30,6,3632,9105,556,416,27,19,10123,506,19,29,5,0,559,540,60,76,5,5,686,10151,635,521,37,24,11368,406,67,51,6,0,530,13447,1038,942,73,30,15530
10302,6238,299,443,83,4,7067,11183,177,212,78,12,11662,762,14,12,3,0,791,632,26,50,5,0,713,12577,217,274,86,12,13166,721,42,68,33,7,871,19536,558,785,202,23,21104
10303,4088,329,282,98,3,4800,9569,301,160,66,8,10104,548,20,12,3,0,583,476,46,30,12,0,564,10593,367,202,81,8,11251,500,44,47,42,0,633,15181,740,531,221,11,16684
10304,4144,402,417,67,0,5030,11593,500,338,62,10,12503,645,33,21,3,0,702,622,74,66,11,0,773,12860,607,425,76,10,13978,625,62,58,22,3,770,17629,1071,900,165,13,19778
