SA3_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
10102,4,17,0,571,17,3,0,8,4,4,3,6,3,20,309,383,6,3,8,0,0,6,0,0,4,31,25,77,1698,188,49,750,114,591,34,334,65,1390,360,5577
10103,3,8,0,81,9,0,0,4,0,0,0,7,0,18,141,188,4,0,0,0,0,0,0,0,0,13,16,34,536,132,14,301,33,154,24,133,30,691,175,2220
10104,6,42,0,202,10,3,0,10,5,14,3,15,4,113,526,709,11,6,3,9,0,3,0,7,3,115,77,234,1026,558,77,1016,83,664,86,905,148,5127,682,10377
10105,0,16,0,134,15,0,0,10,3,9,0,3,3,53,177,277,6,0,0,6,0,0,0,0,4,52,37,104,725,160,25,601,65,367,23,279,47,1394,243,3922
10106,4,12,0,286,8,4,0,4,0,11,3,3,9,33,177,262,8,0,5,3,3,0,0,0,0,30,32,79,886,182,43,570,45,388,34,291,56,1339,251,4093
10201,9,99,3,828,28,10,3,23,4,38,4,19,6,150,831,1105,12,6,7,10,5,10,3,6,3,180,121,367,2876,724,118,2037,188,1547,108,1297,153,7490,1058,17609
10202,3,62,0,369,27,12,0,26,3,30,0,21,7,163,657,943,20,9,6,14,3,3,0,8,9,211,149,424,2501,555,101,1781,155,1435,87,1054,169,7119,936,15886
10301,5,8,0,167,10,0,0,4,3,20,0,7,0,36,198,273,7,0,3,6,4,4,0,3,0,44,27,94,991,173,51,668,55,430,28,335,54,1474,258,4509
10302,0,20,0,190,11,3,0,8,3,23,0,13,9,85,274,438,14,6,4,10,0,10,0,3,6,82,66,210,1198,258,59,880,88,561,47,437,81,2264,378,6247
10303,3,16,3,204,8,0,0,9,8,15,0,10,4,58,213,322,4,0,5,5,0,3,3,4,0,84,36,146,810,233,45,672,56,487,34,333,55,1937,297,4947
