SA3_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
10102,0,0,0,3,3,667,3,9,0,0,0,0,0,0,41,718,88,0,0,0,0,0,0,0,0,9,101,72,0,0,0,0,0,0,0,0,8,73,48,0,4,0,0,0,0,0,0,7,59,3,0,0,0,0,0,0,0,0,0,7,123,0,4,0,0,0,0,0,0,17,143,6,0,0,0,0,0,0,0,0,4,13,217,0,4,0,0,0,0,0,0,34,255,3550,378,413,89,86,85,82,89,34,162,4974,1821,364,935,177,152,174,228,188,91,88,4228,300,22,59,8,13,18,33,36,35,33,554,24,3,8,0,0,0,0,5,0,6,48,2148,386,1000,186,169,191,261,227,131,134,4836,16,0,0,0,0,0,0,0,3,18,37,5710,770,1421,275,258,280,346,320,167,311,9846
10103,0,0,0,0,0,297,3,3,4,0,0,0,0,0,7,311,57,0,0,0,0,0,0,0,0,3,60,27,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,5,93,1331,80,89,23,18,14,6,13,12,85,1678,387,54,65,11,9,13,22,28,11,34,630,20,4,7,3,0,3,18,15,4,15,93,3,0,3,0,0,0,0,0,0,3,11,415,63,72,9,12,18,36,48,14,46,730,0,0,0,0,0,0,0,0,0,76,78,1750,145,163,35,32,30,44,63,27,206,2493
10104,0,0,0,3,10,1322,11,8,0,0,3,0,0,0,46,1392,343,0,0,0,0,0,0,0,0,34,382,62,0,0,0,0,0,0,0,0,7,64,13,0,0,0,0,0,0,0,0,8,18,3,0,0,0,0,0,0,0,0,0,3,77,0,0,0,0,0,0,0,0,15,87,6,0,0,0,0,0,0,0,0,3,10,418,3,4,0,0,0,0,0,0,55,479,6048,299,250,39,58,48,35,27,12,289,7108,1028,113,151,34,49,47,35,24,22,51,1550,76,7,13,5,0,4,3,8,4,15,139,13,0,3,0,0,0,0,0,4,7,22,1117,121,166,37,47,46,43,27,33,76,1709,22,0,0,0,0,0,0,0,0,10,29,7179,425,418,75,105,95,78,55,47,372,8851
10105,0,0,0,0,7,279,0,4,0,0,0,0,0,0,28,312,48,0,0,0,0,0,0,0,0,10,59,21,0,0,0,0,0,0,0,0,4,21,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0,0,0,3,75,0,0,0,0,0,0,0,0,19,95,1566,90,164,33,22,22,31,34,3,97,2052,332,68,217,36,38,31,61,68,28,33,914,43,17,22,3,3,3,8,13,29,21,163,4,0,0,0,5,0,0,3,0,3,18,388,90,237,41,45,35,64,85,62,55,1102,9,0,0,0,0,0,0,0,0,122,134,1963,174,403,76,65,60,94,121,67,272,3288
10106,0,0,0,0,6,233,0,0,0,0,0,0,0,0,11,249,61,0,0,0,0,0,0,0,0,6,63,9,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,6,67,0,0,0,0,0,0,0,0,11,74,1635,154,137,37,34,29,14,28,15,86,2169,340,83,101,16,19,23,24,16,13,19,655,42,9,8,4,0,3,4,3,3,7,82,3,0,0,0,0,0,0,0,0,0,7,387,93,109,19,19,30,21,21,16,31,745,3,0,0,0,0,0,0,0,0,9,17,2022,246,243,60,53,53,39,47,32,123,2928
10201,0,0,0,14,26,2488,108,46,3,7,9,5,13,0,128,2805,797,22,12,0,3,0,4,0,0,55,883,199,3,0,0,0,0,0,0,0,11,214,41,9,0,0,3,0,0,0,0,6,61,0,0,0,0,0,0,0,0,0,0,0,244,11,3,0,7,3,0,0,0,14,274,4,0,0,0,0,0,0,0,0,29,32,1046,27,15,0,3,3,4,3,0,95,1194,14210,2013,1922,350,340,267,234,211,115,626,20282,3510,986,1375,252,270,259,212,192,110,193,7351,354,91,171,35,43,37,61,69,52,75,981,31,4,14,3,0,0,5,5,0,3,62,3892,1086,1556,288,307,294,281,258,160,268,8402,43,0,4,0,0,0,0,0,0,78,129,18140,3100,3484,638,648,557,518,472,280,971,28810
10202,0,0,0,10,22,2270,36,22,4,0,3,3,3,0,108,2447,533,13,0,0,0,0,0,0,0,45,598,107,0,0,0,0,0,0,0,0,10,118,35,0,0,0,0,0,0,0,0,6,45,0,0,0,0,0,0,0,0,0,0,3,144,0,0,0,0,0,0,0,0,20,165,0,0,0,0,0,0,0,0,0,14,17,680,13,0,0,0,0,0,0,0,79,777,10871,926,800,132,148,117,112,103,49,515,13766,2664,427,684,167,159,148,127,110,42,142,4686,333,55,87,15,22,24,22,23,40,42,662,37,0,7,0,0,0,0,0,0,6,55,3035,490,775,186,178,177,155,140,87,192,5400,25,0,0,0,0,0,0,0,0,47,76,13929,1416,1577,311,324,292,265,240,137,749,19241
10301,0,0,0,0,0,309,3,3,0,0,0,0,0,0,13,333,81,0,0,0,0,0,0,0,0,8,89,17,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,10,109,1884,183,192,36,43,57,30,28,30,81,2559,427,142,247,54,48,40,47,70,30,27,1137,35,8,18,4,8,8,14,12,16,9,145,7,0,0,0,0,0,0,0,0,0,14,470,148,265,66,56,51,65,85,47,38,1285,3,0,0,0,0,0,0,0,0,188,200,2361,332,456,103,99,106,96,108,73,310,4045
10302,0,0,0,0,0,255,7,4,0,0,0,0,0,0,16,279,65,0,3,0,0,0,0,0,0,5,75,19,0,0,0,0,0,0,0,0,3,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,4,4,87,0,3,0,0,0,0,0,0,15,102,1392,122,117,22,41,27,27,15,10,83,1853,258,70,184,37,87,37,62,28,13,22,800,35,12,13,4,3,0,8,12,9,10,114,3,4,0,0,3,0,3,0,0,7,16,295,87,194,43,91,40,70,37,20,41,929,10,0,0,0,0,0,0,0,0,10,17,1697,210,315,70,128,65,96,55,29,134,2797
10303,0,0,0,3,5,425,3,3,0,0,3,0,0,0,22,460,97,0,0,0,0,0,0,0,0,3,99,20,0,0,0,0,0,0,0,0,4,28,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,5,34,0,0,0,0,0,0,0,0,0,4,5,127,0,0,0,0,0,0,0,0,13,141,2175,142,151,15,30,16,19,17,5,115,2703,453,79,130,19,47,19,22,31,9,51,847,44,10,27,10,4,3,6,8,3,15,128,5,0,0,0,0,3,0,0,4,0,18,506,93,153,26,45,23,27,36,14,65,996,10,0,0,0,0,0,0,0,0,140,152,2693,232,310,47,83,41,45,62,24,316,3848
10304,0,0,0,0,0,373,0,8,0,3,0,0,0,0,24,401,96,0,0,0,0,0,0,0,0,10,105,39,0,0,0,0,0,0,0,0,8,41,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,45,0,0,0,0,0,0,0,0,6,60,0,0,0,0,0,0,0,0,0,0,0,146,0,3,0,0,0,0,0,0,16,164,2058,204,228,37,79,66,33,27,27,118,2870,489,203,434,104,173,93,68,66,39,37,1709,63,19,40,5,16,12,17,21,19,18,237,9,0,8,0,0,0,0,0,0,3,22,561,224,486,112,186,102,84,88,59,65,1964,9,0,0,0,0,0,0,0,0,0,8,2627,426,715,151,263,174,119,110,79,185,4850
10401,0,0,0,0,0,380,10,5,3,0,0,0,0,0,16,413,113,0,3,0,0,0,0,0,0,12,130,13,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,132,0,3,0,0,0,0,0,0,12,151,2405,146,135,39,44,34,33,33,14,133,3021,295,64,126,14,28,22,28,24,17,25,640,24,5,24,0,0,0,3,3,0,3,74,7,0,0,0,0,0,0,0,0,4,18,332,66,153,19,28,24,35,24,19,31,729,13,0,0,0,0,0,0,0,0,34,39,2750,215,287,58,75,52,65,57,30,195,3788
10402,0,0,0,7,10,1004,26,9,4,0,0,3,3,3,42,1091,292,10,0,0,0,0,0,0,0,23,323,60,0,0,0,0,0,0,0,0,8,65,19,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,9,92,16,0,0,0,0,0,0,0,0,11,20,384,9,0,0,0,0,0,0,0,39,437,5474,540,585,130,121,93,63,99,45,255,7407,1150,316,757,105,185,189,226,169,98,118,3315,114,43,112,24,59,87,95,127,108,67,835,18,12,10,0,3,0,0,4,8,4,57,1282,363,877,132,249,286,324,299,207,189,4209,23,3,0,0,0,0,0,0,0,28,62,6778,903,1463,268,372,379,385,399,255,471,11678
10501,0,0,0,0,3,124,0,3,0,0,0,0,0,0,4,137,20,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,3,28,513,49,85,24,15,11,13,12,3,43,771,182,27,143,25,44,36,27,16,11,18,525,24,0,9,3,0,3,8,3,3,7,53,0,3,3,0,0,0,0,0,0,3,7,207,34,153,24,43,38,33,17,7,26,582,5,0,0,0,0,0,0,0,0,4,8,720,82,240,55,63,48,47,28,14,72,1366
10502,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,77,17,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,3,26,395,35,49,5,10,11,4,5,4,23,557,91,29,64,14,29,15,14,21,3,4,283,18,0,3,0,0,0,0,3,0,3,35,0,0,4,0,0,0,0,0,0,0,10,106,26,71,14,29,21,16,29,8,8,325,0,0,3,0,0,0,0,0,0,29,28,502,62,121,22,37,34,20,31,10,57,909
10503,0,0,0,0,3,261,3,3,0,0,0,0,0,0,21,286,69,0,0,0,0,0,0,0,0,0,72,20,0,0,0,0,0,0,0,0,4,23,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,4,107,1698,153,147,43,51,35,41,35,15,98,2309,370,171,648,115,121,129,98,107,83,58,1900,46,7,19,0,16,16,11,40,28,20,194,4,0,5,0,3,0,0,0,0,0,14,415,183,666,113,137,145,112,147,109,77,2104,5,0,0,0,0,0,0,0,0,104,109,2113,332,816,156,186,179,155,178,131,278,4522
10601,0,0,0,3,0,391,4,5,0,0,0,3,0,0,32,438,92,0,0,0,0,0,0,0,0,16,106,23,0,0,0,0,0,0,0,0,3,24,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,3,4,118,0,0,0,0,0,0,0,0,15,141,3155,328,381,83,74,45,47,27,13,185,4336,454,117,280,56,66,35,43,37,13,47,1150,33,10,19,5,10,8,21,16,7,11,134,7,0,0,0,0,0,0,4,0,0,13,495,130,302,62,69,42,63,53,22,53,1303,3,0,0,0,0,0,0,0,0,121,124,3652,462,681,150,143,86,113,82,35,359,5755
