SA3_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
10703,35073,37556,72628,15347,7678,23020,4016,9853,13870,1017,1148,2166,1376,1255,2634,21762,19930,41692,11315,15423,26741,6.3,6.3,6.3,62,53.1,57.4,58.1,49.7,53.8,836,931,1766,362,777,1145,2895,4235,7128,2795,3978,6776,10733,5064,15800,302,690,995,654,1316,1973,11692,7068,18764,35037,36538,71574,5165,5546,10716,24493,25466,49957,13982,15054,29036
10704,52223,53923,106148,21642,12355,33999,6757,13871,20632,1393,1627,3013,2320,1896,4213,32111,29742,61857,17240,21335,38576,7.2,6.4,6.8,61.5,55.2,58.3,57,51.7,54.3,3460,3337,6792,885,1557,2437,7718,9443,17162,4346,5715,10067,12440,5338,17780,405,805,1210,893,1625,2519,13739,7769,21512,48877,50169,99051,9332,9303,18635,32978,34199,67170,23260,23391,46654
10801,13007,13831,26840,3240,1880,5118,1500,2777,4278,341,360,700,521,395,912,5599,5407,11007,6398,7386,13783,9.3,7.3,8.3,43,39.1,41,39.1,36.3,37.6,197,183,379,97,186,288,749,1128,1881,826,1249,2075,3894,1628,5526,130,267,399,240,510,750,4271,2406,6679,11644,12183,23826,2131,2282,4407,7925,8206,16127,5366,5809,11173
10802,19763,20220,39985,5036,2972,8006,2328,4155,6487,622,586,1206,886,642,1534,8868,8363,17229,9146,10103,19244,10,7.7,8.9,44.9,41.4,43.1,40.4,38.1,39.3,191,260,451,139,284,420,1060,1704,2765,922,1769,2686,5450,2672,8126,252,427,685,356,707,1069,6068,3814,9879,18047,18472,36518,2832,3086,5914,12997,13140,26137,6916,7479,14392
10803,165,163,327,68,44,118,40,44,81,10,16,26,0,3,3,117,111,228,25,40,70,0,2.7,1.3,70.9,68.1,69.7,71.5,63.8,68.8,3,4,7,0,0,0,16,28,41,10,15,29,59,19,77,0,3,4,12,7,16,67,30,101,140,148,292,27,27,50,102,106,201,64,57,117
10804,30999,34460,65458,10327,6327,16659,3717,7607,11320,791,889,1678,1159,986,2153,16004,15805,31806,12871,16431,29305,7.2,6.2,6.8,51.6,45.9,48.6,47.9,43,45.3,674,686,1362,348,651,1003,2636,3794,6429,2240,3731,5971,9026,4418,13438,325,692,1018,585,1243,1827,9931,6351,16287,28718,31218,59935,5415,5954,11365,18390,19849,38236,14607,16135,30739
10805,21623,23254,44882,6190,3531,9722,2528,4896,7421,693,646,1345,1099,833,1930,10503,9906,20406,9558,11683,21244,10.5,8.4,9.5,48.6,42.6,45.5,43.5,39,41.2,308,297,606,186,378,558,1260,2007,3274,1166,2324,3488,6109,2944,9051,257,505,769,491,857,1344,6858,4307,11167,20391,21418,41814,3472,3653,7124,13873,14420,28297,8898,9698,18592
10901,23741,25715,49454,10574,5697,16268,2776,6857,9628,672,857,1524,1012,890,1900,15035,14298,29328,6953,9564,16520,6.7,6.2,6.5,63.3,55.6,59.3,59.1,52.2,55.4,513,650,1167,329,616,941,2021,3371,5397,1650,2577,4228,6550,3443,9990,253,511,757,368,712,1078,7168,4666,11833,22326,23473,45803,4385,4809,9195,14941,15440,30384,10537,11810,22344
10902,5211,4982,10189,2187,1086,3269,502,1145,1641,199,183,382,177,125,302,3063,2537,5605,1505,1883,3395,5.8,4.9,5.4,58.8,50.9,55,55.4,48.5,51.9,28,64,93,24,77,98,222,440,656,233,400,633,1180,574,1756,51,85,140,57,89,155,1296,754,2049,4924,4641,9570,680,735,1415,3607,3320,6926,1686,1791,3481
10903,17187,17526,34709,6951,3460,10415,1640,4082,5724,617,620,1239,454,384,832,9665,8538,18206,5911,7356,13268,4.7,4.5,4.6,56.2,48.7,52.5,53.6,46.6,50.1,145,211,354,83,279,362,862,1675,2537,909,1487,2395,4547,2020,6566,117,308,423,265,410,673,4933,2734,7670,16048,16093,32135,2494,2687,5178,11520,11439,22961,6148,6516,12664
