SA3_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
10102,68,33,39,10,13,4,166,18,11,8,3,6,0,51,45,22,29,6,12,0,108,39,22,20,6,3,0,94,43,42,36,19,14,0,152,65,69,45,14,26,6,229,102,92,79,14,28,0,312,112,142,69,22,28,0,375,128,155,69,25,26,0,406,134,201,83,44,29,3,506,126,199,58,27,28,3,437,220,367,124,45,30,9,791,100,220,51,16,16,3,407,75,152,37,11,7,0,279,206,431,123,25,19,3,812,310,600,197,36,30,3,1179,105,185,78,12,14,0,384,81,117,44,7,7,0,254,70,110,59,16,19,7,283,2040,3170,1251,361,346,52,7221
10103,29,13,5,5,4,0,57,6,3,4,3,3,0,15,22,7,11,3,3,0,46,24,14,14,4,8,0,59,40,47,21,7,11,0,123,61,66,22,18,11,0,173,69,73,30,14,17,0,194,64,89,19,12,12,0,200,47,75,21,11,10,6,159,45,68,23,0,7,0,141,23,37,12,0,5,0,79,48,87,29,10,9,0,175,18,21,8,0,0,0,56,6,19,7,0,0,0,34,22,48,15,0,3,0,92,32,34,13,0,4,0,82,8,14,3,0,0,0,27,8,17,0,0,0,0,27,25,28,10,0,11,4,79,587,766,262,86,110,9,1824
10104,156,26,26,9,16,3,228,76,14,18,6,9,0,122,125,36,17,7,22,0,207,89,36,27,9,18,0,175,152,75,42,23,21,3,312,190,122,75,36,46,3,467,188,168,80,40,41,4,514,219,240,92,52,38,5,644,186,256,61,29,28,6,578,179,248,84,51,30,4,590,113,166,52,24,18,0,373,174,229,64,12,15,0,503,59,100,19,8,10,0,195,35,59,20,0,0,0,108,92,109,40,5,11,0,258,106,106,37,5,5,0,263,29,32,13,3,0,0,78,22,17,11,0,0,0,52,119,85,46,15,19,0,291,2298,2113,828,345,352,31,5960
10105,37,27,14,3,4,3,87,10,11,7,3,4,0,35,40,12,11,3,8,0,68,31,16,7,7,7,0,69,72,38,20,12,13,0,150,76,63,40,20,20,3,223,101,88,41,18,12,5,267,108,149,53,28,26,0,372,118,150,44,28,13,0,358,113,186,69,22,16,3,418,56,122,34,7,6,0,229,80,176,52,11,12,0,339,36,79,24,3,6,0,149,16,44,7,0,3,0,75,57,85,34,8,3,0,196,67,78,38,7,3,0,189,25,21,11,3,7,0,61,16,12,3,0,0,0,37,54,56,25,10,10,4,159,1122,1427,547,196,168,32,3495
10106,75,43,26,4,10,0,165,21,4,4,0,5,0,40,37,21,20,8,8,3,94,40,18,15,7,15,0,98,74,51,23,21,14,0,183,92,97,55,21,19,5,293,92,114,56,27,25,0,306,106,141,48,23,10,7,332,79,150,49,11,20,0,314,79,170,39,18,18,4,325,50,103,30,15,10,0,206,100,188,52,12,9,0,362,37,79,11,7,4,0,139,28,56,18,7,4,0,104,66,163,38,17,5,0,285,123,213,55,10,7,0,406,32,71,11,0,0,0,118,43,40,19,0,3,0,101,76,61,35,10,10,4,199,1258,1783,590,225,209,26,4085
10201,260,124,121,25,60,11,596,82,35,34,6,21,0,181,137,65,106,13,43,4,360,104,53,68,16,40,4,289,167,138,133,34,58,7,536,205,188,199,57,92,6,754,243,293,211,65,91,3,908,336,462,248,106,133,10,1290,309,576,265,92,107,12,1358,413,810,316,127,149,9,1824,316,666,212,77,74,11,1350,544,1180,430,125,125,18,2421,260,610,131,38,29,4,1064,150,438,122,26,21,10,767,391,937,272,57,65,7,1730,454,1036,330,58,73,9,1960,165,303,119,30,15,0,631,120,199,92,16,14,0,441,196,267,147,37,56,8,712,4841,8372,3541,1009,1264,127,19158
10202,206,80,88,25,45,12,460,70,36,24,12,21,5,171,131,40,77,26,38,3,316,110,42,39,23,38,5,260,185,106,124,38,83,5,554,221,202,180,79,91,14,788,321,343,218,108,132,13,1136,378,532,261,149,156,4,1477,433,679,268,137,147,11,1662,474,903,316,144,141,10,1995,354,785,217,89,77,9,1531,511,1078,388,126,93,10,2202,220,497,128,49,27,4,926,134,315,82,20,17,0,568,272,663,201,47,43,5,1229,267,538,188,41,41,4,1084,86,136,45,11,10,3,288,58,77,38,8,6,3,186,187,234,130,54,70,5,684,4639,7279,3013,1184,1261,130,17502
10301,75,28,25,6,8,0,149,10,3,9,0,3,0,34,33,18,23,5,12,3,86,26,22,19,4,6,0,78,57,28,39,15,11,0,158,68,78,49,24,26,0,255,110,128,57,38,25,3,352,137,177,70,36,39,3,458,116,232,54,24,22,3,447,130,262,66,41,22,0,525,95,189,46,21,11,3,364,131,274,83,27,20,0,538,38,115,24,7,3,0,188,36,77,12,3,4,0,134,77,211,63,13,9,0,362,56,152,48,11,5,0,276,25,47,16,0,3,0,91,18,26,8,0,0,0,45,46,71,27,15,8,0,170,1281,2135,747,286,239,22,4717
10302,117,86,28,8,6,5,245,34,12,7,4,3,0,66,82,44,24,16,26,0,188,73,62,30,10,20,3,203,124,121,70,46,27,3,388,141,221,73,50,44,8,543,183,246,75,49,26,0,583,154,255,71,43,31,3,557,86,182,70,35,16,3,382,89,173,45,12,13,0,329,45,116,29,8,4,0,204,69,156,48,16,0,0,286,18,40,6,3,0,0,73,13,38,5,3,0,0,54,42,81,13,3,3,0,141,45,73,20,5,3,0,136,23,23,10,0,3,0,58,23,13,8,0,0,0,52,101,105,42,15,21,9,285,1456,2035,680,316,255,46,4788
10303,61,27,14,5,4,0,114,18,6,9,3,3,0,40,60,21,11,8,11,0,117,50,28,10,7,6,0,101,75,54,39,20,11,0,207,98,93,50,24,24,3,292,106,130,61,26,16,0,345,127,182,62,28,25,3,432,101,154,64,24,14,3,354,116,210,53,16,19,0,418,72,172,38,10,4,0,298,95,210,60,21,10,3,406,48,104,13,3,4,0,173,25,69,9,0,0,0,103,63,159,45,0,13,0,281,69,136,47,7,0,0,256,32,35,20,8,3,0,94,18,28,3,0,0,0,52,73,63,38,18,10,0,194,1296,1880,650,239,191,23,4275
