SA3_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
10102,6,8,15,127,144,273,7,3,10,3,3,8,22,25,47,11676,10032,21711,673,1066,1742,317,9,333,243,25,268,135,25,163,105,61,163,351,386,737,13669,11793,25459,0,3,3,0,0,0,0,0,0,9,3,12,0,4,4,0,0,0,9,13,14,0,0,0,0,0,0,31,40,64,9,27,36,4,3,13,44,68,116,141,102,242,195,179,375,4,3,6,6,0,8,8,0,7,20,3,18,459,674,1134,1081,1666,2751,158,136,295,15574,14451,30027
10103,10,12,26,22,26,46,3,0,3,0,0,0,3,9,14,3041,2631,5669,265,274,542,116,4,119,24,3,28,40,14,53,90,45,133,400,345,741,4008,3356,7364,3,0,3,0,0,0,0,0,0,25,14,42,5,10,18,0,0,0,33,23,61,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,3,3,5,41,24,63,82,50,132,20,8,24,0,0,0,4,4,3,20,12,31,388,385,777,420,580,999,76,61,136,4993,4441,9436
10104,3,7,11,61,62,123,0,0,0,0,3,3,5,8,19,8900,8408,17305,535,643,1185,371,16,391,101,14,119,99,41,138,133,74,204,550,576,1122,10772,9854,20627,4,3,9,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,7,7,17,0,0,0,0,0,0,0,0,3,5,10,22,0,6,6,7,14,25,96,43,135,111,67,178,0,0,3,0,0,0,6,4,14,11,7,12,825,963,1788,1317,1909,3229,173,186,361,13213,12977,26195
10105,13,13,27,40,21,62,5,3,7,0,0,0,17,19,41,5560,4806,10360,450,462,913,253,13,269,76,8,86,26,7,33,72,28,103,288,243,531,6807,5620,12425,4,3,5,0,0,0,0,0,0,8,8,16,0,0,3,0,0,0,8,14,23,0,0,0,0,0,0,0,6,10,0,4,4,0,0,0,0,9,11,64,27,93,76,54,128,3,0,3,0,0,4,7,0,5,5,6,8,519,473,994,665,991,1659,112,86,200,8182,7231,15408
10106,5,5,13,43,46,92,4,0,8,0,0,0,9,9,17,5539,4884,10423,379,467,849,347,19,367,77,8,87,18,3,21,90,46,129,364,344,711,6890,5829,12715,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,14,14,29,4,12,16,3,0,4,20,23,40,75,28,104,93,58,149,0,0,0,0,0,0,10,0,9,10,0,7,724,695,1424,661,1097,1760,107,102,209,8485,7789,16274
10201,2447,1711,4156,326,445,773,23,9,29,3,4,6,29,35,65,24002,21660,45663,1495,1667,3167,679,16,693,301,22,321,175,55,229,228,114,344,707,693,1399,30421,26431,56852,571,409,977,14,6,19,6,12,19,1101,680,1776,106,189,300,124,31,151,1922,1323,3243,4,6,8,0,0,0,9,9,15,21,37,60,0,3,7,38,58,98,346,135,481,2300,1519,3821,349,211,563,14,9,20,15,0,22,378,218,599,1891,2599,4494,2999,4961,7965,355,371,728,38355,36102,74452
10202,692,495,1190,289,380,667,3,3,7,4,0,4,19,10,31,24224,21191,45410,1699,1527,3226,796,15,816,229,13,242,137,31,168,197,112,308,455,471,928,28742,24249,52994,196,104,302,0,0,0,4,0,4,403,276,673,67,62,129,20,9,30,685,450,1139,0,0,0,0,0,0,17,7,28,18,49,70,5,3,5,48,57,101,279,108,391,1007,619,1628,114,75,185,5,9,13,14,4,14,129,81,212,969,1652,2621,2507,4442,6957,377,359,732,33731,31413,65144
10301,18,6,20,37,28,63,8,0,8,0,0,0,16,21,39,7486,6831,14323,486,565,1051,254,13,263,61,7,69,77,13,93,70,31,104,412,370,783,8929,7877,16809,3,7,10,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,14,4,16,0,0,0,0,0,0,4,4,6,4,4,10,3,3,6,11,7,18,62,36,104,88,52,138,3,3,8,0,0,0,4,3,8,11,5,15,465,579,1042,843,1313,2157,135,109,244,10467,9942,20409
10302,4,3,7,110,27,140,4,0,3,0,0,0,27,17,47,7406,6425,13830,667,547,1210,387,21,402,95,13,107,55,18,71,156,60,213,705,555,1261,9612,7690,17300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,25,0,0,4,0,0,0,24,7,29,94,33,128,119,42,156,0,0,0,3,0,3,16,3,21,16,5,26,1233,1076,2311,775,1274,2050,196,146,341,11957,10230,22183
10303,36,29,67,18,22,43,0,0,0,0,0,0,17,17,31,6586,5420,12006,484,417,903,258,14,274,62,5,67,41,13,56,57,24,83,419,418,836,7982,6381,14366,4,0,12,0,0,0,0,0,0,10,7,16,0,0,3,0,0,0,17,10,24,0,0,0,0,0,0,0,3,4,4,0,3,0,0,0,3,3,6,90,37,123,109,54,157,9,4,8,0,0,0,8,5,11,18,11,23,551,608,1155,826,1172,2003,142,124,262,9621,8339,17966
