SA3_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
10102,0,0,7,15,14,19,63,39,10,8,7,7,12,3,4,206,0,4,0,6,7,20,13,25,8,0,3,0,14,0,3,100,0,0,0,7,3,14,22,24,4,5,5,0,3,8,4,90,0,13,18,179,51,139,41,25,3,5,12,11,8,0,17,526,0,0,0,0,0,6,9,0,0,0,0,3,0,0,0,19,6,115,361,580,240,188,204,168,21,36,22,25,27,9,74,2081,0,3,10,42,32,45,66,34,22,14,11,17,13,7,7,305,0,0,0,0,27,18,10,22,0,3,5,3,0,0,3,86,0,0,3,3,8,0,20,7,3,0,0,3,0,0,0,49,0,65,165,343,170,173,193,273,47,63,63,72,78,44,66,1818,9,508,1068,1662,963,1074,1198,1421,275,258,280,346,320,167,311,9846
10103,0,0,3,3,5,6,11,12,0,0,0,0,0,0,3,44,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,23,0,0,3,3,3,0,4,15,3,0,3,0,3,0,3,45,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,4,0,0,0,0,0,0,0,0,3,12,7,65,149,222,81,70,61,33,8,0,4,3,3,9,41,762,0,0,0,10,15,12,7,7,0,3,0,0,0,3,7,72,0,0,0,0,0,0,5,3,0,0,0,0,0,0,13,20,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,0,47,70,100,32,37,32,18,4,0,4,20,22,9,51,440,13,250,389,519,252,248,225,163,35,32,30,44,63,27,206,2493
10104,0,0,19,34,48,29,41,15,0,3,0,3,0,14,5,205,0,3,3,4,0,0,4,3,0,0,3,0,3,4,0,24,0,0,0,0,7,6,11,20,3,3,13,0,0,4,11,85,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,8,29,499,999,1149,416,246,180,94,9,27,24,18,9,3,160,3864,0,4,13,54,37,39,44,28,13,0,3,7,3,0,7,252,0,0,0,0,17,10,3,3,4,0,0,3,0,0,3,56,0,0,5,3,4,0,8,3,0,3,0,0,0,0,0,25,3,119,192,304,112,99,95,50,10,17,5,12,7,3,42,1075,65,1118,1845,2129,1062,744,653,418,75,105,95,78,55,47,372,8851
10105,0,0,3,5,5,6,6,15,0,0,0,0,4,0,3,53,0,0,0,0,0,0,3,4,0,3,3,3,0,0,0,18,0,0,0,0,0,7,4,9,3,0,0,3,3,0,5,41,0,0,0,6,4,0,7,0,0,0,0,0,0,0,0,10,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,9,9,89,226,315,101,75,37,49,6,9,5,11,8,0,66,1001,0,3,4,17,0,5,16,19,3,0,0,0,6,3,0,79,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,24,0,0,4,0,3,0,3,9,3,0,0,0,0,3,0,28,4,19,46,94,29,34,59,97,10,19,14,10,23,8,34,508,11,228,419,637,302,271,273,403,76,65,60,94,121,67,272,3288
10106,0,0,3,0,6,3,12,22,0,3,0,0,3,0,3,62,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,10,3,0,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,127,207,299,109,85,97,30,23,12,14,0,12,4,43,1052,0,0,6,18,14,11,35,15,3,4,3,0,0,0,3,109,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,14,0,0,3,0,3,0,0,3,0,0,0,3,3,0,0,19,0,29,42,87,62,41,54,22,7,7,13,7,8,0,24,402,12,255,392,585,353,287,387,243,60,53,53,39,47,32,123,2928
10201,3,3,26,77,148,127,379,224,38,15,26,16,33,14,29,1161,0,3,18,30,20,30,20,21,3,8,0,3,0,3,5,173,0,0,0,4,11,33,104,87,14,8,20,17,15,6,32,352,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,21,6,13,13,3,0,0,0,0,0,0,4,65,69,686,1580,2414,1145,1185,1432,1112,198,201,167,122,120,45,325,10807,0,5,26,98,57,95,144,128,38,33,13,13,18,16,16,709,0,0,0,13,45,29,15,23,5,5,12,8,6,3,20,182,0,0,0,3,25,14,47,38,8,0,7,8,3,4,0,153,15,151,315,795,448,457,594,456,69,79,56,80,69,39,101,3744,159,1687,2960,4746,3419,3604,4661,3484,638,648,557,518,472,280,971,28810
10202,0,3,14,46,73,78,121,80,8,7,9,4,5,3,7,454,3,0,7,13,8,11,4,5,4,0,0,0,6,0,0,63,0,0,0,3,3,29,45,51,10,3,18,15,13,4,13,211,0,0,4,10,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,6,5,4,0,0,0,0,0,0,0,0,3,26,48,623,1406,2072,807,654,615,377,55,64,56,58,30,15,281,7169,0,7,21,37,40,53,85,38,9,6,10,11,7,7,18,348,0,0,0,0,18,18,19,18,6,10,7,8,16,3,0,124,0,0,3,4,15,3,48,35,0,0,7,0,3,0,3,125,11,150,201,671,307,311,281,185,44,48,33,34,23,17,98,2415,105,1516,2625,3987,2378,2419,2313,1577,311,324,292,265,240,137,749,19241
10301,0,0,10,0,8,8,25,38,3,7,0,10,3,4,0,114,0,3,0,0,0,7,12,16,3,0,6,0,0,0,0,57,0,0,0,0,0,10,9,12,3,3,3,9,4,3,0,51,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,125,233,321,145,92,61,57,19,12,20,0,6,11,55,1170,0,0,4,7,4,6,22,8,0,0,3,9,4,3,0,77,0,0,0,0,3,10,7,6,8,3,3,3,0,0,19,66,0,0,3,0,7,3,4,3,0,0,0,0,6,0,0,30,3,30,40,118,49,45,89,81,13,8,8,17,22,19,47,589,19,293,425,644,404,387,515,456,103,99,106,96,108,73,310,4045
10302,0,0,3,9,10,12,45,23,0,13,0,0,0,0,3,120,0,0,0,0,0,0,0,13,3,6,0,0,0,0,0,26,0,0,0,0,0,0,10,3,5,0,0,0,3,3,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,113,188,263,50,47,46,20,3,7,4,6,9,3,37,803,0,3,0,12,4,3,10,8,5,0,3,0,3,0,3,56,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,21,0,0,0,0,8,0,0,7,0,4,0,0,0,0,0,24,0,24,25,66,20,24,60,27,5,10,17,16,5,3,15,335,25,307,342,472,212,232,321,315,70,128,65,96,55,29,134,2797
10303,0,0,3,8,11,15,20,17,9,19,0,0,0,0,3,101,0,0,0,0,4,8,0,5,0,0,0,4,0,0,3,20,0,0,0,0,0,5,15,13,3,3,0,3,8,0,3,47,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,131,278,466,170,81,73,38,5,7,4,3,9,0,77,1354,0,0,0,27,15,12,17,18,0,5,0,0,0,0,6,94,0,0,0,0,7,5,7,7,8,0,4,0,0,3,19,69,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,13,0,37,61,136,46,39,41,24,0,10,3,8,8,6,55,476,27,329,549,863,455,349,359,310,47,83,41,45,62,24,316,3848
