SA3_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
10102,4860,5970,4046,3091,5473,2359,1390,2162,680,30027
10103,1773,1283,1320,1159,1072,896,620,1144,171,9436
10104,3387,4188,4126,3331,3051,2929,1470,3286,431,26195
10105,2229,2189,2199,2247,1816,1419,1236,1815,265,15408
10106,3305,2674,2189,1635,2108,1257,901,1911,291,16274
10201,9135,16380,10766,8844,10557,7453,3368,6701,1251,74452
10202,6504,9529,10832,8472,8532,7403,4985,7755,1137,65144
10301,2591,3699,2950,2654,2412,1940,1479,2344,347,20409
10302,4708,2983,3031,2196,2253,1891,1907,2791,427,22183
10303,2293,2283,3072,1994,2053,1566,2225,2179,295,17966
10304,3482,5043,3752,2769,3288,2283,1890,2810,403,25729
10401,2001,2687,2485,2413,2125,1883,1294,2231,299,17415
10402,4276,6609,4702,4266,4382,3600,1903,4343,584,34661
10501,2114,1181,1121,1119,865,493,947,1158,203,9203
10502,1033,1201,1066,1154,804,720,758,943,159,7839
10503,4818,4884,4052,3658,3544,2871,1933,3421,492,29666
10601,3772,4322,6528,4119,4086,3346,5083,4554,596,36407
10602,3238,5687,5809,3741,4467,3410,3257,3468,497,33572
10603,3023,4019,4940,3562,3601,2905,2272,3151,473,27956
10604,1684,1489,2410,1092,1273,981,2026,1876,206,13027
10701,2649,4849,5234,3796,4365,3123,2621,3489,495,30624
10702,0,0,0,0,3,0,0,0,0,7
10703,4029,6642,6614,5027,5126,4052,3145,3812,609,39059
10704,6596,15637,7818,7125,7632,4817,2850,4282,880,57644
10801,1216,1565,1578,1289,1107,1253,599,1296,201,10095
10802,1870,2364,2235,2299,1717,1511,1092,2275,339,15699
10803,56,19,35,25,21,16,8,42,13,225
10804,3343,5824,4378,3819,3913,3236,1618,3080,444,29660
10805,2271,3070,2569,2320,2029,2116,1288,2529,294,18484
10901,3554,5113,4002,3253,3524,2840,1879,2866,401,27430
10902,1189,600,673,502,551,383,468,822,115,5298
10903,3558,2236,2327,1776,1818,1471,1309,2586,296,17372
