SA3_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
10102,218,266,482,4422,5002,9425,0,0,0,229,233,466,85,74,161,7463,7928,15389,13,15,27,758,698,1456,57,72,129,56,31,88,147,176,326,17,9,24,103,107,210,195,242,442,564,624,1184,51,58,116,35,39,75,660,827,1487,663,687,1350,19,23,42,15536,16845,32380,360,323,679,342,303,640,22,18,39,7,12,16,230,198,431,71,113,177,303,321,620,8879,7599,16478,108,80,189,43,54,95,9033,7733,16767,3031,2697,5725,28828,28501,57331
10103,70,110,184,1917,2026,3947,0,0,0,182,154,337,0,0,0,2298,2258,4557,3,3,7,73,68,137,25,48,66,3,11,14,71,74,146,4,3,5,16,14,26,50,47,96,257,266,519,20,19,47,10,16,32,258,287,542,132,168,300,3,5,7,5332,5459,10792,8,9,14,40,31,65,11,8,14,3,3,8,0,3,6,25,36,63,28,45,73,3128,2630,5756,38,36,71,13,25,37,3170,2690,5863,1355,1006,2361,10013,9354,19366
10104,243,422,665,7238,8423,15657,0,0,0,339,365,708,0,3,3,6742,7214,13960,12,21,30,158,133,296,187,280,465,51,57,104,127,164,287,9,7,10,81,97,176,145,177,324,1000,1141,2145,92,101,190,71,102,173,1046,1442,2494,583,701,1285,32,35,63,17905,20461,38371,65,59,126,41,33,70,22,35,54,15,23,33,10,10,19,99,155,253,123,186,308,12246,11046,23292,128,96,227,73,104,184,12456,11247,23700,3764,3591,7348,34606,36029,70638
10105,102,143,243,4450,4851,9308,0,0,0,181,201,381,64,61,127,5000,5288,10289,0,3,8,121,93,212,30,50,86,21,35,52,38,44,84,7,4,15,31,29,60,56,71,127,423,394,817,40,56,100,39,53,98,732,780,1509,250,251,502,17,16,38,11512,12300,23810,66,57,117,60,56,112,7,5,13,0,0,0,25,25,49,41,48,86,67,67,133,3836,3310,7151,49,45,99,21,34,52,3907,3386,7293,2274,1556,3828,17989,17572,35559
10106,56,94,153,4156,4545,8697,0,0,0,190,198,389,51,53,109,5284,5602,10887,0,4,4,60,74,137,34,44,79,4,3,6,77,96,172,0,0,0,35,38,74,77,71,148,482,527,1005,49,64,112,37,36,73,757,864,1620,306,322,625,7,16,25,11603,12560,24162,27,17,41,161,170,329,8,14,24,0,3,3,10,4,13,56,46,104,67,58,124,4110,3744,7855,41,31,76,12,32,41,4162,3805,7972,1601,1539,3135,17678,18257,35942
10201,758,1171,1926,16080,19193,35270,3,5,11,1378,1555,2932,84,108,197,18649,21191,39839,136,182,325,598,596,1193,266,354,624,159,192,343,214,266,480,67,57,124,914,999,1913,858,1092,1953,2088,2425,4516,163,227,388,392,446,834,2542,3331,5879,1871,2182,4052,105,120,222,46568,54522,101092,359,350,710,299,276,579,103,144,247,20,13,32,77,61,136,167,263,431,258,336,596,25998,22924,48926,301,246,545,151,219,373,26452,23396,49840,7083,6985,14067,81880,87173,169053
10202,517,740,1254,17726,20815,38543,9,8,13,1221,1471,2692,22,23,44,19278,21886,41160,45,61,105,478,476,952,308,421,731,207,210,424,127,152,276,46,35,79,550,619,1167,694,828,1518,1916,2231,4146,218,289,507,267,309,578,2031,2603,4631,1394,1597,2990,66,74,137,46602,54087,100688,219,228,447,247,207,459,48,58,110,28,17,49,58,48,108,180,263,441,269,329,597,22313,19328,41643,215,135,350,94,155,249,22626,19614,42239,6355,6537,12893,76884,81803,158683
10301,140,192,331,4126,4750,8871,0,0,0,263,300,565,92,81,166,6958,7575,14532,16,28,44,95,86,179,69,61,134,33,32,67,54,59,112,8,7,14,75,74,157,134,154,285,892,961,1856,53,60,114,49,63,112,811,945,1753,339,380,714,12,14,24,14071,15631,29699,107,95,207,109,82,194,6,8,14,6,10,18,35,33,67,49,55,106,97,100,200,5572,4778,10347,64,48,112,25,35,54,5663,4851,10517,3253,2185,5436,23445,23152,46594
10302,103,101,204,6794,7314,14108,0,0,0,407,427,834,186,196,385,7702,8067,15769,3,7,6,45,55,99,86,124,206,40,38,78,123,140,258,14,17,36,69,76,145,252,284,541,1344,1417,2759,76,117,194,37,46,82,1591,1713,3302,535,633,1172,18,16,28,19338,20672,40005,55,49,105,34,24,59,7,3,5,16,7,23,17,14,25,28,46,72,58,66,122,4849,4042,8892,23,23,48,16,15,30,4894,4083,8973,2980,2883,5863,27462,27879,55336
10303,110,175,285,5548,5868,11416,0,0,0,273,286,551,77,72,146,5571,5864,11439,6,4,12,78,65,141,86,132,212,31,37,66,26,45,77,7,3,15,70,71,142,157,184,341,876,967,1846,63,72,133,36,46,77,998,1164,2162,330,394,720,9,9,23,14236,15289,29517,58,42,100,32,35,73,7,10,18,0,3,4,16,20,35,43,75,113,58,92,151,5666,4677,10338,50,28,77,25,29,58,5740,4741,10475,3289,2708,5996,23530,23085,46612
10304,135,185,321,5930,6713,12646,0,0,0,404,429,828,157,176,332,8101,8757,16857,28,25,50,103,87,193,54,61,115,21,21,42,50,76,122,13,9,22,261,264,519,281,350,633,790,851,1640,68,68,134,52,74,130,1752,2075,3826,656,713,1366,11,11,23,18735,20763,39497,142,140,280,90,73,163,5,5,13,5,6,11,30,37,70,57,92,150,98,137,235,6448,5590,12040,54,50,102,17,33,52,6522,5672,12197,2535,2370,4909,28264,29346,57614
10401,146,199,351,6132,6823,12958,0,0,0,324,349,669,0,5,5,4797,5281,10084,3,0,4,39,36,78,158,183,338,33,40,80,47,65,110,3,0,8,60,78,136,122,164,281,1466,1560,3028,121,129,248,45,80,130,824,1018,1841,456,478,937,12,11,21,14640,16314,30951,37,34,69,25,18,43,4,9,13,15,6,17,25,28,50,46,88,131,82,121,202,7048,6177,13216,69,44,114,37,48,84,7144,6266,13414,2833,2395,5229,24907,25357,50261
10402,393,594,984,7687,8937,16627,0,0,0,623,685,1315,0,6,10,7488,8563,16049,29,31,62,88,113,204,221,275,497,45,58,104,93,119,219,17,14,28,121,181,303,579,725,1303,1418,1647,3066,88,125,210,113,146,260,1317,1702,3018,930,1210,2139,55,67,115,20909,24607,45513,141,117,256,249,230,481,49,36,82,22,21,42,695,623,1320,113,205,325,831,854,1683,14462,13318,27781,149,121,275,89,141,232,14700,13585,28284,4407,4323,8726,41677,44344,86021
10501,25,48,75,2934,3027,5960,0,0,0,105,106,212,11,15,19,3614,3662,7277,3,3,6,50,34,87,32,34,64,13,11,26,41,26,68,8,6,11,23,23,51,34,44,76,474,446,914,16,14,26,32,14,50,416,443,861,147,180,321,7,6,16,7949,8107,16052,32,45,73,48,45,97,0,0,0,21,17,32,3,3,6,14,12,26,35,30,64,2359,1896,4255,9,6,18,13,15,28,2384,1919,4307,1842,1640,3488,12314,11834,24152
10502,44,54,98,1232,1336,2563,0,0,0,92,112,209,0,0,0,2277,2520,4796,19,19,34,27,30,55,10,22,38,18,32,50,79,113,193,4,7,15,71,103,177,36,53,86,112,117,233,77,124,198,17,17,35,743,1038,1779,156,162,314,0,7,5,4975,5812,10785,27,17,44,25,12,40,7,3,8,10,4,16,3,3,5,15,18,35,28,31,55,3628,3196,6825,28,16,41,3,13,16,3657,3222,6886,1209,1096,2311,9965,10251,20217
10503,152,213,369,8166,8971,17137,0,0,3,521,599,1120,0,3,3,9059,10169,19227,24,29,46,103,100,199,81,97,171,23,22,46,119,149,273,26,18,46,90,74,160,302,362,672,1533,1590,3125,98,126,230,126,162,291,1670,2055,3726,618,679,1296,10,14,29,22564,25229,47789,239,237,481,153,111,266,9,15,27,37,28,67,49,33,85,51,64,115,136,131,266,6668,5722,12392,48,48,97,29,39,72,6742,5814,12556,4191,3465,7656,34198,35213,69414
10601,203,306,512,11665,12608,24277,0,0,0,555,595,1150,74,67,135,9059,9489,18546,15,15,31,87,74,161,102,145,250,95,106,199,56,73,133,11,3,15,221,245,463,290,311,594,1438,1530,2969,159,191,353,143,157,305,2113,2468,4583,694,788,1482,45,47,96,26830,28907,55738,91,85,174,78,51,128,18,18,28,8,9,15,20,10,31,81,139,222,109,158,271,11491,10066,21556,135,97,232,49,71,125,11677,10239,21909,4913,3997,8910,43911,43765,87675
10602,182,283,463,8417,9412,17827,0,0,0,659,710,1370,90,80,168,9463,10465,19927,41,43,87,102,100,201,75,110,185,81,80,168,52,61,112,8,9,17,197,210,411,307,333,641,1062,1190,2248,157,218,371,96,113,212,1612,2061,3672,787,866,1651,15,24,38,23226,26084,49307,165,182,351,155,129,281,15,9,21,10,9,16,51,55,108,60,108,168,117,175,289,9434,8262,17694,118,106,227,26,59,87,9581,8429,18014,2777,2656,5435,36217,37948,74162
10603,212,298,510,8597,9451,18043,4,0,5,751,781,1531,6,12,20,7449,7991,15442,31,37,68,168,152,317,95,121,209,58,61,119,88,90,182,11,8,14,148,150,295,413,494,911,1113,1257,2366,121,139,259,75,83,158,1635,1915,3545,697,854,1554,16,22,42,21461,23614,45081,54,64,115,58,48,104,25,23,46,11,9,18,11,12,24,54,100,156,84,119,203,9781,8506,18283,105,79,183,39,63,100,9927,8641,18566,3467,3283,6754,35289,36092,71381
10604,68,80,147,4693,5069,9759,0,0,0,145,159,304,0,0,0,3795,3805,7600,3,0,4,12,20,35,51,68,117,13,12,20,13,16,36,0,3,7,36,23,64,41,51,92,423,415,832,27,36,59,25,38,62,498,623,1124,219,222,434,13,13,24,10009,10574,20579,45,45,95,48,35,85,10,11,14,0,0,0,13,7,21,18,40,61,33,41,78,3217,2735,5961,30,26,54,12,24,30,3263,2785,6048,1746,1405,3149,15216,14984,30196
10701,268,415,683,6471,7606,14079,4,0,4,254,341,594,51,48,95,9923,10675,20599,58,68,123,2085,2036,4126,120,184,308,68,74,144,155,176,328,38,47,83,96,104,199,360,396,761,794,945,1739,115,156,274,58,69,131,1116,1409,2523,1344,1350,2699,19,31,50,23133,25720,48851,111,109,223,915,881,1799,6,4,14,10,7,14,12,10,17,86,123,210,106,137,241,9519,8223,17739,83,87,175,47,66,109,9656,8376,18029,2807,2705,5516,37002,38356,75354
