SA3_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
10102,0,0,5,18,18,25,24,12,0,0,3,3,3,0,6,117,0,3,7,3,4,20,51,62,14,3,5,10,11,9,7,210,0,6,36,94,0,12,7,0,0,0,0,0,0,0,9,170,0,0,0,3,0,3,0,9,7,0,0,5,3,6,3,48,0,0,0,7,13,18,31,28,12,3,8,3,0,0,0,123,0,105,74,30,19,19,16,5,0,0,3,3,0,0,12,295,0,19,61,39,6,4,3,0,0,0,0,0,0,0,7,136,0,0,3,6,7,9,4,3,0,0,0,3,0,0,0,43,0,3,3,14,8,30,84,380,36,38,47,93,61,41,9,848,0,0,3,3,3,19,15,9,0,3,3,3,10,9,0,85,0,0,0,0,8,4,3,3,0,3,0,3,11,3,0,36,0,0,0,0,3,0,3,5,3,0,0,3,0,0,0,21,0,4,5,22,16,9,10,10
10103,0,0,0,6,4,4,5,7,4,4,3,0,0,6,7,58,0,0,7,0,0,3,9,3,3,0,3,4,0,0,9,48,0,4,4,9,0,0,0,0,0,0,0,0,0,0,3,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,14,0,57,60,34,8,7,6,3,0,0,3,0,0,0,6,187,0,3,9,8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,3,0,0,0,0,4,5,0,10,31,0,0,3,8,0,3,7,0,0,0,0,3,0,0,5,32,0,0,3,0,3,3,0,0,0,0,0,4,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,3,7
10104,0,0,9,30,16,16,20,15,3,3,0,0,3,0,0,125,8,8,4,0,0,11,9,14,3,0,0,4,0,3,3,76,0,3,48,65,3,0,0,0,0,0,0,0,0,0,6,123,0,5,6,6,0,0,0,0,0,0,0,0,0,0,3,29,0,3,5,5,4,7,3,3,0,0,0,0,0,0,6,32,0,175,154,89,43,32,25,15,0,0,3,0,3,0,20,557,0,9,29,21,0,0,0,0,3,0,0,0,0,0,3,63,4,0,3,3,7,3,0,3,0,0,0,0,0,0,0,24,0,10,9,11,3,3,14,30,3,13,4,8,7,4,5,121,0,11,13,6,3,3,3,3,0,0,3,0,3,0,3,46,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,39,13,19,15,15
10105,0,0,0,3,3,4,6,4,0,0,0,0,0,0,4,33,0,3,0,0,0,8,23,23,4,0,5,3,4,3,7,82,0,0,11,10,0,3,0,0,0,0,0,0,0,0,4,23,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,20,0,3,0,4,0,10,3,3,0,0,3,0,0,0,3,34,0,30,19,29,3,7,9,3,0,0,0,0,0,0,7,121,0,3,14,6,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,18,0,0,3,12,4,3,3,51,0,13,5,20,26,6,0,148,0,0,0,0,3,3,8,0,3,3,0,0,0,0,4,29,0,0,0,0,0,0,0,10,0,0,0,0,4,0,8,23,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,11,0,0,0,15,3,9,0,5
10106,0,0,3,11,3,7,5,9,0,0,0,0,3,0,0,43,3,4,6,3,7,4,15,10,3,0,0,0,0,6,3,61,0,0,9,26,0,4,3,0,0,0,0,0,0,0,0,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,8,4,0,0,0,0,0,0,0,0,17,0,36,27,12,7,12,17,0,0,0,0,0,0,0,3,109,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,11,0,0,3,5,0,0,10,16,4,3,8,5,0,0,0,58,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,11,7,3,4,14
10201,0,8,11,59,49,54,98,61,9,14,12,4,8,6,12,400,14,28,49,10,34,121,265,241,43,37,45,55,33,23,48,1043,0,8,46,60,6,13,6,3,0,0,8,0,0,0,9,151,0,35,50,54,9,14,6,13,7,6,4,0,0,3,12,213,0,8,4,23,39,70,30,16,4,7,0,0,0,4,17,226,4,183,135,68,64,39,80,66,7,12,13,4,0,3,22,699,0,31,76,40,5,0,11,0,0,0,0,0,3,0,8,180,4,0,9,26,23,50,33,10,0,3,4,4,3,0,8,183,3,18,22,78,47,42,107,230,58,66,51,49,34,27,28,851,7,12,14,21,20,15,50,35,10,4,4,0,10,3,7,227,0,0,0,11,9,15,17,14,6,3,0,0,4,6,0,80,0,0,0,3,3,4,11,3,3,0,0,0,0,0,0,32,6,20,42,112,65,116,91,90
10202,0,0,6,37,23,18,33,21,4,4,3,0,0,0,0,164,0,14,30,9,24,80,107,84,12,23,29,7,12,13,19,455,0,7,34,57,5,9,3,0,0,0,0,0,0,0,3,112,0,37,39,22,10,15,4,4,0,0,0,0,0,0,3,134,0,0,9,19,23,45,13,12,6,5,0,6,3,4,7,157,0,150,117,71,33,39,24,15,0,0,0,6,0,0,18,477,0,27,62,50,3,4,0,0,0,3,0,0,0,0,0,151,4,3,9,9,13,14,15,4,0,0,0,4,0,0,4,86,0,14,11,55,19,33,63,164,32,42,28,25,28,16,20,541,0,14,6,9,19,30,25,15,5,6,12,15,9,5,4,158,0,0,0,4,5,4,9,0,0,0,3,0,0,0,0,41,0,0,0,3,0,9,0,4,0,0,0,0,0,6,4,26,3,16,44,151,44,59,38,24
10301,0,3,3,7,6,4,9,10,4,0,3,0,0,0,0,56,0,4,3,0,4,16,24,15,7,14,7,4,7,3,13,134,0,0,10,13,0,0,4,0,0,0,0,0,0,0,3,28,0,0,3,3,0,3,6,0,0,0,0,0,0,0,3,19,0,0,0,3,4,12,12,3,0,0,0,0,0,0,12,49,3,50,25,8,14,9,3,4,0,3,0,0,0,0,5,125,0,3,4,5,0,0,0,0,0,0,0,0,0,0,5,18,0,0,0,3,0,5,4,3,0,0,0,3,0,3,4,24,0,4,3,4,3,10,22,70,8,9,15,13,16,4,3,182,0,3,0,0,0,0,4,5,0,0,0,0,0,3,0,20,0,0,0,0,0,0,8,0,3,4,3,0,4,0,3,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,20,0,4,5,16,5,13,13,9
10302,0,0,4,3,3,0,0,18,3,0,0,3,0,0,0,35,0,0,7,0,3,18,21,22,4,5,0,11,7,0,9,103,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,7,7,3,9,3,0,0,0,0,0,0,35,0,55,16,5,9,5,0,0,0,0,0,0,0,0,4,100,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,19,0,0,4,0,4,8,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,19,36,7,17,7,15,3,0,8,122,0,4,3,0,0,0,0,4,0,9,0,0,3,0,3,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,19,0,9,5,17,0,3,8,3
10303,0,0,0,8,6,3,5,4,0,0,3,0,0,0,3,41,0,3,5,0,3,6,11,19,6,5,3,0,0,0,20,85,0,0,9,14,3,3,0,0,0,0,0,0,0,0,0,32,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,16,0,0,0,3,3,7,7,6,0,3,0,0,0,0,7,37,0,57,38,26,6,13,0,0,3,0,0,0,0,0,7,156,0,0,18,9,4,0,0,0,0,0,0,0,0,0,5,38,0,0,0,3,7,3,3,0,0,0,0,0,0,0,6,18,0,0,0,13,0,4,14,49,0,10,0,0,11,3,9,109,0,3,6,0,3,3,7,0,0,0,0,0,0,3,0,25,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,14,0,0,0,0,0,0,4,6,0,0,0,0,0,0,11,18,0,0,3,16,3,6,7,12
