SA3_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
10102,21823,21546,43371,773,832,1606,1603,1654,3260,122,102,224,149,148,301,48,38,82,43,44,90,15,10,24,25,35,64,950,960,1908,0,0,0,2961,2991,5948,272,249,522,62,54,117,4065,4123,8191,2550,2460,5005,28446,28126,56567
10103,7447,7113,14555,540,544,1084,493,480,971,53,38,93,66,57,124,5,12,18,5,11,15,5,3,9,9,16,18,60,54,117,0,0,0,694,672,1366,81,59,143,16,15,35,1333,1293,2625,1154,885,2040,9931,9291,19215
10104,26752,27806,54562,1509,1639,3146,1919,2048,3965,258,262,522,125,145,268,30,21,48,46,44,89,19,24,42,25,22,50,251,281,531,0,0,0,2674,2850,5524,102,119,219,98,94,187,4382,4700,9081,3197,3243,6448,34339,35756,70090
10105,13415,13479,26897,1022,1102,2131,976,981,1958,21,21,48,44,48,90,4,7,8,16,11,27,0,3,4,0,4,8,67,72,133,0,0,0,1132,1143,2272,95,87,179,43,22,68,2286,2361,4647,2087,1549,3637,17792,17391,35188
10106,13996,14374,28366,846,915,1760,698,787,1486,28,25,55,68,69,134,19,18,35,20,20,34,8,6,12,9,6,12,370,399,771,0,0,3,1210,1326,2535,57,62,123,31,28,61,2143,2342,4480,1335,1358,2686,17471,18069,35541
10201,64054,68224,132274,2243,2521,4766,7192,7703,14895,90,89,179,206,221,425,26,29,56,62,64,129,17,12,31,27,25,47,38,42,74,0,0,0,7652,8192,15847,516,604,1118,166,169,340,10584,11483,22068,6298,6625,12922,80931,86327,167259
10202,59618,63050,122666,2189,2469,4653,7125,7739,14865,68,68,133,217,236,461,24,36,67,73,60,129,8,11,20,24,31,51,30,40,70,0,0,0,7571,8229,15802,283,335,613,196,197,391,10240,11225,21467,6141,6639,12782,75997,80919,156918
10301,16871,17278,34153,1265,1359,2620,1693,1794,3493,40,34,74,73,69,142,3,11,13,21,10,39,3,6,14,3,7,11,23,17,39,0,0,0,1866,1949,3817,105,117,220,54,32,87,3286,3456,6750,3008,2152,5151,23163,22885,46048
10302,21349,21435,42778,1545,1680,3219,1015,1123,2138,29,34,64,117,114,233,21,23,42,22,22,44,7,15,20,5,15,22,31,37,68,0,0,0,1253,1375,2629,54,76,122,60,62,122,2902,3187,6092,2897,2932,5832,27146,27560,54701
10303,17380,17302,34678,1137,1200,2335,1327,1386,2711,14,17,36,94,92,191,23,17,42,24,15,35,3,7,10,5,8,11,9,13,16,0,0,0,1499,1554,3048,60,74,129,45,48,91,2734,2868,5605,3135,2662,5791,23248,22823,46078
