SA3_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
10102,0,0,0,4,10,8,12,7,4,43,0,3,3,15,10,11,5,4,0,55,0,0,0,0,0,0,0,0,0,4,0,7,4,7,3,3,0,0,0,27,3,0,3,58,62,69,53,14,11,278,0,3,0,3,3,0,0,0,0,16,11,28,19,31,27,21,22,3,0,154,0,0,3,15,9,11,0,0,0,34,0,0,0,5,14,13,0,3,0,34,0,0,0,13,5,0,3,0,0,23,7,24,18,163,98,99,85,56,17,567,131,194,230,636,418,308,236,116,24,2290,1998,3848,3479,7820,4596,3655,2271,921,248,28828,0,0,0,4,0,0,0,0,0,4,1592,3214,2886,5861,3359,2386,1308,544,239,21388,3,6,12,51,4,0,0,0,0,71,0,0,0,0,4,3,0,6,0,13,0,3,0,6,0,0,0,0,0,10,0,3,0,23,17,12,8,0,0,72,0,0,0,3,10,7,6,0,0,27
10103,0,0,0,0,0,0,4,5,0,10,0,0,3,0,0,4,0,0,0,13,0,0,3,14,0,0,0,0,0,16,0,8,3,3,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,3,0,0,0,9,0,3,5,14,5,4,3,0,0,35,0,0,3,9,4,3,0,0,0,16,0,0,0,0,4,3,0,0,0,7,0,0,0,4,0,0,0,0,0,5,0,0,3,27,20,28,58,46,11,194,32,70,114,239,148,153,129,70,34,991,485,1232,1177,2341,1453,1456,1139,564,171,10013,0,0,0,0,0,0,0,0,0,0,400,1027,853,1694,1059,961,689,346,166,7196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,3,7,4,0,0,33,0,0,0,0,0,0,0,0,0,0
10104,0,0,0,0,5,5,11,12,3,33,0,0,0,5,4,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,0,0,0,18,0,0,0,0,0,0,6,4,0,10,0,0,0,0,3,0,0,0,0,3,0,7,3,15,18,18,36,8,4,116,0,0,0,12,8,3,0,0,0,23,0,0,0,4,12,19,14,9,3,51,0,0,0,0,0,3,6,0,0,8,0,13,6,45,46,64,114,93,27,406,80,236,236,505,452,590,549,342,112,3112,1505,3962,3102,5580,4472,6225,5918,2920,927,34606,0,0,0,0,0,0,0,0,0,0,1349,3387,2661,4974,3776,5096,3983,2003,1007,28230,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,4,3,24,7,14,10,6,0,66,0,0,3,4,4,3,4,3,0,21
10105,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,3,0,0,0,9,0,0,3,7,0,0,0,0,0,13,0,0,0,0,3,4,0,0,0,7,0,0,0,3,0,0,0,3,0,8,0,9,0,11,7,7,5,3,0,37,0,0,0,16,4,0,0,0,0,21,0,0,0,0,3,3,6,0,0,14,0,0,0,0,3,0,0,0,0,9,3,16,7,59,29,22,32,18,7,191,53,123,155,290,214,208,199,117,28,1397,1087,2264,2153,4130,2476,2437,2073,1051,317,17989,0,0,0,0,3,0,0,0,0,0,908,1886,1625,3266,1998,1982,1535,888,459,14549,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,10,0,0,0,4,3,7,6,0,0,18,0,0,0,3,4,3,5,0,0,14
10106,0,0,0,0,0,0,6,6,0,7,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,9,6,9,3,0,3,48,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,3,0,0,13,0,0,0,0,3,3,0,0,0,10,0,3,7,22,19,24,25,12,0,112,65,132,120,286,199,238,204,105,35,1377,1152,2578,1917,3672,2502,2478,2102,969,304,17678,0,0,0,0,0,0,0,0,0,0,996,2286,1777,3325,2149,1902,1543,865,440,15289,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,3,0,0,9,0,5,0,9,5,7,0,3,0,23,0,0,0,0,0,3,3,0,0,5
10201,0,0,0,0,5,6,3,11,3,32,0,3,0,29,20,12,21,8,0,92,0,6,5,16,0,4,0,0,0,32,6,15,15,41,15,0,0,0,0,94,0,0,0,0,0,6,0,0,0,10,0,0,0,8,18,8,4,3,0,42,9,43,31,85,70,60,41,14,3,357,3,5,3,22,21,12,9,0,0,70,0,4,3,27,22,28,36,23,6,156,0,3,6,32,19,13,4,0,0,79,11,51,58,335,199,204,243,145,49,1298,201,430,482,1108,670,770,638,421,269,4995,4970,10571,9756,18756,11061,10660,9115,4886,2108,81880,0,0,0,0,0,0,0,0,0,0,4320,9037,8125,14700,8594,8521,6842,4237,2328,66711,0,3,3,13,3,0,0,0,0,27,0,0,0,4,5,0,0,3,0,14,0,0,0,8,3,4,3,0,0,21,0,17,19,72,39,29,15,4,3,197,0,0,0,15,22,11,28,6,3,88
10202,0,0,0,0,4,11,5,8,3,32,0,0,0,11,3,0,7,3,0,26,0,0,3,4,0,0,0,0,0,7,0,13,11,17,7,5,0,0,0,51,0,0,0,0,0,3,0,0,0,13,0,0,0,3,0,3,3,7,0,13,0,13,10,56,31,33,26,5,3,182,0,10,0,18,11,0,0,0,0,51,0,0,0,6,25,18,23,19,3,101,0,6,5,23,8,9,6,0,3,65,4,25,31,197,179,147,182,134,31,929,204,461,489,1092,708,715,724,510,264,5161,4915,10706,9630,17522,9990,9398,8136,4831,1753,76884,0,0,3,4,0,3,0,0,0,12,4439,9111,8587,15619,8110,7829,6507,3880,1924,66006,0,0,3,0,3,0,0,0,0,10,0,0,0,0,5,6,0,3,0,14,0,0,0,15,5,0,0,0,0,23,0,3,4,36,17,16,9,3,3,81,0,0,0,15,16,16,17,7,3,67
10301,0,0,0,0,7,3,5,4,0,12,0,4,0,7,11,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,9,5,7,0,0,0,35,0,3,4,24,6,0,0,0,0,44,0,0,0,0,3,3,7,0,0,10,0,0,0,3,3,0,3,0,0,10,4,7,17,45,26,32,40,25,9,199,76,162,296,398,253,244,256,123,61,1870,1484,3215,3514,5773,2962,2820,2302,1028,340,23445,0,0,0,4,0,0,0,0,0,4,1276,2739,2835,4441,2436,2327,1762,942,462,19221,0,3,0,10,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,11,0,3,4,13,10,3,5,0,0,29,0,0,0,0,3,0,0,0,0,3
10302,0,0,0,0,0,3,0,0,0,7,0,5,0,5,0,0,3,0,0,16,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,3,4,6,0,0,22,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,3,0,4,0,8,0,0,0,3,0,0,0,0,0,8,0,8,0,21,13,18,31,12,5,114,116,284,306,534,398,434,437,276,102,2888,1705,3785,3145,5476,3509,3897,3365,1937,636,27462,0,0,0,0,0,0,0,0,0,0,1558,3308,2644,4821,2911,3079,2532,1745,880,23465,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,5,0,6,0,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0
10303,0,0,0,0,3,4,3,8,0,13,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,3,9,4,10,8,4,0,50,0,3,0,17,11,5,0,0,0,37,0,0,0,4,12,0,9,3,0,26,0,0,0,9,0,4,0,0,0,10,0,0,10,35,21,47,53,40,5,200,137,251,243,554,404,421,431,205,50,2682,1500,3018,2594,5126,3268,3251,2973,1403,388,23530,0,0,0,0,0,0,0,0,0,0,1305,2474,1984,4163,2485,2385,2026,1130,504,18451,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,8,3,8,0,3,0,29,0,0,0,0,0,3,3,0,0,11
