SA3_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
10102,4979,413,230,39,21,5680,7112,813,394,28,31,8370,1054,961,1344,11,3,3372,429,146,53,0,0,625,642,243,235,9,9,1134,33,55,10,0,0,101,347,49,41,4,3,444,72,14,6,4,3,100,2580,1464,1688,28,22,5782,80,29,3,0,0,116,334,102,60,8,6,510,15085,2821,2374,100,81,20459
10103,2649,56,34,40,51,2842,2041,47,46,17,36,2183,534,145,178,11,16,879,65,8,17,0,0,94,433,48,51,18,27,577,20,7,9,0,0,39,107,8,24,12,44,188,65,7,0,3,9,78,1223,223,278,40,95,1857,47,0,4,0,12,64,188,23,47,13,45,308,6145,342,414,111,240,7259
10104,11446,952,342,335,77,13147,6731,239,126,49,65,7213,2093,644,544,43,15,3349,430,168,137,5,3,736,1514,195,162,39,21,1935,94,54,56,0,0,207,154,27,17,66,18,278,158,22,16,10,9,208,4436,1117,932,155,68,6707,152,124,38,11,4,329,676,102,79,38,20,916,23444,2530,1516,585,234,28317
10105,4673,210,20,49,24,4977,3996,95,19,24,15,4144,1273,328,217,16,7,1842,424,56,50,0,0,530,672,74,31,14,8,800,45,54,10,0,0,112,109,6,5,28,10,153,83,9,3,0,0,102,2610,532,314,54,29,3537,75,37,3,0,3,123,313,48,12,15,8,397,11671,921,361,138,77,13180
10106,4699,143,61,52,35,4989,4541,57,15,25,30,4671,967,178,149,3,5,1303,174,19,14,0,3,209,839,41,28,9,16,938,31,25,25,0,0,84,204,11,3,13,8,238,146,12,3,3,0,161,2366,294,224,25,25,2932,98,21,10,3,3,133,315,31,17,4,10,379,12015,540,330,102,106,13102
10201,17599,3324,1274,145,51,22390,19330,1240,785,87,35,21478,5815,1968,2248,308,92,10420,654,750,507,3,5,1925,2052,421,349,69,30,2920,68,133,104,0,8,314,246,48,34,35,12,372,185,60,38,9,3,294,9018,3373,3279,425,154,16245,238,757,244,6,5,1250,1090,417,245,31,54,1841,47268,9110,5827,690,297,63202
10202,16792,1774,855,182,51,19648,18485,807,326,30,25,19677,7318,1594,1301,40,48,10304,644,664,352,3,3,1661,2458,297,226,27,19,3021,96,164,94,0,4,350,344,56,35,131,22,585,189,30,29,7,3,254,11046,2809,2032,206,91,16177,198,235,59,3,12,505,1283,287,159,35,77,1843,47797,5913,3429,455,249,57847
10301,5063,282,54,21,34,5458,5201,165,44,9,27,5451,1908,683,370,11,22,2990,372,121,62,0,0,564,759,122,44,3,11,947,39,14,6,0,54,119,104,14,9,0,4,134,75,11,13,3,7,107,3266,964,500,22,99,4853,68,12,3,0,12,99,303,46,29,0,49,419,13904,1468,632,51,222,16280
10302,8163,124,67,68,87,8506,5505,32,18,29,59,5641,1422,193,386,18,13,2033,580,27,87,0,0,699,1554,58,88,21,31,1748,162,23,53,0,4,237,392,7,39,32,18,494,227,12,13,7,4,258,4336,324,667,73,75,5473,140,10,11,3,5,173,664,30,54,19,17,785,18811,518,816,199,235,20578
10303,6357,157,66,219,62,6858,4834,60,17,137,40,5090,1829,383,153,21,8,2390,478,122,56,0,0,664,888,43,39,26,17,1005,28,21,15,0,0,58,143,9,4,29,6,187,124,7,4,9,3,151,3500,579,265,82,34,4468,119,24,0,8,4,151,439,58,16,36,11,569,15247,879,365,481,150,17128
