SA3_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
10102,15085,42461,1581,2975,1238,2501,2821,5480,945,1550,490,820,933,1624,8,24,2374,4027,14,20,32,60,26,73,30,68,100,223,81,181,20459,52371,2633,..,23085,52371
10103,6145,14903,172,314,177,373,342,684,332,645,50,126,27,72,4,3,414,850,19,33,55,100,12,19,25,45,111,205,240,490,7259,17126,2330,..,9586,17126
10104,23444,54696,1585,2476,944,1624,2530,4103,1409,2207,77,119,29,39,11,21,1516,2386,194,313,276,410,57,97,65,127,585,947,234,480,28317,62610,10054,..,38373,62610
10105,11671,29114,796,1279,134,246,921,1518,288,449,71,91,0,0,3,3,361,541,40,58,31,58,27,69,43,84,138,267,77,188,13180,31636,2816,..,15991,31636
10106,12015,31013,524,837,20,26,540,863,331,488,0,0,0,0,0,3,330,493,27,36,17,30,24,43,35,86,102,202,106,242,13102,32809,2087,..,15191,32809
10201,47268,128869,5677,9508,3436,6938,9110,16450,3770,6481,1073,1923,937,1756,45,69,5827,10228,81,118,438,738,8,14,163,395,690,1267,297,560,63202,157375,9608,..,72809,157375
10202,47797,129562,3702,6371,2213,4586,5913,10957,2287,3689,442,778,668,1216,27,49,3429,5734,258,389,112,197,22,58,69,147,455,789,249,436,57847,147485,7611,..,65459,147485
10301,13904,36611,1141,1991,327,583,1468,2574,612,946,19,23,3,13,0,0,632,984,17,44,7,19,8,16,18,38,51,109,222,369,16280,40649,2528,..,18808,40649
10302,18811,45915,496,806,28,35,518,837,795,1065,19,22,0,0,3,10,816,1098,55,88,24,46,24,38,99,215,199,389,235,557,20578,48788,3507,..,24086,48788
10303,15247,37143,777,1218,103,167,879,1384,338,525,27,25,0,0,0,3,365,557,75,99,49,78,15,35,344,828,481,1045,150,344,17128,40466,2850,..,19976,40466
