SA3_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
12401,38,168,135,155,196,202,110,177,15,1194,47,154,98,95,185,232,74,159,176,1227,1240,4646,4249,4229,6156,6152,3344,5308,476,35800
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,55,273,215,245,534,615,316,452,30,2746,88,260,208,229,642,683,260,486,621,3487,2250,6477,5961,6494,14714,14478,6863,10651,1229,69111
12404,13,85,61,71,111,176,73,141,11,751,20,79,56,83,193,180,61,126,148,944,513,1733,1525,1777,3314,3458,1696,2801,369,17181
12405,17,102,72,68,220,230,111,145,16,983,36,105,89,104,378,297,96,145,268,1519,693,2152,2081,2427,6218,5660,2279,3129,593,25241
12501,11,132,166,125,282,245,107,103,14,1205,52,290,394,257,541,532,177,194,736,3172,820,3597,4979,3648,8850,8369,2891,3584,1238,37982
12502,32,127,112,120,210,262,119,161,13,1149,37,155,157,132,280,328,107,151,276,1621,805,3405,3025,2901,6125,7111,2580,3737,522,30209
12503,36,276,253,217,517,441,188,246,44,2213,110,390,347,323,775,716,182,253,1077,4187,1477,5928,5983,5712,13642,12140,4524,5897,1913,57223
12504,46,212,234,169,481,395,185,220,31,1988,68,245,318,223,766,711,185,255,699,3470,1722,5328,6456,5582,16639,17156,5275,6551,1325,66035
12601,24,123,78,81,100,118,53,83,7,659,26,106,81,79,147,209,45,110,177,987,574,2936,2380,2088,4044,5329,2132,3310,351,23135
12602,38,256,301,246,410,422,215,287,20,2208,53,272,248,203,493,656,188,349,586,3041,1863,6743,6769,5892,12649,15290,5971,9133,1159,65463
12701,31,213,194,160,399,396,160,236,25,1820,88,256,172,194,626,529,154,249,659,2930,1208,4101,3950,4250,10311,9725,3529,5660,1286,44017
12702,46,524,421,339,718,600,273,344,38,3303,124,621,515,446,1318,893,244,319,1258,5740,1589,7829,6846,6713,17503,13688,5016,6788,2193,68157
12703,42,184,155,161,413,367,165,217,29,1738,68,225,204,220,593,599,168,218,646,2945,1422,4414,4280,4521,11470,10805,4157,5772,1206,48046
12801,55,242,214,246,371,443,182,335,26,2111,72,225,206,188,334,521,182,350,442,2522,1802,6088,5745,5671,8727,11687,5459,9640,952,55769
12802,46,283,239,261,380,510,226,374,21,2341,53,176,165,171,303,450,146,291,323,2084,1802,6268,6150,5776,9559,11815,5884,8717,693,56671
19797,4,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,6,13,43,4,9,10,22,12,4,7,4,130
19999,3,7,12,16,24,19,11,15,0,109,8,26,16,12,28,33,9,21,85,248,148,298,377,371,584,638,279,475,158,3331
