SA3_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
10102,209,731,234,290,31,1795,213,162,778,464,544,80,2242,31,14,93,43,77,3,267,31,15,111,122,507,25,803,49,15,90,78,321,107,665,2276,1053,5195,3626,7223,709,20083
10103,50,280,81,125,13,611,45,33,205,129,186,26,628,15,16,79,50,188,14,361,4,0,23,24,166,7,228,8,3,17,27,84,49,185,294,172,1329,965,2984,378,6135
10104,257,739,256,284,39,1770,223,170,973,627,1093,118,3197,17,8,65,45,136,8,287,23,3,47,71,581,22,746,19,4,66,65,279,113,544,751,681,3445,2646,8597,920,17046
10105,98,402,182,180,16,983,117,65,432,397,664,70,1732,3,3,23,19,44,5,102,5,4,29,53,347,13,462,6,3,35,36,177,43,299,441,294,1751,1727,4900,501,9623
10106,105,505,156,180,31,1112,81,66,387,289,484,57,1366,4,5,32,19,51,7,125,13,9,41,55,306,10,428,12,5,39,52,161,63,338,711,416,2521,1683,4533,555,10409
10201,453,2572,781,785,131,5572,855,495,3502,1936,2741,353,9884,34,20,185,140,278,32,700,81,39,244,369,1516,78,2329,79,26,296,265,808,285,1765,3357,1634,13043,9366,20945,2193,50535
10202,284,1800,539,707,82,3823,344,263,1897,1651,3036,335,7520,18,5,83,99,278,25,509,22,12,123,272,1594,55,2079,29,11,148,181,862,269,1502,1382,892,7056,7132,21680,2021,40153
10301,188,897,259,330,43,2015,170,121,688,439,642,72,2135,10,7,36,33,68,11,163,13,4,53,66,406,17,556,8,11,42,58,252,69,438,753,530,3211,2033,6382,601,13505
10302,130,797,245,326,43,1660,78,75,479,422,799,102,1948,0,3,14,8,65,9,94,3,3,39,60,499,16,628,3,3,52,46,238,103,443,358,340,2575,1965,7109,935,13272
10303,98,481,162,237,27,1098,58,61,410,344,580,77,1525,5,0,24,20,63,3,125,3,5,37,59,461,18,590,5,4,37,43,193,72,348,357,286,1999,1725,6386,667,11418
