SA3_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10102,991,1343,3020,3331,3761,2134,387,38,9,15020,639,219,611,481,552,1141,1570,849,390,6457,91,115,325,253,277,250,192,99,46,1633,1727,1675,3957,4059,4585,3517,2155,986,441,23112,392,1571,4403,4841,5719,3048,492,48,5,20524,1190,811,1277,1381,1419,1161,448,61,3,7758,57,78,329,248,234,210,53,5,4,1219,59,53,108,106,105,71,12,17,0,527,1692,2514,6111,6579,7481,4489,1008,123,16,30027,69,101,155,149,124,89,17,0,0,705,191,58,89,65,50,71,18,5,0,541,259,164,241,208,172,158,35,5,0,1248,1951,2682,6356,6793,7656,4652,1040,128,13,31271,1443,370,833,703,907,2005,2984,1599,607,11453,195,240,603,557,620,515,397,184,71,3377,3590,3288,7796,8048,9179,7171,4426,1912,693,46101
10103,281,361,774,893,1148,823,260,39,0,4586,206,56,160,154,182,407,710,438,218,2530,30,49,82,78,121,93,86,83,63,686,525,464,1022,1132,1456,1319,1054,555,281,7803,164,483,1117,1193,1534,1076,292,46,8,5931,330,248,406,507,590,573,259,41,6,2963,14,7,69,53,67,86,35,3,4,335,23,28,29,38,44,29,12,8,0,212,535,770,1626,1787,2232,1760,598,111,19,9436,18,33,37,31,37,39,5,0,0,205,22,15,17,18,12,23,4,0,0,120,41,48,56,48,56,62,13,0,0,330,579,818,1679,1843,2281,1825,613,106,19,9761,471,115,280,313,391,751,1390,865,337,4919,77,106,201,173,235,198,187,149,97,1414,1128,1042,2163,2328,2909,2771,2193,1117,449,16097
10104,968,836,1795,2513,3558,3334,659,63,10,13727,697,262,618,722,971,2966,4657,2600,1191,14690,111,94,187,233,332,443,461,354,261,2470,1778,1191,2601,3461,4865,6742,5775,3008,1462,30894,377,878,2056,2669,3828,3043,548,66,12,13468,1119,631,1230,1781,2402,2848,871,97,18,10989,76,56,172,145,226,388,107,20,0,1191,61,63,70,78,97,110,48,22,7,547,1625,1625,3524,4676,6559,6385,1569,200,31,26195,102,161,211,153,195,207,12,3,3,1041,118,69,88,95,115,174,29,3,0,691,222,235,293,249,311,382,40,3,3,1735,1849,1862,3819,4925,6867,6763,1609,205,38,27931,1528,419,913,1148,1759,5310,9184,5050,1961,27255,225,192,374,471,711,893,912,673,390,4852,3603,2466,5101,6542,9338,12972,11696,5929,2389,60033
10105,546,602,1463,1502,1830,1340,330,47,10,7669,395,170,409,390,464,978,1517,966,400,5678,67,54,125,116,161,155,171,164,165,1174,1006,826,1992,2004,2449,2471,2016,1180,571,14524,282,792,1789,2011,2404,1744,407,65,9,9504,607,388,787,826,994,921,386,70,18,4995,35,40,161,84,106,130,32,9,0,603,28,32,55,61,47,39,27,16,3,312,951,1252,2791,2981,3555,2836,854,160,22,15408,56,98,117,103,121,85,7,3,0,591,86,39,68,50,56,55,16,3,0,369,147,137,184,152,179,136,22,4,0,960,1090,1397,2979,3131,3735,2974,875,165,22,16372,863,373,786,742,855,1624,2853,1780,640,10527,140,116,245,245,340,317,351,286,228,2274,2102,1884,4008,4125,4924,4913,4085,2236,892,29165
10106,556,623,1218,1780,2047,1405,413,72,12,8118,501,186,405,355,437,867,1462,872,400,5480,78,60,96,125,170,151,175,150,122,1131,1136,871,1719,2256,2652,2432,2046,1087,536,14734,267,739,1642,2299,2724,1772,514,93,18,10067,611,373,639,972,1050,977,428,93,13,5159,30,37,116,117,146,141,70,15,3,665,40,48,47,65,84,45,27,22,3,380,950,1199,2437,3449,3998,2932,1039,224,41,16274,43,66,80,95,74,58,4,0,0,421,83,37,43,48,42,41,4,0,0,295,125,95,125,139,116,97,12,0,0,718,1078,1297,2563,3589,4114,3031,1055,225,43,16987,1026,271,512,534,722,1533,2760,1564,611,9534,135,115,199,257,321,342,337,268,190,2160,2237,1685,3269,4388,5156,4910,4152,2058,839,28685
10201,2881,3340,6689,7988,9220,6814,1356,104,20,38410,1891,715,1846,2113,2229,4429,8142,5537,2972,29874,190,217,427,481,543,536,588,613,587,4189,4964,4274,8966,10590,11986,11773,10084,6251,3575,72473,881,3355,8970,10292,11584,7805,1155,82,12,44131,3238,2685,3557,4862,5309,4746,1758,201,21,26374,170,159,665,517,464,547,137,14,6,2683,97,139,221,277,257,165,68,31,10,1269,4377,6336,13418,15948,17613,13267,3121,322,45,74452,292,462,540,422,554,394,23,3,4,2696,672,295,277,301,275,288,77,7,0,2195,963,755,816,727,830,687,100,18,4,4889,5347,7092,14232,16678,18444,13951,3220,342,53,79348,4304,1380,2597,2936,3499,7359,14846,9796,4807,51523,426,445,884,990,1107,1125,1133,1004,833,7951,10075,8922,17712,20598,23046,22432,19200,11143,5691,138818
10202,2772,3429,6410,7086,7804,5465,901,62,9,33955,1869,930,2223,2195,2237,4490,7678,5012,2252,28887,209,266,429,468,543,585,684,649,570,4397,4850,4634,9063,9751,10592,10533,9256,5727,2834,67238,1067,3514,8298,8948,9822,6165,794,38,4,38657,2922,2450,3675,4216,4463,3823,1183,107,16,22849,143,230,581,429,429,468,105,0,4,2397,104,182,246,231,234,179,50,20,3,1246,4229,6379,12795,13827,14946,10641,2126,169,24,65144,468,566,600,510,551,405,27,3,0,3127,638,247,311,322,265,249,38,9,0,2081,1109,806,907,835,817,652,70,14,0,5208,5342,7186,13706,14656,15765,11297,2196,186,24,70354,4081,1549,2970,3173,3719,7508,13950,9241,3690,49870,429,521,894,955,1098,1131,1247,1135,866,8271,9858,9255,17565,18777,20583,19932,17392,10552,4585,128494
10301,792,1127,1943,2102,2309,1755,427,46,11,10511,697,374,546,448,521,933,1703,1074,535,6828,141,145,135,145,195,209,194,167,123,1463,1626,1651,2622,2697,3032,2897,2329,1281,664,18805,276,1031,2684,2739,3141,2189,457,60,8,12577,854,845,1068,1128,1101,1071,452,79,12,6615,55,102,183,112,123,160,57,14,0,806,47,54,79,70,72,53,21,13,6,408,1239,2032,4019,4038,4430,3474,983,160,20,20409,77,154,133,126,136,79,4,0,3,718,187,130,69,60,63,58,12,0,0,578,263,279,203,192,199,140,18,0,0,1300,1502,2312,4224,4228,4627,3618,1001,161,27,21705,1561,830,1113,890,964,1705,3219,1868,813,12957,263,322,325,321,403,399,410,278,167,2888,3329,3463,5657,5440,5993,5720,4632,2311,1008,37548
10302,742,892,1862,2123,2556,2013,548,131,23,10887,792,311,709,598,731,1421,2311,1739,915,9519,151,108,223,250,312,307,323,293,176,2147,1686,1311,2792,2969,3600,3743,3180,2162,1108,22553,396,1209,2423,2742,3318,2707,771,166,28,13759,740,497,1076,1194,1364,1336,562,162,25,6962,64,60,184,103,152,211,77,27,3,874,50,51,101,111,104,83,50,32,8,594,1253,1816,3786,4148,4937,4343,1458,382,63,22183,130,167,174,169,168,121,5,3,0,936,106,55,90,68,89,87,12,0,0,511,235,223,264,241,253,204,14,5,0,1445,1493,2042,4053,4389,5193,4548,1473,388,67,23634,1569,508,935,918,1291,2431,4400,3181,1404,16643,289,247,448,490,625,665,675,532,279,4250,3353,2793,5430,5797,7111,7638,6548,4102,1749,44522
10303,558,677,1560,1844,2229,1606,392,70,14,8935,553,271,652,608,686,1285,2094,1294,554,8002,108,114,221,239,296,307,328,203,96,1915,1214,1064,2438,2691,3209,3190,2806,1568,667,18849,305,904,2075,2249,2766,1945,411,82,19,10758,581,411,928,1101,1353,1177,467,90,9,6115,51,40,181,127,134,146,47,7,3,725,32,36,66,69,62,49,28,10,8,365,973,1393,3256,3537,4316,3318,948,191,38,17966,95,139,192,173,189,129,4,0,0,926,66,66,90,75,78,70,15,4,0,460,162,207,287,243,262,200,16,6,0,1386,1136,1598,3537,3780,4581,3521,962,191,35,19346,1236,467,1012,965,1265,2275,4136,2399,877,14642,215,223,479,476,626,647,682,376,138,3863,2585,2288,5027,5232,6477,6448,5779,2968,1051,37851
