SA3_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
10102,108,35,341,121,191,95,42,76,19,1030,4,4,0,3,3,3,0,0,0,20,76,64,27,37,65,11,20,17,19,340,66,57,81,57,92,34,32,59,67,552,3747,5300,3019,2013,3264,925,583,806,413,20083
10103,62,3,138,61,41,29,11,40,3,395,0,0,0,0,0,0,0,0,0,10,27,14,9,16,9,6,6,3,8,98,55,15,30,33,33,20,34,36,32,285,1209,1183,1014,737,688,392,297,503,108,6135
10104,141,28,501,189,115,146,44,171,16,1342,0,0,0,0,0,0,0,3,0,13,36,31,25,23,27,10,13,30,3,212,78,55,112,76,55,84,37,115,64,671,2296,3916,3233,2294,1828,1154,655,1408,253,17046
10105,68,10,199,106,53,56,24,52,4,577,0,0,0,0,0,0,3,7,0,10,19,11,9,13,15,3,18,6,13,104,70,26,44,60,33,35,46,59,45,414,1473,1990,1621,1581,1102,512,555,641,146,9623
10106,68,16,173,68,64,35,33,79,3,542,0,0,0,0,3,0,0,3,0,6,33,29,12,14,23,0,12,13,3,148,58,38,63,43,49,37,38,66,33,420,2239,2408,1592,1119,1258,462,397,776,162,10409
10201,307,94,999,482,331,308,97,241,19,2874,5,6,7,10,7,5,0,5,0,50,82,131,63,60,74,36,51,27,23,550,128,124,208,160,159,119,96,166,204,1359,6686,14943,8367,6041,6501,3090,1527,2619,767,50535
10202,297,82,967,466,300,311,124,259,25,2822,0,3,8,3,7,0,4,13,0,45,50,48,69,57,45,16,60,42,20,405,85,85,224,166,134,153,141,229,167,1385,4439,8528,8125,5853,4902,2758,2005,2880,658,40153
10301,91,20,286,133,68,56,40,88,7,800,0,4,0,0,4,3,3,4,0,19,15,19,16,18,21,7,20,8,13,146,49,25,63,37,31,29,33,80,49,406,1821,3439,2349,1793,1540,742,677,948,191,13505
10302,109,15,222,116,68,71,47,74,5,721,4,0,0,0,4,0,0,0,0,12,24,22,14,17,12,6,19,11,3,122,135,52,91,66,33,68,78,109,66,696,2741,2736,2188,1522,1344,712,829,999,214,13272
10303,52,24,242,120,74,67,70,75,10,731,3,0,4,0,0,7,4,7,0,24,17,12,14,11,12,4,32,15,3,127,51,28,94,42,51,52,82,75,47,521,1535,2124,2448,1324,1255,581,1180,813,167,11418
10304,128,20,325,149,109,95,61,101,5,997,3,0,0,4,0,4,0,9,0,16,35,29,20,21,23,5,15,22,3,161,71,32,73,57,60,60,60,86,53,552,2474,4784,2926,1930,2145,942,836,1054,212,17301
10401,59,16,301,119,63,69,31,75,8,737,0,0,0,4,0,0,0,6,0,14,22,22,13,17,16,11,21,17,3,131,47,30,62,57,40,69,54,98,41,497,1290,2518,1894,1711,1318,751,560,889,169,11091
10402,179,44,570,209,152,144,53,161,15,1528,8,3,3,5,3,0,0,11,0,33,52,46,37,25,32,15,21,18,12,252,66,51,100,80,61,73,48,113,88,687,2880,6208,3709,3001,2854,1462,851,1751,352,23068
10501,28,3,69,36,24,10,29,30,4,236,0,3,0,3,0,0,0,5,0,9,8,15,7,5,9,3,7,3,3,55,50,31,38,29,26,17,39,58,32,321,1102,1071,826,722,485,183,354,401,93,5226
10502,31,9,107,59,20,14,11,29,3,285,0,0,0,3,0,0,3,0,0,4,8,3,4,13,6,3,10,5,0,58,26,19,24,39,22,26,19,38,23,233,559,1078,850,767,492,201,292,281,69,4588
10503,113,31,361,178,99,113,57,119,8,1085,6,3,3,0,3,3,0,6,0,24,32,29,13,27,19,12,12,19,9,174,122,51,93,81,67,62,68,122,94,760,3020,4503,3027,2509,2212,1130,809,1346,266,18829
10601,151,28,542,282,131,145,182,164,11,1631,3,3,3,3,3,4,9,7,0,41,28,31,40,36,21,10,57,12,4,233,78,59,148,68,76,72,123,135,80,832,2611,3947,5265,2621,2523,1235,2428,1595,350,22582
10602,119,26,488,224,128,150,96,139,9,1378,3,5,0,0,6,3,3,9,3,26,23,25,50,23,32,14,39,12,11,226,41,34,103,58,44,39,67,77,70,532,2350,5264,4724,2588,2752,1215,1483,1184,299,21852
