SA2_MAINCODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
101021007,8,0,5,0,15,3,3,0,0,9,9,4,0,0,13,4,0,3,0,12,5,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,13,0,3,0,0,4,76,29,17,4,127
101021008,21,10,8,5,45,20,11,3,0,44,54,26,9,0,84,36,18,4,0,56,27,13,3,4,43,6,8,0,0,14,7,6,5,0,13,0,0,0,0,0,15,14,9,3,42,8,3,0,4,12,255,137,57,20,469
101021009,21,14,3,3,40,37,7,0,0,46,54,21,8,0,82,57,24,3,3,84,29,12,0,0,45,19,6,0,0,22,9,9,3,0,17,3,3,0,0,11,19,12,4,3,38,5,3,0,0,8,312,142,32,13,492
101021010,11,3,0,0,14,15,5,3,0,22,28,17,0,0,45,13,3,3,0,17,8,10,0,0,16,0,0,0,0,3,3,3,0,0,5,0,0,0,0,5,7,6,4,0,18,6,0,0,0,3,111,55,13,0,176
101021011,13,3,0,0,13,9,6,4,0,22,39,12,3,4,60,33,12,6,0,54,29,13,7,0,56,13,3,3,0,22,11,9,0,0,21,4,0,3,0,11,6,18,8,5,37,3,3,0,0,5,207,95,51,14,363
101021012,16,9,3,0,27,19,5,9,0,37,39,19,10,3,72,56,21,5,0,78,40,17,8,0,68,18,12,0,0,24,16,8,0,0,31,5,3,4,3,13,20,15,3,3,44,7,0,0,0,9,253,143,40,14,451
101031013,3,3,4,0,8,9,0,0,0,13,5,4,0,0,12,4,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,48,21,8,5,77
101031014,23,10,5,3,43,21,9,0,0,31,38,15,5,5,70,14,9,3,0,25,13,3,0,0,13,3,5,0,0,6,3,3,0,0,5,0,0,0,0,0,17,8,4,0,35,3,3,3,0,10,194,104,32,15,339
101031015,3,0,0,0,8,8,0,0,0,9,13,3,0,0,17,5,0,0,0,4,4,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,15,8,0,66
101031016,11,8,0,0,17,8,3,0,0,9,29,11,4,0,44,12,6,0,0,22,17,3,0,0,17,7,0,0,0,7,4,3,0,0,6,3,3,0,0,3,16,3,3,0,20,0,0,0,0,4,132,52,10,0,200
101041017,23,16,3,0,44,35,9,6,0,56,52,20,5,9,77,11,4,3,3,22,7,3,3,3,17,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,12,12,3,3,27,11,3,0,0,15,211,104,33,26,377
101041018,26,12,8,4,48,46,5,6,0,61,49,17,10,5,76,16,11,5,0,30,3,0,0,0,7,4,3,0,0,5,4,0,0,0,3,0,0,0,0,0,18,10,3,3,32,7,4,3,0,20,233,97,48,15,397
101041019,27,14,4,5,48,19,7,3,0,33,46,25,5,6,77,13,5,0,0,25,11,0,0,0,8,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,11,3,3,40,3,0,0,0,5,210,101,29,29,362
101041020,22,4,3,0,28,30,9,3,3,40,25,16,3,0,45,16,7,0,0,20,5,3,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,14,3,3,42,3,0,0,0,3,176,91,13,9,297
101041021,9,4,0,0,20,12,7,0,0,24,17,5,4,0,24,6,4,0,0,14,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,4,3,0,12,0,0,0,0,0,74,38,8,3,133
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,24,6,4,5,35,13,4,3,6,23,12,7,0,3,22,5,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,0,19,3,0,0,0,3,82,38,20,16,159
101041024,8,4,3,0,13,13,3,0,0,13,10,4,3,3,21,7,0,3,0,13,3,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,19,0,0,0,0,3,74,40,17,6,131
101041025,17,13,4,0,40,30,11,0,0,43,38,17,7,6,69,27,15,3,0,45,6,5,6,0,15,3,3,0,0,5,3,6,0,0,4,3,0,0,0,3,27,20,3,0,53,9,0,0,0,8,227,127,36,19,403
101041026,25,6,4,0,43,35,13,3,0,53,34,24,3,5,69,14,5,0,0,27,9,0,0,0,15,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,19,11,3,4,38,6,3,0,0,10,197,98,31,18,341
101041027,31,12,4,0,52,31,3,3,3,36,37,8,7,0,52,8,8,3,0,17,9,0,0,0,7,3,3,0,0,6,0,0,0,0,0,3,0,0,0,3,21,17,3,5,40,7,0,0,0,11,207,79,32,18,330
101051539,75,35,27,10,142,85,38,12,6,141,153,55,23,10,239,76,26,5,3,109,38,11,0,5,57,13,3,4,0,22,8,7,3,0,18,4,0,0,0,5,32,41,8,10,87,21,8,4,0,32,685,309,119,58,1171
101051540,17,9,9,6,42,28,13,5,0,40,44,15,11,3,78,20,13,3,0,34,14,3,0,0,17,5,0,0,0,7,0,0,0,0,0,5,3,0,0,7,25,6,3,0,37,3,9,0,0,11,219,108,41,21,384
101061541,13,7,8,0,29,10,7,0,0,19,25,16,3,3,47,24,9,3,3,36,20,6,0,0,28,7,3,3,0,13,3,3,3,0,5,0,0,0,0,0,17,7,4,0,25,5,0,0,0,5,134,76,32,11,258
101061542,15,9,3,0,21,16,7,3,0,21,25,13,7,0,49,23,8,3,0,31,23,5,3,0,30,6,0,0,0,8,12,0,0,0,8,5,0,3,0,13,9,8,4,0,28,4,0,0,0,9,163,82,28,9,286
101061543,31,22,14,5,64,37,13,7,4,64,51,26,10,5,88,19,9,3,4,34,4,5,3,0,13,0,0,0,0,6,7,0,0,0,6,0,0,0,0,0,23,23,10,3,62,5,0,0,0,9,270,147,76,37,533
101061544,20,4,4,3,40,20,4,3,5,31,29,8,4,0,41,8,3,0,0,12,4,3,3,0,14,0,0,0,0,3,0,3,0,0,6,3,0,0,0,3,6,7,7,0,20,9,3,0,3,9,157,62,35,19,273
102011028,12,12,3,0,23,18,12,3,3,28,29,28,9,0,59,26,15,5,0,39,12,11,4,0,26,6,8,0,0,12,7,12,0,0,11,3,0,0,0,7,20,10,11,0,43,0,0,0,0,3,161,120,34,10,319
102011029,20,10,6,3,39,20,10,3,0,36,51,24,7,3,83,26,9,0,0,37,17,4,3,0,28,4,0,0,0,7,3,3,3,0,7,5,3,0,0,6,25,20,5,3,48,6,0,0,0,11,224,109,38,14,390
102011030,6,3,0,9,11,5,0,0,0,9,23,4,0,0,32,9,3,3,0,16,3,0,0,0,8,4,3,0,0,3,3,0,0,0,3,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,81,30,11,13,129
102011031,36,12,3,0,54,31,11,8,0,57,67,27,10,4,115,39,23,4,4,65,24,19,0,0,49,10,7,0,0,20,7,0,3,0,11,4,0,0,0,10,22,29,7,0,59,7,0,0,0,11,304,170,47,6,528
102011032,61,35,6,5,110,86,30,14,3,130,130,55,11,3,200,88,29,8,0,125,40,15,3,0,62,18,3,4,0,26,16,9,3,0,19,8,0,0,0,10,51,37,12,3,104,15,4,0,0,22,663,294,84,23,1056
102011033,17,13,6,0,35,9,10,7,4,33,29,19,7,0,62,15,14,3,0,36,15,8,0,0,26,0,4,3,0,12,3,4,3,0,6,0,0,0,0,0,10,4,9,0,23,0,0,3,0,4,130,96,42,8,276
102011034,10,13,9,0,34,22,8,5,0,34,54,19,4,3,81,22,13,3,3,34,15,8,0,0,23,6,3,0,0,10,3,0,0,0,4,0,3,0,0,4,17,11,0,6,34,4,3,0,0,4,198,112,42,10,359
102011035,13,4,3,0,22,28,11,0,0,39,35,26,5,7,74,24,19,4,0,46,18,11,0,0,23,10,0,0,0,13,8,4,0,3,11,0,0,0,0,0,21,8,6,0,35,3,4,0,0,6,202,105,36,10,354
102011036,16,10,3,0,34,24,9,3,0,42,31,13,7,4,56,25,8,9,0,38,13,12,0,0,27,3,3,0,0,8,4,8,0,0,8,0,0,0,0,3,19,19,6,3,45,0,0,0,0,0,176,100,37,14,328
102011037,20,5,0,0,26,18,4,7,0,30,32,13,3,0,55,29,12,3,4,48,14,3,0,0,22,3,3,0,0,8,3,3,0,0,5,0,0,0,0,0,8,5,7,0,20,3,0,0,0,6,158,73,32,7,266
102011038,15,9,3,0,25,14,9,7,0,23,38,19,7,3,58,26,15,8,0,43,19,3,7,0,23,3,4,0,0,9,3,0,0,0,5,3,0,0,0,3,12,15,9,0,41,0,0,0,0,0,143,92,36,4,280
102011039,19,5,5,4,38,33,13,3,3,58,44,39,8,3,90,50,28,6,3,83,18,24,3,0,49,7,0,0,0,12,11,13,3,4,33,5,3,0,0,6,38,21,10,3,68,3,0,0,0,4,285,176,41,20,526
