SA2_MAINCODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
101021007,0,0,0,7,7,40,3,0,28,48,77,807,796,61,52,182,224,57,143,502,400,1607,1614,3222
101021008,0,0,9,0,11,53,0,0,29,55,83,1485,1488,126,134,253,330,80,271,1293,1166,3236,3388,6623
101021009,4,4,6,12,42,161,6,3,111,199,314,1818,1780,178,176,447,526,127,474,1974,1671,4545,4624,9169
101021010,0,0,0,0,3,36,0,0,14,42,51,861,843,81,52,205,223,27,118,852,712,2025,1955,3981
101021011,0,0,3,4,10,30,3,0,36,44,86,3971,3929,176,156,500,514,93,206,2031,1796,6772,6599,13377
101021012,0,0,0,3,3,34,0,0,26,42,74,2722,2720,93,139,292,420,61,178,1635,1473,4799,4931,9725
101031013,4,0,0,3,12,53,3,0,28,60,89,493,475,43,39,97,99,44,127,338,232,1014,975,1991
101031014,3,0,0,9,25,142,9,3,77,160,241,1287,1226,118,118,224,329,105,373,1095,815,2820,2859,5678
101031015,3,0,0,0,10,20,4,0,27,27,48,766,764,67,32,144,109,42,91,384,325,1399,1325,2724
101031016,0,0,4,0,10,31,0,0,40,34,74,1269,1248,103,68,280,245,55,135,1353,947,3062,2645,5709
101041017,3,0,4,13,50,143,8,0,106,189,291,1519,1510,124,129,368,440,149,445,1000,769,3165,3292,6452
101041018,3,0,8,6,44,141,3,5,141,201,338,1819,1819,119,140,380,489,154,505,929,822,3391,3778,7166
101041019,3,0,3,10,23,113,4,7,84,162,246,1595,1603,119,134,330,410,103,383,1140,1028,3286,3564,6852
101041020,0,0,3,6,17,41,6,0,45,55,100,1847,1838,155,128,434,438,95,234,1174,991,3706,3634,7335
101041021,0,0,0,8,23,67,3,6,59,98,158,726,732,51,55,159,158,48,191,364,299,1351,1444,2789
101041022,0,0,0,0,0,0,3,0,3,0,3,3,6,0,3,3,0,0,0,7,3,15,10,25
101041023,0,0,4,3,20,67,3,0,48,84,133,605,624,48,62,148,165,67,196,442,362,1309,1410,2715
101041024,4,0,0,3,3,20,0,0,18,23,47,681,674,55,55,175,177,32,98,492,385,1433,1391,2824
101041025,3,0,9,15,44,207,12,4,163,277,438,2336,2364,160,178,481,589,161,639,1172,1068,4310,4848,9156
