SA2_MAINCODE_2016,C11_CFNC_BA_1000_1499,C11_CFNC_BA_1500_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000_mr,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Ne_Nil,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_299,C11_CFNC_BNW_300_399,C11_CFNC_BNW_400_499,C11_CFNC_BNW_500_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_999,C11_CFNC_BNW_1000_1499,C11_CFNC_BNW_1500_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000mr,C11_CFNC_BNW_Ns,C11_CFNC_BNW_T,C11_CFNC_LFns_N,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_299,C11_CFNC_LFns_300_399,C11_CFNC_LFns_400_499,C11_CFNC_LFns_500_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_999,C11_CFNC_LFns_1000_1499,C11_CFNC_LFns_1500_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000m,C11_CFNC_LFns_Ns,C11_CFNC_LFns_T,C11_CFNC_T_N,C11_CFNC_T_1_149,C11_CFNC_T_150_299,C11_CFNC_T_300_399,C11_CFNC_T_400_499,C11_CFNC_T_500_649,C11_CFNC_T_650_799,C11_CFNC_T_800_999,C11_CFNC_T_1000_1499,C11_CFNC_T_1500_1999,C11_CFNC_T_2000_2499,C11_CFNC_T_2500_2999,C11_CFNC_T_3000_3999,C11_CFNC_T_4000m,C11_CFNC_T_Ns,C11_CFNC_T_T,C11_CFC_BFT_N,C11_CFC_BFT_1_149,C11_CFC_BFT_150_299,C11_CFC_BFT_300_399,C11_CFC_BFT_400_499,C11_CFC_BFT_500_649,C11_CFC_BFT_650_799,C11_CFC_BFT_800_999,C11_CFC_BFT_1000_1499,C11_CFC_BFT_1500_1999,C11_CFC_BFT_2000_2499,C11_CFC_BFT_2500_2999,C11_CFC_BFT_3000_3999,C11_CFC_BFT_4000_mr,C11_CFC_BFT_Ns,C11_CFC_BFT_Tot,C11_CFC_BPT_N,C11_CFC_BPT_1_149,C11_CFC_BPT_150_299,C11_CFC_BPT_300_399,C11_CFC_BPT_400_499,C11_CFC_BPT_500_649,C11_CFC_BPT_650_799,C11_CFC_BPT_800_999,C11_CFC_BPT_1000_1499,C11_CFC_BPT_1500_1999,C11_CFC_BPT_2000_2499,C11_CFC_BPT_2500_2999,C11_CFC_BPT_3000_3999,C11_CFC_BPT_4000m,C11_CFC_BPT_Ns,C11_CFC_BPT_T,C11_CFC_1F1P_N,C11_CFC_1F1P_1_149,C11_CFC_1F1P_150_299,C11_CFC_1F1P_300_399,C11_CFC_1F1P_400_499,C11_CFC_1F1P_500_649,C11_CFC_1F1P_650_799,C11_CFC_1F1P_800_999,C11_CFC_1F1P_1000_1499,C11_CFC_1F1P_1500_1999,C11_CFC_1F1P_2000_2499,C11_CFC_1F1P_2500_2999,C11_CFC_1F1P_3000_3999,C11_CFC_1F1P_4000m,C11_CFC_1F1P_Ns,C11_CFC_1F1P_Tot,C11_CF_1E1A_N,C11_CF_1E1A_1_149,C11_CF_1E1A_150_299,C11_CF_1E1A_300_399,C11_CF_1E1A_400_499,C11_CF_1E1A_500_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_999,C11_CF_1E1A_1000_1499,C11_CF_1E1A_1500_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000m,C11_CF_1E1A_Ns,C11_CF_1E1A_T,C11_CF_1F1NW_N,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_299,C11_CF_1F1NW_300_399,C11_CF_1F1NW_400_499,C11_CF_1F1NW_500_649,C11_CF_1F1NW_650_799,C11_CF_1F1NW_800_999,C11_CF_1F1NW_1000_1499,C11_CF_1F1NW_1500_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000mo,C11_CF_1F1NW_Ns,C11_CF_1F1NW_T,C11_CF_1P1NW_N,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_299,C11_CF_1P1NW_300_399,C11_CF_1P1NW_400_499,C11_CF_1P1NW_500_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_999,C11_CF_1P1NW_1000_1499,C11_CF_1P1NW_1500_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000_mr,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_N,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_299,C11_CF_1A1NW_300_399,C11_CF_1A1NW_400_499,C11_CF_1A1NW_500_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_999,C11_CF_1A1NW_1000_1499,C11_CF_1A1NW_1500_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000m,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_N,C11_CF_BA_1_149,C11_CF_BA_150_299,C11_CF_BA_300_399,C11_CF_BA_400_499,C11_CF_BA_500_649,C11_CF_BA_650_799,C11_CF_BA_800_999,C11_CF_BA_1000_1499,C11_CF_BA_1500_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000_more,C11_CF_BA_Ns,C11_CF_BA_Tot,C11_CF_BNW_N,C11_CF_BNW_1_149,C11_CF_BNW_150_299,C11_CF_BNW_300_399,C11_CF_BNW_400_499,C11_CF_BNW_500_649,C11_CF_BNW_650_799,C11_CF_BNW_800_999,C11_CF_BNW_1000_1499,C11_CF_BNW_1500_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000_more,C11_CF_BNW_Ns,C11_CF_BNW_Tot
101021007,0,0,0,0,0,0,0,0,5,0,0,3,3,53,19,21,15,3,3,0,0,0,3,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,5,0,13,6,4,67,39,52,77,49,33,23,23,13,39,442,0,0,0,0,0,0,3,3,6,6,13,10,11,4,9,68,0,0,0,0,0,0,0,3,3,4,0,0,0,0,3,20,0,0,3,0,0,0,3,5,19,29,24,9,9,0,9,109,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,14,0,0,0,0,0,0,9,6,12,11,3,3,5,0,3,53,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,3,3,0,0,0,0,0,3,21
101021008,0,0,3,0,4,0,0,7,8,0,9,3,0,65,34,26,23,0,4,0,0,0,6,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41,11,0,10,6,5,73,57,55,100,104,112,51,67,25,51,735,0,0,0,0,0,0,0,3,12,38,84,52,91,46,32,363,0,0,0,0,0,0,0,3,10,3,5,0,3,0,0,27,0,0,0,0,0,0,0,3,38,48,74,44,55,17,16,295,0,0,0,0,0,0,0,0,4,11,15,6,23,3,3,75,0,0,0,0,0,3,3,7,38,44,15,35,5,3,6,166,0,0,0,0,0,0,4,3,7,4,3,7,0,0,0,28,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,3,3,7,0,3,3,23,0,0,0,0,3,3,8,3,19,8,3,3,5,0,5,55
101021009,0,0,3,0,3,3,0,6,3,3,15,3,3,90,45,35,20,15,3,3,3,0,5,248,0,0,0,0,0,3,0,0,0,0,0,0,0,0,49,57,6,3,16,4,8,105,60,83,145,164,136,72,94,31,68,1009,0,0,0,0,0,0,0,0,18,29,54,37,59,31,20,262,0,0,0,0,0,0,4,0,15,4,9,0,3,3,0,37,0,0,0,0,0,4,5,3,35,45,69,25,41,5,11,232,0,0,0,0,0,0,0,0,0,10,16,16,14,5,3,65,0,0,0,0,3,0,11,10,45,37,17,13,3,4,17,161,0,0,0,0,3,0,3,3,6,11,8,0,0,0,3,36,0,0,0,0,0,0,0,6,3,4,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,11,0,0,3,0,0,3,9,8,22,13,10,0,0,0,6,72
101021010,0,0,0,0,0,0,0,3,0,0,0,0,4,26,4,13,12,10,3,3,0,0,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,3,0,0,0,7,36,20,30,71,75,77,45,67,27,45,511,0,0,0,0,0,0,0,0,5,14,22,16,30,22,8,116,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,15,0,0,0,0,0,0,0,0,19,24,14,12,24,9,4,126,0,0,0,0,0,0,0,0,7,3,9,4,12,3,0,33,0,0,0,0,0,0,3,5,20,17,3,15,3,4,4,80,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,3,4,0,4,0,0,0,0,0,0,17
101021011,0,0,3,0,3,0,0,11,6,0,14,0,4,45,37,50,58,36,17,7,8,4,11,293,0,0,0,0,0,4,0,0,0,0,0,0,0,0,93,95,6,0,13,3,13,71,71,109,188,181,193,145,227,167,120,1504,3,0,0,0,0,4,3,10,15,35,86,70,167,179,74,639,0,0,0,0,0,0,0,0,3,12,11,8,13,4,8,69,0,0,0,0,0,3,5,4,61,90,115,80,155,74,46,632,0,0,0,0,0,0,0,3,6,11,17,9,41,20,13,125,0,0,3,0,0,0,5,12,58,55,21,53,26,20,31,293,0,0,0,0,0,0,3,0,5,4,3,9,4,10,7,40,0,0,0,0,0,0,0,0,0,8,0,3,0,4,3,22,0,0,0,0,0,0,0,0,4,4,5,4,7,9,0,32,4,0,0,3,0,0,4,3,14,11,3,10,6,4,10,69
101021012,0,6,0,3,3,3,0,12,0,0,0,0,0,57,26,25,35,9,0,3,0,0,7,164,0,0,0,0,0,0,0,0,0,3,0,0,0,0,57,66,4,0,0,0,4,61,42,41,88,114,146,135,190,116,74,1028,3,0,0,0,0,0,4,0,19,27,70,89,191,229,41,670,0,0,0,0,0,3,0,0,11,8,9,5,13,0,0,48,0,0,0,0,0,0,4,4,37,76,107,89,188,83,27,627,0,0,0,0,0,0,0,0,4,22,26,13,46,25,5,145,0,0,0,0,0,0,4,7,39,49,22,66,31,17,12,246,0,0,0,0,0,3,0,0,5,7,3,5,0,5,3,42,0,0,0,0,0,0,0,0,3,6,0,3,3,0,4,22,0,0,0,0,0,0,0,0,3,0,4,7,6,6,3,21,0,0,0,0,0,4,5,0,9,8,0,3,0,3,3,41
101031013,0,0,0,0,0,0,0,0,0,0,6,3,0,44,10,18,5,0,0,0,0,0,10,103,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,25,5,3,11,3,3,56,39,40,41,36,28,12,4,0,42,322,0,0,0,0,0,0,0,4,8,15,11,7,3,0,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,7,23,22,15,3,0,0,6,81,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,11,0,0,0,0,0,0,7,9,13,11,0,0,0,0,3,52,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11
101031014,0,0,0,0,0,0,0,3,3,0,12,0,0,97,36,38,28,3,8,0,0,4,3,250,0,0,0,0,0,4,3,0,0,0,0,0,0,0,40,47,3,0,16,5,16,128,69,100,139,94,67,36,26,15,54,764,0,0,0,0,0,0,0,3,14,31,37,17,15,4,20,152,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,19,0,0,0,0,0,0,0,14,39,34,35,17,22,0,29,200,0,0,0,0,0,0,0,0,4,8,6,3,7,3,0,36,0,0,0,0,0,3,6,9,31,17,3,12,0,0,8,103,0,0,0,0,0,0,4,4,11,0,3,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,13,10,3,6,4,0,0,0,0,9,47
101031015,0,0,0,0,0,0,0,9,0,0,3,4,0,51,30,15,12,13,3,3,0,0,4,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,3,0,14,5,3,72,43,62,65,61,44,20,16,8,39,456,0,0,0,0,0,0,0,3,8,13,10,14,10,3,15,74,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,14,0,0,3,0,0,0,6,3,19,24,17,5,16,0,3,94,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,14,0,0,0,0,0,0,3,11,18,12,5,5,4,0,3,65,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,5,0,0,0,3,0,3,3,0,0,0,0,0,0,20
101031016,0,0,0,0,0,0,0,3,8,3,8,5,0,38,21,25,13,7,3,3,3,0,4,137,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,31,10,6,10,9,8,55,52,57,114,94,57,25,38,4,46,576,0,0,0,0,0,0,8,6,28,25,42,16,31,12,31,213,0,0,0,0,0,0,0,4,10,5,3,3,0,4,0,30,3,0,0,3,0,0,0,9,57,36,41,22,13,5,13,197,0,0,0,0,0,0,0,0,4,10,6,3,3,0,3,33,0,0,0,6,0,4,5,8,24,18,10,18,0,0,7,87,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,3,0,0,3,3,3,6,0,0,0,0,0,3,23
