SA2_MAINCODE_2016,C06_C_Tot_0_14,C06_C_Tot_15_24,C06_C_Tot_25_34,C06_C_Tot_35_44,C06_C_Tot_45_54,C06_C_Tot_55_64,C06_C_Tot_65_74,C06_C_Tot_75_84,C06_C_Tot_85ov,C06_C_T_T,C06_Hinduism_0_14,C06_Hinduism_15_24,C06_Hinduism_25_34,C06_Hinduism_35_44,C06_Hinduism_45_54,C06_Hinduism_55_64,C06_Hinduism_65_74,C06_Hinduism_75_84,C06_Hinduism_85ov,C06_Hinduism_Tot,C06_Islam_0_14,C06_Islam_15_24,C06_Islam_25_34,C06_Islam_35_44,C06_Islam_45_54,C06_Islam_55_64,C06_Islam_65_74,C06_Islam_75_84,C06_Islam_85ov,C06_Islam_Tot,C06_Judaism_0_14,C06_Judaism_15_24,C06_Judaism_25_34,C06_Judaism_35_44,C06_Judaism_45_54,C06_Judaism_55_64,C06_Judaism_65_74,C06_Judaism_75_84,C06_Judaism_85ov,C06_Judaism_Tot,C06_OR_Au_Ab_Tr_R_0_14,C06_OR_Au_Ab_Tr_R_15_24,C06_OR_Au_Ab_Tr_R_25_34,C06_OR_Au_Ab_Tr_R_35_44,C06_OR_Au_Ab_Tr_R_45_54,C06_OR_Au_Ab_Tr_R_55_64,C06_OR_Au_Ab_Tr_R_65_74,C06_OR_Au_Ab_Tr_R_75_84,C06_OR_A_Ab_Tr_Re_85oe,C06_OR_Au_Ab_Tr_Re_Tot,C06_OR_Sikhism_0_14,C06_OR_Sikhism_15_24,C06_OR_Sikhism_25_34,C06_OR_Sikhism_35_44,C06_OR_Sikhism_45_54,C06_OR_Sikhism_55_64,C06_OR_Sikhism_65_74,C06_OR_Sikhism_75_84,C06_OR_Sikhism_85oe,C06_OR_Sikhism_Tot,C06_OR_OR_0_14,C06_OR_OR_15_24,C06_OR_OR_25_34,C06_OR_OR_35_44,C06_OR_OR_45_54,C06_OR_OR_55_64,C06_OR_OR_65_74,C06_OR_OR_75_84,C06_OR_OR_85oe,C06_OR_OR_Tot,C06_OR_Tot_0_14,C06_OR_Tot_15_24,C06_OR_Tot_25_34,C06_OR_Tot_35_44,C06_OR_Tot_45_54,C06_OR_Tot_55_64,C06_OR_Tot_65_74,C06_OR_Tot_75_84,C06_OR_Tot_85ov,C06_OR_T_T,C06_SBOSB_No_RA_0_14,C06_SBOSB_No_RA_15_24,C06_SBOSB_No_RA_25_34,C06_SBOSB_No_RA_35_44,C06_SBOSB_No_RA_45_54,C06_SBOSB_No_RA_55_64,C06_SBOSB_No_RA_65_74,C06_SBOSB_No_RA_75_84,C06_SBOSB_No_RA_85ov,C06_SBOSB_No_RA_Tot,C06_Rel_aff_ns_0_14,C06_Rel_aff_ns_15_24,C06_Rel_aff_ns_25_34,C06_Rel_aff_ns_35_44,C06_Rel_aff_ns_45_54,C06_Rel_aff_ns_55_64,C06_Rel_aff_ns_65_74,C06_Rel_aff_ns_75_84,C06_Rel_aff_ns_85ov,C06_Rel_aff_NS_T,C06_Tot_0_14_yrs,C06_Tot_15_24_yrs,C06_Tot_25_34_yrs,C06_Tot_35_44_yrs,C06_Tot_45_54_yrs,C06_Tot_55_64_yrs,C06_Tot_65_74_yrs,C06_Tot_75_84_yrs,C06_Tot_85o,C06_T_T,C11_Buddhism_0_14_yrs,C11_Buddhism_15_24,C11_Buddhism_25_34,C11_Buddhism_35_44,C11_Buddhism_45_54,C11_Buddhism_55_64,C11_Buddhism_65_74,C11_Buddhism_75_84,C11_Buddhism_85ov,C11_Buddhism_Tot,C11_Christ_Angl_0_14,C11_Christ_Angl_15_24,C11_Christ_Angl_25_34,C11_Christ_Angl_35_44,C11_Christ_Angl_45_54,C11_Christ_Angl_55_64,C11_Christ_Angl_65_74,C11_Christ_Angl_75_84,C11_Christ_Angl_85ov,C11_Christ_Angl_Tot,C11_C_Assyr_Apo_0_14,C11_C_Assyr_Apo_15_24,C11_C_Assyr_Apo_25_34,C11_C_Assyr_Apo_35_44,C11_C_Assyr_Apo_45_54,C11_C_Assyr_Apo_55_64,C11_C_Assyr_Apo_65_74,C11_C_Assyr_Apo_75_84,C11_C_Assyr_Apo_85ov,C11_C_Assyr_Apo_Tot,C11_C_Baptist_0_14,C11_C_Baptist_15_24,C11_C_Baptist_25_34,C11_C_Baptist_35_44,C11_C_Baptist_45_54,C11_C_Baptist_55_64,C11_C_Baptist_65_74,C11_C_Baptist_75_84,C11_C_Baptist_85ov,C11_C_Baptist_Tot,C11_Christ_Breth_0_14,C11_Christ_Breth_15_24,C11_Christ_Breth_25_34,C11_Christ_Breth_35_44,C11_Christ_Breth_45_54,C11_Christ_Breth_55_64,C11_Christ_Breth_65_74,C11_Christ_Breth_75_84,C11_Christ_Breth_85ov,C11_Christ_Breth_To,C11_Ch_Catholic_0_14,C11_Ch_Catholic_15_24,C11_Ch_Catholic_25_34,C11_Ch_Catholic_35_44,C11_Ch_Catholic_45_54,C11_Ch_Catholic_55_64,C11_Ch_Catholic_65_74,C11_Ch_Catholic_75_84,C11_Ch_Catholic_85ov,C11_C_Catholic_Tot,C11_C_Chur_Christ_0_14,C11_C_Chur_Christ_15_24,C11_C_Chur_Christ_25_34,C11_C_Chur_Christ_35_44,C11_C_Chur_Christ_45_54,C11_C_Chur_Christ_55_64,C11_C_Chur_Christ_65_74,C11_C_Chur_Christ_75_84,C11_C_Chur_Christ_85ov,C11_C_Chur_Christ_Tot,C11_C_East_Ortho_0_14,C11_C_East_Ortho_15_24,C11_C_East_Ortho_25_34,C11_C_East_Ortho_35_44,C11_C_East_Ortho_45_54,C11_C_East_Ortho_55_64,C11_C_East_Ortho_65_74,C11_C_East_Ortho_75_84,C11_C_East_Ortho_85ov,C11_C_East_Ortho_To,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot
101021007,256,108,125,192,229,277,198,103,37,1528,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,13,97,42,42,82,93,91,37,13,3,503,47,17,25,37,48,43,31,15,12,268,411,162,194,321,386,422,265,129,51,2342,0,0,0,4,5,10,3,0,0,30,124,51,62,110,140,131,118,72,15,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,156,75,50,128,123,118,108,32,20,813,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,0,0,0,0,18,0,0,0,3,3,4,0,0,0,11
101021008,1490,1062,919,1100,1060,784,417,230,39,7117,7,4,8,0,4,3,0,0,0,29,10,3,6,5,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,3,0,0,0,0,27,4,4,4,9,3,0,0,0,0,27,284,185,215,175,143,57,21,6,3,1087,230,130,135,131,123,92,40,20,0,891,2044,1392,1311,1440,1340,941,479,259,48,9245,8,5,7,18,8,8,3,0,0,67,318,222,226,259,324,241,135,65,21,1816,0,0,0,0,0,0,0,0,0,0,12,12,9,7,4,14,3,0,0,60,15,4,4,3,3,0,0,0,0,26,626,386,372,401,396,320,206,86,22,2813,0,3,0,0,0,4,0,0,0,6,93,73,82,86,90,74,40,17,0,561,7,3,5,3,6,7,0,0,0,24
101021009,869,817,832,871,859,750,554,474,150,6185,4,0,9,5,3,3,0,0,0,22,25,10,27,21,4,5,0,0,0,95,3,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,10,4,11,16,9,6,4,0,0,0,48,5,13,15,17,6,4,0,0,0,60,296,227,335,253,171,88,28,21,10,1434,241,171,183,166,150,103,94,79,64,1240,1459,1243,1427,1346,1211,963,680,580,222,9127,20,5,27,40,25,8,4,3,0,132,255,221,241,251,292,261,164,141,76,1891,0,0,0,0,0,0,0,0,0,0,17,15,25,16,17,13,5,3,5,108,3,3,3,0,0,4,0,0,3,22,447,352,423,381,361,317,236,221,94,2834,0,0,0,0,0,0,0,0,0,3,59,29,78,73,67,87,94,72,19,576,0,0,3,5,0,0,0,0,0,10
101021010,432,428,371,391,420,305,161,110,26,2651,5,0,14,8,0,0,0,0,0,24,10,0,22,9,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,13,0,4,3,3,0,3,0,0,0,17,3,4,14,3,0,3,0,0,0,30,107,132,138,97,99,65,17,10,0,668,80,76,92,79,86,80,39,20,7,549,647,649,660,591,617,459,216,137,34,4002,18,12,12,12,8,5,0,0,0,69,105,101,107,119,150,114,47,34,15,791,0,0,0,0,0,0,0,0,0,0,7,5,7,0,15,6,5,0,0,45,18,11,5,5,5,3,0,3,0,52,221,200,229,201,202,119,80,51,15,1314,3,3,0,3,0,0,0,0,0,6,29,17,11,31,21,23,7,0,3,137,0,0,0,4,0,0,0,0,0,4
101021011,1773,983,674,1420,1489,1110,451,181,34,8118,0,0,0,3,0,0,0,0,0,10,3,0,3,0,0,0,0,0,0,10,3,0,0,3,4,0,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,4,13,10,10,13,23,3,0,0,0,67,13,10,11,13,23,5,0,0,0,68,679,352,266,491,543,390,103,30,0,2859,362,178,148,244,257,204,66,17,3,1481,2844,1520,1116,2194,2336,1723,633,237,45,12650,6,9,14,21,24,21,5,7,0,102,595,302,214,507,621,552,249,93,37,3167,0,0,0,0,0,0,0,0,0,0,43,19,23,18,33,24,11,3,0,176,0,0,0,0,0,0,0,0,0,0,980,555,362,627,659,462,221,54,3,3931,11,0,0,4,7,3,0,0,0,20,39,28,8,33,26,16,10,3,0,159,3,3,8,0,3,0,0,0,0,20
101021012,2329,1014,1188,1892,1169,612,301,118,24,8650,3,3,3,6,4,0,0,0,0,26,14,6,14,4,4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,19,5,4,5,3,11,0,0,0,0,35,13,7,12,3,17,0,3,0,0,50,578,211,307,369,229,78,32,6,3,1817,320,136,127,209,140,61,23,12,0,1031,3263,1388,1673,2504,1582,761,364,140,28,11701,12,11,24,23,15,18,3,3,0,106,586,292,269,530,480,253,124,45,9,2582,0,0,0,0,0,0,0,0,0,0,36,7,15,28,25,15,3,4,0,136,21,14,8,12,4,0,6,0,0,50,1212,636,475,785,632,323,144,74,11,4292,0,0,0,0,0,3,0,0,0,4,127,77,62,118,75,50,19,0,7,527,9,3,3,7,8,7,3,0,0,49
101031013,362,156,177,268,289,306,190,134,67,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,12,0,0,0,0,3,4,3,0,0,12,76,50,26,45,52,28,12,10,0,304,64,33,20,28,56,37,20,19,6,271,499,242,222,343,406,370,222,161,73,2538,0,0,3,5,3,3,0,0,0,8,130,63,71,90,136,177,91,66,44,866,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,113,56,54,70,101,95,76,34,15,613,0,0,0,0,0,0,0,0,0,0,5,0,4,3,5,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0
101031014,914,526,483,629,684,650,494,386,147,4907,0,0,0,0,0,0,0,0,0,6,3,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,3,3,0,0,0,0,23,7,7,5,3,6,0,0,0,0,23,237,158,106,132,124,81,44,34,7,924,192,108,108,139,100,82,49,39,16,821,1383,813,708,926,934,817,586,457,168,6789,13,6,6,17,10,9,0,0,0,59,265,176,137,193,250,222,184,148,69,1650,0,0,0,0,0,0,0,0,0,3,39,19,16,21,33,19,12,10,0,158,0,0,0,0,0,0,0,0,0,0,376,232,193,245,295,272,224,139,79,2050,0,0,0,0,0,3,0,0,0,3,15,7,7,8,12,5,3,8,3,66,7,0,3,12,7,7,9,4,4,52
101031015,402,159,140,289,353,345,232,107,22,2045,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,6,0,0,0,0,9,95,52,45,61,73,73,31,9,0,428,55,24,6,43,33,39,24,10,0,245,555,233,197,390,467,462,296,128,30,2757,0,0,3,0,3,0,3,0,0,12,130,70,49,117,160,163,135,51,9,886,0,0,0,0,0,0,0,0,0,0,17,8,0,17,14,6,0,0,0,60,0,0,0,0,0,0,0,0,0,0,177,97,52,124,159,112,111,53,13,895,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,12,8,0,0,6,7,3,0,3,0,32
101031016,669,397,413,617,596,465,252,117,29,3540,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,12,4,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,15,3,3,8,0,3,0,0,0,0,16,266,155,211,202,167,101,35,11,0,1147,316,225,291,267,259,144,79,30,18,1628,1265,786,931,1096,1048,709,374,153,39,6406,6,13,17,13,8,14,3,0,0,68,239,122,115,193,259,199,139,80,18,1373,0,0,0,0,0,0,0,0,0,0,13,12,10,13,10,4,3,0,0,61,0,0,0,0,0,0,0,0,0,0,299,207,156,216,234,166,93,54,20,1453,0,0,0,0,0,0,0,0,0,0,5,4,0,4,12,4,3,0,0,37,0,3,0,3,0,0,0,0,0,15
