SA2_MAINCODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
101021007,0,0,0,0,0,0,0,0,0,3,4,8,13,20,15,9,13,12,7,0,0,0,18,127,12,5,13,7,54,44,87,66,157,113,108,65,66,56,138,994
101021008,0,0,0,0,0,0,3,6,3,3,14,26,21,32,45,44,84,56,43,14,13,0,50,469,16,6,19,31,57,51,129,102,286,280,303,225,285,186,223,2193
101021009,0,0,0,0,0,0,3,0,7,4,3,14,23,32,40,46,82,84,45,22,17,11,51,492,22,10,13,18,57,62,161,155,391,369,344,255,268,160,239,2520
101021010,0,0,0,0,0,0,0,4,0,0,5,6,5,14,14,22,45,17,16,3,5,5,21,176,3,3,11,8,14,31,50,68,199,136,172,103,136,126,122,1186
101021011,0,0,0,0,0,0,0,0,10,0,8,13,16,24,13,22,60,54,56,22,21,11,45,363,32,10,22,19,53,53,99,117,410,472,562,504,839,867,529,4576
101021012,0,0,0,0,0,0,3,3,5,0,5,7,11,13,27,37,72,78,68,24,31,13,49,451,14,7,15,8,36,31,83,94,263,331,414,385,647,729,384,3441
101031013,0,0,0,0,0,0,0,0,0,0,3,3,7,9,8,13,12,5,3,0,3,0,12,77,7,3,8,5,24,18,54,36,123,78,64,45,32,11,70,598
101031014,0,0,0,0,0,0,3,10,3,3,17,16,26,30,43,31,70,25,13,6,5,0,45,339,8,6,21,19,67,56,183,114,298,234,187,105,92,62,219,1677
101031015,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,9,17,4,4,3,0,0,3,66,3,8,4,5,35,24,80,59,162,114,95,66,71,55,102,890
101031016,0,0,0,0,0,0,0,0,3,3,6,10,5,24,17,9,44,22,17,7,6,3,21,200,9,8,12,14,23,42,100,78,269,231,243,137,133,74,212,1594
101041017,0,0,0,0,0,0,0,0,3,3,11,15,28,49,44,56,77,22,17,3,3,0,41,377,27,12,21,17,96,94,284,190,460,225,155,84,55,43,227,1997
101041018,0,0,0,0,0,0,5,3,3,0,11,16,25,56,48,61,76,30,7,5,3,0,54,397,18,13,33,26,94,100,305,196,564,267,202,104,82,45,241,2290
101041019,0,0,0,0,0,0,4,5,7,4,14,14,29,43,48,33,77,25,8,8,0,0,45,362,15,9,21,19,75,75,215,184,458,269,241,127,112,73,269,2172
101041020,0,0,0,0,0,0,0,3,0,4,14,12,27,35,28,40,45,20,7,3,0,0,47,297,20,36,33,21,134,120,266,190,514,274,232,114,98,47,345,2439
101041021,0,0,0,0,0,0,0,0,0,0,0,6,5,11,20,24,24,14,3,4,0,0,17,133,7,3,7,3,26,26,98,73,176,112,88,53,47,33,108,863
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101041023,0,0,0,0,0,0,0,3,0,0,5,9,14,10,35,23,22,11,0,0,0,0,23,159,10,4,16,13,48,22,103,76,165,83,87,42,21,5,112,805
101041024,0,0,0,0,0,0,0,0,0,0,6,4,10,16,13,13,21,13,6,0,0,0,22,131,10,7,18,11,38,42,88,92,197,119,80,48,32,19,125,925
101041025,0,0,0,0,0,0,8,8,0,5,3,17,38,50,40,43,69,45,15,5,4,3,65,403,20,12,21,21,134,106,344,256,644,368,276,152,137,85,314,2887
101041026,0,0,0,0,0,0,3,5,3,0,11,14,28,31,43,53,69,27,15,3,3,0,50,341,5,15,23,24,104,83,322,229,498,271,195,91,79,46,256,2233
101041027,0,0,0,0,0,0,3,3,4,3,13,20,29,29,52,36,52,17,7,6,0,3,50,330,31,18,17,32,122,97,368,234,582,248,176,102,71,46,282,2418
101051539,0,0,0,0,0,0,10,18,11,9,36,45,89,122,142,141,239,109,57,22,18,5,122,1171,42,37,43,63,205,180,493,428,1050,731,693,447,401,229,631,5662
101051540,0,0,0,0,0,0,6,4,5,8,11,14,19,46,42,40,78,34,17,7,0,7,48,384,36,24,31,34,125,120,320,247,544,430,377,262,245,169,431,3390
101061541,0,0,0,0,0,0,0,0,0,4,7,6,3,27,29,19,47,36,28,13,5,0,34,258,7,12,8,16,23,43,113,102,255,223,250,167,164,112,181,1673
101061542,0,0,0,0,0,0,0,7,10,0,6,10,20,19,21,21,49,31,30,8,8,13,37,286,20,9,14,12,60,57,120,127,419,325,362,294,445,561,362,3190
101061543,0,0,0,0,0,0,4,15,9,0,14,42,50,69,64,64,88,34,13,6,6,0,71,533,24,11,29,49,139,124,299,215,542,366,234,139,104,61,301,2640
101061544,0,0,0,0,0,0,5,10,4,6,9,15,19,37,40,31,41,12,14,3,6,3,31,273,27,16,19,20,81,75,253,151,341,257,174,89,95,85,270,1951
