SA2_MAINCODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
101021007,0,0,4,0,0,0,3,6,3,4,0,0,0,0,3,22,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,3,10,0,0,0,3,4,5,6,7,0,0,0,4,39,20,3,13,20,23,54,68,74,30,26,25,25,382
101021008,0,0,9,0,0,0,0,4,0,11,12,6,3,0,3,48,0,0,0,0,3,4,5,11,0,0,0,0,28,4,0,0,3,0,10,10,15,3,4,3,0,49,5,6,0,3,12,15,26,42,11,12,3,3,134,37,14,6,24,32,97,156,271,142,94,32,35,940
101021009,0,0,15,0,0,0,3,3,5,6,17,0,0,4,0,47,0,0,0,0,0,3,0,8,3,0,0,0,19,3,0,0,5,4,13,4,5,0,0,3,0,44,3,4,3,9,11,27,19,38,4,4,6,0,125,24,13,12,29,37,116,155,261,109,89,35,24,900
101021010,0,0,0,0,0,0,0,0,0,10,4,4,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,10,0,0,0,0,0,3,18,0,0,0,6,3,9,13,4,5,5,3,3,50,13,9,13,9,15,45,61,108,54,55,22,19,424
101021011,3,0,26,0,0,3,0,3,9,12,14,4,20,4,6,85,0,0,0,0,0,0,3,6,7,3,0,0,25,7,0,0,0,0,4,9,8,0,10,3,3,44,7,3,4,4,7,19,29,34,18,29,13,11,177,60,32,27,46,64,218,269,530,469,581,316,110,2718
101021012,0,0,19,6,0,0,4,0,4,13,21,13,3,9,5,70,0,0,0,0,3,8,4,8,4,5,0,4,35,6,3,0,0,3,6,9,9,4,11,3,3,61,10,9,0,3,6,19,31,42,21,21,13,8,188,63,35,24,25,48,159,200,374,274,332,204,63,1800
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,3,3,3,0,0,0,0,0,17,19,9,12,18,36,37,25,13,7,3,0,6,189
101031014,0,0,7,4,0,3,3,8,11,5,3,0,0,0,0,35,0,0,0,4,3,9,3,0,0,0,0,0,25,0,0,0,5,6,8,0,3,0,0,0,3,33,6,6,6,10,12,31,8,12,0,0,0,3,100,23,21,23,45,81,173,97,100,19,18,5,22,628
101031015,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,15,0,3,0,3,3,3,3,0,0,0,0,0,21,16,10,11,26,16,59,68,70,31,28,19,8,358
101031016,0,0,3,3,0,0,6,6,5,4,3,0,0,0,0,22,0,0,0,0,0,3,4,3,3,3,0,0,17,3,0,0,4,0,4,3,0,0,0,0,0,15,3,0,3,4,3,15,12,9,3,3,0,3,62,20,13,15,35,49,117,111,124,58,33,22,34,638
101041017,0,0,10,0,0,0,0,6,3,3,8,0,0,0,0,21,0,0,0,0,0,3,3,0,0,0,0,0,5,3,5,0,0,3,10,10,5,0,0,0,3,36,5,5,3,3,12,17,18,7,0,3,0,3,72,33,21,17,32,33,92,108,112,37,28,11,22,542
101041018,5,0,10,3,0,3,0,0,5,6,4,0,0,0,5,38,0,3,0,0,0,3,3,4,0,0,0,0,14,5,0,0,0,3,3,5,0,0,0,0,3,20,3,5,7,0,4,18,17,12,3,3,5,6,88,41,13,15,22,43,121,126,137,37,34,18,36,647
