SA2_MAINCODE_2016,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85o,C16_M_Foo_hos_pers_S_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85_ov,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85o,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85o,C16_M_FldStu_NS_T,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85o,C16_M_T_T,C06_F_NatPhy_sci_15_19,C06_F_NatPhy_sci_20_24,C06_F_NatPhy_sci_25_34,C06_F_NatPhy_sci_35_44,C06_F_NatPhy_sci_45_54,C06_F_NatPhy_sci_55_64,C06_F_NatPhy_sci_65_74,C06_F_NatPhy_sci_75_84,C06_F_NatPhy_sci_85O,C06_F_NatPhy_sci_T,C06_F_InfTec_15_19,C06_F_InfTec_20_24,C06_F_InfTec_25_34,C06_F_InfTec_35_44,C06_F_InfTec_45_54,C06_F_InfTec_55_64,C06_F_InfTec_65_74,C06_F_InfTec_75_84,C06_F_InfTec_85O,C06_F_InfTec_T,C06_F_EngRT_15_19,C06_F_EngRT_20_24,C06_F_EngRT_25_34,C06_F_EngRT_35_44,C06_F_EngRT_45_54,C06_F_EngRT_55_64,C06_F_EngRT_65_74,C06_F_EngRT_75_84,C06_F_EngRT_85_ov,C06_F_EngRT_Tot,C06_F_ArchBuild_15_19,C06_F_ArchBuild_20_24,C06_F_ArchBuild_25_34,C06_F_ArchBuild_35_44,C06_F_ArchBuild_45_54,C06_F_ArchBuild_55_64,C06_F_ArchBuild_65_74,C06_F_ArchBuild_75_84,C06_F_ArchBuild_85o,C06_F_Arch_building_Tot,C06_F_AgEnv_RS_15_19,C06_F_AgEnv_RS_20_24,C06_F_AgEnv_RS_25_34,C06_F_AgEnv_RS_35_44,C06_F_AgEnv_RS_45_54,C06_F_AgEnv_RS_55_64,C06_F_AgEnv_RS_65_74,C06_F_AgEnv_RS_75_84,C06_F_AgEnv_RS_85o,C06_F_AgEnv_RS_T,C06_F_Health_15_19,C06_F_Health_20_24,C06_F_Health_25_34,C06_F_Health_35_44,C06_F_Health_45_54,C06_F_Health_55_64,C06_F_Health_65_74,C06_F_Health_75_84,C06_F_Health_85o,C06_F_Healt_T,C06_F_Educ_15_19,C06_F_Educ_20_24,C06_F_Educ_25_34,C06_F_Educ_35_44,C06_F_Educ_45_54,C06_F_Educ_55_64,C06_F_Educ_65_74,C06_F_Educ_75_84,C06_F_Educ_85o,C06_F_Educ_T,C06_F_MngtCom_15_19,C06_F_MngtCom_20_24,C06_F_MngtCom_25_34,C06_F_MngtCom_35_44,C06_F_MngtCom_45_54,C06_F_MngtCom_55_64,C06_F_MngtCom_65_74,C06_F_MngtCom_75_84,C06_F_MngtCom_85o,C06_F_MngtCom_T,C06_F_Soc_cult_15_19,C06_F_Soc_cult_20_24,C06_F_Soc_cult_25_34,C06_F_Soc_cult_35_44,C06_F_Soc_cult_45_54,C06_F_Soc_cult_55_64,C06_F_Soc_cult_65_74,C06_F_Soc_cult_75_84,C06_F_Soc_cult_85o,C06_F_Soc_cult_T,C06_F_Creative_art_15_19,C06_F_Creative_art_20_24,C06_F_Creative_art_25_34,C06_F_Creative_art_35_44,C06_F_Creative_art_45_54,C06_F_Creative_art_55_64,C06_F_Creative_art_65_74,C06_F_Creative_art_75_84,C06_F_Create_art_850,C06_F_Creative_arts_T,C06_F_FoodHos_PS_15_19,C06_F_FoodHos_PS_20_24,C06_F_FoodHos_PS_25_34,C06_F_FoodHos_PS_35_44,C06_F_FoodHos_PS_45_54,C06_F_FoodHos_PS_55_64,C06_F_FoodHos_PS_65_74,C06_F_FoodHos_PS_75_84,C06_F_FoodHos_PS_85o,C06_F_FoodHos_PS_T,C06_F_MixFld_pr_15_19,C06_F_MixFld_pr_20_24,C06_F_MixFld_pr_25_34,C06_F_MixFld_pr_35_44,C06_F_MixFld_pr_45_54,C06_F_MixFld_pr_55_64,C06_F_MixFld_pr_65_74,C06_F_MixFld_pr_75_84,C06_F_MixFld_pr_85o,C06_F_MixFld_pr_T,C06_F_FldStu_ID_15_19,C06_F_FldStu_ID_20_24,C06_F_FldStu_ID_25_34,C06_F_FldStu_ID_35_44,C06_F_FldStu_ID_45_54,C06_F_FldStu_ID_55_64,C06_F_FldStu_ID_65_74,C06_F_FldStu_ID_75_84,C06_F_FldStu_ID_85o,C06_F_FldStu_ID_T,C06_F_FldStu_NS_15_19,C06_F_FldStu_NS_20_24,C06_F_FldStu_NS_25_34,C06_F_FldStu_NS_35_44,C06_F_FldStu_NS_45_54,C06_F_FldStu_NS_55_64,C06_F_FldStu_NS_65_74,C06_F_FldStu_NS_75_84,C06_F_FldStu_NS_85o,C06_F_FldStu_NS_T,C06_F_Tot_15_19,C06_F_Tot_20_24,C06_F_Tot_25_34,C06_F_Tot_35_44,C06_F_Tot_45_54,C06_F_Tot_55_64,C06_F_Tot_65_74,C06_F_Tot_75_84,C06_F_Tot_85o,C06_F_T_T
101021007,0,0,9,6,4,4,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,8,7,0,0,27,16,11,16,29,43,46,54,19,7,242,22,33,88,157,219,256,214,87,16,1092,0,0,3,0,6,0,4,0,0,16,0,0,0,0,3,3,0,0,0,7,0,0,4,3,3,0,0,3,0,7,0,0,0,0,3,0,0,0,0,6,0,0,4,3,3,3,0,0,0,18,0,4,0,11,17,19,9,3,3,67,0,0,8,8,25,22,6,3,0,71,0,3,9,22,17,20,6,0,0,77,0,3,8,7,10,20,6,3,0,55,0,0,10,14,7,6,0,0,0,37,3,3,6,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,9,5,3,4,12,10,15,18,14,11,88,7,12,62,96,116,113,53,26,11,495
101021008,0,7,15,18,9,12,4,0,0,71,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,4,0,0,0,22,34,11,29,56,46,30,27,25,4,265,49,114,356,364,359,317,163,63,16,1813,0,3,17,13,3,6,0,0,0,45,0,9,4,14,5,0,0,0,0,28,0,0,9,7,9,7,4,0,0,34,0,3,0,0,0,0,0,0,0,5,0,4,8,8,6,0,0,0,0,20,0,9,26,46,46,31,15,5,3,178,0,4,18,23,26,20,4,0,0,96,10,41,101,115,91,17,12,3,0,391,0,27,87,78,45,13,3,3,0,260,0,8,18,4,3,6,0,0,0,44,5,23,36,21,24,10,0,0,0,121,0,3,0,0,0,0,0,0,0,3,0,3,7,9,7,0,0,0,0,26,47,28,56,54,54,49,36,39,3,362,65,159,382,395,305,169,69,50,11,1604
101021009,0,9,54,31,28,11,9,5,0,141,0,0,0,0,0,0,0,0,0,3,0,0,4,12,5,6,5,0,0,38,14,29,116,73,64,44,55,43,21,455,30,164,809,592,476,325,234,115,47,2797,0,9,20,11,9,4,0,0,0,50,0,6,19,6,10,4,0,0,0,39,0,3,7,15,3,3,4,3,0,40,0,8,0,7,3,0,0,0,0,14,0,5,4,7,3,0,0,0,0,21,0,8,28,38,59,30,25,9,4,198,0,9,33,26,26,22,8,8,3,127,11,40,110,93,57,31,11,11,3,369,3,36,93,69,47,30,13,0,0,292,0,11,23,28,9,3,3,0,0,75,4,21,28,17,9,10,3,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,0,0,0,0,23,30,32,61,62,58,60,65,95,71,519,47,182,436,372,284,193,118,135,77,1851
101021010,0,9,18,9,14,5,4,0,0,62,0,0,0,0,0,0,0,0,0,3,0,0,9,6,5,3,0,0,0,26,3,9,38,33,33,23,11,6,0,157,8,95,361,246,251,185,108,41,7,1300,0,0,9,9,5,7,0,0,0,35,0,3,8,0,6,3,0,0,0,19,0,0,3,4,0,3,3,0,0,19,0,0,0,4,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,8,0,5,24,14,21,16,7,3,0,91,0,0,15,8,14,17,3,0,0,64,7,29,59,42,28,15,6,3,0,187,0,25,45,29,32,16,0,0,0,151,0,0,10,14,9,3,0,3,0,41,5,11,9,5,10,5,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,7,11,19,25,21,31,16,23,21,7,180,22,99,220,161,156,110,44,28,7,850
101021011,0,0,28,33,24,24,12,0,0,111,0,0,0,0,4,0,0,0,0,3,0,3,17,14,18,9,8,3,3,73,72,67,96,125,190,152,103,36,4,839,97,205,687,908,1165,958,575,161,22,4789,0,8,23,33,43,17,3,0,0,128,0,5,11,14,18,7,0,0,0,62,0,0,14,17,4,9,5,0,0,47,0,3,5,8,10,7,0,0,0,33,0,0,25,20,22,9,3,0,0,76,0,10,38,86,109,81,32,5,0,368,0,5,35,60,134,101,23,3,0,362,11,28,102,193,154,82,20,7,0,589,5,23,71,131,146,84,22,11,0,483,3,4,23,34,27,23,4,0,0,118,7,17,23,36,22,4,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,14,17,14,11,0,0,0,57,57,14,50,70,78,60,28,11,6,376,80,115,428,720,774,490,154,42,6,2804
101021012,0,10,21,16,14,10,3,0,0,80,0,0,0,0,0,0,0,0,0,3,0,0,13,20,17,5,3,0,0,60,25,13,49,53,78,36,15,5,0,280,44,152,500,712,922,478,194,64,14,3085,0,4,31,31,12,8,3,0,0,87,0,9,14,18,11,3,0,0,0,50,0,3,13,20,14,7,0,0,0,53,0,0,0,0,3,0,0,0,0,10,0,0,9,13,0,3,0,0,0,28,0,10,43,92,60,30,17,5,0,256,0,7,63,87,46,22,7,5,0,244,6,52,228,245,136,50,16,3,3,738,3,23,108,99,64,18,7,0,0,328,0,8,25,29,10,3,5,0,0,80,5,17,49,36,12,6,3,0,0,131,0,0,0,0,0,0,0,0,0,3,0,5,11,7,8,0,0,0,0,30,39,23,50,79,49,24,27,12,0,311,60,160,656,760,437,167,79,33,4,2361
101031013,0,3,3,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,13,16,0,6,10,21,23,17,13,3,105,16,24,68,75,108,119,76,21,6,526,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,3,0,0,0,25,0,0,6,7,26,16,14,9,0,88,0,0,10,13,12,15,0,3,0,57,3,9,22,11,7,14,0,0,4,77,0,3,0,16,3,3,3,4,0,39,0,0,0,0,0,0,0,0,0,8,0,3,8,8,9,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,15,5,12,12,19,13,22,15,9,119,13,20,70,83,92,82,41,34,15,451
101031014,5,3,7,9,10,6,7,3,0,53,0,3,0,0,0,0,0,0,0,3,0,4,0,10,3,4,3,0,0,19,27,28,93,97,88,63,70,51,20,537,39,90,305,295,314,287,251,157,48,1797,0,3,3,0,8,3,0,0,0,16,0,3,0,4,3,4,0,0,0,19,0,0,5,6,3,8,7,3,0,31,0,3,0,0,0,0,0,0,0,9,0,0,7,6,0,3,0,0,0,20,0,4,18,43,54,40,21,18,6,206,0,0,26,29,39,26,16,4,0,137,3,17,53,74,63,35,21,10,3,271,3,11,35,52,22,19,9,4,0,146,0,3,12,9,13,4,5,0,0,44,10,8,21,21,11,14,0,3,5,90,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,16,31,15,28,41,32,30,36,55,33,306,53,71,199,284,259,190,113,108,42,1309
101031015,0,0,5,8,5,7,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,0,0,18,16,7,13,10,35,27,31,21,3,165,24,20,73,131,199,190,160,82,20,906,0,0,0,0,0,5,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,5,4,0,0,18,0,0,0,0,0,0,0,0,0,4,3,3,6,12,7,0,0,0,0,36,0,0,3,23,32,23,8,0,0,98,0,0,7,14,12,21,9,0,0,62,0,3,13,26,30,18,7,4,0,112,0,0,12,12,18,18,3,0,0,72,0,0,3,7,3,0,3,0,0,15,0,0,8,6,5,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,3,7,15,11,16,12,3,77,18,12,62,122,134,103,60,15,7,530
101031016,0,12,38,24,19,7,7,3,0,109,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,9,5,0,0,26,43,48,77,55,66,48,25,16,8,382,57,148,385,408,417,391,225,87,19,2138,0,3,5,9,7,3,0,0,0,25,0,0,0,3,4,5,0,0,0,19,0,0,4,8,6,3,4,3,0,30,0,0,0,0,3,0,0,0,0,4,0,0,6,4,3,0,0,0,0,21,0,3,23,49,51,18,7,8,0,157,0,0,15,38,29,30,8,0,0,129,3,26,67,75,70,34,16,3,0,294,0,6,32,38,23,6,3,0,0,107,0,4,11,16,7,10,0,0,0,51,0,8,36,20,13,14,4,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,16,34,36,101,118,90,57,36,22,13,506,49,99,306,395,317,187,83,36,17,1471
