SA2_MAINCODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
101021007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,7,0,6,0,0,16,17,3,16,0,3,38,14,0,13,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,56,9,51,3,8,119
101021008,0,0,0,3,0,0,0,0,0,4,17,0,5,0,0,28,4,0,6,0,0,12,14,0,11,0,3,24,17,3,22,0,3,49,70,15,59,7,6,163,16,9,23,6,5,52,0,0,4,0,0,4,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,12,140,33,149,16,25,360
101021009,0,0,0,3,3,0,3,0,0,10,36,0,12,0,0,43,35,0,29,0,0,64,71,0,57,3,0,134,85,3,49,0,0,141,123,8,90,8,10,234,22,4,30,3,6,68,0,0,11,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,3,5,0,0,12,396,21,274,23,12,737
101021010,0,0,0,0,0,0,0,0,0,3,14,0,18,0,0,29,23,0,20,0,0,41,27,0,41,0,3,70,48,0,32,3,0,88,33,0,30,4,4,72,15,0,14,3,0,37,5,0,5,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,9,173,5,166,12,10,366
101021011,0,0,0,3,3,0,3,0,0,12,3,0,3,0,0,10,4,0,3,0,0,12,13,0,12,0,0,26,15,0,13,0,3,36,31,0,36,0,3,70,22,3,33,7,3,75,20,7,34,3,8,71,7,3,13,0,0,23,5,0,6,0,0,11,0,0,0,0,0,3,0,0,0,0,0,6,9,0,5,0,0,9,159,24,180,14,27,402
101021012,0,0,0,3,4,0,3,0,0,4,5,0,10,0,0,12,4,0,3,0,0,7,24,3,40,0,4,69,34,7,82,10,3,141,57,6,74,4,3,145,29,12,52,5,5,99,18,15,43,7,5,77,5,5,23,3,0,35,0,0,9,0,0,12,0,3,3,0,0,7,0,0,0,0,0,3,0,0,4,0,0,9,192,50,333,34,25,631
101031013,0,0,0,0,7,0,3,0,0,13,12,0,9,0,0,24,4,0,7,0,0,13,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,33,7,43,4,0,86
101031014,0,0,0,3,8,0,0,0,0,7,18,0,3,0,3,26,19,0,4,0,3,26,34,3,32,3,7,75,31,3,34,0,3,77,9,0,18,4,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,0,3,128,5,99,14,17,264
101031015,0,0,0,0,6,0,0,0,3,8,0,0,0,0,0,4,4,0,3,0,0,9,6,0,3,0,0,12,0,0,3,0,0,5,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,5,36,4,28,0,7,80
101031016,0,0,0,0,4,0,4,0,0,12,9,0,6,0,0,21,5,0,12,0,4,23,21,0,15,0,0,37,27,8,19,0,0,55,34,4,37,4,3,77,4,0,9,0,0,12,0,0,0,0,0,4,4,0,5,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,6,0,0,10,138,17,115,10,6,294
101041017,0,0,0,0,5,0,0,0,3,7,13,0,9,0,0,24,12,0,12,0,0,23,23,0,12,0,3,38,61,0,47,3,12,127,35,5,52,3,4,107,4,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,9,165,10,143,7,27,358
101041018,0,0,0,0,3,0,5,0,0,10,19,0,0,0,3,22,11,0,0,0,0,14,28,3,17,5,0,45,45,7,37,4,4,98,58,13,49,3,10,130,4,0,9,0,0,10,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,187,22,118,17,21,356
101041019,0,0,0,0,4,0,0,0,3,10,19,3,7,0,3,24,13,0,3,0,0,15,18,0,16,0,0,39,45,4,66,3,3,127,28,6,43,3,3,77,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,7,134,16,145,11,16,316
101041020,0,0,0,3,4,0,6,0,0,14,8,0,5,0,0,15,11,0,8,0,0,20,20,3,14,0,0,37,12,6,12,0,0,35,6,3,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,8,81,15,90,6,6,192
101041021,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,15,0,3,0,0,14,17,3,17,3,4,41,11,7,11,0,0,29,3,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,61,11,37,3,9,116
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,4,0,0,3,0,6,3,0,4,0,0,8,9,0,12,0,0,14,11,0,3,0,5,22,21,3,21,0,5,48,4,4,12,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,11,55,3,13,132
101041024,0,0,0,0,5,0,0,0,0,4,6,0,8,0,0,14,0,0,4,0,3,9,0,0,5,0,0,3,6,0,8,0,0,12,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,31,6,36,4,6,91
101041025,0,0,0,3,3,0,0,0,0,4,9,0,0,0,0,10,21,3,6,0,0,30,32,0,13,0,4,44,33,0,35,3,0,80,54,12,58,8,13,150,7,0,11,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,5,0,3,13,188,25,131,10,20,384
101041026,0,0,0,0,0,0,0,0,0,3,10,0,0,0,3,20,15,0,3,0,0,19,35,0,18,3,5,54,38,7,39,3,9,91,22,3,24,3,5,55,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,135,18,87,7,20,270
