SA2_MAINCODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
101021007,0,0,0,393,515,167,141,61,25,1304,405,560,172,147,66,37,1381,9,7,5,0,0,0,18,0,4,0,0,0,0,4,9,12,5,0,0,0,26,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,3,3,0,0,0,0,7,0,3,0,0,0,0,6,0,0,0,0,0,0,0,7,10,0,0,0,0,22,12,9,0,0,0,0,24,442,587,180,153,64,36,1453
101021008,0,0,0,745,911,558,547,235,93,3090,451,744,440,457,204,82,2383,144,82,35,22,5,3,289,73,81,35,18,4,0,209,213,167,65,45,14,3,501,33,4,0,0,0,0,40,15,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,10,0,7,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,8,0,0,0,0,0,6,713,924,513,509,218,88,2963
101021009,0,0,15,1728,1389,591,408,177,74,4362,491,682,334,279,137,58,1985,285,164,53,34,13,8,551,236,153,57,41,9,4,500,526,313,109,76,18,8,1049,350,119,57,26,5,0,554,176,90,29,18,0,0,316,374,188,79,25,16,3,685,3,0,0,0,0,0,9,899,399,172,69,24,3,1565,6,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,3,0,0,0,15,12,6,3,0,0,0,17,0,0,3,0,0,0,7,1930,1406,620,420,176,70,4621
101021010,0,0,0,765,632,267,211,70,40,1990,154,272,138,155,57,34,799,123,60,33,10,3,0,230,141,104,48,28,5,3,335,268,166,81,40,12,3,570,149,67,31,13,7,0,269,79,31,27,5,0,0,145,135,62,22,12,3,0,237,0,0,0,0,0,0,0,372,160,85,31,13,3,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,795,599,305,229,70,36,2030
101021011,0,0,4,649,1570,740,930,424,184,4496,668,1798,891,1069,493,205,5124,5,6,0,0,0,0,13,0,4,0,0,0,0,9,8,7,0,3,0,0,24,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,11,3,4,0,0,0,20,19,8,3,0,0,0,28,3,3,7,3,3,0,14,5,3,0,0,0,0,8,23,16,5,9,4,0,55,6,9,3,3,0,3,26,715,1835,907,1084,493,210,5243
101021012,0,0,0,606,1207,747,994,422,138,4119,382,947,627,901,415,129,3401,208,129,79,44,16,0,472,50,77,37,17,3,0,183,251,203,119,59,15,3,656,37,14,7,0,0,0,66,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,15,9,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,3,0,0,0,0,6,675,1171,753,968,430,133,4145
101031013,0,0,0,333,388,104,112,50,23,1009,290,348,118,90,42,18,907,4,5,0,0,0,0,6,0,0,0,0,0,0,0,7,5,0,0,0,0,11,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,13,3,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,3,7,0,3,0,0,0,9,3,0,0,0,0,3,8,320,347,123,95,42,18,949
101031014,0,0,4,894,986,325,281,144,54,2685,698,918,343,251,109,50,2363,60,28,3,0,0,0,90,14,6,0,0,0,0,18,72,32,3,3,0,0,112,119,32,0,3,0,0,157,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,32,0,3,0,0,163,7,3,0,0,0,0,14,0,0,0,0,0,0,0,10,9,0,0,0,0,17,14,12,3,3,0,0,30,26,5,4,3,3,0,40,937,994,349,257,109,47,2707
101031015,0,0,3,314,499,143,169,62,32,1221,286,484,132,145,70,34,1156,0,3,0,0,0,0,6,0,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,8,5,0,3,0,0,16,3,3,0,0,0,0,11,0,3,0,0,0,0,3,17,11,0,3,0,0,32,10,7,3,0,0,0,25,318,514,142,149,70,34,1218
101031016,0,0,65,546,689,314,351,111,38,2039,369,634,254,308,117,31,1723,26,18,12,6,7,3,65,68,49,25,6,3,0,153,96,63,34,18,11,3,216,65,56,21,11,4,0,159,23,17,6,6,0,0,46,19,6,0,3,0,0,31,0,0,0,0,0,0,0,107,80,21,17,7,3,238,20,8,3,4,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,4,29,8,3,4,0,0,41,69,57,18,18,0,0,163,664,843,336,366,138,42,2380
101041017,0,0,0,899,1233,335,269,147,92,2970,524,1017,296,246,127,81,2291,100,60,10,3,5,0,182,69,39,13,3,0,0,121,169,94,20,8,4,0,300,224,91,22,10,3,3,353,16,3,3,0,0,0,21,17,13,0,0,0,0,28,3,0,0,0,0,0,3,254,108,21,10,3,3,398,31,15,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,15,0,3,0,0,46,9,9,0,0,0,0,19,981,1242,343,263,134,81,3055
101041018,0,0,0,843,1391,427,304,138,75,3173,630,1268,317,268,119,70,2677,84,55,11,5,0,0,161,81,87,15,5,5,0,200,173,142,26,14,3,0,357,126,62,15,11,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,123,62,15,12,0,0,218,28,15,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,0,0,0,0,44,10,10,0,3,0,0,22,969,1492,362,299,127,72,3314
101041019,0,0,16,885,1175,439,396,157,78,3130,735,1087,409,368,161,78,2833,138,36,6,3,0,0,182,33,14,10,0,0,0,54,173,53,12,3,0,0,239,80,24,4,3,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,24,4,3,0,0,115,18,6,4,0,0,0,30,3,0,0,0,0,0,5,0,0,0,0,0,0,0,25,4,4,0,0,0,34,6,4,3,0,0,0,19,1011,1177,435,377,160,79,3239
101041020,0,0,3,737,1407,446,400,222,86,3302,794,1455,385,357,173,95,3262,3,5,0,0,0,0,10,0,0,0,0,0,0,3,8,6,0,0,0,0,10,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,21,17,3,4,0,0,0,28,20,4,0,4,0,0,24,3,5,0,0,0,0,7,37,16,7,3,0,0,63,10,19,4,0,0,0,35,867,1496,399,362,168,94,3395
101041021,0,0,0,378,441,138,101,58,21,1141,245,407,140,122,50,23,991,90,56,13,0,0,3,164,12,6,0,0,0,0,20,101,70,15,0,0,5,186,24,17,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,3,0,0,0,44,27,21,3,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19,3,0,0,0,48,3,3,0,0,0,0,10,399,522,155,133,54,28,1285
101041022,0,0,0,4,14,0,0,0,0,20,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,4,0,0,0,0,15
101041023,0,0,0,372,530,184,118,66,20,1294,291,407,141,103,59,27,1017,48,18,8,6,0,0,75,9,3,0,0,0,0,20,60,21,7,3,0,0,96,62,26,3,0,0,0,96,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,32,3,0,0,0,94,24,22,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,3,0,0,0,51,10,12,3,0,0,0,23,442,486,159,109,62,27,1283
101041024,0,0,4,305,504,185,127,63,35,1222,317,528,159,137,49,40,1230,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,14,6,3,0,0,0,23,0,0,0,0,0,0,0,3,0,3,0,0,0,4,12,8,3,0,0,0,31,0,7,0,0,5,0,15,333,543,174,142,53,40,1277
101041025,0,0,0,1154,1790,459,382,159,67,4018,656,1387,407,362,129,71,3007,294,189,23,13,7,0,523,170,157,36,7,3,0,375,466,342,65,18,11,0,897,159,79,25,6,3,0,271,7,7,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,86,27,6,3,0,291,45,20,3,0,0,0,72,6,0,0,0,0,0,6,11,12,0,0,0,0,25,63,39,6,0,0,0,109,8,23,3,7,0,0,40,1366,1875,502,394,134,72,4340
101041026,0,0,3,868,1370,400,305,128,74,3143,828,1367,329,288,124,57,2997,31,16,7,0,0,0,50,29,20,6,4,0,0,57,61,32,13,5,0,0,116,106,32,9,7,3,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,32,9,7,3,0,159,28,9,3,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,3,27,8,6,0,0,0,42,6,13,7,0,0,0,21,1034,1456,362,293,125,63,3331
101041027,0,0,5,1190,1619,388,287,123,60,3665,896,1493,335,239,107,62,3138,139,75,7,3,3,0,231,49,40,7,0,0,0,95,187,112,10,3,3,0,320,86,40,8,3,0,0,141,18,7,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,46,7,3,0,0,173,65,27,0,3,0,0,98,3,3,0,0,0,0,7,6,4,0,0,0,0,16,72,37,0,8,0,3,121,15,12,3,0,0,0,28,1282,1703,364,253,114,72,3785
101051539,0,0,4,2551,2811,1213,1023,448,198,8250,1861,2590,1114,1006,454,231,7248,445,191,52,23,8,7,731,64,30,17,3,4,0,124,511,222,66,32,16,6,852,204,55,14,8,0,0,283,55,16,3,0,0,0,71,0,0,0,0,0,0,0,3,0,0,0,0,0,3,254,65,20,8,0,0,353,40,8,5,0,0,0,48,0,0,0,0,0,0,0,25,10,0,0,0,0,33,62,13,6,0,0,0,87,16,8,10,0,0,3,37,2698,2905,1213,1051,470,240,8575
101051540,3,0,29,1092,1785,570,531,288,125,4391,1083,1764,585,538,291,163,4418,45,11,4,3,0,0,66,3,4,0,0,0,0,10,50,16,4,3,0,0,67,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,6,7,5,0,3,0,0,25,3,5,5,8,0,0,25,6,4,0,0,0,0,9,17,18,3,12,3,3,56,16,13,8,7,4,0,42,1172,1810,600,552,298,165,4602
