SA2_MAINCODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
101021007,14,5,8,6,4,8,15,0,0,0,0,0,0,0,0,0,5,8,12,11,10,21,9,12,20,85,66,151,136,143,276,239,246,487,304,285,585,455,451,907,565,593,1155
101021008,52,11,25,32,17,37,52,0,0,0,0,0,0,0,0,0,22,35,57,9,23,38,18,40,62,356,343,701,298,276,580,267,302,576,1444,1475,2922,1257,1364,2621,1203,1234,2436
101021009,48,21,39,63,21,45,65,0,0,0,0,0,0,0,0,0,24,33,52,33,46,83,28,55,82,494,502,994,499,346,846,446,401,844,1321,1343,2664,1418,1342,2760,1401,1467,2864
101021010,38,15,22,37,13,21,32,0,0,0,0,0,0,0,0,0,13,36,48,19,26,42,21,22,48,213,168,376,177,150,332,153,141,293,644,594,1238,676,648,1328,646,637,1283
101021011,55,26,48,76,18,48,72,0,0,0,0,0,0,0,3,7,23,49,73,34,51,89,27,58,87,467,390,857,475,404,880,874,816,1690,2119,2166,4288,2276,2305,4580,2933,2936,5872
101021012,52,12,43,59,23,38,64,0,0,3,0,0,0,0,0,3,31,43,67,22,54,78,35,52,91,361,346,699,255,223,479,292,264,558,2045,2073,4116,2062,2120,4182,2213,2185,4399
101031013,7,0,11,11,0,5,3,0,0,0,0,0,0,0,0,0,3,12,13,0,11,11,8,10,12,90,77,161,63,62,126,99,102,201,317,348,661,292,317,610,287,324,609
101031014,20,7,10,21,6,20,25,0,0,0,0,0,0,0,0,0,9,24,31,7,19,25,13,23,40,400,286,692,325,207,527,512,336,842,1161,1071,2231,989,956,1950,1117,993,2114
101031015,13,3,14,18,0,6,6,0,0,0,0,0,0,0,0,0,9,11,23,3,18,22,3,11,11,85,82,166,122,71,192,163,174,339,392,407,799,472,422,891,488,490,973
101031016,36,10,13,23,10,21,31,0,0,0,0,0,3,0,0,0,16,26,43,23,29,47,20,33,56,763,561,1323,547,409,962,384,304,685,1379,1173,2555,1280,1141,2420,1153,1065,2217
101041017,32,9,27,34,8,15,22,0,0,0,0,0,0,0,0,4,10,21,30,11,32,41,9,21,31,292,305,593,322,309,633,382,378,760,943,1051,1992,925,1018,1943,975,1034,2009
101041018,19,7,33,37,9,24,34,0,3,3,0,0,3,3,0,3,5,27,27,16,34,50,12,34,44,250,253,504,363,356,722,402,435,839,900,1038,1937,1082,1161,2241,1046,1154,2202
101041019,32,13,13,24,11,21,28,0,0,0,0,3,3,0,0,0,16,26,43,16,14,30,12,25,38,241,263,500,234,285,516,419,416,833,1080,1193,2273,1044,1207,2256,1192,1274,2460
101041020,32,3,20,27,5,18,23,0,0,0,0,0,0,0,0,0,20,33,49,8,23,33,8,23,27,341,328,672,308,272,587,378,359,734,1376,1422,2799,1260,1337,2598,1158,1226,2387
101041021,3,3,10,16,0,7,10,0,0,0,0,0,0,0,0,0,0,4,3,5,13,14,0,11,15,107,101,210,108,124,224,139,130,265,382,370,744,386,415,804,444,446,892
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,7,4,10,0,3,5
101041023,5,3,13,15,0,7,13,0,0,0,0,0,0,0,0,0,3,6,5,3,13,16,4,11,11,107,121,227,90,110,197,147,168,316,425,428,854,385,409,799,401,440,838
101041024,15,5,16,17,6,10,11,0,0,0,0,0,0,0,0,0,7,14,19,8,14,24,8,13,19,100,83,187,130,96,227,131,135,265,359,359,717,443,443,884,413,427,842
101041025,33,4,29,34,4,24,28,0,0,0,0,0,0,0,0,0,11,30,39,7,35,43,7,26,36,240,267,504,258,333,596,419,497,919,1084,1143,2226,1074,1223,2294,1244,1371,2619
101041026,26,10,18,25,9,24,29,0,0,0,0,0,0,0,0,0,5,27,31,17,20,38,11,25,29,257,253,508,174,194,370,334,344,679,1020,1148,2165,904,976,1882,936,1015,1947
101041027,39,13,24,38,5,15,15,0,0,0,3,0,3,0,0,0,10,36,47,15,28,47,8,18,29,306,315,615,333,303,639,417,445,863,1035,1156,2191,1064,984,2050,1070,1044,2114
101051539,86,43,44,89,26,67,97,0,0,0,0,0,0,0,0,0,51,84,134,58,64,114,42,83,124,1186,774,1965,1178,685,1868,1396,910,2307,3590,3055,6640,3491,3032,6526,3682,3277,6956
101051540,35,6,22,30,12,28,43,0,0,0,0,0,0,0,0,4,12,31,46,19,31,55,34,35,67,498,428,923,386,354,740,607,560,1170,1722,1649,3371,1620,1618,3235,1829,1814,3651
101061541,23,8,12,13,5,10,21,0,0,4,0,0,0,0,0,0,7,23,26,13,16,25,12,24,39,135,142,274,218,213,432,258,342,605,775,870,1648,896,972,1871,967,1130,2095
101061542,31,16,29,46,12,27,39,0,3,3,0,0,0,0,0,0,14,29,41,23,38,55,18,35,49,302,262,562,281,307,584,415,386,800,1343,1375,2723,1534,1619,3154,1763,1876,3642
101061543,22,11,17,26,6,19,29,0,0,0,0,0,0,0,0,0,6,24,28,16,21,35,11,32,39,307,334,643,342,389,731,401,440,838,1418,1566,2983,1454,1586,3044,1513,1670,3187
101061544,21,8,12,13,0,10,13,0,0,0,0,0,0,0,3,3,6,22,28,6,12,16,5,12,22,194,166,357,227,249,474,299,309,609,953,1005,1957,979,993,1972,966,1044,2006
102011028,35,9,35,48,15,20,39,0,0,0,0,0,0,0,0,0,4,37,41,22,36,59,19,26,44,249,253,506,219,201,421,198,175,371,1190,1213,2401,1201,1208,2410,1197,1195,2395
102011029,31,13,31,38,11,29,39,0,0,0,0,0,0,0,3,3,13,26,41,13,32,42,17,34,54,389,412,805,332,284,613,247,294,546,1576,1587,3162,1504,1499,3002,1406,1519,2928
102011030,18,3,14,19,7,15,18,0,0,3,0,0,0,4,0,4,8,17,24,6,22,27,10,18,35,264,198,461,206,156,358,255,234,488,630,613,1243,673,687,1361,679,735,1422
102011031,50,15,42,54,17,39,58,0,0,0,0,0,3,0,0,0,25,45,70,24,55,81,23,45,70,395,558,955,402,484,886,372,526,899,1794,2067,3859,1858,2130,3989,1827,2050,3877
102011032,93,30,75,102,41,57,95,3,0,3,0,0,4,0,0,0,41,77,112,44,89,138,55,74,127,944,996,1940,760,856,1616,672,750,1425,2583,2672,5257,2486,2823,5305,2583,2800,5391
102011033,30,12,26,36,13,24,41,0,0,0,0,0,0,0,0,0,10,21,37,13,31,44,20,36,57,269,233,508,176,172,345,260,156,417,1277,1185,2463,1125,1161,2282,1122,1093,2213
102011034,29,4,26,36,7,22,29,0,0,0,0,0,0,0,0,0,11,24,38,6,39,44,13,28,39,185,264,447,188,235,414,134,179,316,1034,1076,2108,967,1062,2028,894,1010,1908
102011035,47,7,22,24,8,29,37,0,0,3,0,0,0,0,0,0,15,38,56,9,24,41,15,35,50,215,212,424,163,160,320,149,155,303,1161,1195,2359,982,1043,2029,949,1015,1964
102011036,32,14,28,40,7,27,32,0,0,0,0,0,0,0,0,0,16,29,41,15,34,45,9,32,40,171,181,357,216,209,428,173,147,321,1174,1220,2391,1346,1318,2663,1247,1227,2473
102011037,34,4,21,28,6,15,26,0,0,0,0,0,0,0,0,0,12,23,39,6,25,34,9,23,32,235,260,496,245,256,503,130,124,250,883,904,1781,924,994,1916,807,882,1687
