SA2_MAINCODE_2016,C06_N_inc_R0_74,C06_N_inc_R75_99,C06_Ne_Ni_inc_R100_149,C06_Ne_Ni_inc_R150_199,C06_Ne_Ni_inc_R200_224,C06_Ne_Ni_inc_R225_274,C06_Ne_Ni_inc_R275_349,C06_Ne_Ni_inc_R350_449,C06_Ne_Ni_inc_R450_549,C06_Ne_Ni_inc_R550_649,C06_Ne_Ni_inc_R650m,C06_Ne_Ni_inc_R_NS,C06_N_inc_R_Tot,C06_1_149_R0_74,C06_1_149_R75_99,C06_1_149_R100_149,C06_1_149_R150_199,C06_1_149_R200_224,C06_1_149_R225_274,C06_1_149_R275_349,C06_1_149_R350_449,C06_1_149_R450_549,C06_1_149_R550_649,C06_1_149_R650m,C06_1_149_R_NS,C06_1_149_R_Tot,C06_150_299_R0_74,C06_150_299_R75_99,C06_150_299_R100_149,C06_150_299_R150_199,C06_150_299_R200_224,C06_150_299_R225_274,C06_150_299_R275_349,C06_150_299_R350_449,C06_150_299_R450_549,C06_150_299_R550_649,C06_150_299_R650m,C06_150_299_R_NS,C06_150_299_R_Tot,C06_300_399_R0_74,C06_300_399_R75_99,C06_300_399_R100_149,C06_300_399_R150_199,C06_300_399_R200_224,C06_300_399_R225_274,C06_300_399_R275_349,C06_300_399_R350_449,C06_300_399_R450_549,C06_300_399_R550_649,C06_300_399_R650m,C06_300_399_R_NS,C06_300_399_R_Tot,C06_400_499_R0_74,C06_400_499_R75_99,C06_400_499_R100_149,C06_400_499_R150_199,C06_400_499_R200_224,C06_400_499_R225_274,C06_400_499_R275_349,C06_400_499_R350_449,C06_400_499_R450_549,C06_400_499_R550_649,C06_400_499_R650m,C06_400_499_R_NS,C06_400_499_R_Tot,C06_500_649_R0_74,C06_500_649_R75_99,C06_500_649_R100_149,C06_500_649_R150_199,C06_500_649_R200_224,C06_500_649_R225_274,C06_500_649_R275_349,C06_500_649_R350_449,C06_500_649_R450_549,C06_500_649_R550_649,C06_500_649_R650m,C06_500_649_R_NS,C06_500_649_R_Tot,C06_650_799_R0_74,C06_650_799_R75_99,C06_650_799_R100_149,C06_650_799_R150_199,C06_650_799_R200_224,C06_650_799_R225_274,C06_650_799_R275_349,C06_650_799_R350_449,C06_650_799_R450_549,C06_650_799_R550_649,C06_650_799_R650m,C06_650_799_R_NS,C06_650_799_R_Tot,C06_800_999_R0_74,C06_800_999_R75_99,C06_800_999_R100_149,C06_800_999_R150_199,C06_800_999_R200_224,C06_800_999_R225_274,C06_800_999_R275_349,C06_800_999_R350_449,C06_800_999_R450_549,C06_800_999_R550_649,C06_800_999_R650m,C06_800_999_R_NS,C06_800_999_R_Tot,C06_1000_1249_R0_74,C06_1000_1249_R75_99,C06_1000_1249_R100_149,C06_1000_1249_R150_199,C06_1000_1249_R200_224,C06_1000_1249_R225_274,C06_1000_1249_R275_349,C06_1000_1249_R350_449,C06_1000_1249_R450_549,C06_1000_1249_R550_649,C06_1000_1249_R650m,C06_1000_1249_R_NS,C06_1000_1249_R_Tot,C06_1250_1499_R0_74,C06_1250_1499_R75_99,C06_1250_1499_R100_149,C06_1250_1499_R150_199,C06_1250_1499_R200_224,C06_1250_1499_R225_274,C06_1250_1499_R275_349,C06_1250_1499_R350_449,C06_1250_1499_R450_549,C06_1250_1499_R550_649,C06_1250_1499_R650m,C06_1250_1499_R_NS,C06_1250_1499_R_Tot,C06_1500_1999_R0_74,C06_1500_1999_R75_99,C06_1500_1999_R100_149,C06_1500_1999_R150_199,C06_1500_1999_R200_224,C06_1500_1999_R225_274,C06_1500_1999_R275_349,C06_1500_1999_R350_449,C06_1500_1999_R450_549,C06_1500_1999_R550_649,C06_1500_1999_R650m,C06_1500_1999_R_NS,C06_1500_1999_R_Tot,C06_2000_2499_R0_74,C06_2000_2499_R75_99,C06_2000_2499_R100_149,C06_2000_2499_R150_199,C06_2000_2499_R200_224,C06_2000_2499_R225_274,C06_2000_2499_R275_349,C06_2000_2499_R350_449,C06_2000_2499_R450_549,C06_2000_2499_R550_649,C06_2000_2499_R650m,C06_2000_2499_R_NS,C06_2000_2499_R_Tot,C06_2500_2999_R0_74,C06_2500_2999_R75_99,C06_2500_2999_R100_149,C06_2500_2999_R150_199,C06_2500_2999_R200_224,C06_2500_2999_R225_274,C06_2500_2999_R275_349,C06_2500_2999_R350_449,C06_2500_2999_R450_549,C06_2500_2999_R550_649,C06_2500_2999_R650m,C06_2500_2999_R_NS,C06_2500_2999_R_Tot,C06_3000_3999_R0_74,C06_3000_3999_R75_99,C06_3000_3999_R100_149,C06_3000_3999_R150_199,C06_3000_3999_R200_224,C06_3000_3999_R225_274,C06_3000_3999_R275_349,C06_3000_3999_R350_449,C06_3000_3999_R450_549,C06_3000_3999_R550_649,C06_3000_3999_R650m,C06_3000_3999_R_NS,C06_3000_3999_R_Tot,C06_4000m_R0_74,C06_4000m_R75_99,C06_4000m_R100_149,C06_4000m_R150_199,C06_4000m_R200_224,C06_4000m_R225_274,C06_4000m_R275_349,C06_4000m_R350_449,C06_4000m_R450_549,C06_4000m_R550_649,C06_4000m_R650m,C06_4000m_R_NS,C06_4000m_R_Tot,C06_PI_S_R0_74,C06_PI_S_R75_99,C06_PI_S_R100_149,C06_PI_S_R150_199,C06_PI_S_R200_224
116031319,0,0,0,0,0,4,0,0,0,0,0,0,13,3,0,0,3,0,0,0,0,0,0,0,0,7,32,5,4,3,0,4,3,0,0,0,3,10,74,7,8,16,13,9,21,4,0,0,0,0,4,77,0,4,25,7,4,3,0,0,0,0,0,0,45,9,8,14,22,33,43,4,0,0,0,0,3,142,3,4,4,16,30,43,7,3,0,0,0,6,110,3,0,3,17,33,48,5,0,0,0,0,0,113,5,0,9,19,38,74,17,0,0,0,0,0,166,9,0,3,3,25,65,10,0,0,0,0,0,111,3,0,0,12,20,57,17,0,0,0,0,0,118,0,0,0,4,10,27,10,3,0,0,0,3,58,0,0,0,0,3,16,10,0,0,0,0,0,31,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,6,23
117011320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117011321,3,0,0,4,0,0,0,0,0,0,0,3,13,12,3,3,0,3,0,0,0,0,0,0,0,21,49,0,7,3,0,3,3,0,0,0,0,4,67,16,4,3,12,3,8,0,0,0,0,0,0,49,0,0,6,3,0,0,3,0,0,0,0,0,19,3,3,3,15,13,7,10,13,3,0,3,3,80,3,0,3,7,15,8,8,8,0,0,0,3,64,0,0,0,9,12,9,12,9,3,0,0,3,66,0,0,3,15,13,13,17,15,7,3,0,3,95,0,0,0,7,7,6,11,10,0,0,0,3,52,3,0,3,7,5,20,16,29,8,0,0,0,86,3,0,3,0,0,3,6,25,8,0,0,0,52,0,0,0,4,3,0,9,4,6,0,0,0,35,0,0,0,3,0,0,3,6,3,3,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,6,11,3
117011322,3,0,6,5,12,15,13,3,0,0,0,3,65,12,7,3,3,10,5,3,0,0,0,0,3,40,182,16,11,11,10,18,7,3,0,0,11,9,287,61,18,22,24,25,31,6,13,0,0,3,8,196,17,9,44,3,13,7,6,3,0,0,0,4,110,21,9,37,35,62,80,26,19,0,0,0,3,290,8,0,4,26,49,66,27,20,3,0,3,3,206,7,0,11,20,32,72,23,20,4,0,3,6,207,6,0,12,23,54,82,45,42,9,0,0,5,289,7,0,0,8,25,41,35,34,3,3,0,6,161,3,0,3,10,25,61,40,54,11,4,0,0,215,0,0,0,0,10,20,23,59,14,0,0,0,124,3,0,0,3,4,12,20,35,5,3,0,0,81,3,0,0,0,0,3,3,9,8,0,0,0,31,0,0,0,0,0,0,0,6,0,0,0,0,15,8,3,16,9,27
117011323,4,0,0,3,9,3,0,3,3,0,0,5,27,22,3,4,0,9,7,0,0,0,0,0,0,46,159,12,10,7,13,10,3,0,0,0,5,13,233,59,21,20,8,15,23,5,0,0,0,3,4,167,7,7,40,4,9,3,3,0,0,0,0,3,85,24,4,31,24,60,57,16,6,0,0,3,5,234,4,0,3,23,42,38,15,5,0,0,0,3,138,5,5,4,12,49,41,16,11,5,0,0,0,147,6,0,11,22,55,63,30,23,3,0,3,0,208,3,0,0,6,18,13,17,23,7,0,0,0,81,3,0,3,11,21,37,19,28,11,0,3,0,128,3,0,0,3,7,16,15,22,9,0,0,0,85,0,0,0,0,3,8,5,8,4,0,0,0,33,0,0,0,0,0,3,3,3,6,0,4,0,19,0,0,0,0,0,4,0,0,0,0,0,0,3,9,4,6,10,17
117011324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117011325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117021326,4,3,5,17,9,6,15,4,3,0,0,4,81,8,7,3,11,9,7,3,4,0,0,0,3,61,130,27,17,38,23,15,9,3,0,0,0,11,286,62,34,37,73,35,27,15,3,0,0,5,11,291,10,8,36,24,16,13,7,0,0,0,3,6,119,21,14,31,121,78,83,42,12,0,0,0,17,420,8,3,27,81,62,72,32,23,0,0,0,4,302,9,3,8,63,68,79,57,25,10,0,0,9,333,12,0,17,64,73,119,95,61,8,0,3,12,467,7,3,5,24,43,71,62,48,3,0,0,3,261,9,0,9,30,35,63,89,65,15,4,0,3,319,0,0,0,5,13,43,66,80,10,0,0,6,222,0,0,5,6,5,16,35,33,15,5,0,3,130,0,0,3,3,4,3,18,19,9,0,0,0,68,0,0,0,0,0,0,0,3,7,3,0,0,16,11,8,21,33,35
117021327,11,0,3,3,4,6,8,3,0,0,0,0,34,4,3,4,9,4,0,0,0,0,4,0,0,35,48,8,20,38,11,9,7,3,0,0,0,5,157,18,21,33,68,27,17,10,10,3,0,3,0,197,0,3,9,14,3,11,3,8,3,0,0,4,47,10,11,31,82,49,48,29,9,5,3,0,9,287,0,0,21,64,40,66,42,14,3,0,0,3,268,3,0,12,64,53,64,39,35,12,0,0,4,288,16,0,9,54,77,118,105,69,6,0,3,4,460,4,0,7,34,33,67,61,39,16,4,3,0,271,4,0,3,15,35,74,114,90,36,5,4,6,384,3,0,3,3,12,38,49,84,33,9,0,0,233,0,0,3,6,3,22,33,76,40,12,8,0,217,0,0,0,0,4,7,20,58,32,14,6,0,140,0,0,0,0,0,0,5,6,16,7,4,0,36,11,3,12,8,9
117021328,0,0,0,0,3,0,3,7,0,0,0,3,14,0,0,0,0,3,0,0,4,0,0,0,0,5,6,0,3,0,4,3,4,3,0,0,0,0,24,5,0,0,0,3,6,12,3,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,10,3,5,18,3,3,0,3,0,61,0,0,0,8,10,12,21,12,0,0,0,0,52,3,0,0,8,3,4,17,8,0,0,0,3,51,0,0,3,10,9,12,39,20,3,0,3,3,104,0,0,0,5,3,7,41,22,3,0,4,5,85,0,0,0,3,0,8,48,32,11,4,0,4,114,0,0,0,3,0,4,20,23,7,0,0,0,61,0,0,0,0,0,0,20,19,6,0,0,0,43,0,0,0,0,0,0,8,4,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3
