SA2_MAINCODE_2016,C11_CF_NCu15DS_1000_1399,C11_CF_NCu15DS_1400_1799,C11_CF_NCu15DS_1800_2399,C11_CF_NCu15DS_2400_2999,C11_CF_NCu15DS_3000_3999,C11_CF_NCu15DS_4000ov,C11_CF_NCu15DS_NS,C11_CF_NCu15DS_Tot,C11_CF_NDCO_0_299,C11_CF_NDCO_300_449,C11_CF_NDCO_450_599,C11_CF_NDCO_600_799,C11_CF_NDCO_800_999,C11_CF_NDCO_1000_1399,C11_CF_NDCO_1400_1799,C11_CF_NDCO_1800_2399,C11_CF_NDCO_2400_2999,C11_CF_NDCO_3000_3999,C11_CF_NDCO_4000ov,C11_CF_NDCO_NS,C11_CF_NDCO_Tot,C11_CF_T_0_299,C11_CF_T_300_449,C11_CF_T_450_599,C11_CF_T_600_799,C11_CF_T_800_999,C11_CF_T_1000_1399,C11_CF_T_1400_1799,C11_CF_T_1800_2399,C11_CF_T_2400_2999,C11_CF_T_3000_3999,C11_CF_T_4000ov,C11_CF_T_NS,C11_CF_T_Tot,C11_1PF_Cu15DS_0_299,C11_1PF_Cu15DS_300_449,C11_1PF_Cu15DS_450_599,C11_1PF_Cu15DS_600_799,C11_1PF_Cu15DS_800_999,C11_1PF_Cu15DS_1000_1399,C11_1PF_Cu15DS_1400_1799,C11_1PF_Cu15DS_1800_2399,C11_1PF_Cu15DS_2400_2999,C11_1PF_Cu15DS_3000_3999,C11_1PF_Cu15DS_4000ov,C11_1PF_Cu15DS_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_0_299,C11_1PF_CU15_NDS_300_449,C11_1PF_CU15_NDS_450_599,C11_1PF_CU15_NDS_600_799,C11_1PF_CU15_NDS_800_999,C11_1PF_CU15_NDS_1000_1399,C11_1PF_CU15_NDS_1400_1799,C11_1PF_CU15_NDS_1800_2399,C11_1PF_CU15_NDS_2400_2999,C11_1PF_CU15_NDS_3000_3999,C11_1PF_CU15_NDS_4000ov,C11_1PF_CU15_NDS_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_0_299,C11_1PF_NCu15DS_300_449,C11_1PF_NCu15DS_450_599,C11_1PF_NCu15DS_600_799,C11_1PF_NCu15DS_800_999,C11_1PF_NCu15DS_1000_1399,C11_1PF_NCu15DS_1400_1799,C11_1PF_NCu15DS_1800_2399,C11_1PF_NCu15DS_2400_2999,C11_1PF_NCu15DS_3000_3999,C11_1PF_NCu15DS_4000ov,C11_1PF_NCu15DS_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_0_299,C11_1PF_NDCO_300_449,C11_1PF_NDCO_450_599,C11_1PF_NDCO_600_799,C11_1PF_NDCO_800_999,C11_1PF_NDCO_1000_1399,C11_1PF_NDCO_1400_1799,C11_1PF_NDCO_1800_2399,C11_1PF_NDCO_2400_2999,C11_1PF_NDCO_3000_3999,C11_1PF_NDCO_4000ov,C11_1PF_NDCO_NS,C11_1PF_NDCO_Tot,C11_1PF_T_0_299,C11_1PF_T_300_449,C11_1PF_T_450_599,C11_1PF_T_600_799,C11_1PF_T_800_999,C11_1PF_T_1000_1399,C11_1PF_T_1400_1799,C11_1PF_T_1800_2399,C11_1PF_T_2400_2999,C11_1PF_T_3000_3999,C11_1PF_T_4000ov,C11_1PF_T_NS,C11_1PF_T_T,C11_T_0_299,C11_T_300_449,C11_T_450_599,C11_T_600_799,C11_T_800_999,C11_T_1000_1399,C11_T_1400_1799,C11_T_1800_2399,C11_T_2400_2999,C11_T_3000_3999,C11_T_4000ov,C11_T_NS,C11_T_T,C16_CFNC_0_299,C16_CFNC_300_449,C16_CFNC_450_599,C16_CFNC_600_799,C16_CFNC_800_999,C16_CFNC_1000_1399,C16_CFNC_1400_1799,C16_CFNC_1800_2399,C16_CFNC_2400_2999,C16_CFNC_3000_3999,C16_CFNC_4000ov,C16_CFNC_NS,C16_CFNC_T,C16_CF_Cu15DS_0_299,C16_CF_Cu15DS_300_449,C16_CF_Cu15DS_450_599,C16_CF_Cu15DS_600_799,C16_CF_Cu15DS_800_999,C16_CF_Cu15DS_1000_1399,C16_CF_Cu15DS_1400_1799,C16_CF_Cu15DS_1800_2399,C16_CF_Cu15DS_2400_2999,C16_CF_Cu15DS_3000_3999,C16_CF_Cu15DS_4000ov,C16_CF_Cu15DS_NS,C16_CF_Cu15DS_Tot,C16_CF_Cu15NDS_0_299,C16_CF_Cu15NDS_300_449,C16_CF_Cu15NDS_450_599,C16_CF_Cu15NDS_600_799,C16_CF_Cu15NDS_800_999,C16_CF_Cu15NDS_1000_1399,C16_CF_Cu15NDS_1400_1799,C16_CF_Cu15NDS_1800_2399,C16_CF_Cu15NDS_2400_2999,C16_CF_Cu15NDS_3000_3999,C16_CF_Cu15NDS_4000ov,C16_CF_Cu15NDS_NS,C16_CF_Cu15NDS_Tot,C16_CF_NCu15DS_0_299,C16_CF_NCu15DS_300_449,C16_CF_NCu15DS_450_599,C16_CF_NCu15DS_600_799,C16_CF_NCu15DS_800_999,C16_CF_NCu15DS_1000_1399,C16_CF_NCu15DS_1400_1799,C16_CF_NCu15DS_1800_2399,C16_CF_NCu15DS_2400_2999,C16_CF_NCu15DS_3000_3999,C16_CF_NCu15DS_4000ov,C16_CF_NCu15DS_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_0_299,C16_CF_NDCO_300_449,C16_CF_NDCO_450_599,C16_CF_NDCO_600_799,C16_CF_NDCO_800_999,C16_CF_NDCO_1000_1399,C16_CF_NDCO_1400_1799,C16_CF_NDCO_1800_2399,C16_CF_NDCO_2400_2999,C16_CF_NDCO_3000_3999,C16_CF_NDCO_4000ov,C16_CF_NDCO_NS,C16_CF_NDCO_Tot,C16_CF_T_0_299,C16_CF_T_300_449,C16_CF_T_450_599,C16_CF_T_600_799,C16_CF_T_800_999,C16_CF_T_1000_1399,C16_CF_T_1400_1799,C16_CF_T_1800_2399,C16_CF_T_2400_2999,C16_CF_T_3000_3999,C16_CF_T_4000ov,C16_CF_T_NS,C16_CF_T_T,C16_1PF_Cu15DS_0_299,C16_1PF_Cu15DS_300_449,C16_1PF_Cu15DS_450_599,C16_1PF_Cu15DS_600_799,C16_1PF_Cu15DS_800_999,C16_1PF_Cu15DS_1000_1399,C16_1PF_Cu15DS_1400_1799,C16_1PF_Cu15DS_1800_2399,C16_1PF_Cu15DS_2400_2999,C16_1PF_Cu15DS_3000_3999
101021007,3,3,3,3,0,0,0,18,0,0,0,0,0,4,0,0,6,0,3,0,21,3,3,0,6,10,21,40,35,20,8,9,11,165,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,4,6,4,0,3,12,3,3,0,3,0,0,0,37,14,7,3,21,31,41,59,53,27,17,18,19,325,13,0,4,8,11,27,26,24,14,8,14,4,149,0,0,0,0,3,0,3,4,0,3,0,0,19,0,0,0,6,3,10,28,33,12,8,9,9,125,3,0,3,0,0,3,3,0,3,0,0,3,26,0,0,0,7,0,4,5,4,0,4,0,0,32,5,4,5,14,11,27,37,45,18,15,7,14,199,0,0,0,0,0,0,0,0,0,0
101021008,15,16,17,7,3,3,6,81,5,3,3,3,6,9,19,27,7,6,9,3,101,16,4,8,7,18,66,87,174,89,69,31,25,614,0,0,0,0,0,3,4,0,0,0,0,0,9,0,0,0,0,3,8,10,19,11,0,0,4,68,0,0,0,5,0,3,9,3,0,0,0,0,15,3,4,0,7,0,12,5,3,4,0,0,0,45,8,5,0,8,7,26,27,33,20,3,0,4,133,30,21,15,27,47,123,147,279,152,97,35,49,1020,10,10,0,3,6,25,40,71,33,14,7,8,235,4,0,0,0,0,12,12,22,12,6,3,7,74,5,0,0,4,4,24,47,103,69,43,12,6,324,0,0,0,0,3,11,16,12,4,13,3,0,69,4,0,3,5,3,18,12,22,11,5,8,9,108,20,3,5,15,16,59,85,161,102,61,27,27,572,0,0,0,0,0,0,3,0,0,0
101021009,4,9,8,3,7,0,0,38,3,0,3,7,8,10,13,6,4,6,0,4,70,16,4,5,10,24,61,75,105,83,54,12,25,464,0,0,0,0,0,7,4,3,3,0,0,0,11,0,0,4,6,5,7,8,22,5,0,0,3,70,0,3,0,0,3,3,3,4,3,0,0,0,21,0,0,0,8,0,5,3,9,5,0,0,0,42,6,3,4,8,8,21,24,41,13,3,0,7,140,28,11,16,26,43,121,139,226,154,92,30,43,935,14,8,9,7,7,39,56,74,34,32,12,11,304,0,0,0,0,0,7,3,20,5,9,0,6,53,0,3,4,5,15,29,56,108,54,34,10,8,318,3,0,0,0,8,6,11,7,3,5,4,0,51,4,0,0,0,3,8,6,13,6,3,0,3,55,10,3,3,10,24,53,76,151,73,50,19,14,473,0,0,0,0,0,3,0,3,0,0
101021010,3,7,3,5,3,4,0,27,0,0,0,5,0,3,4,3,6,3,0,0,23,4,5,4,7,7,18,33,48,42,23,19,10,218,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,3,3,3,0,0,0,17,0,0,0,0,0,4,3,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,3,13,14,12,3,3,0,0,47,12,4,4,9,15,44,64,96,82,48,42,13,442,13,3,7,3,3,17,20,30,17,19,4,5,143,0,0,0,0,0,3,8,5,4,0,0,0,31,0,0,3,0,4,12,19,54,19,21,8,9,152,0,0,0,0,0,3,3,9,3,9,0,0,29,3,0,0,0,0,3,4,6,0,8,3,0,25,3,0,4,3,6,15,31,71,29,40,14,5,233,0,0,0,0,0,0,0,0,0,0
101021011,24,16,38,29,41,21,7,201,10,0,3,10,12,27,26,21,16,36,20,7,182,28,21,16,31,47,117,150,269,222,285,169,41,1387,0,0,0,0,0,0,3,4,3,0,0,0,10,0,0,3,0,0,15,11,17,11,6,15,3,83,0,0,0,3,3,3,7,3,0,0,4,0,21,0,0,0,0,4,3,8,3,4,0,5,3,32,3,4,4,6,7,21,27,28,23,11,17,8,148,52,34,31,58,71,205,254,406,331,402,273,63,2175,20,19,14,13,21,70,75,145,119,171,96,30,807,7,3,0,0,8,24,16,51,51,48,27,6,234,5,5,3,9,16,55,91,213,212,245,118,31,1011,4,0,0,8,4,22,23,54,37,46,39,7,246,16,10,3,4,10,25,26,33,36,35,24,16,246,32,16,10,29,37,128,158,347,333,381,205,66,1738,0,0,0,0,0,0,3,7,4,3
101021012,14,24,25,21,25,18,4,156,9,3,4,0,10,21,13,20,15,19,14,9,134,26,19,14,23,36,93,135,213,186,258,145,61,1212,0,0,0,4,0,5,4,9,0,7,3,0,33,0,0,0,0,0,10,14,13,12,8,3,0,68,0,0,0,3,0,8,4,10,8,5,5,3,44,0,0,0,3,0,9,11,7,6,3,3,0,47,3,3,3,9,3,28,26,35,23,25,12,5,183,42,23,22,48,45,153,202,331,297,387,226,86,1858,17,10,8,9,11,36,50,95,60,65,41,15,409,4,0,0,3,8,17,15,34,31,34,23,10,181,18,11,5,7,10,41,59,137,111,148,87,15,644,5,8,7,6,9,23,25,39,39,38,31,5,231,7,6,3,3,9,15,16,25,16,28,10,8,140,32,20,18,13,30,93,119,241,190,249,151,41,1201,0,0,0,0,0,4,4,4,0,0
101031013,3,0,0,0,0,0,0,10,0,0,0,0,0,3,0,3,0,0,0,0,8,8,3,4,19,17,30,16,16,3,0,3,5,124,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,3,3,0,3,3,0,0,0,0,0,23,20,12,17,23,24,43,28,25,4,3,3,13,214,5,4,0,0,9,13,4,6,3,0,0,4,54,4,0,0,4,4,0,3,0,0,0,0,0,15,4,0,3,11,15,17,10,3,0,0,0,0,73,0,0,3,0,3,3,3,0,0,0,0,0,18,4,0,3,0,0,3,0,0,3,0,0,0,14,8,0,12,15,22,21,21,8,3,3,0,0,116,0,0,0,0,0,0,0,0,0,0
101031014,8,14,7,3,0,0,0,46,3,3,0,3,9,8,8,4,0,0,0,0,40,9,6,5,22,42,85,83,76,17,10,7,16,378,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,3,6,3,14,14,5,0,0,0,0,45,0,0,0,0,0,3,0,3,0,0,0,0,7,0,0,0,0,3,6,5,4,0,0,0,4,24,4,0,3,5,5,29,14,12,0,0,0,4,86,29,14,22,47,70,161,132,113,29,17,9,36,678,10,12,11,16,25,53,27,26,0,10,0,11,206,0,0,0,0,3,3,11,5,3,0,0,0,35,0,4,0,11,25,65,28,33,11,9,5,4,185,0,0,3,3,6,9,5,8,0,3,0,4,45,5,3,0,3,5,14,17,11,0,0,0,3,62,5,4,0,18,38,93,60,58,13,8,8,7,329,0,0,0,0,0,3,0,0,0,0
101031015,4,4,3,0,0,0,0,15,0,0,0,0,0,3,5,0,0,0,0,0,20,7,6,9,8,11,22,32,42,13,17,6,11,184,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,4,13,3,0,0,3,3,7,5,3,0,0,0,4,36,20,14,15,29,27,45,51,64,20,26,10,25,345,7,0,6,10,8,25,23,22,11,10,8,3,134,0,0,0,0,0,5,4,7,7,3,0,0,33,7,3,0,6,0,13,23,26,15,5,13,5,113,0,0,0,3,3,6,11,8,0,0,0,0,38,0,0,0,0,0,3,4,7,3,4,0,0,23,6,8,4,10,0,36,36,50,21,16,13,5,198,0,0,0,0,3,0,0,0,0,0
101031016,3,3,4,3,3,3,3,37,0,0,0,7,0,3,8,12,3,3,0,0,29,10,11,5,12,23,45,64,81,44,25,20,25,359,0,0,0,0,0,3,3,4,0,0,0,0,9,0,0,4,3,0,7,3,3,0,3,0,0,28,0,0,0,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,6,5,5,14,14,9,4,3,3,3,57,21,13,14,25,35,76,96,107,65,39,23,40,565,11,8,0,6,18,41,37,33,13,13,5,9,192,0,0,0,5,3,7,10,12,5,3,0,7,50,6,3,8,7,22,43,47,53,33,14,15,13,266,0,0,0,9,0,4,0,7,3,3,0,0,41,0,3,0,0,3,0,4,7,7,0,0,3,32,7,7,9,16,23,60,60,85,43,18,16,23,381,0,0,0,0,0,0,3,0,0,0
