SA2_MAINCODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
101021007,0,17,77,3300,124,14,0,134,434,3872
101021008,18,8,83,6649,985,149,10,1142,446,8247
101021009,96,24,314,7719,1966,320,52,2326,790,10842
101021010,21,3,51,3516,854,116,18,990,273,4786
101021011,11,13,86,14364,944,77,5,1030,1548,16946
101021012,7,9,74,10783,1248,113,12,1375,486,12643
101031013,3,14,89,2155,61,13,3,79,162,2390
101031014,24,55,241,5569,408,52,3,468,703,6742
101031015,5,4,48,2883,117,10,0,124,279,3280
101031016,10,4,74,5950,361,45,11,419,581,6951
101041017,15,15,291,6799,323,38,7,372,520,7692
101041018,12,35,338,7315,383,48,0,430,613,8358
101041019,6,26,246,7481,256,19,6,286,646,8405
101041020,4,5,100,7988,192,20,0,210,599,8793
101041021,6,14,158,2929,94,11,0,104,252,3285
101041022,0,3,3,19,0,0,0,0,9,25
101041023,5,30,133,2823,104,11,4,121,279,3216
101041024,0,7,47,2987,88,0,0,88,218,3301
101041025,14,59,438,9507,364,35,4,401,713,10618
101041026,10,6,215,7205,239,27,3,272,484,7968
101041027,35,48,410,7905,338,32,9,370,697,8978
101051539,33,61,667,19834,944,197,28,1170,1893,22890
101051540,12,14,224,11274,377,31,15,425,971,12670
101061541,12,15,227,5875,211,18,3,234,397,6506
101061542,0,9,103,10398,353,35,14,401,717,11505
101061543,0,19,321,9468,394,60,5,462,670,10601
101061544,4,24,189,6653,185,21,3,205,467,7323
102011028,7,6,85,6609,367,25,7,397,308,7312
102011029,17,20,249,9812,400,47,3,453,427,10689
102011030,16,4,66,3849,351,48,4,411,449,4705
102011031,104,149,922,12109,936,159,12,1098,743,13953
102011032,39,43,597,15056,2107,398,35,2535,1212,18803
102011033,12,5,53,5465,483,66,7,556,362,6385
102011034,16,37,493,6748,262,29,0,299,262,7313
102011035,12,10,93,5863,482,72,6,553,222,6642
102011036,10,9,180,7305,397,55,6,454,272,8029
102011037,11,15,163,5481,447,71,0,518,202,6206
102011038,16,16,201,6466,210,19,3,233,288,6984
102011039,14,9,202,11907,811,75,6,892,544,13347
102011040,47,202,954,20675,1282,145,25,1451,1465,23590
102011041,4,21,193,8939,375,28,5,406,411,9757
102011042,25,50,631,12056,907,135,11,1056,809,13924
102011043,33,129,599,9736,820,120,11,943,751,11436
102021044,52,173,951,19959,702,92,10,799,1249,22008
102021045,7,12,122,10092,431,67,8,500,449,11046
102021046,7,29,275,8584,252,44,6,300,523,9409
102021047,17,20,428,14170,548,62,13,624,555,15355
102021048,31,172,875,19440,906,128,16,1054,1617,22109
102021049,0,0,32,2963,104,10,3,114,272,3358
102021050,15,32,282,9878,267,28,8,304,552,10728
102021051,4,6,53,4399,244,23,0,270,188,4855
102021052,7,4,94,5326,220,16,10,243,205,5768
102021053,30,61,478,12904,820,117,7,946,1090,14941
102021054,20,114,487,8612,298,44,7,339,820,9773
102021055,4,31,87,4400,466,97,4,572,334,5303
102021056,10,45,259,13500,1019,142,7,1168,557,15222
102021057,13,17,159,7488,644,112,4,764,569,8822
103011058,13,102,596,20409,1059,137,14,1210,2213,23833
103011059,5,51,225,10117,377,63,5,450,618,11189
103011060,3,4,74,5942,120,15,0,130,846,6910
103011061,4,9,108,3896,159,21,3,184,589,4662
103021062,3,22,185,5758,133,21,3,156,714,6630
103021063,13,64,386,8127,235,38,11,278,741,9146
103021064,3,5,120,4913,138,17,3,153,382,5447
103021065,5,26,276,9070,213,29,5,242,851,10165
103021066,0,18,148,3263,59,6,0,65,320,3652
103021067,3,57,344,9735,328,37,12,374,867,10977
103021068,0,5,80,2981,60,11,0,72,339,3390
