SA2_MAINCODE_2016,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_BP_B_OS,C06_Pol_Fa_O_B_OS,C06_Pol_Mo_O_B_OS,C06_Pol_BP_B_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_BP_B_OS,C06_Rus_Fa_O_B_OS,C06_Rus_Mo_O_B_OS,C06_Rus_BP_B_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_SAf_BP_B_OS,C06_SAf_Fa_O_B_OS,C06_SAf_Mo_O_B_OS,C06_SAf_BP_B_Aus,C06_SAf_Bplace_NS,C06_SAf_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinha_Fa_O_B_OS,C06_Sinha_Mo_O_B_OS,C06_Sinha_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Wel_BP_B_OS,C06_Wel_Fa_O_B_OS,C06_Wel_Mo_O_B_OS,C06_Wel_BP_B_Aus,C06_Wel_Bplace_NS,C06_Wel_Tot_resp,C06_Oth_BP_B_OS,C06_Oth_Fa_O_B_OS,C06_Oth_Mo_O_B_OS,C06_Oth_BP_B_Aus,C06_Oth_Bplace_NS,C06_Oth_Tot_resp,C06_Anc_ns_BP_B_OS,C06_Anc_ns_Fa_O_B_OS,C06_Anc_ns_Mo_O_B_OS,C06_Anc_ns_BP_B_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS
101021007,15,95,49,899,20,1071,0,0,0,3,0,3,6,0,0,5,0,14,3,0,0,0,0,5,16,0,0,3,0,27,166,83,49,650,9,953,3,0,0,0,0,3,6,0,0,4,0,12,26,5,9,46,0,85,0,0,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,23,17,18,274,3,326,11,10,0,10,0,30,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,4,0,10,3,3,9,3,0,17,3,4,0,3,0,15,4,0,0,0,0,6,3,0,0,0,0,7,34,18,18,158,5,228,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,7,0,28,49,19,8,15,0,94,8,9,3,47,101,161,328,158,100,1622,132,2342,12,136
101021008,68,299,217,3272,95,3949,0,0,0,48,7,58,42,0,0,30,8,81,91,23,8,14,13,144,40,21,14,24,3,107,337,232,152,1926,80,2727,52,0,7,0,0,60,12,0,0,10,0,21,108,27,17,205,9,367,47,11,4,28,3,92,30,6,0,16,3,57,19,0,7,3,0,31,68,59,40,773,21,959,255,57,16,132,15,482,3,0,3,0,0,6,13,3,0,3,0,18,362,31,10,30,17,448,39,6,3,26,4,72,47,10,5,0,4,68,35,17,13,3,0,71,63,13,5,19,3,103,17,6,0,3,0,22,88,54,32,412,11,604,97,10,9,7,5,120,8,0,0,0,0,8,25,0,4,8,6,33,5,0,0,0,0,5,3,3,0,0,0,7,11,0,0,3,0,14,10,4,4,20,0,39,288,39,37,70,6,443,89,22,7,161,439,729,2091,602,377,5492,687,9245,47,264
101021009,45,316,203,2709,73,3350,0,0,0,21,3,23,89,0,9,17,3,108,84,9,7,17,0,112,62,19,14,32,4,130,441,251,133,1777,54,2651,80,0,13,4,3,94,15,0,4,17,0,37,111,48,23,197,7,378,150,11,5,31,0,192,46,7,3,0,0,54,24,3,0,3,0,32,71,58,26,817,16,993,241,40,14,110,4,411,9,4,0,0,0,15,0,0,0,3,0,7,257,11,5,32,3,310,50,11,5,20,4,88,42,13,0,3,3,63,32,9,8,5,0,51,80,16,6,11,7,120,25,0,0,10,3,35,136,54,36,452,15,694,96,4,3,4,3,112,8,3,4,0,0,10,25,3,5,6,0,40,9,0,0,0,0,7,0,0,0,0,0,0,26,0,4,0,0,29,17,7,0,15,3,48,456,52,29,73,17,622,63,9,9,144,738,966,2457,582,346,4834,913,9127,59,316
101021010,25,148,88,1251,46,1555,0,0,0,6,0,6,26,4,3,14,0,45,38,12,0,12,0,61,39,7,6,22,0,70,206,121,80,806,34,1248,36,0,3,0,0,38,10,0,3,3,0,17,51,21,14,76,4,158,16,4,0,9,0,32,20,3,0,3,0,25,48,0,0,0,0,48,59,22,14,343,9,445,49,22,3,52,6,128,0,0,0,0,0,0,3,0,0,0,0,4,70,14,3,4,0,87,11,10,4,3,0,24,16,0,0,0,0,18,25,4,3,3,0,40,38,3,4,12,0,54,11,0,3,6,0,24,65,20,20,206,3,321,22,3,0,0,0,23,7,0,0,0,0,7,13,0,0,4,0,18,9,0,0,0,0,9,3,0,0,0,0,3,9,0,0,0,0,8,13,3,3,5,0,24,190,36,26,28,5,278,34,0,8,67,300,412,987,266,168,2199,388,4002,28,170
101021011,79,548,482,4776,99,5985,0,0,0,20,0,27,35,3,4,16,0,59,49,3,6,5,0,62,142,33,29,68,0,272,1008,410,365,2550,99,4433,8,0,7,3,0,18,38,12,11,27,0,79,183,47,47,269,12,557,34,21,6,13,0,80,36,9,0,5,0,53,30,10,0,4,0,39,160,84,59,1056,15,1372,211,60,14,134,6,436,11,0,0,0,0,13,7,3,0,6,0,23,14,0,0,3,0,21,44,7,10,15,0,77,13,5,0,3,0,22,70,28,22,9,0,119,43,15,12,18,0,79,22,3,7,3,3,40,223,112,76,743,9,1167,42,6,5,7,0,51,27,0,7,0,0,33,31,0,0,18,3,46,8,3,0,0,0,16,0,0,0,0,0,0,9,0,0,0,0,9,37,10,4,53,3,110,355,83,52,120,23,641,47,8,11,202,631,902,2460,926,726,7694,848,12650,60,592
101021012,68,510,367,4313,77,5339,0,3,0,15,0,20,88,8,9,32,0,138,127,17,3,37,3,188,77,34,25,49,0,190,678,352,268,2275,81,3656,44,0,4,0,3,53,18,8,7,9,0,43,148,56,26,234,11,475,73,19,4,32,3,130,36,7,4,6,3,60,52,0,0,4,3,63,126,65,51,924,12,1173,257,69,33,166,15,545,8,0,0,0,0,6,17,3,4,4,0,25,201,38,3,49,3,302,39,10,6,34,5,91,48,8,0,8,3,62,62,24,23,10,3,114,76,17,12,18,0,123,24,8,0,6,0,41,191,80,59,556,19,908,85,17,4,14,4,125,21,4,0,0,0,28,47,3,3,12,0,63,23,4,0,5,3,32,7,0,0,0,0,5,20,0,0,0,0,25,28,5,6,26,0,74,392,70,68,91,8,631,33,14,9,151,494,696,2622,877,596,6910,701,11701,79,566
101031013,0,56,62,1153,29,1302,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,9,10,3,3,3,0,20,88,45,50,667,18,865,4,0,0,0,0,3,6,0,0,3,0,5,31,7,3,50,7,100,4,0,3,3,0,12,4,0,0,0,0,6,0,0,0,0,0,3,20,8,12,196,3,238,3,3,0,17,0,20,0,0,0,0,0,0,0,0,0,6,0,6,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,8,9,3,0,0,17,9,3,0,0,0,14,8,3,0,0,0,14,21,7,12,220,3,270,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,30,6,13,14,0,64,14,4,3,79,110,213,226,107,105,1946,156,2538,3,52
101031014,22,188,171,2499,82,2958,0,0,0,14,0,15,53,0,3,16,0,69,11,3,0,3,0,18,72,17,8,28,0,131,334,149,138,1541,42,2202,17,0,14,0,0,29,3,0,0,9,0,16,163,27,17,147,3,350,17,0,0,9,3,33,13,9,0,13,0,35,10,0,0,0,0,14,46,36,24,644,21,765,115,27,6,57,0,206,10,0,0,0,0,8,26,8,0,13,3,55,3,0,0,0,0,3,12,0,0,4,0,16,23,0,0,0,0,22,20,7,4,3,0,31,28,3,0,9,0,44,14,0,0,7,0,25,96,37,40,443,7,620,23,5,3,0,0,30,5,0,0,0,0,5,12,0,0,3,0,16,11,0,0,0,0,11,3,0,0,0,0,3,10,0,0,0,0,10,12,4,3,23,0,40,215,33,19,75,3,353,25,3,3,116,466,617,1230,330,278,4346,603,6789,25,188
101031015,6,93,86,1038,17,1238,0,0,0,3,0,3,4,0,0,0,0,6,3,7,0,0,0,4,42,3,5,3,0,53,176,73,63,653,26,985,4,10,0,0,0,17,9,4,0,3,0,17,67,7,8,70,0,152,0,0,0,8,0,12,9,0,0,3,0,14,0,0,3,0,0,3,33,18,12,317,3,379,22,3,0,20,0,46,0,0,0,0,0,0,3,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,14,0,3,3,0,17,7,0,3,0,0,13,11,3,4,4,0,22,44,25,9,195,3,277,3,0,0,0,0,3,0,3,0,0,0,3,5,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,6,0,21,88,11,25,26,0,147,10,3,8,68,89,175,484,150,135,1847,137,2757,13,95
101031016,21,260,184,1952,49,2467,0,0,0,0,0,3,11,3,0,7,0,25,9,3,0,4,0,14,49,19,15,25,0,108,338,199,124,1294,40,1988,3,0,0,0,0,3,12,3,6,18,0,36,100,29,24,98,12,259,11,3,3,6,3,34,9,0,4,0,0,12,0,3,0,0,0,3,61,60,30,506,14,680,40,27,8,44,0,119,0,0,0,0,0,0,0,3,0,0,0,6,7,0,0,0,0,10,7,0,3,7,0,20,10,0,0,0,0,12,24,21,16,3,0,61,24,0,0,12,0,40,16,3,0,9,0,24,83,63,43,401,13,605,17,0,3,0,0,19,7,0,3,0,0,10,4,0,0,5,0,12,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,12,7,7,10,0,31,193,49,24,63,3,331,21,7,4,69,1230,1324,914,445,302,3410,1330,6406,32,261
