SA2_MAINCODE_2016,C06_CFNC_BF_N,C06_CFNC_BF_1_149,C06_CFNC_BF_150_299,C06_CFNC_BF_300_399,C06_CFNC_BF_400_499,C06_CFNC_BF_500_649,C06_CFNC_BF_650_799,C06_CFNC_BF_800_999,C06_CFNC_BF_1000_1499,C06_CFNC_BF_1500_1999,C06_CFNC_BF_2000_2499,C06_CFNC_BF_2500_2999,C06_CFNC_BF_3000_3999,C06_CFNC_BF_4000m,C06_CFNC_BF_Ns,C06_CFNC_BF_T,C06_CFNC_BPT_N,C06_CFNC_BPT_1_149,C06_CFNC_BPT_150_299,C06_CFNC_BPT_300_399,C06_CFNC_BPT_400_499,C06_CFNC_BPT_500_649,C06_CFNC_BPT_650_799,C06_CFNC_BPT_800_999,C06_CFNC_BPT_1000_1499,C06_CFNC_BPT_1500_1999,C06_CFNC_BPT_2000_2499,C06_CFNC_BPT_2500_2999,C06_CFNC_BPT_3000_3999,C06_CFNC_BPT_4000m,C06_CFNC_BPT_Ns,C06_CFNC_BPT_T,C06_CFNC_1F1P_N,C06_CFNC_1F1P_1_149,C06_CFNC_1F1P_150_299,C06_CFNC_1F1P_300_399,C06_CFNC_1F1P_400_499,C06_CFNC_1F1P_500_649,C06_CFNC_1F1P_650_799,C06_CFNC_1F1P_800_999,C06_CFNC_1F1P_1000_1499,C06_CFNC_1F1P_1500_1999,C06_CFNC_1F1P_2000_2499,C06_CFNC_1F1P_2500_2999,C06_CFNC_1F1P_3000_3999,C06_CFNC_1F1P_4000m,C06_CFNC_1F1P_Ns,C06_CFNC_1F1P_T,C06_CFNC_1E1A_N,C06_CFNC_1E1A_1_149,C06_CFNC_1E1A_150_299,C06_CFNC_1E1A_300_399,C06_CFNC_1E1A_400_499,C06_CFNC_1E1A_500_649,C06_CFNC_1E1A_650_799,C06_CFNC_1E1A_800_999,C06_CFNC_1E1A_1000_1499,C06_CFNC_1E1A_1500_1999,C06_CFNC_1E1A_2000_2499,C06_CFNC_1E1A_2500_2999,C06_CFNC_1E1A_3000_3999,C06_CFNC_1E1A_4000m,C06_CFNC_1E1A_Ns,C06_CFNC_1E1A_T,C06_CFNC_1F1NW_N,C06_CFNC_1F1NW_1_149,C06_CFNC_1F1NW_150_299,C06_CFNC_1F1NW_300_399,C06_CFNC_1F1NW_400_499,C06_CFNC_1F1NW_500_649,C06_CFNC_1F1NW_650_799,C06_CFNC_1F1NW_800_999,C06_CFNC_1F1NW_1000_1499,C06_CFNC_1F1NW_1500_1999,C06_CFNC_1F1NW_2000_2499,C06_CFNC_1F1NW_2500_2999,C06_CFNC_1F1NW_3000_3999,C06_CFNC_1F1NW_4000m,C06_CFNC_1F1NW_Ns,C06_CFNC_1F1NW_T,C06_CFNC_1P1NW_N,C06_CFNC_1P1NW_1_149,C06_CFNC_1P1NW_150_299,C06_CFNC_1P1NW_300_399,C06_CFNC_1P1NW_400_499,C06_CFNC_1P1NW_500_649,C06_CFNC_1P1NW_650_799,C06_CFNC_1P1NW_800_999,C06_CFNC_1P1NW_1000_1499,C06_CFNC_1P1NW_1500_1999,C06_CFNC_1P1NW_2000_2499,C06_CFNC_1P1NW_2500_2999,C06_CFNC_1P1NW_3000_3999,C06_CFNC_1P1NW_4000m,C06_CFNC_1P1NW_Ns,C06_CFNC_1P1NW_T,C06_CFNC_1A1NW_N,C06_CFNC_1A1NW_1_149,C06_CFNC_1A1NW_150_299,C06_CFNC_1A1NW_300_399,C06_CFNC_1A1NW_400_499,C06_CFNC_1A1NW_500_649,C06_CFNC_1A1NW_650_799,C06_CFNC_1A1NW_800_999,C06_CFNC_1A1NW_1000_1499,C06_CFNC_1A1NW_1500_1999,C06_CFNC_1A1NW_2000_2499,C06_CFNC_1A1NW_2500_2999,C06_CFNC_1A1NW_3000_3999,C06_CFNC_1A1NW_4000_m,C06_CFNC_1A1NW_Ns,C06_CFNC_1A1NW_T,C06_CFNC_BA_N,C06_CFNC_BA_1_149,C06_CFNC_BA_150_299,C06_CFNC_BA_300_399,C06_CFNC_BA_400_499,C06_CFNC_BA_500_649,C06_CFNC_BA_650_799,C06_CFNC_BA_800_999,C06_CFNC_BA_1000_1499,C06_CFNC_BA_1500_1999,C06_CFNC_BA_2000_2499,C06_CFNC_BA_2500_2999,C06_CFNC_BA_3000_3999,C06_CFNC_BA_4000_m,C06_CFNC_BA_Ns,C06_CFNC_BA_T,C06_CFNC_BNW_N,C06_CFNC_BNW_1_149,C06_CFNC_BNW_150_299,C06_CFNC_BNW_300_399,C06_CFNC_BNW_400_499,C06_CFNC_BNW_500_649,C06_CFNC_BNW_650_799,C06_CFNC_BNW_800_999,C06_CFNC_BNW_1000_1499,C06_CFNC_BNW_1500_1999,C06_CFNC_BNW_2000_2499,C06_CFNC_BNW_2500_2999,C06_CFNC_BNW_3000_3999,C06_CFNC_BNW_4000m,C06_CFNC_BNW_Ns,C06_CFNC_BNW_T,C06_CFNC_LFns_N,C06_CFNC_LFns_1_149,C06_CFNC_LFns_150_299,C06_CFNC_LFns_300_399,C06_CFNC_LFns_400_499,C06_CFNC_LFns_500_649,C06_CFNC_LFns_650_799,C06_CFNC_LFns_800_999,C06_CFNC_LFns_1000_1499,C06_CFNC_LFns_1500_1999,C06_CFNC_LFns_2000_2499,C06_CFNC_LFns_2500_2999,C06_CFNC_LFns_3000_3999,C06_CFNC_LFns_4000m,C06_CFNC_LFns_Ns,C06_CFNC_LFns_T,C06_CFNC_T_N,C06_CFNC_T_1_149,C06_CFNC_T_150_299,C06_CFNC_T_300_399,C06_CFNC_T_400_499,C06_CFNC_T_500_649,C06_CFNC_T_650_799,C06_CFNC_T_800_999,C06_CFNC_T_1000_1499,C06_CFNC_T_1500_1999,C06_CFNC_T_2000_2499,C06_CFNC_T_2500_2999,C06_CFNC_T_3000_3999,C06_CFNC_T_4000_m,C06_CFNC_T_Ns,C06_CFNC_T_T,C06_CF_BFT_N,C06_CF_BFT_1_149,C06_CF_BFT_150_299,C06_CF_BFT_300_399,C06_CF_BFT_400_499,C06_CF_BFT_500_649,C06_CF_BFT_650_799,C06_CF_BFT_800_999,C06_CF_BFT_1000_1499,C06_CF_BFT_1500_1999,C06_CF_BFT_2000_2499,C06_CF_BFT_2500_2999,C06_CF_BFT_3000_3999,C06_CF_BFT_4000m,C06_CF_BFT_Ns,C06_CF_BFT_T,C06_CF_BPT_N,C06_CF_BPT_1_149,C06_CF_BPT_150_299,C06_CF_BPT_300_399,C06_CF_BPT_400_499,C06_CF_BPT_500_649,C06_CF_BPT_650_799,C06_CF_BPT_800_999
101021007,3,0,0,0,4,9,3,0,14,11,12,7,4,6,4,67,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,20,0,0,0,0,0,3,0,4,22,4,0,3,0,3,0,45,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,3,7,3,0,6,0,0,0,30,0,0,0,3,0,7,4,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,6,3,0,38,18,7,7,14,3,0,0,0,0,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,4,12,3,16,50,49,19,19,73,22,16,10,8,9,30,325,0,0,0,0,0,0,0,0,13,12,6,3,3,0,8,45,0,0,0,0,3,0,0,5
101021008,0,0,0,0,0,3,0,4,51,58,54,32,17,3,0,227,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,3,13,52,21,9,4,4,0,0,113,0,0,0,0,0,0,0,3,4,5,3,3,0,0,0,21,0,0,0,0,0,8,12,15,25,13,3,4,0,0,3,74,0,0,0,0,6,3,0,5,7,3,0,0,0,0,0,27,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,4,5,0,4,89,40,14,12,26,7,0,0,0,0,5,208,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,42,4,12,5,4,95,65,30,47,176,110,77,48,20,3,52,749,0,0,0,0,0,0,0,0,44,79,70,63,50,13,30,350,0,0,0,0,0,0,0,7
101021009,0,0,0,0,0,4,0,4,83,61,54,26,21,4,3,263,0,0,0,0,0,3,0,4,8,3,0,0,0,0,0,24,0,0,0,0,0,3,3,11,35,22,7,3,3,0,0,94,0,0,0,0,0,0,0,3,8,5,4,0,0,0,0,21,0,0,0,0,0,12,16,15,27,6,7,0,3,0,3,90,0,0,3,3,4,6,7,0,6,3,3,0,0,0,3,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9,3,7,3,3,104,53,22,16,22,6,7,0,0,0,8,257,3,0,0,0,4,0,4,0,0,0,0,0,0,0,52,67,9,5,3,8,110,79,50,55,201,116,81,41,21,3,80,862,0,0,0,0,0,0,4,3,25,50,41,29,11,6,15,190,0,0,0,0,3,0,0,0
101021010,0,0,0,0,0,0,0,0,34,41,26,17,25,4,0,149,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,18,0,0,0,0,0,0,4,4,20,14,10,4,4,0,0,55,0,0,0,0,0,0,0,0,4,4,0,5,0,0,3,15,0,0,0,0,0,0,3,3,16,3,3,6,0,0,0,38,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,7,3,0,32,16,4,3,14,4,4,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,0,3,3,0,34,18,10,18,97,68,44,26,32,3,28,396,0,0,0,0,0,0,0,0,11,17,17,14,24,5,13,104,0,0,0,0,0,0,0,0
101021011,7,0,0,0,0,3,0,9,71,54,88,54,73,34,7,402,0,0,0,0,0,3,0,11,23,11,0,3,4,0,3,61,0,0,0,0,0,11,5,13,51,45,31,27,34,12,0,233,0,0,0,0,0,0,0,3,3,4,8,9,6,0,0,40,3,0,0,0,3,4,17,12,35,29,11,17,14,0,4,148,0,0,0,6,0,13,0,4,21,3,8,4,3,0,0,69,0,0,0,0,0,0,0,7,9,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,5,3,4,0,0,23,9,0,3,5,63,35,9,20,71,15,14,7,4,0,14,267,0,3,0,0,0,0,0,0,3,0,0,3,0,0,95,101,14,4,7,9,66,73,35,75,292,171,166,118,149,57,121,1367,0,0,0,0,0,8,0,6,45,74,100,91,108,58,72,572,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,3,0,0,43,68,100,75,64,20,7,388,0,0,0,0,0,0,0,3,10,3,4,0,0,0,0,19,0,0,0,0,0,0,5,6,33,35,17,17,11,3,0,129,0,0,0,0,0,0,0,0,3,4,3,4,4,3,3,29,0,0,0,0,0,5,9,14,24,19,6,14,3,0,3,95,0,0,0,0,0,0,0,3,6,5,3,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,10,0,9,3,0,32,21,14,9,38,5,0,0,0,0,4,136,0,0,0,0,0,0,0,3,0,0,0,0,0,0,62,69,5,9,3,3,32,41,25,31,160,152,136,114,89,34,88,911,0,0,0,0,0,0,0,0,48,71,138,104,133,70,36,602,0,0,0,0,0,0,0,0
101031013,0,0,0,0,6,3,0,3,28,22,3,5,0,0,0,72,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,0,0,0,0,0,3,8,8,33,7,3,3,0,0,0,62,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,3,11,0,9,4,0,0,0,0,0,29,0,0,0,0,3,7,5,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,3,45,26,3,3,5,0,0,0,0,0,7,98,0,0,0,0,3,3,4,0,0,0,0,0,0,0,16,25,3,7,4,3,56,46,30,18,86,31,7,9,3,0,27,332,0,0,0,0,3,0,0,3,18,10,4,0,0,0,9,49,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,3,0,9,53,31,28,5,6,3,0,140,0,0,0,0,3,7,5,0,3,3,0,0,0,0,0,23,0,0,0,0,0,7,6,6,63,23,8,6,5,0,0,122,0,0,0,0,0,0,6,0,9,5,0,3,0,0,0,23,0,0,0,0,0,5,11,9,20,15,0,9,4,0,3,63,0,0,3,4,3,16,9,9,15,3,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,9,3,0,89,49,11,22,25,6,0,0,0,0,3,219,0,0,0,0,4,0,0,0,3,0,0,0,0,0,50,57,3,15,8,7,101,92,44,54,191,77,36,21,14,3,60,730,0,0,0,0,0,0,4,3,59,30,31,7,15,0,15,165,0,0,0,0,0,7,0,3
101031015,0,7,0,0,9,3,7,3,26,19,5,7,4,3,4,78,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0,19,0,0,0,0,0,8,6,6,22,12,3,0,0,0,0,60,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,14,0,3,0,0,0,3,3,3,8,10,0,0,0,0,0,33,0,0,0,0,4,11,9,3,4,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,12,3,5,3,0,47,25,9,4,11,4,0,3,0,0,8,124,0,0,0,0,3,0,0,0,0,0,0,0,0,0,30,40,10,13,6,0,58,57,34,22,93,40,16,10,3,4,50,417,0,0,0,0,0,3,0,3,13,14,5,3,8,5,3,61,0,0,0,0,0,0,0,0
101031016,3,3,0,0,3,8,0,3,60,45,21,18,7,5,4,173,0,0,4,3,4,3,4,0,18,3,0,4,0,0,0,36,0,0,0,0,3,3,5,3,41,16,5,3,4,0,3,92,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,0,0,0,3,0,3,5,0,15,10,0,3,0,0,6,49,0,0,0,3,3,3,4,0,18,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,32,23,5,3,18,0,0,0,0,0,5,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,14,12,5,6,40,41,25,14,179,80,30,25,18,5,51,533,0,0,0,3,0,4,0,3,48,48,20,9,9,7,31,185,0,0,0,0,4,3,0,3
