SA2_MAINCODE_2016,C16_SH_Tot_NPFH_6_mor,C16_SH_T_T,C16_SDRTHT_0b_NPFH_2,C16_SDRTHT_0b_NPFH_3,C16_SDRTHT_0b_NPFH_4,C16_SDRTHT_0b_NPFH_5,C16_SDRTHT_0b_NPFH_6_mor,C16_SDRTHT_0bTotal,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_T,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_T_T,C16_FUA_0b_NPFH_2,C16_FUA_0b_NPFH_3,C16_FUA_0b_NPFH_4,C16_FUA_0b_NPFH_5,C16_FUA_0b_NPFH_6_mor,C16_FUA_0bTotal,C16_FUA_1b_NPFH_2,C16_FUA_1b_NPFH_3,C16_FUA_1b_NPFH_4,C16_FUA_1b_NPFH_5,C16_FUA_1b_NPFH_6_mor,C16_FUA_1b_Tot,C16_FUA_2b_NPFH_2,C16_FUA_2b_NPFH_3,C16_FUA_2b_NPFH_4,C16_FUA_2b_NPFH_5,C16_FUA_2b_NPFH_6_mor,C16_FUA_2b_Tot,C16_FUA_3b_NPFH_2,C16_FUA_3b_NPFH_3,C16_FUA_3b_NPFH_4,C16_FUA_3b_NPFH_5,C16_FUA_3b_NPFH_6_mor,C16_FUA_3b_Tot,C16_FUA_4mb_NPFH_2,C16_FUA_4mb_NPFH_3,C16_FUA_4mb_NPFH_4,C16_FUA_4mb_NPFH_5,C16_FUA_4mb_NPFH_6_mor,C16_FUA_4mb_Tot,C16_FUA_NB_NS_NPFH_2,C16_FUA_NB_NS_NPFH_3,C16_FUA_NB_NS_NPFH_4,C16_FUA_NB_NS_NPFH_5,C16_FUA_NB_NS_NPFH_6_mor,C16_FUA_NB_NS_T,C16_FUA_Tot_NPFH_2,C16_FUA_Tot_NPFH_3,C16_FUA_Tot_NPFH_4,C16_FUA_Tot_NPFH_5,C16_FUA_Tot_NPFH_6_mor,C16_FUA_T_T,C16_OD_0b_NPFH_2,C16_OD_0b_NPFH_3,C16_OD_0b_NPFH_4,C16_OD_0b_NPFH_5,C16_OD_0b_NPFH_6_mor,C16_OD_0bTotal,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_T,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_T_T,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_T,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_T_T
104011082,123,4003,0,0,0,0,0,0,0,0,0,0,0,3,65,13,0,0,0,76,67,20,11,0,0,103,0,4,0,5,0,10,3,3,0,0,0,4,137,36,17,6,0,193,0,0,0,0,0,0,7,0,0,0,0,10,66,8,3,0,0,78,38,10,3,0,0,57,3,0,0,0,0,4,3,0,0,0,0,3,119,22,10,0,0,152,8,0,0,0,0,8,28,0,0,0,0,29,44,3,0,0,0,47,14,3,0,0,0,18,3,0,0,0,0,4,13,0,0,0,0,13,115,3,4,0,0,123,17,8,3,0,0,27,2796,750,559,271,123,4494
104021083,64,1471,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,3,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,14,717,314,301,125,69,1521
104021084,177,3287,0,0,0,0,0,0,10,0,0,0,0,7,165,45,23,3,0,239,150,75,33,12,4,280,19,13,11,3,0,52,12,0,0,0,0,11,354,131,66,19,10,589,4,0,0,0,0,4,5,4,0,0,0,8,163,60,20,4,0,242,67,25,11,3,3,110,0,0,0,0,0,6,10,8,0,0,0,14,246,97,30,13,5,385,3,0,0,0,0,3,6,0,0,0,0,6,21,3,0,0,0,25,7,0,0,0,0,7,3,0,0,0,0,3,3,0,3,0,0,4,39,4,5,0,0,50,31,7,9,0,0,53,2154,923,757,347,190,4372
104021085,94,1643,0,0,0,0,0,0,0,0,0,0,0,0,50,17,0,4,0,73,125,39,14,10,5,186,8,6,4,0,0,25,6,3,0,0,0,10,190,61,18,14,8,293,0,0,0,0,0,0,11,0,3,0,0,13,148,48,25,11,0,226,73,38,24,4,0,135,6,5,3,0,3,23,0,3,0,4,0,10,232,90,52,17,10,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,8,16,6,4,0,0,33,1240,493,358,169,103,2370
104021086,53,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,7,0,0,0,0,11,443,209,199,97,60,1010
104021087,27,801,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,3,0,0,13,466,139,123,59,27,816
104021088,81,2132,0,0,0,0,0,0,4,0,0,0,0,4,38,18,4,0,0,55,53,27,10,9,0,100,12,6,15,4,3,39,0,0,0,0,0,4,108,55,28,11,3,207,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,27,18,8,3,3,0,24,3,0,0,0,0,3,0,0,0,0,0,0,40,9,3,3,0,52,3,0,0,0,0,3,7,0,0,0,0,7,8,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,3,0,0,21,7,3,0,0,0,18,1135,480,509,222,86,2430
104021089,214,4453,0,0,0,0,0,0,7,0,0,0,0,7,154,27,6,4,0,187,91,51,31,9,4,188,14,3,6,6,0,27,4,4,0,0,0,10,263,82,47,14,3,412,0,0,0,0,0,0,9,0,0,0,0,9,105,29,7,0,0,137,32,16,7,0,4,66,0,0,4,0,0,3,5,3,0,0,0,11,155,50,19,0,4,225,3,0,0,0,0,3,12,0,0,0,0,14,15,3,0,0,0,21,3,0,0,0,0,4,3,0,3,0,0,3,0,0,0,0,0,0,38,7,6,0,0,45,8,6,6,8,0,24,2488,1043,964,444,229,5166
104021090,33,1110,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,19,24,8,11,3,0,39,8,6,7,0,0,23,0,0,0,0,0,0,42,15,17,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,18,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,4,3,0,0,34,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,24,0,3,0,0,29,7,0,0,0,0,10,716,241,204,66,35,1265
104021091,145,2942,0,0,0,0,0,0,7,0,3,0,0,8,53,16,16,0,0,88,32,17,8,4,3,59,0,0,3,0,0,6,3,0,0,0,0,3,94,33,24,7,3,170,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,3,0,23,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,3,0,26,12,0,0,0,0,12,18,0,0,0,0,22,30,3,0,0,0,33,14,5,0,3,0,24,0,0,0,0,0,3,8,0,0,0,0,8,82,8,3,3,0,99,15,0,0,0,3,18,1617,629,589,272,155,3257
