SA2_MAINCODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
101021007,0,0,0,0,9,6,0,0,0,0,28,3,0,0,0,0,0,10,0,0,0,0,3,23,4,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,3,5,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,3,3,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,7,39,0,21,23,13,44,71,43,0,0,0,14,271
101021008,0,7,4,10,22,53,13,0,0,6,115,3,0,0,0,3,4,10,43,21,3,0,3,89,0,0,0,0,0,5,5,25,8,5,0,0,50,0,0,0,0,0,0,9,15,5,4,3,3,42,0,0,0,0,0,0,3,3,5,0,0,0,12,0,0,5,0,3,3,4,17,3,0,0,6,37,0,0,6,4,3,3,0,0,0,0,0,4,22,28,4,89,122,63,76,113,260,79,12,11,34,898
101021009,3,17,24,53,87,101,24,4,0,3,314,0,0,3,5,10,29,42,100,31,3,3,0,222,0,0,0,0,0,7,12,37,18,3,0,0,81,0,0,0,0,7,3,10,28,14,3,3,3,80,0,0,0,0,0,4,7,18,4,3,0,0,34,0,0,4,8,10,21,14,27,12,3,0,3,100,3,0,0,0,3,4,3,5,0,0,0,4,32,56,16,94,221,245,377,410,509,126,17,11,43,2122
101021010,0,4,19,24,24,29,8,0,0,0,120,0,0,0,3,7,15,38,28,10,3,0,0,104,0,0,0,0,0,3,5,7,4,3,0,0,32,0,0,0,3,0,3,10,6,13,3,0,0,47,0,0,0,0,0,0,3,3,6,0,0,0,12,0,0,0,4,0,6,5,16,5,0,0,3,42,0,0,4,4,0,0,0,3,0,0,0,3,15,16,6,23,126,120,173,197,159,66,10,5,28,936
101021011,0,3,0,14,5,21,12,5,0,0,77,4,0,0,0,0,6,11,24,22,13,9,0,92,6,0,0,0,0,0,6,13,7,18,0,0,48,3,3,0,0,3,8,6,7,21,17,15,0,79,3,0,0,0,0,0,3,3,4,15,11,0,45,5,0,0,0,4,3,0,10,7,6,4,0,48,3,0,0,0,0,0,0,0,0,0,0,3,5,58,0,21,18,24,51,70,122,102,79,47,24,615
101021012,0,4,0,15,23,50,22,7,3,0,130,0,0,0,7,0,19,28,46,36,22,14,3,175,0,0,3,0,0,15,18,23,24,9,5,0,92,0,0,0,0,0,11,39,14,21,23,10,3,130,0,0,0,3,0,3,32,25,22,13,14,3,105,0,0,0,3,0,6,16,19,11,19,4,0,82,0,0,0,0,0,3,0,4,3,0,0,4,11,20,8,25,34,35,104,209,252,171,104,61,21,1034
101031013,0,13,3,0,0,0,0,0,0,0,19,3,0,0,0,3,4,0,0,0,0,0,3,18,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,5,47,13,24,45,33,21,0,0,0,0,3,10,205
101031014,3,3,5,24,18,3,0,0,0,3,77,3,0,0,4,3,18,12,4,0,0,0,0,46,0,0,0,0,0,0,7,0,0,0,0,0,18,3,0,0,3,0,0,3,5,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,4,3,3,14,10,11,0,0,0,0,54,0,0,0,3,0,8,0,0,0,0,0,4,27,47,21,95,137,107,214,134,42,3,0,6,25,843
101031015,0,3,3,3,3,0,0,0,3,3,22,3,0,0,0,0,3,0,0,0,0,3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,42,7,16,24,11,17,11,9,3,0,15,17,175
101031016,3,3,8,17,23,28,9,0,21,3,138,6,0,4,11,5,15,14,20,4,5,26,0,112,4,0,0,0,0,0,9,10,3,6,28,6,69,4,0,0,0,3,3,4,17,0,3,40,9,84,3,0,0,0,0,0,0,3,0,0,61,0,80,4,0,0,3,0,3,12,6,6,3,13,0,55,0,0,0,0,6,0,0,0,0,0,7,5,22,84,0,35,89,75,104,118,145,31,31,258,51,1024
101041017,0,0,0,8,28,27,0,0,0,0,65,0,0,0,0,0,0,13,10,3,0,0,0,35,0,0,0,0,0,0,3,8,0,0,3,0,16,0,0,0,0,0,3,5,10,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,7,0,10,21,22,0,0,0,6,66,0,0,3,4,6,10,4,5,0,0,0,9,40,23,11,84,110,90,180,255,170,18,0,12,39,989
101041018,0,3,0,5,23,29,8,0,0,3,75,5,0,0,4,0,6,5,29,3,0,0,3,48,0,0,0,0,0,0,5,9,0,0,0,0,25,0,0,0,0,0,3,0,3,3,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,10,3,4,9,14,0,0,0,0,47,0,0,0,0,3,6,8,0,0,0,0,6,34,26,7,28,85,78,175,237,214,18,3,5,26,903
101041019,0,3,3,13,35,24,0,0,4,0,91,0,0,0,0,3,5,16,13,0,0,0,0,47,0,0,0,0,0,0,8,5,0,0,0,3,14,0,0,0,0,0,0,5,11,0,0,0,3,17,0,0,3,0,0,0,0,0,3,0,0,0,12,3,0,7,4,0,3,23,16,0,0,0,0,54,3,0,0,4,4,3,3,0,0,0,0,8,22,33,17,84,92,84,152,277,133,11,6,3,31,920
101041020,7,4,7,3,6,3,0,0,0,0,37,6,0,0,0,3,3,8,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,5,3,4,10,0,0,0,0,3,33,3,0,0,3,0,0,0,0,0,0,0,3,12,103,3,55,51,61,73,71,22,3,0,5,19,461
