SA2_MAINCODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
125031480,565,327,64,959,315,145,4,20,487,32,22,57,544,320,76,941,347,156,7,24,537,27,22,47,583,356,85,1018,324,132,10,20,491,25,22,46,538,350,81,969,260,97,3,16,377,25,19,48,425,371,64,863,170,95,4,3,270,15,11,30,297,454,60,810,52,34,0,0,89,0,0,4,92,498,46,634,15,13,0,0,27,3,0,5,30,374,32,433,5,6,3,4,12,0,0,0,12,1043,96,1150,2935,1571,107,241,4855,347,274,620,5475,5870,917,12267
125031481,1021,411,108,1535,508,230,8,24,774,52,37,91,858,312,72,1237,454,197,11,27,690,40,22,67,759,345,88,1187,432,188,15,23,651,43,18,55,713,348,91,1157,364,166,14,15,554,30,28,55,609,381,82,1074,175,120,11,9,317,19,12,39,355,455,61,866,68,40,4,0,119,0,3,4,119,523,56,696,19,23,0,3,38,3,0,3,43,396,26,467,0,11,0,0,10,0,0,0,15,700,53,765,4826,2970,195,299,8282,597,391,988,9272,6182,1211,16664
125031482,1776,322,94,2190,1089,368,35,24,1515,44,24,69,1578,254,80,1916,993,288,22,28,1334,34,17,53,1381,237,89,1710,847,267,26,17,1163,34,16,53,1214,264,58,1534,636,222,20,23,907,30,13,48,952,311,48,1312,403,225,17,10,647,28,12,35,689,559,58,1301,178,137,16,7,338,3,5,5,346,1062,64,1464,25,49,3,3,85,0,0,0,85,1007,70,1157,10,13,3,0,31,0,0,0,31,1359,181,1562,8080,3309,358,223,11972,392,303,693,12664,6939,991,20597
125031483,809,475,139,1426,377,193,13,25,612,36,28,64,680,436,99,1209,326,172,7,19,531,27,19,51,576,443,88,1107,315,173,4,21,516,28,21,50,563,465,100,1126,317,127,3,26,470,19,22,44,517,450,103,1068,166,95,14,3,282,23,10,33,314,526,66,907,57,31,0,4,89,0,0,7,92,519,54,667,10,16,0,0,26,0,0,0,26,452,47,525,0,3,0,3,3,0,0,0,3,906,111,1019,3809,2121,145,319,6389,476,328,809,7200,7287,1334,15823
125031484,993,419,76,1490,536,200,13,13,763,36,25,60,823,341,69,1230,547,200,12,24,782,29,24,57,839,320,79,1234,505,190,15,11,723,35,23,52,777,353,68,1199,438,170,16,16,639,22,11,29,677,403,62,1132,243,119,13,9,390,18,11,31,418,445,53,915,81,58,3,4,142,0,0,0,146,567,45,754,13,12,4,4,29,0,0,0,29,476,26,533,3,11,0,6,16,0,0,0,16,1076,164,1260,5098,2340,206,243,7886,471,335,805,8692,6509,1004,16206
125031485,1613,557,111,2284,864,274,24,35,1194,62,35,94,1290,461,82,1835,731,259,17,27,1026,40,34,76,1101,453,83,1643,692,245,13,31,985,45,33,81,1068,460,87,1619,539,227,31,16,809,27,28,54,869,483,66,1414,304,154,20,15,492,23,21,42,534,606,70,1206,89,83,3,8,191,0,0,3,195,734,70,993,25,33,3,0,58,0,3,3,66,624,57,742,8,15,0,0,27,0,0,0,25,1277,100,1408,7401,3355,305,378,11434,655,507,1165,12600,8634,1197,22441
125031486,3,0,0,3,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,5,3,0,4,13,0,0,8
125031487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,6,3,0,11
125041489,1787,331,176,2299,849,240,24,20,1138,48,33,82,1217,254,146,1621,602,200,22,8,835,48,18,61,899,230,115,1240,592,194,15,10,812,27,19,45,855,243,100,1199,456,143,17,9,624,29,21,46,669,331,109,1103,265,142,7,4,415,26,7,30,448,412,78,937,83,78,5,3,165,8,3,8,177,446,53,672,29,31,0,0,61,0,0,0,60,395,38,488,3,17,3,0,24,0,0,3,26,970,112,1110,7415,2603,257,207,10491,551,430,982,11466,5401,1646,18517
125041490,425,91,14,532,330,137,8,4,480,5,9,9,490,81,5,573,323,126,5,3,456,13,3,18,476,50,5,534,318,111,7,9,455,16,3,17,472,67,11,545,276,100,12,9,393,4,6,9,408,92,25,516,149,90,13,0,250,3,3,7,258,191,15,466,60,67,7,0,139,0,0,4,142,333,15,492,20,43,0,0,64,0,0,0,64,340,4,413,12,9,0,0,24,0,0,0,24,500,13,540,2403,1190,113,46,3755,80,87,166,3922,2178,155,6253
