SA2_MAINCODE_2016,C11_Rel_NS_0_14,C11_Rel_NS_15_24,C11_Rel_NS_25_34,C11_Rel_NS_35_44,C11_Rel_NS_45_54,C11_Rel_NS_55_64,C11_Rel_NS_65_74,C11_Rel_NS_75_84,C11_Rel_NS_85ov,C11_Rel_NS_T,C11_Tot_0_14_yrs,C11_Tot_15_24_yrs,C11_Tot_25_34_yrs,C11_Tot_35_44_yrs,C11_Tot_45_54_yrs,C11_Tot_55_64_yrs,C11_Tot_65_74_yrs,C11_Tot_75_84_yrs,C11_Tot_85o,C11_T_T,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85oe,C16_Buddhism_Tot,C16_Christ_Angli_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Anglic_85oe,C16_Christ_Anglic_Tot,C16_Chr_Ass_Apo_0_14,C16_Chr_Ass_Apo_15_24,C16_Chr_Ass_Apo_25_34,C16_Chr_Ass_Apo_35_44,C16_Chr_Ass_Apo_45_54,C16_Chr_Ass_Apo_55_64,C16_Chr_Ass_Apo_65_74,C16_Chr_Ass_Apo_75_84,C16_Chr_Ass_Apo_85ov,C16_Chr_Ass_Apo_Tot,C16_Chr_Bapt_0_14,C16_Chr_Bapt_15_24,C16_Chr_Bapt_25_34,C16_Chr_Bapt_35_44,C16_Chr_Bapt_45_54,C16_Chr_Bapt_55_64,C16_Chr_Bapt_65_74,C16_Chr_Bapt_75_84,C16_Chr_Bapt_85ov,C16_Chr_Bapt_Tot,C16_Chr_Breth_0_14,C16_Chr_Bret_15_24,C16_Chr_Bret_25_34,C16_Chr_Bret_35_44,C16_Chr_Bret_45_54,C16_Chr_Bret_55_64,C16_Chr_Bret_65_74,C16_Chr_Bret_75_84,C16_Chr_Breth_85ov,C16_Chr_Bret_To,C16_Chr_Cath_0_14,C16_Chr_Cath_15_24,C16_Chr_Cath_25_34,C16_Chr_Cath_35_44,C16_Chr_Cath_45_54,C16_Chr_Cath_55_64,C16_Chr_Cath_65_74,C16_Chr_Cath_75_84,C16_Chr_Catho_85ov,C16_Chr_Catho_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_To,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot,C16_C_La_Da_Sai_0_14,C16_C_La_Da_Sa_15_24,C16_C_La_Da_Sa_25_34,C16_C_La_Da_Sa_35_44,C16_C_La_Da_Sa_45_54,C16_C_La_Da_Sa_55_64,C16_C_La_Da_Sa_65_74,C16_C_La_Da_Sa_75_84,C16_C_Lat_Da_Sa_85ov,C16_C_Lat_Da_Sa_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Ort_To,C16_C_Oth_Pro_0_14,C16_C_Oth_Pro_15_24,C16_C_Oth_Pro_25_34,C16_C_Oth_Pro_35_44,C16_C_Oth_Pro_45_54,C16_C_Oth_Pro_55_64,C16_C_Oth_Pro_65_74,C16_C_Oth_Pro_75_84,C16_C_Oth_Pro_85ov,C16_C_Oth_Pro_Tot,C16_C_Pent_0_14,C16_C_Pent_15_24,C16_C_Pent_25_34,C16_C_Pent_35_44,C16_C_Pent_45_54,C16_C_Pent_55_64,C16_C_Pent_65_74,C16_C_Pent_75_84,C16_C_Pent_85ov,C16_C_Pent_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_Chr_Unit_Ch_0_14,C16_Chr_Unit_Ch_15_24,C16_Chr_Unit_Ch_25_34,C16_Chr_Unit_Ch_35_44,C16_Chr_Unit_Ch_45_54,C16_Chr_Unit_Ch_55_64,C16_Chr_Unit_Ch_65_74,C16_Chr_Unit_Ch_75_84,C16_Chr_Unit_Ch_85ov,C16_Chr_Unit_Ch_Tot
101021007,88,28,33,51,65,54,26,15,5,372,629,256,251,477,547,549,426,160,59,3356,4,3,0,8,3,10,5,0,0,34,79,43,34,71,127,147,131,70,29,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,139,67,76,92,109,148,123,50,15,821,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,6,0,21,3,0,0,0,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,3,0,5,0,4,0,0,0,18,0,0,6,9,10,19,25,8,5,77,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,6,4,4,3,4,13,16,32,16,6,109
101021008,162,103,104,86,83,76,42,26,3,688,1822,1165,1220,1282,1281,976,545,242,61,8602,11,9,18,10,12,11,5,0,0,80,204,177,153,191,248,252,144,76,21,1467,0,0,0,0,0,0,0,0,0,0,8,4,9,6,10,11,7,3,0,56,8,4,8,7,3,0,0,0,0,37,546,341,293,294,349,322,246,112,26,2523,0,0,0,0,0,0,0,0,0,0,49,43,41,50,73,54,32,18,3,367,3,0,0,3,3,3,3,0,0,20,7,4,0,3,6,3,0,0,0,26,7,0,0,0,7,7,4,3,3,30,4,0,0,0,0,0,0,0,0,9,0,4,4,9,10,5,3,0,0,33,16,4,8,10,8,4,4,0,0,57,16,16,7,33,38,39,35,24,4,208,5,0,0,3,0,4,3,0,0,22,4,5,3,3,0,0,0,0,0,15,44,24,26,22,42,45,23,10,5,244
101021009,168,154,232,168,126,92,49,28,30,1047,1559,1281,1892,1548,1311,1119,683,560,278,10233,17,11,27,34,31,9,6,0,0,135,164,117,194,187,246,223,164,110,83,1480,0,0,0,0,0,0,0,0,0,0,15,4,16,15,14,9,6,5,0,81,3,5,5,0,0,3,0,0,0,27,373,301,410,359,369,284,241,195,115,2644,0,0,0,0,0,3,0,0,0,8,51,24,43,49,49,52,68,69,24,422,3,3,3,4,9,4,0,0,0,23,0,5,4,3,0,0,0,0,0,18,0,3,8,3,9,8,3,3,11,42,0,0,0,0,0,3,0,0,0,4,15,14,9,4,13,4,3,3,3,65,17,24,16,18,12,11,5,3,0,102,6,15,20,17,31,33,37,26,12,194,4,3,4,0,4,5,3,4,0,25,0,0,4,4,0,0,0,0,0,11,36,22,36,17,30,27,41,6,6,226
101021010,64,60,86,64,60,44,24,16,5,431,734,648,906,691,673,505,282,145,56,4639,4,4,14,7,7,11,0,0,0,50,73,74,68,89,115,107,63,33,10,625,0,0,0,0,0,0,0,0,0,0,7,3,7,7,8,4,3,0,0,36,6,4,0,0,6,3,3,0,0,33,218,161,193,159,189,139,77,44,30,1197,0,0,0,0,0,0,0,0,0,0,23,7,13,20,13,13,9,8,0,110,0,4,0,0,0,3,0,0,0,6,5,3,3,3,0,0,0,0,0,17,0,0,0,4,6,9,8,5,7,42,6,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,4,0,0,16,7,7,11,4,8,6,3,0,0,48,5,9,10,21,18,34,9,11,0,118,3,0,0,0,0,3,3,0,0,14,0,0,0,0,0,0,3,0,0,3,8,16,8,10,14,23,17,8,5,106
101021011,313,187,93,196,261,215,89,30,8,1389,3102,1710,1149,2232,2576,2102,913,267,56,14111,9,7,4,18,28,15,4,4,0,95,497,288,231,385,581,502,329,110,28,2954,0,0,0,0,0,0,0,0,0,0,36,23,19,19,35,34,5,7,0,178,0,0,0,0,0,0,0,0,0,0,1016,562,474,610,689,501,327,89,18,4281,0,3,0,0,3,0,0,0,0,5,48,14,28,35,22,19,18,3,5,177,5,0,3,0,11,5,0,0,0,24,0,0,4,0,3,3,0,0,0,9,13,11,7,18,30,19,10,3,0,118,0,0,0,0,0,0,3,0,0,4,8,4,4,4,14,3,0,0,0,47,21,13,8,12,21,20,0,0,0,85,22,12,16,37,65,83,50,24,3,308,3,8,6,4,3,10,3,0,0,32,3,0,4,3,4,3,0,0,0,17,47,48,30,46,81,95,67,17,0,435
101021012,169,108,98,116,145,64,17,14,0,734,3176,1700,1531,2379,2032,1084,440,182,39,12572,5,10,7,23,25,14,6,4,0,93,405,269,192,294,498,271,148,63,27,2168,0,0,0,0,0,0,0,0,0,0,18,13,9,11,26,14,8,3,0,107,16,14,17,10,6,0,3,3,0,69,1007,627,382,519,757,354,176,86,13,3922,0,0,0,0,0,0,0,0,0,5,85,45,36,74,62,40,23,7,0,359,8,8,0,10,5,6,0,3,0,40,0,8,3,3,4,0,3,0,0,20,7,6,4,19,16,8,11,11,0,89,0,0,0,0,0,0,0,0,0,0,8,8,0,9,7,10,3,0,0,42,23,25,15,17,22,13,5,3,0,127,32,8,26,34,79,51,29,10,0,281,0,4,0,4,3,9,0,0,0,18,6,4,5,3,3,3,0,0,0,22,55,40,31,53,84,58,31,16,6,371
101031013,44,18,7,30,12,22,14,9,11,164,453,211,217,279,374,401,255,148,87,2419,0,0,5,0,0,3,0,0,0,9,91,72,62,70,108,146,132,49,41,766,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,112,47,40,46,88,78,89,40,13,551,0,0,0,0,0,0,0,0,0,0,3,4,3,3,5,4,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,3,0,0,0,0,0,14,17,11,10,5,24,32,26,20,6,153,0,0,0,3,0,4,0,0,0,14,3,3,0,0,4,0,0,0,0,14,8,0,4,6,4,6,9,4,5,58
101031014,119,83,95,124,85,51,40,42,37,670,1249,776,686,852,987,834,634,438,227,6677,11,7,8,9,26,6,3,0,0,70,160,103,89,151,168,210,182,146,67,1266,0,0,0,0,0,0,0,0,0,0,33,27,5,26,14,23,8,7,0,165,0,0,0,0,0,0,0,0,0,0,259,184,165,175,259,249,244,159,78,1772,0,0,0,0,0,0,0,0,0,6,12,10,3,5,10,7,10,5,0,65,6,0,3,10,8,9,4,3,0,50,0,0,0,0,3,0,0,0,0,3,3,3,4,7,9,15,17,13,3,74,3,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,16,26,3,10,7,3,3,0,3,0,56,7,10,0,12,21,28,31,25,10,142,0,0,0,0,5,7,3,3,0,18,0,0,0,0,0,0,0,0,0,3,10,3,16,12,15,36,30,16,9,151
101031015,41,17,15,33,55,45,33,11,6,246,583,294,188,420,568,513,403,163,40,3175,0,0,3,0,3,3,4,0,0,18,91,40,27,69,132,135,134,64,17,716,0,0,0,0,0,0,0,0,0,0,23,10,7,11,13,10,8,0,0,86,0,0,0,0,0,0,0,0,0,0,156,103,42,85,144,114,114,62,14,831,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,4,0,0,19,0,0,0,3,3,0,0,0,0,16,8,0,0,0,0,0,0,0,0,6,3,0,4,0,6,8,10,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,3,0,0,0,3,7,3,5,8,16,27,25,3,3,85,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,7,3,3,12,26,22,18,9,3,102
101031016,266,197,168,207,172,111,61,28,5,1214,1352,911,809,1041,1055,798,429,211,56,6664,12,13,16,17,16,11,6,0,0,88,167,98,92,152,213,219,162,68,29,1201,0,0,0,0,0,0,0,0,0,0,15,15,7,12,12,9,3,4,0,76,0,0,0,0,0,0,0,0,0,0,247,169,160,183,240,186,132,60,23,1396,0,0,0,0,0,3,0,0,0,3,7,4,4,4,3,3,3,0,0,32,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,8,7,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,6,5,3,3,4,4,8,3,3,0,26,3,3,6,17,25,41,36,16,3,145,3,3,3,0,5,0,0,0,0,11,3,0,0,0,3,0,0,0,0,9,40,15,24,30,43,43,30,4,0,237
