SA2_MAINCODE_2016,C06_CFNC_0_299,C06_CFNC_300_449,C06_CFNC_450_599,C06_CFNC_600_799,C06_CFNC_800_999,C06_CFNC_1000_1399,C06_CFNC_1400_1799,C06_CFNC_1800_2399,C06_CFNC_2400_2999,C06_CFNC_3000_3999,C06_CFNC_4000ov,C06_CFNC_NS,C06_CFNC_Tot,C06_CF_Cu15DS_0_299,C06_CF_Cu15DS_300_449,C06_CF_Cu15DS_450_599,C06_CF_Cu15DS_600_799,C06_CF_Cu15DS_800_999,C06_CF_Cu15DS_1000_1399,C06_CF_Cu15DS_1400_1799,C06_CF_Cu15DS_1800_2399,C06_CF_Cu15DS_2400_2999,C06_CF_Cu15DS_3000_3999,C06_CF_Cu15DS_4000ov,C06_CF_Cu15DS_NS,C06_CF_Cu15DS_Tot,C06_CF_Cu15NDS_0_299,C06_CF_Cu15NDS_300_449,C06_CF_Cu15NDS_450_599,C06_CF_Cu15NDS_600_799,C06_CF_Cu15NDS_800_999,C06_CF_Cu15NDS_1000_1399,C06_CF_Cu15NDS_1400_1799,C06_CF_Cu15NDS_1800_2399,C06_CF_Cu15NDS_2400_2999,C06_CF_Cu15NDS_3000_3999,C06_CF_Cu15NDS_4000ov,C06_CF_Cu15NDS_NS,C06_CF_Cu15NDS_Tot,C06_CF_NCu15DS_0_299,C06_CF_NCu15DS_300_449,C06_CF_NCu15DS_450_599,C06_CF_NCu15DS_600_799,C06_CF_NCu15DS_800_999,C06_CF_NCu15DS_1000_1399,C06_CF_NCu15DS_1400_1799,C06_CF_NCu15DS_1800_2399,C06_CF_NCu15DS_2400_2999,C06_CF_NCu15DS_3000_3999,C06_CF_NCu15DS_4000ov,C06_CF_NCu15DS_NS,C06_CF_NCu15DS_Tot,C06_CF_NDCO_0_299,C06_CF_NDCO_300_449,C06_CF_NDCO_450_599,C06_CF_NDCO_600_799,C06_CF_NDCO_800_999,C06_CF_NDCO_1000_1399,C06_CF_NDCO_1400_1799,C06_CF_NDCO_1800_2399,C06_CF_NDCO_2400_2999,C06_CF_NDCO_3000_3999,C06_CF_NDCO_4000ov,C06_CF_NDCO_NS,C06_CF_NDCO_Tot,C06_CF_T_0_299,C06_CF_T_300_449,C06_CF_T_450_599,C06_CF_T_600_799,C06_CF_T_800_999,C06_CF_T_1000_1399,C06_CF_T_1400_1799,C06_CF_T_1800_2399,C06_CF_T_2400_2999,C06_CF_T_3000_3999,C06_CF_T_4000ov,C06_CF_T_NS,C06_CF_T_T,C06_1PF_Cu15DS_0_299,C06_1PF_Cu15DS_300_449,C06_1PF_Cu15DS_450_599,C06_1PF_Cu15DS_600_799,C06_1PF_Cu15DS_800_999,C06_1PF_Cu15DS_1000_1399,C06_1PF_Cu15DS_1400_1799,C06_1PF_Cu15DS_1800_2399,C06_1PF_Cu15DS_2400_2999,C06_1PF_Cu15DS_3000_3999,C06_1PF_Cu15DS_4000ov,C06_1PF_Cu15DS_NS,C06_1PF_Cu15DS_Tot,C06_1PF_CU15_NDS_0_299,C06_1PF_CU15_NDS_300_449,C06_1PF_CU15_NDS_450_599,C06_1PF_CU15_NDS_600_799,C06_1PF_CU15_NDS_800_999,C06_1PF_CU15_NDS_1000_1399,C06_1PF_CU15_NDS_1400_1799,C06_1PF_CU15_NDS_1800_2399,C06_1PF_CU15_NDS_2400_2999,C06_1PF_CU15_NDS_3000_3999,C06_1PF_CU15_NDS_4000ov,C06_1PF_CU15_NDS_NS,C06_1PF_CU15_NDS_Tot,C06_1PF_NCu15DS_0_299,C06_1PF_NCu15DS_300_449,C06_1PF_NCu15DS_450_599,C06_1PF_NCu15DS_600_799,C06_1PF_NCu15DS_800_999,C06_1PF_NCu15DS_1000_1399,C06_1PF_NCu15DS_1400_1799,C06_1PF_NCu15DS_1800_2399,C06_1PF_NCu15DS_2400_2999,C06_1PF_NCu15DS_3000_3999,C06_1PF_NCu15DS_4000ov,C06_1PF_NCu15DS_NS,C06_1PF_NCu15DS_Tot,C06_1PF_NDCO_0_299,C06_1PF_NDCO_300_449,C06_1PF_NDCO_450_599,C06_1PF_NDCO_600_799,C06_1PF_NDCO_800_999,C06_1PF_NDCO_1000_1399,C06_1PF_NDCO_1400_1799,C06_1PF_NDCO_1800_2399,C06_1PF_NDCO_2400_2999,C06_1PF_NDCO_3000_3999,C06_1PF_NDCO_4000ov,C06_1PF_NDCO_NS,C06_1PF_NDCO_Tot,C06_1PF_T0_299,C06_1PF_T300_449,C06_1PF_T450_599,C06_1PF_T600_799,C06_1PF_T800_999,C06_1PF_T1000_1399,C06_1PF_T1400_1799,C06_1PF_T1800_2399,C06_1PF_T2400_2999,C06_1PF_T3000_3999,C06_1PF_T4000ov,C06_1PF_TNS,C06_1PF_TT,C06_T_0_299,C06_T_300_449,C06_T_450_599,C06_T_600_799,C06_T_800_999,C06_T_1000_1399,C06_T_1400_1799,C06_T_1800_2399,C06_T_2400_2999,C06_T_3000_3999,C06_T_4000ov,C06_T_NS,C06_T_T,C11_CFNC_0_299,C11_CFNC_300_449,C11_CFNC_450_599,C11_CFNC_600_799,C11_CFNC_800_999,C11_CFNC_1000_1399,C11_CFNC_1400_1799,C11_CFNC_1800_2399,C11_CFNC_2400_2999,C11_CFNC_3000_3999,C11_CFNC_4000ov,C11_CFNC_NS,C11_CFNC_T,C11_CF_Cu15DS_0_299,C11_CF_Cu15DS_300_449,C11_CF_Cu15DS_450_599,C11_CF_Cu15DS_600_799,C11_CF_Cu15DS_800_999,C11_CF_Cu15DS_1000_1399,C11_CF_Cu15DS_1400_1799,C11_CF_Cu15DS_1800_2399,C11_CF_Cu15DS_2400_2999,C11_CF_Cu15DS_3000_3999,C11_CF_Cu15DS_4000ov,C11_CF_Cu15DS_NS,C11_CF_Cu15DS_T,C11_CF_Cu15NDS_0_299,C11_CF_Cu15NDS_300_449,C11_CF_Cu15NDS_450_599,C11_CF_Cu15NDS_600_799,C11_CF_Cu15NDS_800_999,C11_CF_Cu15NDS_1000_1399,C11_CF_Cu15NDS_1400_1799,C11_CF_Cu15NDS_1800_2399,C11_CF_Cu15NDS_2400_2999,C11_CF_Cu15NDS_3000_3999,C11_CF_Cu15NDS_4000ov,C11_CF_Cu15NDS_NS,C11_CF_Cu15NDS_Tot,C11_CF_NCu15DS_0_299,C11_CF_NCu15DS_300_449,C11_CF_NCu15DS_450_599,C11_CF_NCu15DS_600_799,C11_CF_NCu15DS_800_999
101021007,4,9,3,9,12,9,15,5,8,0,3,8,81,0,0,0,0,0,4,0,0,4,0,0,0,9,4,0,3,5,8,19,9,8,3,0,3,4,64,0,0,0,3,0,5,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,13,4,3,4,17,6,27,11,11,9,0,0,8,102,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,4,18,3,13,10,32,18,38,22,14,9,0,7,16,195,8,3,3,12,8,15,13,20,10,12,8,3,118,0,0,0,0,4,0,6,4,0,0,0,3,22,0,3,0,4,6,9,35,24,11,6,3,10,111,0,0,0,0,0
101021008,0,9,7,18,26,56,47,53,12,12,3,12,256,0,0,0,0,8,20,11,11,3,3,0,0,74,7,6,0,15,27,97,93,86,22,7,4,21,391,5,0,0,4,9,19,11,13,4,0,0,9,77,3,0,11,10,7,25,15,9,4,3,4,11,105,17,5,12,31,54,166,135,119,32,14,10,39,638,0,0,0,0,3,0,0,0,0,0,0,0,12,3,3,0,4,3,12,5,3,0,0,0,0,48,0,0,0,0,4,3,0,0,0,0,0,0,8,3,4,0,3,3,4,0,4,3,3,0,0,35,5,12,0,9,17,27,13,8,7,3,0,5,98,28,25,21,56,92,253,197,188,53,26,12,58,1000,9,5,3,6,18,29,34,72,39,26,3,15,270,0,0,0,0,4,9,14,28,6,13,0,0,73,5,6,3,5,6,37,42,110,76,42,22,16,365,0,0,4,0,3
101021009,11,15,6,14,17,45,50,46,6,3,3,13,243,0,0,0,7,0,19,11,4,0,3,3,4,48,5,4,6,11,22,58,67,60,13,7,0,18,267,0,0,0,3,3,6,5,5,0,0,0,0,34,0,0,0,6,10,13,12,10,0,0,3,6,59,6,9,12,24,38,95,95,76,17,8,5,25,410,0,0,0,0,0,4,0,0,0,0,0,0,11,0,8,7,4,3,14,21,5,0,0,0,6,69,0,0,3,3,4,0,3,3,0,0,0,0,23,0,6,3,3,9,11,0,0,0,0,0,3,39,4,17,15,19,18,26,24,10,3,0,3,14,136,23,36,30,53,69,169,167,125,21,14,16,52,786,11,3,7,12,11,45,45,78,55,37,12,16,334,4,0,0,3,3,6,6,8,11,4,0,3,49,4,3,3,0,7,35,41,85,65,36,10,12,309,0,0,0,0,5
101021010,0,7,0,5,9,30,17,24,11,7,3,13,131,0,0,0,0,3,0,12,10,0,0,0,0,32,0,4,3,7,5,24,34,22,11,3,3,7,124,0,0,0,0,0,4,0,4,0,0,0,0,19,0,0,4,3,4,3,3,3,0,3,0,3,25,3,6,10,6,14,35,48,39,9,7,4,11,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,7,4,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,3,5,0,0,0,0,0,0,15,0,0,3,6,9,15,7,4,0,0,0,0,40,3,16,17,21,38,77,68,61,22,17,9,25,375,4,3,0,3,10,20,19,41,39,21,21,0,175,0,0,0,0,0,0,8,0,3,4,3,4,23,0,0,0,0,4,13,23,35,27,14,12,8,142,0,0,3,0,0
101021011,20,16,24,31,39,84,78,105,59,46,29,28,554,5,4,3,4,23,37,35,34,15,14,3,13,189,12,10,10,26,38,103,136,167,90,62,27,35,715,3,3,3,9,13,25,32,40,16,9,4,7,170,0,5,6,8,10,19,15,27,16,14,3,18,128,15,21,26,45,84,180,210,265,131,104,34,75,1202,0,0,0,0,0,3,3,0,0,0,0,0,19,0,0,0,8,10,9,9,3,4,3,0,13,56,0,3,0,0,3,3,8,0,3,0,0,0,22,0,0,0,0,8,0,3,0,0,0,0,3,27,0,4,3,16,15,15,21,9,6,9,3,21,124,32,43,51,87,141,279,313,381,200,165,67,119,1874,22,9,8,18,15,63,80,113,84,113,88,17,636,4,3,0,3,6,11,18,47,36,34,23,3,196,6,9,8,14,20,57,90,163,143,172,98,25,806,5,0,0,5,7
101021012,5,9,7,12,29,56,80,96,71,44,12,9,430,4,8,3,10,13,21,29,37,10,15,4,5,156,8,14,19,20,47,122,131,200,99,84,28,30,802,3,3,4,0,10,19,25,20,16,7,7,8,120,0,0,4,4,11,27,18,26,12,6,3,11,129,14,30,32,38,79,194,200,276,143,112,43,54,1211,0,0,3,7,0,9,3,5,0,0,0,0,23,0,3,0,9,4,17,17,13,7,9,3,10,87,0,0,0,0,4,10,9,4,0,0,0,0,25,3,0,3,3,0,8,9,7,0,0,3,3,41,6,0,7,19,11,43,32,31,5,6,3,16,176,27,41,46,69,123,287,304,405,218,161,60,81,1816,17,3,0,9,11,32,37,81,86,102,63,14,465,4,9,4,4,3,13,26,33,23,34,9,8,168,12,4,6,13,8,42,79,139,127,178,103,35,757,3,3,0,3,9
101031013,0,3,5,12,11,10,6,8,0,0,0,7,53,0,0,0,3,0,3,0,0,0,0,0,0,9,5,10,11,21,16,17,11,0,0,0,3,10,93,0,0,0,0,5,0,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,10,5,6,12,25,22,20,14,3,0,3,3,13,124,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,3,3,3,0,0,0,0,0,3,20,5,21,19,36,34,35,20,7,3,3,3,20,201,3,3,8,7,10,11,10,6,3,4,0,4,70,0,0,0,4,5,3,5,3,0,0,0,3,22,6,0,4,10,11,17,8,12,0,0,0,6,83,0,0,0,0,0
101031014,8,18,14,27,25,43,18,14,0,7,0,16,202,4,6,9,4,9,16,12,4,0,3,0,3,67,0,8,13,23,42,72,25,30,0,4,0,12,228,3,3,3,3,8,11,8,4,0,0,0,3,42,0,10,3,14,3,3,5,3,0,0,0,4,38,7,27,30,41,59,95,46,37,4,8,0,21,376,0,0,0,3,0,3,0,0,0,0,0,0,12,0,3,4,13,5,10,4,0,0,0,0,3,45,0,0,0,3,3,0,0,0,0,0,0,0,8,0,3,4,4,0,3,0,0,0,0,0,4,27,3,4,9,19,10,14,10,3,0,0,0,6,87,19,47,59,81,96,154,78,59,3,10,0,46,656,14,8,8,22,19,52,27,25,9,9,3,14,213,0,0,0,3,6,11,9,11,4,0,0,6,51,3,0,3,14,28,49,55,55,13,4,0,10,237,0,0,0,4,4
101031015,5,6,7,6,10,24,12,9,5,3,0,12,102,0,0,4,0,4,9,5,4,0,0,0,0,21,3,8,3,7,12,30,15,7,3,3,0,15,103,0,3,3,0,3,3,3,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,3,10,6,9,9,13,21,41,22,15,7,0,5,17,167,3,0,3,0,0,0,3,0,0,0,0,0,7,0,0,5,0,4,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,6,7,3,0,0,0,0,0,23,15,17,25,19,35,66,33,20,4,5,3,27,295,12,3,9,17,10,14,16,23,8,12,8,8,130,0,0,4,0,3,0,8,10,0,3,3,0,31,3,8,3,5,11,14,21,26,7,9,3,8,118,0,0,0,0,0
101031016,0,4,11,14,17,34,15,19,7,4,4,16,143,3,3,0,0,0,4,10,3,3,0,0,4,35,6,8,9,17,25,57,48,34,13,6,4,12,238,0,4,0,4,0,7,0,3,3,0,4,3,29,0,3,3,3,3,4,4,0,3,0,0,5,29,6,12,15,21,27,81,57,43,23,9,5,22,329,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,4,3,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,5,10,10,3,0,0,0,7,39,7,23,25,41,49,127,80,63,29,12,13,39,511,7,0,4,7,5,17,21,22,20,21,4,13,146,3,0,5,3,5,8,5,14,3,0,3,4,55,6,6,0,3,17,34,47,51,36,12,12,14,237,0,3,0,0,3
