region_id,C01_T_P_Mo_O_B_OS,C01_T_P_BP_B_Aus,C01_T_P_Bplace_NS,C01_T_P_Tot_resp,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_Bo_par_brn_os,C06_Pol_Fa_only_brn_os,C06_Pol_Mo_only_brn_os,C06_Pol_Bo_par_brn_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_Bo_par_brn_os,C06_Rus_Fa_only_brn_os,C06_Rus_Mo_only_brn_os,C06_Rus_Bo_par_brn_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinh_Fa_O_B_OS,C06_Sinh_Mo_O_B_OS,C06_Sinh_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_S_Afr_Bo_par_brn_os,C06_S_Af_Fa_only_brn_os,C06_S_Af_Mo_only_brn_os,C06_S_Af_Bo_par_brn_Aus,C06_S_Af_Bplace_NS,C06_S_Af_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Welsh_BP_B_OS,C06_Wels_Fa_O_B_OS,C06_Wels_Mo_O_B_OS,C06_Wels_BP_B_Aus,C06_Welsh_Bplace_NS,C06_Welsh_Tot_resp,C06_Other_BP_B_OS,C06_Othr_Fa_O_B_OS,C06_Othr_Mo_O_B_OS,C06_Othr_BP_B_Aus,C06_Other_Bplace_NS,C06_Other_Tot_resp,C06_Anc_ns_Bo_pa_born_os,C06_Anc_ns_Fa_on_born_os,C06_Anc_ns_Mo_on_born_os,C06_Anc_ns_Bo_pa_bor_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_Tot_res_Bo_par_bo_os,C06_Tot_res_Fa_onl_bo_os,C06_Tot_res_Mo_onl_bo_os,C06_Tot_res_Bo_pa_bo_Aus
LGA10050,1453,32652,2627,44275,143,1402,884,18257,485,21174,6,0,0,114,3,126,113,8,11,81,3,214,85,26,13,18,0,138,390,129,78,219,9,831,1805,1092,717,12319,405,16332,163,11,26,7,3,212,53,13,14,81,3,157,485,218,120,2384,69,3278,149,53,14,87,10,303,82,14,7,26,3,131,143,8,6,7,6,169,289,203,151,4726,102,5476,277,151,44,503,14,984,8,0,3,3,0,18,52,20,8,78,3,164,15,3,3,4,0,24,32,15,3,34,0,89,83,20,14,17,0,133,119,69,48,23,3,262,150,36,17,103,0,309,38,11,9,32,0,86,436,275,186,3190,81,4166,101,24,4,33,7,162,24,8,3,3,0,33,61,6,14,10,0,92,60,8,0,65,3,130,3,0,0,0,0,3,10,7,3,0,0,18,80,24,13,108,4,235,880,192,140,379,33,1622,155,45,36,1314,1965,3513,6490,4091,2589,44225
LGA10110,936,17858,1171,23920,79,736,623,10179,217,11835,3,0,3,232,4,241,266,15,13,68,3,366,7,3,0,7,0,15,123,54,37,78,5,301,893,574,471,6333,166,8435,44,3,25,0,4,71,45,11,3,60,0,125,212,64,53,747,9,1085,26,18,0,36,3,76,27,7,3,11,3,48,83,10,6,9,0,110,170,131,101,2515,47,2966,70,32,19,159,3,278,32,0,0,3,0,40,20,3,8,35,3,66,3,0,0,0,0,3,9,9,3,14,0,39,13,14,3,7,3,43,73,31,18,11,3,140,50,6,10,35,3,105,28,7,3,19,0,53,246,165,131,1871,38,2460,7,3,4,6,0,24,37,4,0,0,3,40,57,6,6,0,4,73,16,0,0,17,0,41,9,5,7,4,0,19,3,0,0,0,0,5,41,16,9,67,0,135,608,133,122,195,29,1085,50,12,10,479,993,1542,3350,2072,1691,23197
LGA10150,1209,10547,3466,38981,323,1109,704,5301,231,7674,0,0,0,29,7,45,6094,59,86,65,116,6424,287,28,14,35,9,366,160,49,27,49,13,295,1919,729,482,3543,148,6813,776,6,34,5,30,860,140,15,16,49,3,220,299,79,47,341,15,781,889,113,39,221,39,1315,131,21,12,10,0,172,1459,33,11,3,30,1537,592,276,160,2301,67,3395,3220,437,166,584,132,4537,541,3,14,3,17,580,610,65,47,89,21,826,29,12,0,3,0,41,134,31,29,40,3,233,112,8,8,7,3,136,176,37,36,4,9,254,391,29,15,42,16,498,166,15,13,15,3,219,499,198,124,1125,35,1982,155,5,5,11,6,192,138,5,3,4,4,156,59,8,7,0,3,73,350,17,12,12,3,394,164,3,5,6,3,180,269,5,4,0,5,289,62,24,9,65,0,158,3265,276,190,209,109,4052,536,31,34,221,2931,3745,23945,3726,2353,14392
LGA10200,927,7612,6653,55851,1284,686,467,3839,258,6533,20,5,0,23,3,42,12289,42,103,55,339,12829,654,48,0,51,7,759,77,32,9,16,3,139,1798,431,276,2387,212,5107,1339,10,51,13,50,1460,69,4,4,23,3,105,229,32,25,199,12,489,503,47,20,66,11,650,75,7,3,3,0,94,1727,5,6,7,25,1782,309,117,62,1078,47,1612,776,113,56,198,29,1165,1981,6,6,0,62,2057,4321,462,153,257,181,5381,84,4,0,3,0,95,180,18,9,28,4,232,265,13,16,3,14,302,121,29,23,9,5,185,247,21,10,9,9,293,424,21,5,17,5,481,286,112,66,557,26,1046,194,9,0,4,12,214,897,3,0,0,28,928,66,3,3,0,3,76,275,14,6,9,3,311,3995,161,111,57,176,4493,1451,3,7,3,58,1520,30,7,0,26,3,72,10670,238,144,155,425,11635,1995,105,68,251,7145,9560,48631,2808,1709,9346
LGA10250,1585,27117,1759,37017,117,1410,1046,15666,409,18647,0,4,3,243,9,264,84,12,12,65,4,177,38,12,4,15,0,72,253,81,62,116,12,514,2277,1206,899,10284,377,15040,69,6,20,4,3,99,44,14,13,108,0,175,314,82,79,1024,50,1550,54,24,3,59,3,143,39,6,0,8,0,57,47,13,9,18,3,93,386,256,194,3900,87,4817,243,107,44,530,16,943,6,0,0,0,0,4,6,5,4,12,4,25,3,0,0,3,0,9,62,18,8,27,0,110,46,20,4,20,4,94,151,77,42,25,9,295,79,19,14,34,3,150,29,10,4,8,0,57,496,288,240,2647,72,3743,36,5,0,3,0,49,14,5,3,0,0,26,73,27,8,8,3,123,31,6,5,38,3,88,0,3,0,0,0,3,10,0,0,0,0,10,79,30,19,101,3,229,572,196,126,322,23,1235,104,56,54,818,1252,2292,5762,3998,2919,36106
LGA10300,69,2115,167,2763,4,63,46,1095,38,1242,0,0,0,19,0,23,0,0,0,3,0,3,0,0,0,0,0,0,4,3,0,12,0,24,46,39,21,632,30,770,3,0,0,0,0,3,4,0,0,4,0,3,5,0,3,59,5,76,8,3,0,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,233,7,265,144,29,8,117,5,304,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,3,0,5,0,15,5,0,0,3,0,6,7,7,7,0,0,17,0,3,0,3,0,4,4,0,0,0,0,3,12,10,5,152,4,186,3,0,0,0,0,3,0,0,0,0,0,0,7,0,3,0,0,11,4,0,0,3,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,4,23,10,0,24,3,62,13,3,3,57,113,182,311,181,105,2432
LGA10350,4829,51741,12493,164841,3790,4016,2249,26148,1184,37385,26,25,4,137,6,205,10570,103,149,158,301,11273,831,77,34,108,20,1074,381,85,48,145,10,673,6095,2556,1490,15238,963,26344,1329,28,113,3,56,1521,348,48,29,167,6,598,1052,196,90,1130,89,2555,5330,588,258,1105,223,7506,314,48,18,45,0,430,2282,58,25,22,68,2464,1085,594,302,5854,200,8037,4134,741,255,1336,192,6662,1282,9,17,14,39,1367,21647,2470,810,1230,1123,27278,2674,189,68,175,83,3185,813,143,55,210,25,1247,860,55,38,25,49,1025,418,132,76,52,34,703,1207,71,43,129,28,1468,347,30,15,61,15,468,1143,553,359,3167,110,5331,564,37,10,19,6,639,328,4,19,6,9,369,199,22,15,15,3,259,670,43,37,39,27,813,525,47,8,22,34,637,11743,34,92,55,409,12333,125,51,18,141,9,343,15747,1059,535,727,738,18814,4657,389,258,1507,9279,16090,102516,14501,7537,59190
LGA10470,1240,25725,2350,34544,79,1129,740,15321,438,17707,0,3,0,79,3,92,156,10,10,93,0,267,36,11,4,5,0,55,203,75,35,133,4,455,1272,859,673,9959,368,13135,70,10,26,3,4,107,37,8,3,88,3,137,228,103,46,783,18,1169,42,15,6,63,8,132,43,13,7,21,0,84,74,0,15,4,0,94,223,191,121,4131,99,4773,119,95,30,289,13,538,35,0,0,3,0,43,78,25,4,38,4,143,7,0,0,3,0,12,56,16,20,30,3,127,54,11,3,7,8,82,71,48,43,28,0,192,81,36,8,59,0,185,35,9,14,27,0,81,376,237,160,2416,59,3248,57,12,0,11,0,77,18,5,3,3,0,25,79,15,10,5,0,102,28,4,3,21,0,55,4,0,0,0,0,3,16,0,0,0,0,13,70,33,23,107,0,232,484,182,93,276,17,1053,100,44,24,876,1808,2848,4231,3199,2124,34882
LGA10550,1306,21224,1832,30447,107,1132,797,12888,336,15263,0,0,4,135,6,148,50,12,3,55,0,119,39,3,5,7,0,62,378,95,70,140,12,681,2202,969,719,8174,327,12387,60,0,18,0,0,88,32,7,8,76,8,132,379,100,68,907,31,1486,50,10,6,45,0,107,28,17,3,7,3,60,28,5,8,16,0,51,323,206,93,2880,82,3582,181,59,27,229,5,502,8,0,0,0,0,7,12,0,4,14,0,29,0,4,0,0,0,3,63,12,3,27,0,104,38,20,7,20,3,85,101,43,27,21,0,193,88,12,9,23,0,132,35,11,4,15,0,62,508,234,135,2089,45,3010,35,5,3,8,3,52,10,5,3,3,0,18,41,5,0,7,3,58,31,3,3,18,0,56,4,0,0,0,0,4,28,0,0,0,0,29,70,27,8,97,3,200,494,137,87,246,14,984,66,35,30,691,946,1759,5489,3168,2152,28838
LGA10600,602,8677,596,12171,56,511,326,4859,149,5904,0,3,3,49,0,57,30,5,0,23,5,60,12,0,0,0,0,16,116,18,17,31,0,179,897,440,301,3339,117,5093,14,0,11,0,0,23,14,9,7,62,4,99,140,30,33,299,10,521,7,12,0,19,4,39,16,10,7,7,0,36,3,0,0,0,0,6,168,87,55,1217,33,1556,32,28,3,89,3,149,0,0,0,0,0,0,5,0,0,9,0,10,3,0,0,0,0,3,8,0,0,3,0,15,14,8,9,3,0,38,42,17,27,8,5,100,42,13,3,17,0,74,14,9,0,6,0,25,214,121,79,805,32,1239,5,0,0,3,0,8,0,0,0,0,0,0,27,5,0,0,0,31,17,3,3,25,3,51,4,0,0,0,0,5,3,0,0,0,0,3,31,9,7,42,0,86,204,83,45,110,7,449,25,16,14,256,372,690,2163,1437,950,11281
