region_id,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6m,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6m,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6m,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6m,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6m,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6m,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6m,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6m,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85andover_N_c_b_0,C11_AP_85andover_N_c_b_1,C11_AP_85andover_N_c_b_2,C11_AP_85andover_N_c_b_3,C11_AP_85andover_N_c_b_4,C11_AP_85andover_N_c_b_5,C11_AP_85ov_N_c_b_6mor,C11_AP_85andover_N_c_b_NS,C11_AP_85_and_over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_ch_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_T_T
LGA14550,96,96,45,20,8,12,346,58,38,104,90,58,18,8,21,395,41,22,128,98,49,18,9,19,384,40,36,107,92,53,15,9,17,369,22,19,61,53,36,9,7,13,220,15,9,22,46,45,23,17,4,181,10,8,24,30,35,26,20,9,162,8,3,20,25,30,14,18,5,123,12,4,25,19,25,12,13,12,122,764,338,857,759,458,178,122,172,3648
LGA14600,69,36,34,5,13,9,203,16,13,54,71,31,17,8,11,221,21,9,56,62,38,4,5,8,203,17,11,46,46,30,16,10,11,187,8,11,34,44,29,11,5,7,149,10,3,37,41,36,14,15,16,172,5,3,27,21,15,19,9,5,104,13,8,8,16,14,12,17,10,98,3,12,15,21,15,6,16,13,101,508,234,549,530,311,134,108,147,2521
LGA14650,2660,1627,514,129,57,202,6669,669,683,2754,1594,561,159,73,188,6681,561,592,2602,1722,560,121,45,183,6386,520,517,2480,1632,577,147,78,195,6146,395,389,1880,1341,556,162,85,180,4988,304,252,1268,1092,610,214,156,197,4093,261,256,844,879,542,236,190,198,3406,226,269,771,748,415,188,180,213,3010,207,385,825,648,331,180,141,306,3023,19120,8518,23801,14795,5752,1837,1184,3095,78102
LGA14700,445,201,59,13,3,35,1186,226,167,366,193,59,5,3,36,1055,206,157,340,198,54,11,4,39,1009,171,114,303,160,47,11,8,34,848,124,75,252,128,48,13,4,22,666,82,64,138,105,40,21,12,27,489,65,39,113,86,53,17,10,22,405,56,40,89,79,47,24,12,24,371,86,60,136,114,48,20,14,64,542,5285,1823,3284,1690,524,144,73,608,13431
LGA14750,120,97,42,13,14,9,353,31,29,125,106,52,17,18,27,405,16,20,89,82,38,16,5,17,283,20,10,82,81,44,12,8,19,276,15,21,56,64,43,18,7,11,235,17,5,60,46,31,14,18,20,211,13,7,25,40,32,23,20,11,171,9,3,21,27,26,18,13,10,127,15,12,34,13,12,7,13,20,126,1051,372,983,808,453,160,138,301,4266
LGA14800,538,189,38,7,0,113,2039,635,256,450,159,46,10,6,68,1630,509,279,485,228,55,11,5,97,1669,386,233,466,222,61,21,4,78,1471,225,134,295,158,67,22,7,68,976,104,69,176,139,63,29,14,60,654,73,47,163,100,49,20,19,53,524,56,52,104,63,35,17,23,62,412,49,56,84,58,30,11,21,140,449,11015,3341,4573,1745,510,166,110,1439,22899
LGA14850,527,351,133,40,32,54,1617,228,192,583,421,164,50,26,52,1716,196,179,533,434,167,37,20,51,1617,158,131,447,326,148,56,21,46,1333,105,66,274,246,121,44,30,40,926,76,47,190,171,146,59,54,32,775,62,34,128,138,100,58,62,34,616,52,39,125,143,99,47,52,27,584,48,48,162,112,93,44,53,31,591,4894,1970,4558,3178,1477,537,402,802,17818
LGA14870,266,167,49,21,11,36,725,109,66,221,183,85,22,8,22,716,91,74,213,173,70,11,6,26,664,79,55,240,157,66,21,9,24,651,55,42,178,143,64,29,24,16,551,48,29,95,111,70,34,15,20,422,35,22,70,70,40,24,26,29,316,32,27,62,48,32,25,20,27,273,28,18,69,61,33,13,18,28,268,1882,860,2143,1497,667,250,177,431,7907
LGA14900,2363,1317,593,219,145,341,6409,601,659,2066,1291,510,207,156,375,5865,454,439,1565,1059,516,194,144,331,4702,295,342,1319,884,416,150,116,271,3793,185,202,807,634,329,153,157,219,2686,116,152,554,512,317,179,176,219,2225,79,110,376,350,224,135,207,184,1665,80,108,254,244,159,89,174,147,1255,67,90,211,193,97,61,138,161,1018,19991,8065,17996,10585,4610,1865,1678,5276,70066
LGA14920,84,54,18,9,4,10,225,20,23,92,78,32,12,6,15,278,21,24,91,47,30,15,8,14,250,22,28,82,67,30,10,10,7,256,20,18,70,59,39,15,10,4,235,15,7,41,46,32,8,13,10,172,10,9,25,28,27,15,16,3,133,11,3,18,24,21,11,11,5,104,9,10,11,18,23,8,11,8,98,574,283,758,623,305,120,101,131,2895
