region_id,C01_C_Tot_0_14,C01_C_Tot_15_24,C01_C_Tot_25_34,C01_C_Tot_35_44,C01_C_Tot_45_54,C01_C_Tot_55_64,C01_C_Tot_65_74,C01_C_Tot_75_84,C01_C_Tot_85ov,C01_C_T_T,C01_Hinduism_0_14,C01_Hinduism_15_24,C01_Hinduism_25_34,C01_Hinduism_35_44,C01_Hinduism_45_54,C01_Hinduism_55_64,C01_Hinduism_65_74,C01_Hinduism_75_84,C01_Hinduism_85ov,C01_Hinduism_Tot,C01_Islam_0_14,C01_Islam_15_24,C01_Islam_25_34,C01_Islam_35_44,C01_Islam_45_54,C01_Islam_55_64,C01_Islam_65_74,C01_Islam_75_84,C01_Islam_85ov,C01_Islam_Tot,C01_Judaism_0_14,C01_Judaism_15_24,C01_Judaism_25_34,C01_Judaism_35_44,C01_Judaism_45_54,C01_Judaism_55_64,C01_Judaism_65_74,C01_Judaism_75_84,C01_Judaism_85ov,C01_Judaism_Tot,C01_OR_Au_Ab_Tr_R_0_14,C01_OR_Au_Ab_Tr_R_15_24,C01_OR_Au_Ab_Tr_R_25_34,C01_OR_Au_Ab_Tr_R_35_44,C01_OR_Au_Ab_Tr_R_45_54,C01_OR_Au_Ab_Tr_R_55_64,C01_OR_Au_Ab_Tr_R_65_74,C01_OR_Au_Ab_Tr_R_75_84,C01_OR_A_Ab_Tr_Re_85oe,C01_OR_Au_Ab_Tr_Re_Tot,C01_OR_OR_0_14,C01_OR_OR_15_24,C01_OR_OR_25_34,C01_OR_OR_35_44,C01_OR_OR_45_54,C01_OR_OR_55_64,C01_OR_OR_65_74,C01_OR_OR_75_84,C01_OR_OR_85oe,C01_OR_OR_Tot,C01_OR_Tot_0_14,C01_OR_Tot_15_24,C01_OR_Tot_25_34,C01_OR_Tot_35_44,C01_OR_Tot_45_54,C01_OR_Tot_55_64,C01_OR_Tot_65_74,C01_OR_Tot_75_84,C01_OR_Tot_85ov,C01_OR_T_T,C01_No_religion_0_14,C01_No_religion_15_24,C01_No_religion_25_34,C01_No_religion_35_44,C01_No_religion_45_54,C01_No_religion_55_64,C01_No_religion_65_74,C01_No_religion_75_84,C01_No_religion_85ov,C01_No_religion_Tot,C01_Oth_rel_affi_0_14,C01_Oth_rel_aff_15_24,C01_Oth_rel_aff_25_34,C01_Oth_rel_aff_35_44,C01_Oth_rel_aff_45_54,C01_Oth_rel_aff_55_64,C01_Oth_rel_aff_65_74,C01_Oth_rel_aff_75_84,C01_Oth_rel_affil_85ov,C01_Oth_rel_affil_Tot,C01_Rel_aff_ns_0_14,C01_Rel_aff_ns_15_24,C01_Rel_aff_ns_25_34,C01_Rel_aff_ns_35_44,C01_Rel_aff_ns_45_54,C01_Rel_aff_ns_55_64,C01_Rel_aff_ns_65_74,C01_Rel_aff_ns_75_84,C01_Rel_aff_ns_85ov,C01_Rel_aff_NS_T,C01_OS_vis_0_14,C01_OS_vis_15_24,C01_OS_vis_25_34,C01_OS_vis_35_44,C01_OS_vis_45_54,C01_OS_vis_55_64,C01_OS_vis_65_74,C01_OS_vis_75_84,C01_OS_vis_85ov,C01_OS_vis_Tot,C01_Tot_0_14_yrs,C01_Tot_15_24_yrs,C01_Tot_25_34_yrs,C01_Tot_35_44_yrs,C01_Tot_45_54_yrs,C01_Tot_55_64_yrs,C01_Tot_65_74_yrs,C01_Tot_75_84_yrs,C01_Tot_85o,C01_T_T,C06_Buddhism_0_14_yrs,C06_Buddhism_15_24,C06_Buddhism_25_34,C06_Buddhism_35_44,C06_Buddhism_45_54,C06_Buddhism_55_64,C06_Buddhism_65_74,C06_Buddhism_75_84,C06_Buddhism_85ov,C06_Buddhism_Tot,C06_Christ_Angl_0_14,C06_Christ_Angl_15_24,C06_Christ_Angl_25_34,C06_Christ_Angl_35_44,C06_Christ_Angl_45_54,C06_Christ_Angl_55_64,C06_Christ_Angl_65_74,C06_Christ_Angl_75_84,C06_Christ_Angl_85ov,C06_Christ_Angl_Tot,C06_C_Assyr_Apo_0_14,C06_C_Assyr_Apo_15_24,C06_C_Assyr_Apo_25_34,C06_C_Assyr_Apo_35_44,C06_C_Assyr_Apo_45_54,C06_C_Assyr_Apo_55_64,C06_C_Assyr_Apo_65_74,C06_C_Assyr_Apo_75_84,C06_C_Assyr_Apo_85ov,C06_C_Assyr_Apo_Tot,C06_C_Baptist_0_14,C06_C_Baptist_15_24,C06_C_Baptist_25_34,C06_C_Baptist_35_44,C06_C_Baptist_45_54,C06_C_Baptist_55_64,C06_C_Baptist_65_74,C06_C_Baptist_75_84,C06_C_Baptist_85ov,C06_C_Baptist_Tot,C06_Christ_Breth_0_14,C06_Christ_Breth_15_24,C06_Christ_Breth_25_34,C06_Christ_Breth_35_44,C06_Christ_Breth_45_54,C06_Christ_Breth_55_64,C06_Christ_Breth_65_74,C06_Christ_Breth_75_84,C06_Christ_Breth_85ov,C06_Christ_Breth_To,C06_Ch_Catholic_0_14,C06_Ch_Catholic_15_24,C06_Ch_Catholic_25_34,C06_Ch_Catholic_35_44,C06_Ch_Catholic_45_54,C06_Ch_Catholic_55_64,C06_Ch_Catholic_65_74,C06_Ch_Catholic_75_84,C06_Ch_Catholic_85ov,C06_C_Catholic_Tot,C06_C_Chur_Christ_0_14,C06_C_Chur_Christ_15_24,C06_C_Chur_Christ_25_34,C06_C_Chur_Christ_35_44,C06_C_Chur_Christ_45_54,C06_C_Chur_Christ_55_64,C06_C_Chur_Christ_65_74,C06_C_Chur_Christ_75_84,C06_C_Chur_Christ_85ov,C06_C_Chur_Christ_Tot,C06_C_East_Ortho_0_14,C06_C_East_Ortho_15_24,C06_C_East_Ortho_25_34,C06_C_East_Ortho_35_44,C06_C_East_Ortho_45_54,C06_C_East_Ortho_55_64,C06_C_East_Ortho_65_74,C06_C_East_Ortho_75_84,C06_C_East_Ortho_85ov,C06_C_East_Ortho_To
LGA10050,6991,4645,4189,4901,4705,3202,2490,1756,664,33543,11,8,10,12,8,3,0,3,0,55,20,23,8,10,10,0,0,0,0,71,3,4,4,3,6,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,19,38,26,16,18,7,4,0,0,128,19,38,26,16,18,7,4,0,0,128,1581,1069,882,845,641,282,127,76,17,5520,179,159,142,111,73,36,20,11,12,743,965,657,502,535,519,299,232,140,43,3892,16,36,31,13,15,19,11,5,0,146,9839,6690,5842,6511,6034,3874,2896,1994,740,44420,50,56,51,68,57,30,12,7,0,331,1702,1214,1174,1424,1658,1361,862,677,258,10330,0,0,0,0,0,0,0,0,0,0,103,77,92,58,79,66,37,26,7,545,33,35,18,11,9,11,9,3,4,133,2997,2252,1600,1890,1830,1300,827,592,202,13490,10,10,0,8,14,8,11,8,4,73,62,31,40,62,43,39,47,37,6,367
LGA10110,3738,3598,1978,2381,2215,1592,1101,764,302,17669,16,9,15,13,8,8,0,0,0,69,38,35,25,30,8,3,3,3,0,145,5,7,5,3,4,3,0,0,0,27,0,0,0,0,0,0,3,0,0,3,5,49,16,18,24,6,3,3,0,124,5,49,16,18,24,6,6,3,0,127,661,904,395,447,412,182,86,65,17,3169,95,170,66,65,38,19,10,4,3,470,562,390,241,278,245,165,95,61,29,2066,15,102,28,23,26,13,6,3,0,216,5151,5321,2795,3280,3022,1999,1314,903,351,24136,20,60,43,25,45,26,7,0,0,226,1268,1405,617,843,922,782,578,357,130,6902,0,0,0,0,0,0,0,0,0,0,59,65,35,34,45,21,23,9,8,299,67,24,18,24,8,0,10,6,3,160,1180,1426,510,717,688,489,335,198,57,5600,16,14,0,10,5,4,3,3,3,58,8,14,6,15,9,7,6,3,0,68
LGA10150,3431,2674,3936,3653,3043,2342,2294,1624,866,23863,186,224,389,174,78,21,14,3,3,1092,142,127,191,144,79,32,17,7,3,742,24,5,16,23,16,6,6,5,0,101,0,0,3,0,0,0,0,0,0,3,27,33,64,47,19,5,8,5,0,208,27,33,67,47,19,5,8,5,0,211,1142,938,1317,1467,985,344,213,112,60,6578,157,117,189,181,91,41,20,6,7,809,788,528,689,686,534,282,230,156,56,3949,48,131,135,55,42,52,42,7,3,515,6114,4987,7276,6823,5132,3216,2942,1976,1026,39492,211,230,401,372,321,151,98,50,17,1851,417,299,474,615,553,444,221,273,228,3524,3,0,0,3,0,0,0,0,0,6,48,46,101,73,62,57,38,9,22,456,0,0,3,0,3,0,0,3,0,9,2167,1431,1976,2032,1668,1405,1301,1016,376,13372,0,4,3,0,0,0,3,3,0,13,251,116,223,309,149,187,230,127,26,1618
LGA10200,4032,3185,3089,3334,3100,2269,1956,1612,481,23058,308,308,389,294,213,85,63,20,3,1683,4251,2665,2347,1879,1042,591,228,62,18,13083,3,3,6,0,7,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,55,72,84,53,43,22,4,3,0,336,55,72,84,53,43,22,4,3,0,336,1160,796,878,1188,744,301,214,112,17,5410,187,106,131,152,95,40,32,18,4,765,964,992,1392,1050,679,360,283,167,55,5942,41,97,102,71,49,89,62,16,0,527,11994,8907,9401,9221,6874,4087,3134,2138,613,56369,914,779,876,1141,1172,552,308,186,60,5988,348,327,418,429,511,462,322,418,168,3403,0,4,0,0,0,0,0,3,0,7,133,129,124,140,152,69,38,41,7,833,7,9,7,5,4,0,0,0,0,32,2448,1850,1845,1773,1651,1345,972,711,233,12828,13,4,5,7,10,4,0,4,0,47,201,182,235,205,166,259,218,122,42,1630
LGA10250,5118,2839,2509,3859,4092,3115,3093,2358,686,27669,5,3,3,5,3,4,0,0,0,23,3,0,3,6,5,5,0,0,0,22,3,3,0,4,8,0,0,4,0,22,6,0,0,3,0,0,0,0,0,9,33,19,24,27,30,10,8,0,3,154,39,19,24,30,30,10,8,0,3,163,1260,731,627,712,808,371,262,169,26,4966,183,115,120,110,86,44,22,13,3,696,778,396,356,417,494,283,239,202,54,3219,27,60,29,27,23,18,8,9,0,201,7448,4190,3712,5235,5603,3865,3638,2758,772,37221,51,39,47,65,80,50,7,5,0,344,1395,807,780,1282,1549,1598,1232,1139,396,10178,0,0,0,0,0,0,0,0,0,0,74,68,50,62,95,81,64,54,17,565,15,3,6,6,0,0,3,0,3,36,2246,1183,862,1388,1455,1087,894,566,176,9857,8,3,3,7,3,7,3,9,3,46,13,6,13,19,15,9,7,8,4,94
LGA10300,456,237,287,377,321,208,162,100,15,2163,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,42,62,52,19,15,8,0,0,310,16,10,3,10,5,0,3,0,0,47,54,27,30,31,33,19,17,11,3,225,0,3,3,0,0,0,0,0,0,6,638,322,391,470,378,242,190,111,18,2760,0,0,0,3,7,0,0,0,0,10,45,40,49,65,96,63,52,22,8,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,12,0,0,0,0,0,0,0,0,0,0,241,99,132,144,150,94,66,46,4,976,3,3,0,0,0,0,0,0,0,6,3,0,0,3,3,3,3,0,0,15
LGA10350,20701,13983,15006,15296,14338,11394,10192,7436,1624,109970,255,202,238,204,176,65,41,11,0,1192,7064,3994,3089,2521,1642,748,316,126,38,19538,3,5,10,11,10,11,7,14,5,76,0,3,0,0,0,0,0,0,0,3,164,156,139,108,105,43,23,10,5,753,164,159,139,108,105,43,23,10,5,756,2410,1465,1648,1934,1346,633,563,254,63,10316,393,248,306,276,191,88,59,38,8,1607,2659,1524,1610,1672,1393,894,815,649,259,11475,99,163,119,88,74,112,82,23,3,763,35785,23052,23888,24255,20658,14528,12599,8785,2053,165603,2432,1381,1734,2150,2137,826,518,317,87,11582,2543,2139,2051,2394,3075,3210,2297,2660,812,21181,5,5,7,10,8,3,0,0,3,41,576,375,351,406,427,321,166,151,62,2835,8,4,11,15,13,9,11,6,3,80,10462,6971,6184,7029,6534,5227,3797,3279,820,50303,53,43,22,26,33,28,18,17,10,250,2966,1776,2232,2254,1659,1722,1394,552,84,14639
LGA10470,5930,4729,3263,3954,3647,2499,1804,1168,431,27425,18,8,10,9,12,0,0,0,0,57,15,17,13,8,9,0,0,0,0,62,0,4,4,3,3,0,0,3,0,17,4,0,0,3,0,0,0,0,0,7,10,37,26,12,13,4,0,0,0,102,14,37,26,15,13,4,0,0,0,109,824,746,512,460,424,174,91,42,6,3279,90,127,69,43,32,21,6,6,4,398,604,551,545,481,359,229,131,99,47,3046,44,69,30,13,6,5,6,0,0,173,7557,6342,4496,5007,4527,2941,2041,1321,491,34723,27,46,31,36,36,17,5,3,0,201,1484,1462,1002,1134,1302,1137,695,580,199,8995,0,0,0,0,0,0,0,0,0,0,118,108,71,78,101,76,27,14,3,596,51,35,21,16,15,9,8,3,3,161,3009,2425,1358,1696,1618,1199,803,438,164,12710,3,14,6,3,15,3,0,0,3,47,40,20,17,28,17,23,12,4,3,164
LGA10550,3836,1752,1898,2888,2968,2896,2660,1616,423,20937,11,0,5,8,10,0,3,0,0,37,3,3,0,5,3,5,0,0,0,19,4,0,0,7,6,3,4,0,3,27,3,4,0,3,3,0,0,0,0,13,17,12,12,29,26,9,5,3,0,113,20,16,12,32,29,9,5,3,0,126,1520,622,570,840,863,454,266,181,29,5345,151,70,55,90,94,34,24,13,3,534,860,366,284,476,444,321,257,149,39,3196,4,22,9,11,12,6,7,4,0,75,6464,2867,2851,4419,4493,3743,3231,1969,497,30534,56,20,21,60,90,45,5,0,0,297,1398,739,589,1099,1412,1477,1257,893,258,9122,0,0,0,0,0,0,0,0,0,0,83,30,32,46,48,58,60,33,6,396,0,0,3,0,0,0,0,3,0,6,1306,693,548,891,1079,930,670,403,103,6623,0,3,0,3,0,10,8,3,3,30,21,3,10,20,16,12,5,3,0,90
LGA10600,1524,657,586,1169,1102,1019,934,579,175,7745,0,0,4,3,3,0,3,0,0,13,0,0,0,3,0,3,0,0,0,6,7,0,3,5,3,0,0,3,0,21,0,0,0,0,0,0,3,0,0,3,26,12,12,34,29,6,3,0,0,122,26,12,12,34,29,6,6,0,0,125,767,277,226,429,415,185,135,43,15,2492,95,42,36,56,53,20,8,7,0,317,336,133,117,197,216,123,101,52,10,1285,0,14,8,7,0,3,3,0,0,35,2788,1147,1006,1944,1873,1366,1193,689,200,12206,35,11,13,47,54,29,13,3,0,205,436,200,198,383,486,525,482,300,111,3121,0,0,0,0,0,0,0,0,0,0,13,4,4,8,9,19,15,6,3,81,3,0,0,0,0,0,0,0,0,3,455,208,139,313,316,306,253,148,48,2186,0,0,0,0,0,3,0,0,0,3,3,0,3,3,3,3,0,0,0,15
