region_id,C11_1PF_Cu15DS_4000ov,C11_1PF_Cu15DS_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_0_299,C11_1PF_CU15_NDS_300_449,C11_1PF_CU15_NDS_450_599,C11_1PF_CU15_NDS_600_799,C11_1PF_CU15_NDS_800_999,C11_1PF_CU15_NDS_1000_1399,C11_1PF_CU15_NDS_1400_1799,C11_1PF_CU15_NDS_1800_2399,C11_1PF_CU15_NDS_2400_2999,C11_1PF_CU15_NDS_3000_3999,C11_1PF_CU15_NDS_4000ov,C11_1PF_CU15_NDS_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_0_299,C11_1PF_NCu15DS_300_449,C11_1PF_NCu15DS_450_599,C11_1PF_NCu15DS_600_799,C11_1PF_NCu15DS_800_999,C11_1PF_NCu15DS_1000_1399,C11_1PF_NCu15DS_1400_1799,C11_1PF_NCu15DS_1800_2399,C11_1PF_NCu15DS_2400_2999,C11_1PF_NCu15DS_3000_3999,C11_1PF_NCu15DS_4000ov,C11_1PF_NCu15DS_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_0_299,C11_1PF_NDCO_300_449,C11_1PF_NDCO_450_599,C11_1PF_NDCO_600_799,C11_1PF_NDCO_800_999,C11_1PF_NDCO_1000_1399,C11_1PF_NDCO_1400_1799,C11_1PF_NDCO_1800_2399,C11_1PF_NDCO_2400_2999,C11_1PF_NDCO_3000_3999,C11_1PF_NDCO_4000ov,C11_1PF_NDCO_NS,C11_1PF_NDCO_Tot,C11_1PF_T_0_299,C11_1PF_T_300_449,C11_1PF_T_450_599,C11_1PF_T_600_799,C11_1PF_T_800_999,C11_1PF_T_1000_1399,C11_1PF_T_1400_1799,C11_1PF_T_1800_2399,C11_1PF_T_2400_2999,C11_1PF_T_3000_3999,C11_1PF_T_4000ov,C11_1PF_T_NS,C11_1_PF_T_T,C11_T_0_299,C11_T_300_449,C11_T_450_599,C11_T_600_799,C11_T_800_999,C11_T_1000_1399,C11_T_1400_1799,C11_T_1800_2399,C11_T_2400_2999,C11_T_3000_3999,C11_T_4000ov,C11_T_NS,C11_T_T
LGA10050,0,3,58,11,10,5,24,24,67,53,33,8,8,3,9,255,10,3,6,11,19,28,19,11,4,0,3,9,123,7,10,5,13,24,30,25,21,3,3,0,8,149,31,23,20,48,73,141,109,73,18,14,6,29,585,169,125,113,251,370,1083,1107,1032,305,212,128,268,5163
LGA10110,3,0,37,8,5,5,17,17,24,17,14,3,0,0,7,117,0,0,0,9,4,17,6,8,0,0,0,0,44,5,3,5,0,4,8,9,4,3,0,0,4,45,13,8,10,32,32,59,36,33,6,0,3,11,243,73,56,54,113,160,397,373,344,128,88,61,83,1930
LGA10150,0,5,24,6,0,0,3,5,15,18,44,30,18,11,5,155,0,3,0,3,4,9,16,17,14,11,5,3,85,8,3,6,4,3,16,10,18,7,11,7,3,96,14,6,6,10,12,40,48,89,51,45,23,16,360,119,38,35,69,100,263,304,666,442,595,513,161,3305
LGA10200,4,4,60,5,4,3,9,9,48,40,54,32,25,13,12,254,11,7,6,0,8,27,19,30,14,20,3,8,153,16,6,4,10,15,42,51,64,21,33,10,24,296,35,17,13,25,35,128,117,156,76,83,30,48,763,223,105,88,170,216,736,916,1486,837,867,465,349,6458
LGA10250,6,0,65,4,4,9,9,13,37,36,38,20,6,7,7,190,5,0,6,7,10,15,16,14,4,3,0,3,83,7,5,3,9,14,24,22,26,8,0,3,11,132,20,12,18,28,44,85,84,91,39,12,16,21,470,153,80,72,140,199,571,544,773,383,318,178,182,3593
LGA10300,0,0,3,0,0,0,0,4,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,8,5,3,0,0,0,0,0,16,17,11,8,19,28,39,25,13,6,6,7,14,193
LGA10350,13,18,226,29,26,20,22,49,110,139,207,106,84,37,51,880,16,20,6,17,31,76,59,86,39,34,17,24,425,37,10,14,33,44,102,117,145,84,57,39,68,750,85,60,45,78,136,320,358,486,253,193,106,161,2281,594,274,271,444,624,1969,2311,4071,2781,2480,1113,1027,17959
LGA10470,0,0,42,3,9,3,10,16,50,59,34,10,4,4,8,210,3,0,3,4,10,17,14,8,0,0,3,6,68,6,3,3,11,11,22,21,17,3,4,3,12,116,12,19,12,28,40,100,97,68,16,8,10,26,436,121,86,85,152,229,663,810,965,385,213,124,181,4014
LGA10550,0,4,46,3,7,5,10,21,50,25,12,11,0,3,6,153,6,5,4,14,3,14,3,10,3,4,0,4,70,5,4,5,8,8,15,8,7,3,0,0,7,70,17,16,14,42,39,88,44,34,17,4,3,21,339,164,107,107,197,264,630,511,491,199,135,93,168,3066
LGA10600,0,0,33,0,4,3,13,8,20,17,10,3,3,3,0,84,3,3,3,3,4,10,3,3,0,0,0,3,35,0,4,3,3,4,5,0,5,0,0,3,3,30,6,15,12,22,20,40,28,18,3,6,6,6,182,42,48,34,72,85,231,215,186,60,45,34,43,1095
