region_id,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000mo,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_199,C11_CFNC_1F1P_200_399,C11_CFNC_1F1P_400_599,C11_CFNC_1F1P_600_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_199,C11_CFNC_1E1A_200_399,C11_CFNC_1E1A_400_599,C11_CFNC_1E1A_600_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_199,C11_CFNC_1F1NW_200_399,C11_CFNC_1F1NW_400_599,C11_CFNC_1F1NW_600_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_199,C11_CFNC_1P1NW_200_399,C11_CFNC_1P1NW_400_599,C11_CFNC_1P1NW_600_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_mr,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_199,C11_CFNC_1A1NW_200_399,C11_CFNC_1A1NW_400_599,C11_CFNC_1A1NW_600_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_199,C11_CFNC_BA_200_399,C11_CFNC_BA_400_599,C11_CFNC_BA_600_799,C11_CFNC_BA_800_999,C11_CFNC_BA_1000_1499,C11_CFNC_BA_1500_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000m,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_N,C11_CFNC_BNW_1_199,C11_CFNC_BNW_200_399,C11_CFNC_BNW_400_599,C11_CFNC_BNW_600_799,C11_CFNC_BNW_800_999,C11_CFNC_BNW_1000_1499,C11_CFNC_BNW_1500_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000m,C11_CFNC_BNW_Ns,C11_CFNC_BNW_T,C11_CFNC_LFns_N,C11_CFNC_LFns_1_199,C11_CFNC_LFns_200_399,C11_CFNC_LFns_400_599,C11_CFNC_LFns_600_799,C11_CFNC_LFns_800_999,C11_CFNC_LFns_1000_1499,C11_CFNC_LFns_1500_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000mo,C11_CFNC_LFns_Ns,C11_CFNC_LFns_T,C11_CFNC_T_N,C11_CFNC_T_1_199,C11_CFNC_T_200_399,C11_CFNC_T_400_599,C11_CFNC_T_600_799,C11_CFNC_T_800_999,C11_CFNC_T_1000_1499,C11_CFNC_T_1500_1999,C11_CFNC_T_2000_2499,C11_CFNC_T_2500_2999,C11_CFNC_T_3000M,C11_CFNC_T_Ns,C11_CFNC_T_T,C11_CF_BFT_N,C11_CF_BFT_1_199,C11_CF_BFT_200_399,C11_CF_BFT_400_599,C11_CF_BFT_600_799,C11_CF_BFT_800_999,C11_CF_BFT_1000_1499,C11_CF_BFT_1500_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_mr,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_N,C11_CF_BPT_1_199,C11_CF_BPT_200_399,C11_CF_BPT_400_599,C11_CF_BPT_600_799,C11_CF_BPT_800_999,C11_CF_BPT_1000_1499,C11_CF_BPT_1500_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_mr,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_N,C11_CF_1F1P_1_199,C11_CF_1F1P_200_399,C11_CF_1F1P_400_599,C11_CF_1F1P_600_799,C11_CF_1F1P_800_999,C11_CF_1F1P_1000_1499,C11_CF_1F1P_1500_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000mo,C11_CF_1F1P_Ns,C11_CF_1F1P_T,C11_CF_1E1A_N,C11_CF_1E1A_1_199,C11_CF_1E1A_200_399,C11_CF_1E1A_400_599,C11_CF_1E1A_600_799,C11_CF_1E1A_800_999,C11_CF_1E1A_1000_1499,C11_CF_1E1A_1500_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_mr,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_N,C11_CF_1F1NW_1_199,C11_CF_1F1NW_200_399,C11_CF_1F1NW_400_599,C11_CF_1F1NW_600_799,C11_CF_1F1NW_800_999,C11_CF_1F1NW_1000_1499,C11_CF_1F1NW_1500_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000mo,C11_CF_1F1NW_Ns,C11_CF_1F1NW_T,C11_CF_1P1NW_N,C11_CF_1P1NW_1_199,C11_CF_1P1NW_200_399,C11_CF_1P1NW_400_599,C11_CF_1P1NW_600_799,C11_CF_1P1NW_800_999,C11_CF_1P1NW_1000_1499,C11_CF_1P1NW_1500_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_mr,C11_CF_1P1NW_Ns
LGA10050,22,23,3,12,5,195,0,0,0,7,14,56,249,180,111,41,94,17,769,0,0,0,3,3,9,45,26,24,8,10,12,140,0,3,5,30,65,63,122,81,23,36,14,16,458,0,4,8,52,79,52,36,16,15,4,5,4,275,0,0,3,4,14,10,14,11,3,3,5,4,71,3,0,3,0,3,3,7,10,3,3,8,3,46,30,65,25,535,303,252,139,40,38,13,16,76,1532,0,3,0,14,4,15,3,3,0,0,0,300,342,33,78,51,660,519,536,842,667,545,224,329,453,4937,0,0,5,3,5,19,89,177,260,140,272,102,1072,0,0,0,0,10,12,44,29,29,10,15,11,160,5,9,0,3,13,56,342,415,357,166,237,110,1713,0,0,0,3,4,5,56,45,61,41,33,21,269,5,0,5,12,62,79,244,192,57,88,37,56,837,0,3,6,21,34,32,52,11,9,6,6,16
LGA10110,8,9,4,9,3,115,0,0,0,8,16,34,93,82,53,26,38,3,353,0,0,0,4,3,3,14,10,9,4,7,3,57,0,0,0,8,35,25,44,30,19,27,16,8,212,0,5,9,30,47,28,33,8,10,10,4,3,187,0,0,3,6,3,3,4,3,0,3,4,0,29,0,3,0,0,0,3,4,3,3,3,0,0,19,13,26,19,199,120,123,80,30,22,6,13,25,676,0,0,0,10,3,5,0,0,0,0,0,160,178,18,40,31,275,265,273,383,283,240,125,177,213,2323,0,0,0,0,9,9,64,96,109,79,138,66,570,0,0,0,6,8,14,18,16,8,0,5,4,79,0,0,3,3,15,32,145,151,121,59,107,50,686,0,0,0,4,0,5,24,21,22,6,15,11,108,0,0,3,5,36,40,90,60,17,50,21,21,343,0,3,9,11,9,15,20,4,5,4,3,10
LGA10150,20,15,10,6,3,224,4,0,0,4,22,34,142,88,94,42,94,7,531,0,3,0,3,6,10,21,10,22,9,24,6,114,4,3,7,16,68,66,115,74,30,48,30,5,466,0,9,26,30,34,30,38,13,11,3,9,3,206,0,0,3,3,0,3,7,5,3,3,3,3,33,0,3,0,0,3,6,5,5,3,5,6,0,36,99,92,32,328,142,98,67,21,22,8,11,27,947,0,0,0,4,6,7,5,0,0,0,0,221,243,113,113,71,407,329,323,551,390,492,292,586,280,3947,3,3,0,0,4,17,50,92,150,107,431,84,941,0,3,0,3,17,14,37,27,25,10,24,9,169,3,0,4,5,9,22,146,153,182,147,474,92,1237,3,0,0,0,4,5,24,19,38,46,95,17,251,3,0,9,23,69,86,190,160,67,204,93,62,966,0,0,9,25,38,31,34,26,18,14,20,15
LGA10200,16,12,9,4,3,276,0,3,0,10,14,56,162,100,72,22,37,8,484,0,0,4,11,9,9,18,14,19,8,16,6,114,3,3,13,72,147,118,196,95,16,63,26,19,771,7,4,63,71,82,37,43,11,9,6,0,4,337,4,3,5,9,19,13,13,14,3,0,0,12,95,0,3,0,3,3,6,12,4,9,3,6,9,58,197,133,57,581,208,130,74,29,13,5,4,42,1473,5,3,8,12,4,4,8,0,0,0,6,326,376,225,155,153,793,559,481,755,496,486,266,518,445,5332,6,4,3,7,10,42,167,212,328,176,462,100,1517,0,8,7,17,35,48,71,38,22,19,17,20,302,5,4,4,14,39,69,226,209,185,102,202,65,1124,3,0,0,5,6,16,50,40,46,30,57,25,278,16,16,42,124,299,311,650,339,139,249,137,155,2477,6,23,74,153,182,109,178,75,34,22,19,78
LGA10250,31,28,4,22,4,241,3,0,0,18,12,61,173,147,87,45,68,3,617,0,0,0,0,5,10,22,27,27,9,14,12,126,3,3,3,18,56,39,95,59,25,31,21,14,367,0,0,9,47,90,69,68,23,13,5,4,10,338,3,0,3,3,14,10,7,7,6,10,3,0,66,0,0,0,0,3,5,12,8,0,3,7,8,46,35,56,25,631,454,415,262,87,31,19,29,76,2120,3,3,0,8,8,8,6,3,3,0,0,258,300,57,68,46,747,690,714,831,516,383,182,290,391,4915,3,3,3,3,10,24,91,132,130,78,161,98,736,3,0,3,3,12,27,64,48,18,12,27,19,236,3,0,0,6,24,64,297,274,218,92,153,118,1249,0,0,0,5,3,8,44,33,34,24,35,14,200,0,0,8,9,37,70,166,136,41,73,33,50,623,0,0,3,16,48,35,62,8,18,8,4,21
LGA10300,0,0,0,0,3,9,3,0,0,3,0,5,11,16,3,0,3,3,47,0,3,0,3,0,0,5,0,3,0,0,0,14,0,0,0,0,4,5,9,3,0,0,3,4,28,0,0,3,0,5,3,3,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,3,6,0,0,0,3,3,0,0,0,0,0,0,0,6,4,0,3,25,5,9,4,0,0,0,3,0,53,0,0,0,0,4,0,0,0,0,0,0,9,13,7,6,6,34,30,33,52,29,11,4,12,25,249,0,0,3,0,4,3,6,12,8,9,7,7,59,0,0,0,0,0,3,3,0,3,0,0,0,9,0,0,0,0,4,3,26,19,13,0,3,8,76,0,0,0,0,0,0,0,0,5,0,3,0,8,0,3,3,3,6,3,17,11,4,0,0,4,54,0,0,0,4,0,3,0,0,0,0,0,0
LGA10350,30,29,10,20,6,301,4,4,3,15,41,95,324,243,172,80,95,20,1096,5,0,3,3,7,11,44,43,30,30,34,10,220,7,5,24,95,235,214,402,176,57,111,23,55,1404,0,27,63,153,180,120,115,35,18,10,9,20,750,0,3,12,20,30,23,41,18,0,10,3,9,169,3,0,3,3,10,7,16,13,10,5,13,13,96,239,321,176,2190,961,660,315,78,26,17,30,203,5216,12,9,3,55,12,24,12,10,0,0,0,650,787,281,378,293,2560,1529,1275,1606,1146,1023,530,768,1023,12412,10,5,3,7,17,89,403,614,911,586,1364,351,4360,4,9,7,24,60,87,168,129,69,45,71,72,745,10,12,11,36,78,165,787,935,877,523,891,311,4636,3,7,3,13,24,28,110,134,130,117,184,71,824,24,35,53,233,468,668,1491,903,403,548,311,379,5516,3,32,120,268,372,316,380,219,98,58,60,167
LGA10470,22,19,5,11,5,168,3,5,3,4,17,31,140,146,108,48,64,11,580,0,0,0,6,7,7,22,17,17,5,9,4,94,0,4,0,12,51,53,102,67,22,47,17,17,392,0,0,11,51,57,42,45,24,5,5,4,4,248,3,3,0,8,7,11,5,5,3,3,3,0,51,0,0,0,0,0,0,0,7,3,8,0,4,22,19,35,18,406,223,195,102,37,23,4,14,44,1120,3,0,3,14,5,6,0,0,0,0,0,219,250,32,47,39,519,399,395,580,483,438,239,306,317,3794,3,0,0,0,8,12,87,160,213,151,310,98,1042,3,0,0,8,7,10,17,23,15,4,15,11,113,0,0,0,0,24,44,247,254,266,163,188,95,1281,0,0,0,3,4,7,38,33,60,27,36,12,220,3,5,9,13,38,86,182,171,49,79,34,45,714,0,0,4,8,21,23,41,14,11,8,5,17
LGA10550,37,11,0,7,3,256,0,4,5,17,33,57,140,131,69,31,29,8,524,0,0,3,0,8,10,32,18,19,3,5,7,105,0,4,5,17,48,67,99,49,13,29,7,7,345,0,5,12,74,78,70,61,37,18,9,4,8,376,0,3,0,13,6,10,15,14,5,3,8,5,82,0,0,0,4,6,6,10,3,8,0,0,0,37,30,69,41,608,384,347,253,66,36,13,22,54,1923,3,3,0,13,8,3,3,0,0,0,0,292,325,39,101,73,777,633,692,802,473,263,128,142,397,4520,0,3,3,9,14,18,73,103,112,46,90,76,547,4,3,0,6,20,27,59,30,21,8,9,17,204,6,7,0,14,24,49,228,202,153,58,69,70,880,0,0,0,5,7,9,33,23,31,10,13,13,144,0,3,5,4,39,74,170,87,25,35,12,28,482,0,3,6,24,33,37,50,20,6,5,0,15
LGA10600,5,7,0,7,0,92,0,0,0,9,11,17,45,39,28,10,12,7,178,0,0,0,4,0,0,9,6,0,0,5,3,27,0,0,3,5,18,23,31,18,7,4,4,6,119,0,4,0,30,33,18,36,9,3,0,0,3,136,0,0,0,0,3,0,3,0,0,0,0,3,9,0,0,0,4,0,0,4,6,0,0,4,3,21,7,24,19,247,147,129,62,19,5,9,6,21,695,0,0,0,8,0,4,0,0,0,0,0,105,117,13,31,27,323,228,227,251,150,81,36,63,154,1584,0,0,0,3,7,9,20,32,30,15,30,21,167,0,0,0,8,11,24,29,12,13,4,5,7,113,3,0,0,4,9,23,74,62,60,19,12,31,297,3,0,0,0,0,3,10,14,11,0,3,5,49,0,0,0,6,27,33,73,32,7,11,5,19,213,0,3,4,11,22,26,28,4,4,4,0,11
