region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
LGA10050,9,3,0,164,707,78,322,17,3,1127,14855,1106,3288,135,16,19400
LGA10110,6,3,0,75,395,41,155,31,0,622,7384,531,1096,111,11,9133
LGA10150,81,0,0,123,352,144,642,18,3,1159,6088,1953,8004,109,32,16186
LGA10200,39,0,0,136,752,209,931,20,0,1912,11411,2832,9110,74,26,23453
LGA10250,109,11,0,205,432,109,176,113,0,830,11383,2091,2123,766,7,16370
LGA10300,0,0,3,13,69,3,9,31,0,112,823,25,30,49,3,930
LGA10350,93,6,3,411,2321,630,1010,45,10,4016,40916,9769,8614,284,101,59684
LGA10470,5,0,3,78,609,112,136,25,4,886,12097,1083,1023,84,34,14321
LGA10550,11,9,0,123,521,61,92,53,0,727,10926,916,1143,437,14,13436
LGA10600,8,9,0,56,176,9,16,19,0,220,4626,107,226,276,4,5239
LGA10650,0,6,0,43,142,14,27,9,0,192,2935,151,174,121,0,3381
LGA10750,31,5,0,504,3565,607,517,59,3,4751,79683,11102,5119,426,73,96403
LGA10800,3,0,0,27,95,0,8,36,0,139,2182,15,101,67,0,2365
LGA10850,0,0,0,18,134,3,4,0,0,141,2514,63,56,26,3,2662
LGA10900,24,0,0,290,1365,114,57,69,3,1608,27116,1506,624,109,22,29377
LGA10950,0,0,0,10,91,3,6,7,5,112,1038,25,33,61,10,1167
LGA11000,0,0,0,11,43,0,0,3,0,46,999,12,15,12,0,1038
LGA11050,0,0,0,18,31,0,0,5,0,36,949,32,0,18,0,999
LGA11100,39,0,0,84,320,128,598,8,0,1054,5785,2154,6832,79,35,14885
LGA11150,0,6,0,20,148,0,8,106,0,262,1011,3,41,149,4,1208
LGA11200,0,0,0,15,40,0,4,0,3,47,570,0,46,10,3,629
LGA11250,5,6,3,63,562,37,55,24,0,678,7410,114,353,166,13,8056
LGA11300,28,0,0,72,286,75,363,23,0,747,5794,1239,4110,83,12,11238
LGA11350,12,3,0,118,596,105,89,433,0,1223,9768,1138,710,756,30,12402
