region_id,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot
LGA10050,34,22,9,10,9,0,0,0,3,44,159,247,353,1160,1250,713,1034,795,305,57,27,42,198,6181
LGA10110,10,13,3,3,7,12,5,0,3,14,82,206,136,365,659,371,532,453,272,30,6,19,104,3153
LGA10150,4,4,0,3,14,23,3,5,0,24,93,160,107,146,210,178,380,1257,2331,743,286,242,179,6219
LGA10200,4,8,6,18,48,54,26,6,6,38,238,319,227,303,319,223,674,1724,2550,1418,407,215,331,8710
LGA10250,13,12,3,11,11,18,5,3,10,31,130,265,248,293,386,278,565,1047,1062,257,59,67,142,4669
LGA10300,3,0,0,0,0,0,0,0,0,3,10,71,16,60,68,12,3,0,0,0,0,3,18,251
LGA10350,35,40,9,25,40,85,20,8,9,143,567,1172,1503,1361,1127,542,928,2664,4540,1542,341,179,767,16666
LGA10470,11,15,11,10,9,0,0,0,3,24,101,296,179,454,682,514,790,695,323,43,7,21,128,4132
LGA10550,9,17,9,8,7,0,0,0,0,19,87,267,157,337,663,418,563,438,122,18,5,31,134,3153
LGA10600,7,5,0,4,3,0,0,0,0,3,29,115,61,141,171,161,220,259,127,13,0,10,36,1314
LGA10650,7,4,0,3,0,0,0,0,0,8,28,125,60,187,212,60,57,18,0,6,0,4,34,763
LGA10750,89,63,38,51,104,82,10,5,10,189,821,1362,1839,2173,2215,1567,2679,6573,6281,1589,646,316,1079,28319
LGA10800,0,3,0,3,0,0,0,0,0,5,15,132,32,98,91,41,47,24,0,3,3,6,39,516
LGA10850,5,6,0,0,0,0,0,0,0,3,17,69,48,90,171,66,64,37,12,3,3,3,30,596
LGA10900,14,13,11,5,16,3,0,0,0,29,103,255,73,310,474,448,961,1538,877,233,49,55,170,5443
LGA10950,3,0,0,0,0,0,3,0,0,3,15,78,21,74,75,37,24,4,7,6,0,0,25,351
LGA11000,0,3,0,0,0,0,0,0,0,3,6,61,17,55,44,15,3,3,0,0,0,6,15,219
LGA11050,4,0,0,0,0,0,0,0,3,3,13,60,14,28,54,20,3,3,3,0,0,6,10,201
LGA11100,7,4,3,6,12,16,6,5,6,37,150,305,547,315,245,111,293,883,1138,513,540,265,216,5371
LGA11150,0,4,0,0,0,0,0,0,0,0,12,166,34,67,73,19,6,6,3,0,0,6,24,404
LGA11200,3,0,0,0,0,0,0,0,0,3,15,160,47,78,18,0,0,0,3,0,0,0,34,340
LGA11250,11,20,3,3,4,0,0,0,0,16,61,208,59,401,500,175,102,69,19,9,9,24,82,1657
LGA11300,3,0,5,3,5,27,12,4,3,15,84,173,130,126,119,74,235,386,1150,895,310,228,165,3991
LGA11350,9,6,0,3,4,9,3,5,8,25,80,228,51,170,266,215,303,589,995,439,191,192,130,3769
LGA11400,3,7,3,0,0,3,0,0,0,10,33,236,41,165,217,80,68,44,19,0,3,3,55,931
LGA11450,3,3,4,4,6,11,5,0,3,19,62,150,131,107,116,90,201,627,1116,561,117,40,113,3369
LGA11500,44,37,20,35,65,18,0,4,6,112,436,659,1073,1409,1355,912,2096,3750,2105,367,57,75,593,14451
LGA11520,7,3,0,3,9,19,15,8,16,35,133,369,295,237,182,175,191,531,1656,2348,1705,1426,270,9385
LGA11550,19,15,19,37,101,63,15,8,12,81,449,741,898,823,836,622,1910,5161,3250,1345,433,249,622,16890
LGA11600,0,4,0,0,0,0,0,0,0,0,14,140,18,51,72,11,0,3,3,0,0,0,27,325
LGA11700,4,0,0,0,0,0,0,0,0,0,7,173,28,98,17,3,6,3,0,0,3,4,19,354
LGA11720,13,25,21,16,10,3,0,0,4,46,164,288,213,398,716,496,1018,895,370,46,5,35,182,4662
LGA11730,31,25,14,28,19,3,3,0,0,38,179,389,180,554,878,601,1009,904,220,53,13,55,160,5016
LGA11750,0,3,0,0,0,0,0,0,0,5,14,150,46,180,147,54,58,36,7,6,6,9,39,738
LGA11800,32,41,14,14,19,16,0,0,0,63,238,432,419,603,1008,772,1365,1945,1283,255,50,78,311,8521
LGA11860,0,0,3,0,0,0,0,0,0,3,10,76,5,23,10,6,0,0,0,0,0,0,12,132
LGA12000,4,0,0,0,0,0,0,0,0,0,4,55,31,50,56,16,24,6,4,0,0,3,12,257
LGA12050,3,3,5,3,0,0,0,0,3,8,28,82,65,183,191,118,150,77,28,3,6,14,34,951
LGA12150,7,3,0,0,3,0,0,0,0,5,29,144,33,167,90,11,10,6,4,0,0,4,32,501
LGA12200,5,4,0,0,0,0,0,0,0,14,27,96,63,154,186,56,48,31,3,3,0,9,31,680
LGA12300,9,5,3,4,0,0,0,0,0,10,34,96,34,184,253,128,181,63,7,12,6,6,42,1012
LGA12350,16,11,0,0,0,0,0,0,0,7,42,149,94,274,410,129,88,26,12,3,4,10,35,1234
LGA12500,22,5,0,3,0,0,0,0,0,11,51,52,46,272,254,62,58,23,9,0,0,6,33,815
LGA12600,22,23,10,12,10,3,0,3,0,26,138,257,233,670,869,545,818,497,212,14,6,30,160,4311
LGA12700,0,5,0,4,0,0,0,0,0,5,18,101,19,66,118,70,99,52,20,3,0,4,32,584
LGA12750,24,25,19,19,12,3,0,0,0,28,144,278,144,410,614,493,847,619,221,25,3,38,127,3819
LGA12850,47,35,36,52,61,77,10,0,7,118,515,889,1001,1360,1371,1092,2364,3572,3940,717,142,125,727,17300
LGA12900,4,7,3,3,0,0,0,0,0,12,38,163,83,237,339,75,43,22,3,0,0,10,60,1035
LGA12950,4,3,0,0,0,0,0,0,0,3,16,80,51,144,123,23,3,0,3,0,0,9,16,452
LGA13010,8,6,3,0,0,0,0,0,0,5,36,100,42,235,257,114,74,16,0,0,3,9,52,902
LGA13050,10,0,0,0,0,0,0,0,0,0,14,76,18,100,103,67,59,44,8,0,0,6,23,504
LGA13100,49,36,27,48,46,28,4,0,3,122,441,685,777,968,1296,1062,2428,4329,2807,769,233,190,481,16025
LGA13310,15,10,9,5,11,0,3,0,0,26,108,230,221,458,646,381,500,331,79,15,9,22,120,3012
LGA13320,13,23,6,9,13,3,4,0,0,21,112,258,108,353,781,427,687,738,254,31,21,38,145,3841
LGA13340,7,3,3,0,0,0,0,0,0,7,27,137,30,141,163,67,54,38,5,0,3,7,46,691
LGA13380,26,37,20,25,5,0,0,0,0,36,167,321,229,614,1108,606,1044,610,140,12,9,42,166,4901
LGA13450,17,21,6,7,5,4,0,0,0,17,102,283,122,432,629,372,442,188,101,7,6,11,116,2709
LGA13500,3,3,0,0,0,0,0,0,0,0,12,90,22,51,81,47,21,0,0,0,0,3,15,330
LGA13550,8,11,3,4,3,3,0,0,0,8,46,165,47,217,283,181,198,119,62,12,9,15,74,1382
LGA13650,0,0,0,3,0,0,0,0,0,3,9,73,9,85,104,43,25,7,0,0,0,3,28,377
