region_id,Med_age_persns_C2001,Med_age_persns_C2006,Med_age_persns_C2011,Med_mortg_rep_mon_C2001,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_person_inc_we_C2001,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_rent_weekly_C2001,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_Famly_inc_we_C2001,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Avg_num_p_per_brm_C2001,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Med_tot_hh_inc_wee_C2001,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Average_hh_size_C2001,Average_hh_size_C2006,Average_hh_size_C2011
LGA10050,34,36,37,780,1092,1452,369,457,560,115,150,195,905,1153,1360,1.1,1.1,1.1,706,921,1021,2.5,2.4,2.4
LGA10110,30,32,33,804,1000,1441,308,372,476,125,160,202,883,1120,1292,1.1,1.1,1.1,693,856,989,2.5,2.5,2.4
LGA10150,37,37,37,1300,1777,2167,437,511,625,220,250,365,1127,1318,1689,1.2,1.2,1.2,930,1115,1410,2.4,2.4,2.5
LGA10200,32,31,31,1100,1700,2000,292,343,423,190,230,351,793,990,1161,1.3,1.3,1.3,741,907,1157,3.1,3.1,3.1
LGA10250,41,43,45,901,1300,1733,308,397,494,150,210,290,731,1020,1153,1.1,1.1,1.1,591,781,928,2.4,2.4,2.4
LGA10300,35,38,42,563,691,867,364,408,493,84,100,133,761,1009,1126,1.1,1.1,1.1,672,740,893,2.7,2.5,2.4
LGA10350,35,35,35,1192,1690,2002,337,371,429,189,220,310,928,1077,1228,1.2,1.2,1.2,803,925,1090,3.0,2.9,3.0
LGA10470,32,34,35,867,1300,1625,344,412,531,135,170,215,951,1177,1437,1.1,1.1,1.1,761,969,1138,2.6,2.5,2.5
LGA10550,42,45,48,737,1037,1300,296,368,453,120,160,200,684,897,1014,1.1,1.1,1.1,577,720,848,2.5,2.4,2.3
LGA10600,41,45,47,737,1000,1300,268,338,413,125,170,220,607,785,938,1.1,1.1,1.1,518,636,785,2.5,2.4,2.4
LGA10650,42,45,48,650,867,1170,337,391,429,90,112,145,751,979,958,1.1,1.1,1.1,617,742,773,2.4,2.4,2.2
LGA10750,31,32,32,1083,1710,2100,407,471,563,170,200,300,1008,1209,1492,1.1,1.1,1.1,925,1117,1386,3.1,3.0,3.1
LGA10800,39,41,41,542,823,1070,315,380,472,75,110,135,732,959,1072,1.1,1.1,1.1,610,733,891,2.6,2.5,2.4
