SA3_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
10102,14716,5265,475,1551,22008
10103,4762,2242,254,1674,8931
10104,18925,8689,698,2614,30934
10105,9002,3872,306,920,14096
10106,9422,3378,302,880,13977
10201,44306,16969,1922,3153,66351
10202,41071,14989,1782,2991,60836
10301,11249,4394,636,1140,17419
10302,13900,6268,411,2055,22633
10303,11444,5238,442,1953,19078
10304,14581,5616,558,1389,22145
10401,13158,5680,613,2162,21605
10402,22200,8773,1196,2850,35019
10501,5537,2809,242,1819,10408
10502,4973,2818,202,774,8767
10503,17223,6767,680,2181,26844
10601,22338,7334,745,2108,32529
10602,19926,5702,627,1074,27330
10603,19001,6637,647,2142,28428
10604,7596,3012,320,912,11833
10701,19818,6398,570,1018,27808
10702,0,0,0,0,5
10703,24163,6518,647,1655,32984
10704,31964,12470,2737,2614,49785
10801,8428,4103,387,1190,14110
10802,12191,5574,579,1918,20265
10803,90,43,7,21,150
10804,21096,8819,950,2157,33027
10805,14445,6039,591,1352,22428
10901,15316,6951,869,1597,24735
10902,3133,1274,94,724,5229
10903,10794,5026,374,1746,17950
11001,8845,3821,546,1056,14266
11002,9745,4507,388,1452,16085
11003,6141,2528,240,1388,10302
11004,20418,8239,886,2378,31926
11101,32800,11259,1089,1415,46561
11102,20273,6215,657,942,28088
11103,40769,18241,4198,2488,65695
11201,19663,8398,1524,3860,33442
11202,17477,7730,1067,2181,28455
11203,23650,10104,1332,3409,38497
11301,11654,4340,477,1702,18173
11302,3723,1579,100,501,5906
11303,23320,9130,1186,2002,35641
11401,26243,10900,980,2729,40857
11402,12744,4640,384,1062,18825
11501,38468,5615,635,978,45692
11502,6630,1106,126,410,8282
11503,6327,1203,123,579,8230
11504,8466,978,136,337,9914
11601,33925,7625,1234,1743,44533
11602,23533,2768,473,939,27711
11603,26580,5084,694,1947,34314
11701,11477,3780,1161,1041,17469
11702,12482,5509,2458,1715,22165
11703,41627,32415,13760,12773,100568
11801,29707,14082,4663,5654,54107
11802,31775,13097,5502,3785,54155
11901,40811,10164,1175,2762,54915
11902,32653,7682,1907,2362,44601
11903,31992,8586,1842,1751,44174
11904,34274,10596,2725,2661,50256
12001,22465,6945,1839,1940,33184
12002,14007,6100,1404,1845,23362
12003,35919,11696,4571,3273,55467
12101,29301,9281,2024,2301,42906
12102,21629,5102,669,884,28284
12103,31810,6164,592,1191,39759
12104,24356,13544,2254,3486,43636
12201,10941,3680,941,1011,16572
12202,16015,4123,418,1020,21581
12203,38806,11326,1681,2423,54235
12301,16493,2715,287,589,20084
12302,39926,9234,1163,2529,52852
12303,10662,2037,195,633,13528
12401,20357,7353,850,1326,29890
12402,0,3,0,11,11
12403,36064,9064,1167,2333,48631
12404,8778,2927,355,654,12713
12405,13574,3196,475,975,18223
12501,19808,4450,1996,1711,27962
12502,17192,4015,593,801,22601
12503,34847,8976,1553,2507,47885
12504,35081,10038,2316,2921,50358
12601,12514,2434,592,423,15966
12602,33816,10926,2496,2034,49270
12701,24369,3550,383,1763,30058
12702,44170,8074,1173,2108,55518
12703,28251,6207,729,2717,37895
12801,29096,9801,1134,1866,41902
12802,29319,6215,605,932,37067
19797,0,0,0,0,0
19999,0,0,0,0,0
