SA3_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
10102,257,183,170,210,187,174,118,41,8,1350,9,0,0,3,7,7,11,0,0,42,5865,3811,3508,4278,5581,4410,2949,1429,555,32380,161,52,281,134,37,16,8,0,0,679,173,51,235,96,43,25,9,0,0,640,7,0,4,8,10,10,4,0,0,39,5,0,7,0,0,3,0,0,0,16,101,37,182,67,15,23,0,3,3,431,17,19,29,37,36,30,5,3,0,177,131,61,213,99,44,56,5,8,3,620,3808,2212,2660,2553,2457,1830,929,259,68,16767,1041,641,816,786,916,755,490,203,65,5725,11232,6881,7796,8048,9179,7171,4426,1912,693,57331
10103,75,27,38,36,41,36,30,9,0,300,0,0,0,0,0,4,4,0,0,7,1620,1004,871,1181,1679,1749,1525,824,330,10792,0,4,3,3,3,8,0,0,0,14,20,13,11,9,8,9,3,0,0,65,3,0,0,5,3,8,0,0,0,14,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,3,3,8,15,15,8,4,0,0,63,9,3,13,13,15,8,4,0,0,73,1286,848,896,808,772,684,392,149,31,5863,316,278,334,281,374,284,258,143,83,2361,3274,2164,2163,2328,2909,2771,2193,1117,449,19366
10104,229,114,99,113,198,242,185,85,20,1285,7,3,0,3,8,12,19,4,4,63,4504,2709,2127,3216,5060,7350,7494,4194,1718,38371,21,9,21,17,17,19,13,0,3,126,16,11,12,6,11,8,6,0,0,70,0,3,3,3,4,10,14,0,4,54,10,0,3,5,7,4,3,0,0,33,0,0,14,0,0,0,3,0,0,19,30,14,23,38,46,56,38,7,6,253,44,18,43,42,48,57,40,7,6,308,4896,2637,2282,2485,3074,4063,2862,1039,364,23700,1034,626,544,673,1013,1303,1184,676,292,7348,10606,6067,5101,6542,9338,12972,11696,5929,2389,70638
10105,91,65,48,50,78,100,52,23,0,502,8,0,3,4,9,8,8,3,0,38,3844,2496,2173,2607,3429,3581,3137,1824,730,23810,16,12,66,14,10,5,4,0,0,117,33,9,28,24,6,3,3,0,0,112,0,0,0,0,0,8,4,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,24,3,4,3,0,0,0,49,8,7,9,18,28,15,5,3,0,86,16,8,34,24,28,15,5,3,0,133,1887,996,1093,894,860,794,509,189,75,7293,561,449,570,525,547,480,401,212,86,3828,6391,3984,4008,4125,4924,4913,4085,2236,892,35559
10106,150,56,71,87,95,87,56,18,4,625,0,4,0,3,6,5,3,3,0,25,4390,2510,1962,2835,3510,3450,3141,1666,698,24162,7,0,18,3,4,3,0,0,0,41,149,42,55,34,29,17,12,0,0,329,4,4,0,0,3,0,0,3,0,24,0,0,3,0,0,0,0,0,0,3,7,3,6,0,0,0,0,0,0,13,6,18,12,20,24,11,8,5,0,104,14,20,22,21,29,11,8,5,0,124,2110,977,925,1077,1096,930,604,192,56,7972,566,356,276,379,459,469,363,183,83,3135,7258,3923,3269,4388,5156,4910,4152,2058,839,35942
10201,832,579,453,507,622,549,313,138,73,4052,30,30,14,33,38,26,23,13,5,222,15958,10132,8342,11210,14261,14816,13783,8468,4121,101092,149,57,178,143,80,54,34,14,3,710,163,69,102,109,70,28,21,14,0,579,15,20,15,25,38,35,50,28,6,247,6,6,4,5,11,0,0,0,0,32,34,17,57,25,5,8,3,0,0,136,44,46,52,81,97,73,25,5,3,431,81,71,118,106,107,77,31,4,3,596,11356,6996,7211,7009,6346,5281,3508,1469,653,49840,2259,1496,1480,1627,1773,1808,1602,1115,901,14067,30233,18992,17712,20598,23046,22432,19200,11143,5691,169053
10202,702,376,431,354,389,374,236,107,31,2990,13,15,12,10,16,20,25,7,8,137,16702,10815,9084,11434,13820,14033,13121,8292,3377,100688,100,38,112,91,53,30,19,7,6,447,125,49,74,86,57,37,25,9,0,459,8,8,13,16,17,14,21,5,3,110,15,9,8,6,3,3,0,0,0,49,27,5,44,24,0,5,3,0,0,108,75,51,65,62,75,73,27,10,0,441,122,62,116,94,79,83,30,10,0,597,10938,6558,6633,5433,4719,3880,2522,1129,430,42239,2016,1443,1343,1397,1595,1665,1587,1087,763,12893,30191,19110,17565,18777,20583,19932,17392,10552,4585,158683
10301,164,82,86,80,107,87,84,23,0,714,3,3,3,0,3,4,4,0,0,24,5633,3699,2946,3308,4093,4055,3382,1814,760,29699,41,21,51,53,23,3,5,0,0,207,59,23,42,37,15,9,4,0,0,194,0,0,3,0,0,8,0,0,3,14,10,0,3,9,0,0,0,0,0,18,24,3,24,15,0,0,0,0,0,67,7,28,15,17,12,18,9,6,0,106,37,31,38,41,12,22,12,6,0,200,2528,1951,1670,1288,1144,977,687,209,63,10517,694,1019,858,652,644,602,527,274,178,5436,9046,6796,5657,5440,5993,5720,4632,2311,1008,46594
10302,301,134,114,135,142,142,103,69,31,1172,9,0,0,5,3,3,9,0,0,28,7181,4111,3506,4111,5279,5854,5162,3346,1448,40005,25,3,40,11,13,9,0,0,0,105,20,0,15,15,4,6,0,0,0,59,0,0,0,3,0,3,3,0,0,5,4,3,3,3,5,0,0,0,0,23,10,3,14,3,0,3,0,0,0,25,14,14,8,14,12,8,9,5,0,72,24,24,25,22,17,5,9,5,0,122,2513,1334,1264,1024,1016,924,608,236,59,8973,1030,646,554,577,736,806,751,508,237,5863,10815,6145,5430,5797,7111,7638,6548,4102,1749,55336
10303,143,78,71,86,104,106,90,33,10,720,0,0,5,3,4,6,7,3,0,23,4965,2787,2695,3214,4265,4362,4110,2267,851,29517,28,3,20,22,5,6,8,3,0,100,16,9,21,14,9,7,0,0,0,73,4,0,3,0,3,0,7,0,0,18,0,0,0,0,0,0,0,0,0,4,7,5,8,7,3,0,0,0,0,35,7,11,17,24,18,24,11,3,0,113,20,13,26,34,27,26,7,4,0,151,2704,1437,1446,1211,1323,1153,825,301,72,10475,984,602,775,692,801,840,794,382,124,5996,8764,4879,5027,5232,6477,6448,5779,2968,1051,46612
