SA3_CODE_2016,C06_0_74_1PF_CU15DS,C06_0_74_1PF_CU15NDS,C06_0_74_1PFnCU15DS,C06_0_74_1PF_NDCO,C06_0_74_T,C06_75_99_1PF_CU15DS,C06_75_99_1PF_CU15NDS,C06_75_99_1PFnCU15DS,C06_75_99_1PF_NDCO,C06_75_99_T,C06_100_149_1PF_CU15DS,C06_100_149_1PF_CU15NDS,C06_100_149_1PFnCU15DS,C06_100_149_1PF_NDCO,C06_100_149_T,C06_150_199_1PF_CU15DS,C06_150_199_1PF_CU15NDS,C06_150_199_1PFnCU15DS,C06_150_199_1PF_NDCO,C06_150_199_T,C06_200_224_1PF_CU15DS,C06_200_224_1PF_CU15NDS,C06_200_224_1PFnCU15DS,C06_200_224_1PF_NDCO,C06_200_224_T,C06_225_274_1PF_CU15DS,C06_225_274_1PF_CU15NDS,C06_225_274_1PFnCU15DS,C06_225_274_1PF_NDCO,C06_225_274_T,C06_275_349_1PF_CU15DS,C06_275_349_1PF_CU15NDS,C06_275_349_1PFnCU15DS,C06_275_349_1PF_NDCO,C06_275_349_T,C06_350_449_1PF_CU15DS,C06_350_449_1PF_CU15NDS,C06_350_449_1PFnCU15DS,C06_350_449_1PF_NDCO,C06_350_449_T,C06_450_549_1PF_CU15DS,C06_450_549_1PF_CU15NDS,C06_450_549_1PFnCU15DS,C06_450_549_1PF_NDCO,C06_450_549_T,C06_550_649_1PF_CU15DS,C06_550_649_1PF_CU15NDS,C06_550_649_1PFnCU15DS,C06_550_649_1PF_NDCO,C06_550_649_T,C06_650_749_1PF_CU15DS,C06_650_749_1PF_CU15NDS,C06_650_749_1PFnCU15DS,C06_650_749_1PF_NDCO,C06_650_749_T,C06_750_849_1PF_CU15DS,C06_750_849_1PF_CU15NDS,C06_750_849_1PFnCU15DS,C06_750_849_1PF_NDCO,C06_750_849_T,C06_850_949_1PF_CU15DS,C06_850_949_1PF_CU15NDS,C06_850_949_1PFnCU15DS,C06_850_949_1PF_NDCO,C06_850_949_T,C06_950ov_1PF_CU15DS,C06_950ov_1PF_CU15NDS,C06_950ov_1PFnCU15DS,C06_950ov_1PF_NDCO,C06_950ov_T,C06_Rns_1PF_CU15DS,C06_Rns_1PF_CU15NDS,C06_Rns_1PFnCU15DS,C06_Rns_1PF_NDCO,C06_Rns_T,C06_Tot_1PF_CU15DS,C06_Tot_1PF_CU15NDS,C06_Tot_1PFnCU15DS,C06_Tot_1PF_NDCO,C06_Tot_T,C11_0_74_1PF_CU15DS,C11_0_74_1PF_CU15NDS,C11_0_74_1PFnCU15DS,C11_0_74_1PF_NDCO,C11_0_74_T,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_T,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_T,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_T,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_T,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_T,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_T,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_T,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_T,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_T,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_T,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_T,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_T,C11_950ov_1PF_CU15_DS,C11_950ov_1PF_CU15_NDS,C11_950ov_1PFnoCU15_DS,C11_950ov_1PF_NDCO,C11_950ov_T,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_T,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_T,C16_0_74_1PF_CU15DS,C16_0_74_1PF_CU15NDS,C16_0_74_1PFnCU15DS,C16_0_74_1PF_NDCO,C16_0_74_T,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_T,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_T,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_T,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_T,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_T,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_T,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_T
10102,0,21,0,13,35,7,60,3,7,75,10,80,9,28,125,8,102,10,38,152,3,60,15,18,98,6,88,11,29,130,10,75,12,14,104,3,23,7,3,31,0,5,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,27,0,3,38,55,535,64,155,801,0,19,0,9,34,0,21,4,14,34,11,63,7,15,89,6,59,11,19,92,6,32,3,14,52,6,60,12,23,101,5,103,16,39,166,11,83,14,40,148,11,25,9,10,62,3,9,0,7,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,12,22,72,477,81,199,832,3,11,3,3,23,0,3,0,0,11,3,36,3,13,55,3,36,4,13,61,3,25,5,21,57,8,63,5,26,100,13,105,21,33,164,10,149,24,62,244
10103,3,11,3,6,18,0,14,0,3,18,0,47,5,5,64,4,55,10,10,82,3,17,0,5,25,0,7,0,0,18,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,8,17,161,24,34,231,0,11,3,3,11,0,4,3,5,12,3,24,0,8,36,8,48,7,14,68,4,24,0,8,39,3,41,5,10,59,7,13,4,3,21,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,0,7,30,174,31,51,283,0,8,3,3,14,0,0,0,0,0,0,4,3,4,12,0,13,3,7,29,0,24,4,10,39,9,60,8,15,88,3,39,8,5,55,3,10,0,3,24
10104,4,47,3,26,79,6,95,6,13,117,17,140,18,57,239,30,331,51,55,467,35,150,18,26,234,32,141,11,25,209,10,26,3,5,43,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,12,3,22,3,8,37,139,959,123,227,1450,0,23,4,4,36,0,15,7,5,23,14,87,11,37,144,19,150,29,54,249,14,139,29,40,220,45,235,59,47,393,41,183,29,26,280,14,41,4,4,67,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,29,4,11,46,152,914,165,238,1469,8,16,4,5,37,0,0,0,0,3,0,28,10,17,49,12,76,15,31,133,11,69,8,25,110,19,180,34,58,280,65,259,49,88,465,38,127,25,48,245
10105,3,26,3,24,54,5,67,5,11,94,10,84,6,31,136,17,198,17,49,274,5,38,9,3,51,4,22,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,18,3,4,23,51,449,45,122,678,0,14,3,7,33,0,14,11,14,34,9,79,7,15,110,11,93,11,35,158,10,82,9,22,123,20,98,10,27,155,9,63,11,4,90,0,6,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,14,0,3,20,67,472,74,134,750,0,8,3,6,20,0,4,0,10,15,0,29,15,21,61,6,31,10,18,62,3,35,12,24,69,11,86,11,32,141,24,160,20,48,247,18,61,13,14,110
10106,3,28,7,9,44,4,40,0,3,55,10,100,13,23,149,5,100,4,21,136,10,47,0,7,62,3,29,0,0,33,0,5,0,0,6,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,0,15,41,356,35,77,506,6,25,3,7,35,0,0,0,0,4,3,37,9,12,59,4,115,19,25,163,10,65,5,10,94,11,53,3,18,84,8,40,5,7,58,7,14,3,7,22,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,6,15,48,360,54,87,545,7,10,8,11,30,0,0,0,0,0,0,19,3,10,30,3,37,8,14,66,3,45,4,14,72,19,96,12,24,152,17,75,14,8,115,13,39,8,5,57
10201,8,62,31,64,159,19,97,14,25,160,28,164,16,66,269,33,373,53,162,626,44,422,63,114,643,108,646,90,162,1006,67,251,58,67,438,20,61,17,20,113,3,10,0,3,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,8,0,3,13,3,53,9,20,88,338,2144,354,705,3542,7,41,14,21,79,0,15,7,33,54,19,88,34,46,186,19,118,30,81,242,13,133,31,57,231,37,401,109,156,702,127,688,150,271,1236,111,364,101,140,709,30,81,15,28,154,4,20,3,7,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,4,41,9,26,81,370,1996,504,864,3732,7,27,12,19,59,0,9,6,3,20,4,56,14,52,122,19,63,20,32,141,10,58,20,53,137,20,96,25,62,198,33,312,105,221,664,136,764,193,336,1426
10202,4,64,15,57,137,22,125,20,18,182,27,158,26,79,281,49,689,75,175,988,72,683,74,124,950,109,606,64,122,905,49,198,29,44,326,7,19,0,4,29,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,22,0,56,4,29,88,341,2604,303,669,3917,8,41,5,20,75,3,25,9,31,67,23,97,14,47,179,26,192,36,99,348,30,212,47,92,381,75,698,109,208,1088,174,947,149,250,1518,75,362,65,105,601,9,53,7,13,86,3,11,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,14,7,58,6,19,95,429,2701,457,893,4474,3,32,4,23,60,0,3,7,6,13,6,47,14,45,112,11,78,13,48,148,15,75,13,69,168,21,178,32,90,311,100,747,112,309,1262,185,959,179,321,1643
10301,4,26,7,15,49,5,63,8,10,81,5,78,12,30,129,14,156,22,37,233,9,79,11,14,110,9,70,9,13,101,3,21,4,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,19,7,11,42,65,521,80,130,792,3,16,5,3,26,4,17,7,3,28,10,61,10,18,94,13,93,12,42,161,10,106,21,30,165,25,157,17,24,224,28,91,14,18,155,6,38,5,6,59,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,12,5,9,29,97,603,91,158,949,0,14,3,8,17,0,5,0,0,4,3,34,8,17,64,4,46,11,14,73,7,44,9,28,89,19,114,21,43,198,33,230,38,48,351,34,134,30,24,219
10302,6,73,8,28,121,14,124,6,30,170,33,237,22,67,357,27,225,18,42,315,3,28,0,0,32,5,8,0,0,13,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,4,31,0,11,50,92,727,59,181,1066,9,44,8,22,85,4,37,10,13,60,23,203,25,58,303,36,259,28,63,387,16,84,5,12,112,12,55,6,3,80,3,17,3,0,22,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,4,20,3,7,32,111,723,90,179,1102,0,42,8,17,62,0,14,0,6,22,15,67,17,47,144,31,190,34,70,327,25,140,20,29,206,33,149,14,33,224,22,69,9,18,116,3,12,0,0,16
10303,4,38,10,17,75,9,68,7,10,87,23,161,16,50,254,37,183,24,35,278,6,48,3,12,73,6,26,3,4,46,0,11,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,3,16,3,5,20,92,554,67,145,853,3,22,4,16,48,0,16,3,3,26,4,70,7,25,114,14,176,12,53,261,14,108,14,32,163,20,108,18,19,170,10,55,7,7,73,5,16,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,14,6,3,27,69,596,75,169,913,5,12,5,12,35,0,3,4,0,7,3,33,8,21,62,15,69,10,28,123,10,68,9,23,112,14,124,11,45,189,33,171,24,40,269,23,78,14,17,127
