SA3_CODE_2016,C16_SH_Tot_NPFH_6_mor,C16_SH_T_T,C16_SDRTHT_0b_NPFH_2,C16_SDRTHT_0b_NPFH_3,C16_SDRTHT_0b_NPFH_4,C16_SDRTHT_0b_NPFH_5,C16_SDRTHT_0b_NPFH_6_mor,C16_SDRTHT_0bTotal,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_T,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_T_T,C16_FUA_0b_NPFH_2,C16_FUA_0b_NPFH_3,C16_FUA_0b_NPFH_4,C16_FUA_0b_NPFH_5,C16_FUA_0b_NPFH_6_mor,C16_FUA_0bTotal,C16_FUA_1b_NPFH_2,C16_FUA_1b_NPFH_3,C16_FUA_1b_NPFH_4,C16_FUA_1b_NPFH_5,C16_FUA_1b_NPFH_6_mor,C16_FUA_1b_Tot,C16_FUA_2b_NPFH_2,C16_FUA_2b_NPFH_3,C16_FUA_2b_NPFH_4,C16_FUA_2b_NPFH_5,C16_FUA_2b_NPFH_6_mor,C16_FUA_2b_Tot,C16_FUA_3b_NPFH_2,C16_FUA_3b_NPFH_3,C16_FUA_3b_NPFH_4,C16_FUA_3b_NPFH_5,C16_FUA_3b_NPFH_6_mor,C16_FUA_3b_Tot,C16_FUA_4mb_NPFH_2,C16_FUA_4mb_NPFH_3,C16_FUA_4mb_NPFH_4,C16_FUA_4mb_NPFH_5,C16_FUA_4mb_NPFH_6_mor,C16_FUA_4mb_Tot,C16_FUA_NB_NS_NPFH_2,C16_FUA_NB_NS_NPFH_3,C16_FUA_NB_NS_NPFH_4,C16_FUA_NB_NS_NPFH_5,C16_FUA_NB_NS_NPFH_6_mor,C16_FUA_NB_NS_T,C16_FUA_Tot_NPFH_2,C16_FUA_Tot_NPFH_3,C16_FUA_Tot_NPFH_4,C16_FUA_Tot_NPFH_5,C16_FUA_Tot_NPFH_6_mor,C16_FUA_T_T,C16_OD_0b_NPFH_2,C16_OD_0b_NPFH_3,C16_OD_0b_NPFH_4,C16_OD_0b_NPFH_5,C16_OD_0b_NPFH_6_mor,C16_OD_0bTotal,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_T,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_T_T,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_T,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_T_T
10102,547,12265,0,0,0,0,0,0,24,3,0,0,0,25,392,143,53,11,3,599,331,189,143,34,10,712,22,22,23,12,3,84,15,9,0,0,0,26,786,364,222,52,24,1447,0,0,0,0,0,0,112,32,3,0,0,150,354,182,75,18,3,633,27,32,15,5,0,81,0,3,3,3,0,11,9,3,3,0,0,16,503,254,102,33,3,902,3,0,0,0,0,3,12,0,0,0,0,10,7,7,3,0,0,18,3,0,7,0,0,16,3,3,0,4,0,12,0,0,0,0,0,0,34,12,7,4,0,59,20,7,12,0,3,44,6111,3217,3353,1455,573,14716
10103,128,4335,0,0,0,0,0,0,3,0,0,0,0,9,39,6,0,0,0,45,34,19,8,7,0,67,0,7,5,0,0,18,3,0,0,0,0,3,85,31,19,6,3,141,3,0,0,0,0,3,17,0,0,0,0,17,26,5,7,0,0,39,15,10,4,0,0,33,3,0,4,6,0,16,8,0,3,0,0,10,71,18,22,6,0,114,0,0,0,0,0,0,8,0,0,0,0,8,9,3,0,0,0,10,4,4,3,0,0,13,5,0,3,0,0,11,0,0,0,0,0,0,25,9,8,3,0,46,71,23,23,9,3,121,2511,909,850,355,134,4762
10104,598,16979,0,0,0,0,0,0,18,0,0,0,0,21,367,58,7,3,0,439,371,90,40,17,5,525,35,9,8,5,0,62,11,6,0,0,0,20,808,166,57,27,7,1066,3,0,0,0,0,3,19,0,0,0,0,21,200,47,11,0,0,255,117,38,25,9,4,188,16,12,3,4,3,34,13,6,0,0,0,16,357,100,46,11,7,515,11,0,0,0,0,11,45,3,0,0,0,46,69,10,3,0,0,82,28,9,10,0,3,54,6,7,0,0,0,14,7,0,0,0,0,10,164,30,16,3,3,215,104,23,13,7,3,148,11376,3199,2601,1132,615,18925
10105,385,8472,0,0,0,0,0,0,8,0,0,0,0,6,97,25,8,0,0,124,82,37,18,13,5,153,17,9,6,7,4,38,5,0,0,0,0,5,207,73,30,15,6,337,0,0,0,0,0,0,6,7,0,0,0,14,41,12,3,0,0,61,4,3,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,55,20,8,0,0,90,0,0,0,0,0,3,3,0,0,0,0,3,11,3,4,0,0,16,7,3,0,0,0,14,4,0,3,0,0,13,6,0,0,0,0,8,32,11,10,3,3,60,19,17,5,8,4,50,4456,1783,1596,761,403,9002
10106,399,9030,0,0,0,0,0,0,3,0,0,0,0,3,55,8,5,0,0,75,46,20,10,4,3,84,8,0,0,0,0,8,6,0,0,0,0,6,121,31,16,10,3,177,0,0,0,0,0,0,0,0,0,0,0,3,37,7,0,0,0,55,22,9,3,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,65,22,6,3,0,91,0,0,0,0,0,3,14,0,0,0,0,14,8,0,0,0,0,8,10,6,6,0,0,24,8,0,3,0,3,20,0,0,0,0,0,0,44,8,11,0,3,64,27,10,13,7,3,56,4557,1722,1812,926,408,9422
10201,1695,36735,6,0,0,0,0,6,45,3,3,0,0,46,1177,149,40,6,3,1387,1609,629,393,79,19,2741,77,50,55,35,13,229,55,10,6,0,0,75,2968,847,506,128,41,4481,0,0,0,0,0,6,87,7,0,0,0,91,983,215,66,17,8,1280,644,240,165,41,7,1094,57,32,25,12,10,141,26,6,9,0,0,35,1792,506,260,74,21,2653,0,0,0,0,0,0,23,3,0,0,0,26,94,28,10,0,0,127,44,30,27,3,4,102,8,9,17,8,3,51,3,4,0,0,0,3,171,68,46,8,6,308,68,23,21,6,5,134,19760,9274,9539,3963,1770,44306
10202,1926,36534,0,0,0,0,0,0,52,3,3,0,0,58,722,106,39,11,0,877,894,400,242,78,23,1636,76,37,66,41,18,226,37,13,3,3,0,62,1782,564,354,126,37,2864,0,0,0,0,0,0,52,6,0,0,0,59,595,135,37,8,0,786,241,125,62,19,14,459,20,9,9,4,6,50,30,9,7,0,0,47,945,289,117,34,21,1398,9,0,0,0,0,9,25,0,0,0,0,32,48,14,8,3,0,75,20,9,8,4,0,41,0,8,9,0,0,16,4,0,3,0,0,6,106,39,23,5,3,179,55,20,6,10,5,100,18162,8484,8466,3972,1993,41071
10301,492,10389,3,0,0,0,0,3,20,3,0,0,0,19,199,43,15,0,0,259,134,56,50,10,3,251,11,10,9,3,3,40,3,0,0,0,0,8,369,117,70,17,7,574,0,0,0,0,0,0,17,0,0,0,0,13,83,16,14,0,0,116,23,11,4,0,0,36,4,0,3,0,0,7,3,0,0,0,0,7,123,35,17,4,3,182,0,0,0,0,0,0,3,0,0,0,0,3,6,3,0,3,0,17,3,0,0,0,0,3,0,0,4,4,0,8,0,0,0,0,0,0,15,6,4,3,0,29,44,11,9,3,3,69,5141,2271,2286,1041,502,11249
10302,636,13298,0,0,0,0,0,0,6,0,0,0,0,6,64,12,3,3,0,83,40,10,13,3,0,68,15,4,4,0,0,28,9,0,0,0,0,8,133,23,19,7,0,189,0,0,0,0,0,0,15,3,0,0,0,15,89,20,6,0,0,116,13,3,3,0,0,15,0,0,0,5,0,7,3,0,0,0,0,5,122,32,8,8,0,167,4,0,0,0,0,4,15,3,0,0,0,22,9,8,0,0,0,24,8,6,3,4,0,20,10,3,3,0,3,16,4,0,0,0,0,4,50,27,5,6,4,93,76,29,23,12,10,153,7155,2572,2220,1300,655,13900
10303,425,10681,0,0,0,0,0,0,10,0,0,0,0,16,88,30,11,3,0,131,63,38,16,3,0,122,4,3,0,0,0,9,6,0,0,0,0,9,176,72,27,8,3,285,0,0,0,0,0,0,8,0,0,0,0,13,33,11,8,3,0,51,19,9,3,0,0,41,0,5,0,0,0,6,5,0,0,0,0,5,78,24,10,4,0,116,0,0,0,0,0,0,4,0,0,0,0,6,15,7,4,0,0,26,67,22,19,13,4,131,41,20,19,13,10,98,5,0,0,3,0,6,136,49,43,32,11,276,46,20,13,6,3,87,5677,2273,2084,966,448,11444
10304,665,13845,0,0,0,0,0,0,15,0,0,0,0,15,201,49,25,4,0,278,94,30,23,6,0,161,5,4,4,5,3,23,9,5,0,0,0,15,331,89,48,19,0,489,0,0,0,0,0,0,22,3,0,0,0,25,78,14,3,0,0,97,19,7,4,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,114,32,9,4,0,160,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,6,3,0,4,0,13,8,0,3,0,0,9,0,0,0,0,0,0,13,4,5,4,3,35,28,5,11,5,3,52,6651,2873,2919,1468,674,14581
10401,541,12089,0,0,0,0,0,0,8,0,0,0,0,10,137,15,7,0,0,163,134,47,25,3,0,215,9,11,3,3,0,25,9,3,0,0,0,10,300,81,41,13,0,424,0,0,0,0,0,0,16,3,0,0,0,25,120,28,3,0,0,152,75,23,11,4,0,103,7,6,3,0,0,18,13,0,0,0,0,11,229,57,22,5,3,311,12,3,0,0,0,20,49,3,0,0,0,51,65,7,3,3,0,79,31,14,7,3,3,51,6,0,4,0,3,17,13,0,0,0,0,17,178,32,15,8,8,232,59,14,9,9,0,93,7266,2402,1950,985,555,13158
