SA3_CODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
10102,4,39,49,105,168,264,80,21,5,11,780,20,0,11,18,22,74,134,241,117,47,23,11,707,12,0,3,4,3,34,40,110,69,30,11,7,311,10,3,6,10,4,25,76,81,79,41,36,9,383,8,0,0,3,0,3,44,48,39,32,31,6,213,12,3,6,15,20,37,49,79,47,24,13,19,325,5,0,16,8,9,10,7,13,3,0,0,25,100,216,40,266,541,495,829,1072,1345,545,232,136,158,5878
10103,9,24,23,44,43,34,13,0,29,8,258,19,0,6,16,15,33,26,28,4,5,27,6,186,7,0,4,3,5,3,18,13,4,6,34,11,102,10,0,0,3,5,8,7,25,0,3,43,12,118,9,0,0,3,0,3,4,6,0,0,64,0,100,17,0,7,12,14,24,22,14,6,3,13,3,134,4,0,8,4,10,8,3,3,0,0,7,11,66,225,45,176,297,228,360,265,202,37,32,276,103,2241
10104,8,26,33,74,177,177,14,0,8,14,575,28,0,8,21,15,41,94,99,18,0,3,19,338,3,0,0,4,3,10,41,52,3,3,0,8,125,5,0,5,7,8,9,25,38,11,4,3,7,122,3,0,3,0,4,3,13,20,4,0,3,0,54,24,4,19,40,31,63,113,88,7,0,4,17,421,15,7,25,36,22,25,21,11,0,0,3,38,202,436,78,542,824,704,1227,1622,1022,116,16,63,262,6915
10105,11,23,23,52,134,79,14,3,4,9,375,21,0,3,16,14,32,84,70,6,0,0,4,255,16,0,0,4,0,18,34,49,7,0,0,5,128,9,0,4,0,4,15,28,31,9,0,0,9,113,5,0,0,0,3,3,11,16,11,0,0,3,50,11,6,19,27,13,28,49,34,3,0,3,9,203,5,3,15,18,8,5,11,0,0,0,0,18,88,277,63,358,465,312,561,858,464,68,11,8,136,3590
10106,13,20,32,63,78,47,12,5,3,7,323,35,3,4,13,18,31,45,37,12,3,0,9,217,17,3,3,5,6,11,26,12,11,7,0,3,95,9,3,7,5,3,11,17,15,15,10,4,6,105,11,0,0,6,0,4,3,10,8,3,11,0,53,32,0,10,12,11,35,41,23,8,3,7,10,181,11,4,20,11,8,11,6,3,0,0,0,27,95,389,42,228,429,337,521,489,263,84,40,31,135,2978
10201,8,16,29,77,316,909,373,104,53,27,1973,32,0,10,17,18,38,191,612,354,142,63,19,1492,9,0,0,4,11,17,72,248,209,92,40,17,712,8,0,8,8,8,14,52,196,184,113,93,9,705,13,0,5,4,6,10,18,66,69,63,99,8,356,34,3,24,35,18,53,160,374,207,80,63,43,1094,23,6,74,35,25,33,56,52,13,14,0,78,407,561,115,1024,819,648,1107,2791,5322,2218,795,509,461,16384
10202,10,27,33,72,452,847,295,46,28,32,1887,19,3,13,17,12,45,228,525,298,50,16,14,1241,17,0,0,10,6,20,77,233,171,39,8,6,588,10,3,3,5,6,15,47,168,160,37,18,13,479,8,0,3,0,0,5,18,42,74,21,22,9,201,18,8,19,39,30,72,217,404,185,26,9,33,1067,24,8,79,53,34,34,86,46,18,6,4,82,471,458,117,769,1041,770,1333,3943,5115,1849,308,146,459,16301
10301,3,19,36,84,194,148,8,0,3,11,552,13,0,9,8,14,47,110,129,24,0,0,6,363,3,0,0,5,4,11,41,86,12,5,0,5,171,0,0,3,0,0,14,34,60,11,0,3,9,136,3,0,0,4,0,0,13,16,7,0,0,0,51,12,0,13,24,27,37,84,79,11,0,0,14,308,6,3,25,7,5,12,18,6,3,0,0,26,115,242,65,376,481,419,833,1282,906,96,15,10,172,4894
10302,34,79,69,113,77,19,0,0,0,22,497,59,3,23,38,41,71,66,18,3,0,3,14,343,30,3,7,9,12,22,20,3,0,0,0,9,121,33,0,3,12,9,29,32,16,3,0,0,5,147,10,0,0,6,7,10,25,9,0,0,0,3,73,39,4,34,62,38,58,33,10,0,0,3,18,295,22,7,51,37,16,19,3,3,0,0,3,40,197,757,157,909,1294,735,845,460,115,21,13,26,270,5598
10303,10,37,25,61,123,90,20,0,3,12,417,27,0,5,12,29,33,102,92,12,3,0,19,339,15,0,0,4,8,12,37,45,7,0,0,3,123,20,0,0,4,4,6,31,50,21,6,0,7,151,5,0,3,3,5,7,16,23,12,3,3,6,86,32,0,9,25,20,33,69,40,9,3,5,13,253,12,4,15,16,16,22,8,6,0,0,0,32,130,397,43,365,644,478,775,992,577,100,13,18,185,4578
