SA3_CODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
10102,0,0,18,4891,6227,3066,3232,1391,557,19357,2541,4998,2613,3012,1367,547,15085,779,442,201,117,35,13,1581,503,419,174,110,24,11,1238,1278,866,380,222,52,24,2821,585,208,99,43,13,0,945,272,134,61,27,0,0,490,513,256,110,33,18,0,933,4,3,0,3,0,0,8,1376,592,267,102,34,3,2374,28,15,3,0,0,0,51,5,12,7,5,3,0,26,11,5,6,6,0,0,30,40,31,12,7,4,0,100,33,23,7,12,0,3,81,5265,6519,3281,3363,1457,578,20459
10103,3,0,71,2086,2560,884,916,371,143,6952,1652,2384,849,792,335,129,6145,90,52,15,6,7,5,172,86,48,25,8,3,0,177,177,95,36,16,11,5,342,199,85,19,17,4,0,332,25,17,6,6,0,0,50,20,6,0,3,0,0,27,0,0,0,0,0,0,4,245,108,27,27,10,3,414,38,16,3,8,0,0,74,11,3,0,0,0,0,12,13,6,3,0,0,0,25,63,34,9,8,3,0,111,110,77,27,23,9,3,240,2242,2700,950,866,362,142,7259
10104,0,0,28,7638,11472,3406,2688,1260,608,27078,5917,10429,2929,2488,1086,598,23444,939,504,84,37,15,8,1585,454,366,85,21,14,3,944,1394,869,174,57,27,7,2530,877,377,97,42,9,7,1409,45,23,6,0,0,0,77,14,13,0,0,0,0,29,7,0,0,0,0,0,11,940,416,98,46,11,7,1516,301,140,21,3,0,3,465,36,17,3,3,0,0,57,25,22,11,9,0,0,65,355,173,30,16,3,3,585,82,106,23,13,7,3,234,8689,12004,3257,2618,1137,615,28317
10105,3,0,28,3639,4599,1788,1560,742,326,12641,2943,4361,1699,1548,738,387,11671,492,195,54,29,9,7,796,64,38,17,3,4,0,134,561,233,69,32,17,6,921,206,56,14,8,0,0,288,55,16,3,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,261,67,20,8,0,0,361,47,15,7,3,0,0,69,3,4,5,8,0,0,27,24,9,0,0,0,3,43,81,32,11,10,3,3,138,28,20,17,5,8,4,77,3872,4717,1817,1606,769,408,13180
10106,0,0,7,3169,4612,1683,1788,914,445,12613,2727,4528,1681,1772,906,399,12015,325,142,33,16,10,3,524,10,8,3,0,0,0,20,335,142,33,16,10,3,540,227,71,20,5,3,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,71,20,5,3,0,330,29,14,5,0,0,0,45,10,11,0,3,0,0,24,6,20,4,8,0,0,35,44,44,8,11,0,3,102,46,32,10,13,7,3,106,3378,4817,1752,1820,925,408,13102
10201,0,0,112,16725,20890,9001,9343,3893,1650,61491,9221,15811,8007,8754,3773,1708,47268,2985,2024,384,216,49,18,5677,1375,1173,491,290,81,23,3436,4360,3199,879,507,126,40,9110,1998,1211,326,169,47,14,3770,474,426,112,44,16,3,1073,370,395,102,56,12,3,937,30,11,0,4,0,0,45,2872,2046,543,272,74,21,5827,309,144,38,22,4,6,520,4,0,0,0,0,0,8,38,51,35,27,6,3,163,354,194,70,46,8,11,690,153,77,23,27,6,5,297,16969,21332,9521,9604,3994,1784,63202
10202,0,0,24,14633,19116,8373,8012,3710,1865,55710,9846,16469,7723,8019,3809,1929,47797,1965,1211,280,163,59,21,3702,873,761,298,197,68,20,2213,2837,1967,581,353,128,37,5913,1358,647,178,65,21,12,2287,223,141,51,19,9,0,442,298,270,63,27,3,3,668,14,9,0,3,0,0,27,1899,1070,288,117,34,21,3429,231,104,20,14,3,3,366,4,10,6,0,0,0,22,23,21,12,4,4,0,69,254,128,36,23,5,3,455,151,63,20,6,10,5,249,14989,19691,8658,8522,3987,1994,57847
10301,3,0,31,4056,5441,2286,2199,1056,499,15532,3049,4934,2177,2225,1025,495,13904,603,357,111,58,10,7,1141,174,98,30,19,7,0,327,782,458,136,76,15,7,1468,385,168,31,18,5,3,612,14,3,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,402,177,33,17,5,3,632,9,7,3,4,3,0,25,3,3,0,0,0,0,8,11,7,3,0,4,0,18,20,20,7,4,3,0,51,140,47,10,9,3,3,222,4394,5629,2366,2328,1051,506,16280
10302,0,0,27,6235,7764,2672,2295,1416,724,21107,5143,7094,2490,2166,1275,636,18811,296,138,30,20,7,0,496,19,4,0,0,0,0,28,318,144,30,20,7,0,518,615,135,32,8,8,0,795,21,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,632,136,35,8,8,0,816,49,18,4,0,0,0,81,7,10,3,0,0,0,24,42,23,18,4,6,4,99,99,53,27,5,6,4,199,81,80,30,23,12,10,235,6268,7511,2617,2222,1303,655,20578
10303,0,0,13,4810,6113,2217,2073,1033,439,16682,4187,5585,2142,1991,919,425,15247,496,178,66,26,8,3,777,58,31,9,0,0,0,103,560,206,76,27,8,3,879,219,82,21,10,4,0,338,24,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,80,24,10,4,0,365,94,15,3,3,0,4,123,5,6,0,3,3,0,15,91,132,42,41,24,6,344,189,149,49,43,32,11,481,55,57,20,13,6,3,150,5238,6075,2309,2087,968,447,17128
