SA3_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
10102,7,4,19,21,76,343,15,5,248,441,693,11664,11556,719,702,1873,2239,442,1401,8289,7214,22990,23112,46101
10103,10,0,9,17,58,237,18,3,171,281,449,3811,3712,330,250,740,786,243,729,3168,2320,8291,7803,16097
10104,16,4,45,75,324,1068,51,21,927,1462,2389,14868,14917,1120,1154,3375,3826,1116,3581,8660,7410,29146,30894,60033
10105,5,0,16,30,115,444,24,26,317,571,892,7086,6880,535,538,1208,1511,493,1543,5323,4053,14643,14524,29165
10106,3,7,13,18,112,416,21,29,304,536,839,7482,7472,501,512,1188,1314,407,1421,4371,4016,13953,14734,28685
10201,30,25,112,220,771,2567,77,120,2108,3575,5691,33155,33260,2282,2708,5969,8862,2157,7619,22784,20022,66344,72473,138818
10202,30,17,106,176,645,2092,73,62,1753,2834,4585,28702,28779,2420,3156,5914,8525,2091,7042,22132,19737,61260,67238,128494
10301,3,4,24,38,115,504,21,36,340,664,1008,8643,8442,605,701,1438,1838,454,1683,7611,6134,18747,18805,37548
10302,10,11,21,25,230,847,38,53,636,1108,1749,10907,10856,822,836,1957,1884,844,2779,7438,6201,21969,22553,44522
10303,6,10,14,26,151,506,24,22,388,667,1051,8978,8835,766,737,1845,2004,624,1998,6799,5276,19005,18849,37851
10304,6,12,16,39,167,613,11,21,456,807,1262,11119,11082,702,863,1745,2269,614,2130,7699,7095,21884,23439,45320
10401,17,6,27,45,183,744,32,32,608,1009,1614,9933,9897,841,905,2240,2517,771,2583,6799,5554,20584,21456,42036
10402,21,8,41,78,316,1155,34,29,924,1518,2437,16344,16385,1309,1573,3535,4722,1066,3715,11509,10224,33767,36619,70390
10501,0,6,17,10,60,203,6,17,171,269,444,3902,3810,399,337,860,672,343,930,4230,3543,9742,9297,19041
10502,3,0,17,19,69,322,13,11,203,418,625,3472,3416,355,349,844,922,275,1053,3288,2814,8236,8556,16795
10503,10,4,33,43,233,771,22,33,653,1016,1677,13006,12884,977,1147,2200,2590,861,2868,9896,8881,26949,28368,55318
10601,5,0,37,53,208,819,31,38,527,1052,1581,16521,16335,1308,1395,3050,3554,916,3034,12969,10666,34761,34986,69748
10602,10,0,18,35,138,630,28,31,430,819,1248,14188,14358,938,1178,2104,3101,622,2341,9981,9106,27831,30089,57916
10603,12,3,30,51,249,838,13,20,728,1115,1840,14987,14978,1023,1110,2800,3452,977,2979,9014,7486,28808,30006,58816
10604,3,3,11,15,74,277,17,15,201,355,553,5691,5554,489,469,980,1072,315,1092,4397,3602,11878,11789,23662
10701,12,9,21,42,268,964,16,15,717,1225,1940,14574,14617,910,1114,2363,3158,935,3416,10813,9038,29596,31350,60943
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,8
10703,8,6,23,56,252,959,24,28,785,1294,2076,18764,18809,1063,1314,2638,3816,957,3308,11649,10314,35073,37556,72628
10704,14,12,48,97,394,1565,46,58,1222,2092,3312,24360,24423,1425,1647,3696,5316,1285,4776,21443,17760,52223,53923,106148
10801,8,3,40,35,205,628,9,20,580,870,1449,6569,6561,559,576,1577,1793,650,1875,3648,3021,13007,13831,26840
10802,7,11,32,45,249,711,32,32,607,967,1573,8891,8808,855,927,2303,2418,814,2422,6904,5651,19763,20220,39985
10803,0,0,0,0,0,7,0,0,3,7,10,84,81,0,0,19,8,6,18,56,57,165,163,327
10804,12,10,41,91,354,1337,29,48,1145,1830,2981,16489,16577,1157,1383,3254,4253,1153,4144,8943,8100,30999,34460,65458
10805,12,9,42,54,225,798,25,25,687,1045,1734,10993,10969,927,939,2308,2735,847,2798,6554,5812,21623,23254,44882
10901,0,6,41,31,222,779,28,36,594,997,1587,11626,11710,773,933,2018,2714,715,2445,8603,7908,23741,25715,49454
10902,0,0,3,6,36,113,5,3,91,153,245,2635,2598,198,148,454,371,146,478,1775,1383,5211,4982,10189
10903,5,4,20,23,213,610,32,11,580,799,1373,9011,9055,635,637,1600,1635,748,2073,5201,4132,17187,17526,34709
11001,3,3,17,28,98,408,10,18,288,538,825,6913,6919,427,514,1066,1365,396,1442,5766,5523,14568,15763,30334
11002,10,5,13,20,116,553,16,34,351,699,1050,7528,7479,621,638,1493,1604,590,1909,5154,4291,15389,15923,31309
11003,4,0,6,14,56,200,7,7,140,268,406,4773,4681,371,359,746,677,321,923,3854,3350,10067,9989,20053
11004,8,8,30,46,250,986,33,45,690,1274,1969,15267,15335,1209,1370,2611,3165,953,3557,11084,9670,31130,33101,64232
11101,13,9,51,84,443,1566,22,59,1201,2076,3279,24377,24463,1417,1791,3838,5480,1448,5148,16084,14009,47159,50890,98050
11102,16,3,44,48,323,1107,18,35,873,1455,2330,15371,15407,940,1128,2527,3429,979,3268,9928,8542,29752,31778,61527
11103,11,21,69,133,555,2168,57,104,1443,2874,4317,28074,28086,2022,2238,5406,7591,1768,6365,29121,25442,66391,69722,136118
11201,15,13,57,94,317,1215,44,47,961,1624,2584,14328,14314,1072,1250,3465,4733,989,3403,11301,10419,31161,34113,65274
11202,6,7,31,69,228,934,31,56,653,1221,1878,12166,12181,1057,1193,2903,3621,773,2872,10879,9545,27778,29417,57199
11203,26,18,104,137,513,1532,41,58,1453,2132,3581,17669,17703,1299,1567,3923,5329,1437,4672,11912,10534,36237,39810,76052
11301,7,6,9,15,147,617,20,16,434,782,1216,9712,9524,656,656,1204,1287,583,2050,6913,5616,19071,19131,38201
11302,0,0,6,6,50,220,10,7,159,276,430,2961,2944,200,208,540,513,224,665,2052,1516,5976,5848,11823
11303,19,6,31,59,299,1134,37,64,833,1475,2309,18260,17791,1204,1358,2691,3346,969,3678,13632,11885,36761,38059,74820
11401,25,4,65,103,474,1291,41,43,1302,1852,3158,20657,20480,1546,1618,4060,4943,1655,4674,12911,10658,40827,42374,83202
11402,8,5,22,47,157,638,14,39,541,889,1430,10511,10526,552,683,1516,2473,543,2120,5483,5059,18610,20867,39475
11501,14,10,25,79,325,1397,21,75,1015,1893,2906,35042,35575,834,1211,1997,3740,969,4163,16559,14661,55394,59352,114744
11502,7,3,7,19,69,273,5,7,237,374,608,6129,6175,231,237,599,769,204,790,3320,2818,10478,10787,21273
11503,9,0,4,10,34,90,3,0,118,136,259,5445,5452,245,283,727,849,171,513,3302,2722,9893,9823,19711
11504,0,0,10,10,25,111,3,6,85,143,230,7527,7599,248,304,570,837,145,592,3903,3327,12395,12658,25058
11601,16,13,36,78,284,959,34,19,735,1259,1998,28257,27969,1515,1848,3124,4419,1085,4278,19310,15479,53287,53991,107280
11602,3,0,16,18,58,232,4,9,183,299,488,20850,20660,767,1014,1594,2460,369,1604,11264,9414,34840,35157,70004
11603,11,5,17,41,114,576,19,41,334,755,1084,19749,19781,1514,1970,2306,3486,781,3325,16696,15432,41045,43988,85030
11701,4,4,22,29,82,361,10,23,265,497,765,8735,8701,481,586,1208,1757,324,1468,8424,7092,19174,19597,38768
11702,10,6,32,28,77,373,35,36,331,528,856,7891,7862,536,635,1660,2048,318,1401,12553,12044,22971,23988,46956
