SA3_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
10102,88,34,23,5,156,109,44,19,5,172,227,95,27,7,360,201,81,27,3,304,142,78,17,3,242,57,26,4,0,89,41,38,4,3,89,20,14,3,3,43,78,70,30,14,187,22,9,3,0,44,1209,596,204,60,2072
10103,41,19,15,3,78,42,10,0,0,57,89,37,9,10,144,34,22,4,0,63,30,7,3,0,44,11,5,0,0,21,11,7,0,0,15,3,3,0,0,6,40,16,9,0,63,8,6,3,0,17,418,195,54,16,682
10104,213,92,47,29,373,250,77,32,14,379,320,136,48,38,534,126,66,25,7,224,61,21,7,5,88,19,16,4,0,40,15,8,0,0,26,10,3,3,0,16,166,114,36,25,335,58,15,3,6,82,1695,811,271,154,2929
10105,90,51,35,10,184,113,52,17,7,184,200,72,33,10,316,90,36,6,0,136,47,11,0,4,72,17,8,4,0,31,6,7,3,3,19,10,3,3,0,18,58,50,11,8,126,26,13,6,0,44,900,418,161,73,1551
10106,74,45,26,16,152,80,31,15,9,131,130,66,18,9,222,75,35,10,3,123,49,22,11,3,86,14,3,9,0,22,14,9,3,0,27,15,0,3,0,15,55,46,24,12,132,26,4,0,4,31,723,374,178,73,1350
10201,435,221,89,34,774,537,215,100,28,886,962,459,136,49,1597,558,293,72,27,945,316,174,42,18,541,115,67,21,4,211,84,75,23,7,197,48,20,10,0,79,385,291,117,46,839,91,30,10,3,137,4540,2373,763,248,7926
10202,503,300,163,59,1022,681,241,115,65,1094,1018,500,177,72,1772,534,264,91,38,928,239,161,58,18,479,92,63,19,4,175,43,49,16,5,111,23,22,3,0,42,365,270,125,41,793,128,57,19,3,207,4891,2632,1027,382,8939
10301,109,74,38,8,227,133,56,21,15,219,209,99,53,20,379,130,51,25,3,217,57,32,9,3,102,18,6,3,0,26,12,16,0,0,28,0,0,0,0,9,91,53,31,16,188,28,21,6,3,58,1098,565,266,89,2019
10302,175,78,33,24,311,182,54,28,24,289,269,108,35,14,426,91,52,14,0,160,53,18,9,7,82,10,7,0,0,22,11,6,3,4,26,8,4,0,0,17,92,48,38,23,202,50,23,6,3,81,1327,626,281,148,2391
10303,161,71,41,18,290,146,50,16,11,224,161,86,28,16,295,89,34,10,3,137,63,24,4,3,97,15,14,0,0,26,14,4,7,0,16,9,4,0,0,12,91,58,21,22,191,41,17,0,3,56,1164,540,200,99,1996
10304,173,77,43,14,316,145,76,37,17,276,279,114,44,20,458,128,68,13,5,208,78,46,13,5,146,27,13,0,5,48,23,12,9,4,37,5,3,0,0,10,93,82,27,26,230,48,18,13,3,84,1362,695,283,132,2478
10401,186,99,39,22,343,188,94,29,20,337,257,108,30,20,406,93,50,13,11,170,43,14,3,5,68,11,12,3,0,24,13,3,0,3,22,6,0,0,0,8,98,76,32,21,219,38,10,8,3,58,1371,702,226,130,2435
10402,330,148,77,32,586,326,144,62,37,567,512,257,79,23,868,192,105,30,18,343,108,47,18,7,175,31,17,0,0,48,16,14,3,5,31,16,3,0,0,27,193,136,67,27,424,65,32,11,3,114,2444,1269,456,201,4372
10501,73,37,21,8,145,76,30,18,9,132,94,45,18,16,177,43,13,3,3,69,37,9,3,0,48,5,9,0,0,13,10,3,3,0,22,4,0,0,0,5,58,27,17,13,125,41,23,8,16,92,660,320,165,102,1237
10502,72,30,21,6,128,96,32,11,5,150,116,47,11,14,186,54,28,11,4,93,20,18,5,3,51,7,6,0,0,14,10,3,0,0,8,10,0,0,0,12,44,28,26,13,106,37,9,3,4,56,655,320,141,57,1176
10503,188,106,74,38,407,226,104,42,32,399,353,171,67,35,626,139,74,25,13,250,88,44,22,9,154,29,12,7,0,50,21,11,7,3,41,6,3,3,0,16,141,109,37,30,312,71,39,14,12,134,1742,968,428,230,3368
10601,262,165,108,32,577,282,110,43,34,471,408,202,72,41,718,205,137,33,12,386,96,74,10,4,178,44,15,5,0,61,26,21,12,3,62,22,3,5,0,27,173,129,57,29,380,58,46,16,3,126,2250,1298,502,239,4286
10602,207,147,78,28,462,248,110,44,26,422,430,223,72,31,754,191,120,38,11,369,115,70,25,6,212,42,28,3,3,70,24,22,6,0,49,14,3,0,0,17,118,92,47,22,270,34,25,6,0,68,1859,1111,431,181,3585
10603,191,108,53,13,369,238,90,35,23,374,394,158,64,24,630,178,111,26,8,328,74,38,11,3,131,38,20,3,4,61,27,16,4,0,49,11,8,5,0,22,120,92,29,24,264,31,11,9,3,58,1772,924,334,137,3169
10604,84,50,24,14,171,83,31,14,9,139,118,47,16,4,188,54,31,10,4,94,39,15,9,4,63,12,8,0,0,20,8,5,0,0,17,7,3,0,0,10,46,30,25,12,115,30,14,7,3,49,702,380,158,69,1310
10701,265,135,58,30,491,281,125,38,30,476,456,207,71,26,761,248,106,36,17,417,120,78,19,9,225,42,31,11,5,90,20,21,7,4,51,13,11,3,0,29,163,122,59,29,373,64,25,6,5,102,2239,1178,420,195,4036
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,268,134,51,21,483,291,152,43,25,517,511,230,67,24,833,250,147,55,17,473,121,101,29,10,259,54,32,19,3,110,39,19,7,3,71,24,14,0,0,47,154,131,50,34,371,46,20,10,0,79,2337,1350,455,152,4308
10704,332,145,45,11,534,351,105,43,14,514,631,290,74,18,1021,351,200,48,12,614,248,138,26,11,418,86,61,16,6,172,63,56,13,5,137,43,24,8,3,77,238,177,63,27,504,62,19,8,3,94,3109,1544,444,140,5241
10801,108,64,28,9,220,141,45,18,15,216,166,69,21,11,267,60,26,10,4,105,29,10,0,0,46,6,0,0,0,12,5,0,0,0,8,9,3,0,0,9,79,31,21,9,143,31,4,3,3,42,876,400,143,70,1491
10802,188,91,53,31,359,206,80,26,40,345,262,115,42,28,450,102,47,15,16,180,35,9,11,4,60,14,11,0,0,23,9,9,5,0,23,3,0,0,0,3,131,86,32,30,275,55,20,11,8,92,1469,701,292,197,2659
10803,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7
10804,240,111,58,23,438,321,107,40,26,501,419,198,39,24,675,200,109,28,8,342,83,35,9,10,139,30,16,7,3,47,22,14,9,0,43,20,0,3,0,24,141,120,42,9,311,54,29,10,4,94,2069,998,313,148,3531
10805,184,99,44,23,354,231,87,23,15,362,267,92,39,24,424,98,69,11,10,188,41,23,4,5,66,11,10,0,0,22,8,12,0,0,20,5,3,4,0,10,107,80,44,27,257,60,18,7,4,92,1488,754,284,157,2689
