SA3_CODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
10102,0,0,0,16,0,5,0,3,0,26,45,45,49,4,39,5,188,2768,703,1204,95,541,121,5425,7,21,73,4,27,74,216,5,23,6,0,7,0,40,24,182,39,13,19,0,266,265,130,96,37,16,4,541,343,55,71,13,11,3,495,498,60,143,10,118,3,829,648,47,206,10,164,0,1072,943,71,269,6,54,4,1345,375,8,145,0,15,0,545,175,0,45,0,10,0,232,61,0,15,0,5,0,77,21,0,6,0,0,0,31,11,0,3,0,0,0,10,9,0,5,0,3,0,14,51,37,35,10,21,7,158,3424,631,1164,101,454,109,5878
10103,3,0,15,80,0,26,0,20,3,134,30,0,43,7,25,0,104,933,117,631,40,222,95,2040,10,6,85,0,51,79,225,4,4,14,3,7,0,45,63,24,53,8,17,3,176,140,17,101,8,21,3,297,102,10,82,9,23,0,228,216,19,96,3,13,0,361,173,3,67,0,16,0,265,141,0,45,0,18,0,202,27,0,4,0,3,0,37,17,0,5,0,6,0,32,15,0,9,0,4,3,34,12,0,7,0,7,0,23,19,0,9,0,11,0,31,90,0,46,0,54,0,189,20,6,49,0,27,0,106,1050,92,685,40,287,95,2247
10104,0,0,3,20,0,17,0,12,0,42,53,46,95,19,52,8,271,3383,763,1983,227,391,235,6991,5,20,184,3,56,154,431,4,31,15,15,15,0,78,47,240,158,55,32,12,542,281,167,246,64,61,9,822,320,62,265,16,32,7,704,757,67,338,18,31,12,1227,1067,84,408,10,35,11,1622,778,10,213,7,21,4,1030,76,0,32,0,10,0,116,9,0,7,0,4,0,16,3,0,3,0,3,0,12,3,0,7,0,7,0,14,3,0,4,0,0,0,3,12,0,10,0,5,0,25,63,44,90,12,38,7,262,3413,740,1986,211,351,219,6922
10105,0,0,3,4,0,17,0,0,0,17,29,28,51,5,27,8,148,1544,573,849,80,230,115,3398,12,42,98,7,45,78,277,3,33,15,12,0,0,63,49,193,59,31,24,3,363,177,113,110,39,16,12,465,150,38,112,5,7,3,312,368,51,119,3,15,3,561,644,30,163,3,20,4,862,373,8,77,0,9,3,467,56,0,14,0,0,0,68,5,0,3,0,0,0,11,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,39,29,37,12,20,0,138,1871,539,805,108,164,108,3596
10106,0,0,0,7,0,10,0,3,0,18,7,12,50,4,36,9,119,1199,216,924,88,278,171,2877,3,6,149,3,90,130,389,4,4,6,15,11,0,42,53,32,97,26,18,7,228,190,67,128,21,26,4,428,144,34,129,3,19,4,337,341,31,124,4,18,0,518,324,18,135,0,7,3,489,171,0,76,0,11,3,265,39,0,35,0,3,0,84,21,0,15,0,0,0,40,6,0,5,0,0,0,13,0,0,3,0,0,0,9,4,0,0,0,0,0,3,3,0,4,0,0,0,12,18,12,46,11,41,0,138,1317,216,960,83,244,162,2984
10201,0,0,12,46,0,15,0,3,0,74,135,131,121,32,33,34,487,9759,2000,3160,351,468,331,16072,10,90,213,16,37,189,561,4,72,17,10,9,7,115,25,797,84,65,36,16,1031,154,319,162,103,70,12,821,215,146,226,27,31,8,649,597,120,292,28,57,12,1108,1970,172,559,15,51,19,2791,4378,83,801,10,37,14,5328,1887,9,297,9,17,8,2219,687,5,99,0,6,3,795,244,4,27,0,0,0,281,99,0,22,0,0,0,117,33,0,8,0,0,0,45,50,0,15,0,3,3,70,135,116,137,30,28,17,461,10497,1934,2951,322,386,305,16391
10202,0,0,3,42,0,16,0,4,0,63,143,104,127,24,50,34,481,9599,1764,3233,321,665,316,15893,12,63,187,13,30,143,458,9,64,7,30,5,0,117,27,579,72,30,58,6,769,193,340,189,107,190,17,1039,272,166,227,39,67,6,770,694,126,384,60,65,10,1333,2833,171,826,24,61,22,3945,4240,61,731,11,54,15,5114,1604,5,211,0,19,6,1849,246,3,50,0,5,0,307,59,0,12,0,3,0,73,17,0,6,0,3,0,30,7,0,3,0,0,0,15,15,0,12,0,3,0,24,130,96,126,36,42,24,464,10366,1669,3049,351,617,258,16313
10301,0,0,3,7,0,3,0,0,0,9,43,33,39,9,29,3,154,2642,602,958,81,171,127,4573,12,27,82,14,41,65,242,4,31,12,8,4,0,65,69,191,69,19,20,8,376,238,111,107,6,8,5,483,207,65,134,3,8,3,420,608,38,161,6,11,6,833,961,54,225,21,18,4,1281,765,12,105,17,5,3,906,87,0,8,0,0,0,96,10,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,42,31,44,22,22,10,172,3010,562,954,118,143,108,4904
10302,0,0,3,12,0,21,0,4,0,37,41,48,94,10,75,11,277,2089,797,1687,236,601,300,5711,3,46,270,53,181,201,757,13,36,48,26,25,0,157,230,282,268,58,57,10,913,563,186,405,54,69,18,1296,353,69,268,5,34,10,735,515,38,236,9,43,10,845,285,12,130,3,27,3,460,54,0,43,0,10,0,115,6,5,9,0,3,0,21,3,0,4,0,3,0,13,0,0,3,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,8,0,3,0,15,26,37,89,27,85,10,272,2071,711,1772,240,555,257,5601
10303,0,0,0,8,0,9,0,0,0,26,41,36,54,3,36,3,172,2116,708,1030,56,272,179,4358,19,40,149,4,71,119,397,3,24,13,0,0,0,43,63,191,86,3,13,3,365,266,156,162,24,23,8,644,232,72,150,9,20,3,478,499,69,174,6,22,3,775,756,59,148,3,18,4,993,486,15,71,3,3,3,576,76,0,16,0,3,0,100,13,0,0,0,0,0,13,3,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,12,40,43,50,3,28,14,185,2453,666,1030,60,209,156,4583
