SA3_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
10102,0,0,0,0,0,0,16,25,29,12,42,75,88,141,156,172,360,304,242,89,89,43,229,2072,101,40,88,90,275,272,609,603,1703,1690,1898,1539,2244,2125,1631,14913
10103,3,0,0,0,0,0,3,7,13,4,24,31,44,68,78,57,144,63,44,21,15,6,84,682,37,30,51,42,153,140,420,291,858,661,594,354,328,200,598,4755
10104,0,0,0,0,0,0,20,31,34,19,90,128,231,341,373,379,534,224,88,40,26,16,412,2929,157,129,199,189,873,767,2395,1725,4261,2234,1737,913,729,447,2268,19022
10105,3,0,0,0,0,0,16,27,13,20,41,62,111,168,184,184,316,136,72,31,19,18,170,1551,71,61,77,93,332,297,811,675,1594,1166,1077,708,643,404,1059,9056
10106,0,0,0,0,0,0,11,26,26,9,40,74,97,153,152,131,222,123,86,22,27,15,170,1350,79,48,76,98,299,302,789,591,1553,1174,1015,696,807,819,1107,9452
10201,10,3,0,0,0,0,49,75,112,60,153,240,401,758,774,886,1597,945,541,211,197,79,970,7926,387,209,295,329,1219,1319,3537,2990,7384,5714,5549,3789,4050,3066,5062,44903
10202,5,4,0,0,0,0,78,106,119,50,219,317,564,1022,1022,1094,1772,928,479,175,111,42,1007,8939,367,201,355,413,1410,1553,4377,3101,7453,5759,4938,3095,2713,1478,4555,41772
10301,0,0,0,0,0,0,20,28,16,19,65,93,120,238,227,219,379,217,102,26,28,9,251,2019,82,50,108,111,348,390,898,716,1945,1485,1427,960,1002,539,1272,11340
10302,4,0,0,0,0,0,24,39,26,24,90,124,198,320,311,289,426,160,82,22,26,17,281,2391,143,94,170,173,583,558,1514,1064,2689,1698,1423,788,736,489,1759,13882
10303,0,0,0,0,0,0,29,43,22,19,86,106,166,255,290,224,295,137,97,26,16,12,246,1996,101,86,142,149,518,460,1262,855,1888,1267,1188,761,775,638,1402,11479
10304,0,0,0,0,0,0,35,42,37,21,68,98,138,296,316,276,458,208,146,48,37,10,314,2478,114,85,122,119,433,510,1169,875,2416,1891,1839,1226,1251,945,1653,14660
10401,6,0,0,0,0,0,21,35,31,18,83,119,177,351,343,337,406,170,68,24,22,8,281,2435,114,94,146,159,675,653,1937,1301,2655,1569,1094,601,488,265,1502,13249
10402,7,0,0,0,0,0,36,53,54,35,97,166,289,545,586,567,868,343,175,48,31,27,536,4372,192,104,188,221,880,948,2488,1965,4548,2958,2316,1359,1203,710,2504,22578
10501,0,0,0,0,0,0,41,50,17,18,61,68,118,128,145,132,177,69,48,13,22,5,211,1237,76,44,86,86,264,227,533,401,827,582,564,369,342,225,909,5535
10502,0,0,0,0,0,0,22,27,9,15,38,62,99,149,128,150,186,93,51,14,8,12,160,1176,41,30,59,69,258,234,561,410,818,528,453,311,299,198,713,4972
10503,3,0,0,0,0,0,41,54,41,22,92,148,259,421,407,399,626,250,154,50,41,16,443,3368,138,85,165,196,649,663,1669,1211,3051,2162,1887,1235,1150,693,2317,17273
10601,0,0,0,0,0,0,29,45,58,23,122,210,330,550,577,471,718,386,178,61,62,27,506,4286,180,106,215,259,819,894,2124,1466,3655,2894,2696,1725,1707,1327,2516,22572
10602,0,3,0,0,0,0,19,32,47,26,72,145,209,390,462,422,754,369,212,70,49,17,339,3585,134,84,126,196,570,643,1629,1256,3213,2726,2628,1840,1716,1235,2088,20085
10603,3,3,0,0,0,0,17,35,58,24,94,135,216,365,369,374,630,328,131,61,49,22,320,3169,170,105,167,175,724,676,2023,1488,3614,2476,2114,1346,1156,802,2201,19243
10604,0,0,0,0,0,0,15,20,22,17,54,69,112,169,171,139,188,94,63,20,17,10,168,1310,89,54,89,81,256,268,637,483,1158,901,948,634,641,470,914,7615
10701,3,3,0,0,0,0,30,46,48,37,92,146,267,439,491,476,761,417,225,90,51,29,473,4036,197,134,175,195,760,736,2132,1400,3362,2627,2487,1570,1442,917,2050,20179
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,3,3,0,0,0,0,23,32,42,34,117,151,260,462,483,517,833,473,259,110,71,47,451,4308,188,112,191,207,737,830,2225,1613,4052,3299,3002,2065,2081,1398,2663,24661
10704,6,0,0,0,0,0,26,45,87,43,133,141,298,454,534,514,1021,614,418,172,137,77,600,5241,323,170,264,213,946,911,2356,1769,4580,3668,3882,3081,3512,2979,3472,32115
10801,0,0,0,0,0,0,6,13,16,10,42,67,126,180,220,216,267,105,46,12,8,9,186,1491,88,72,78,104,489,362,1396,815,1738,855,620,355,266,211,987,8444
10802,4,0,0,0,0,0,35,51,23,20,89,137,194,390,359,345,450,180,60,23,23,3,368,2659,111,102,149,177,604,671,1880,1214,2487,1421,988,498,367,218,1439,12322
10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,9,3,11,8,16,8,3,4,17,86
10804,0,0,0,0,0,0,29,39,44,21,75,139,212,437,438,501,675,342,139,47,43,24,403,3531,161,98,153,185,775,842,2693,1930,4316,2574,2121,1306,1137,775,2232,21302
10805,0,0,0,0,0,0,29,44,34,29,115,133,212,374,354,362,424,188,66,22,20,10,351,2689,143,102,180,174,735,713,2122,1395,3011,1758,1121,664,466,281,1684,14541
10901,0,0,0,0,0,0,24,28,30,24,76,120,218,312,324,329,459,247,104,46,36,19,269,2615,107,75,128,151,506,545,1315,1093,2810,2074,1870,1212,1096,660,1685,15324
10902,0,0,0,0,0,0,7,7,3,7,24,35,39,55,49,57,60,30,16,7,5,3,76,474,38,27,39,46,125,113,292,226,604,377,330,184,150,113,479,3141
10903,0,0,0,0,0,0,13,23,11,16,44,62,117,167,168,169,283,112,58,17,16,3,205,1456,113,82,104,96,475,368,1215,803,2131,1370,1155,634,502,338,1381,10760
11001,0,0,0,0,0,0,18,21,16,9,59,64,86,174,187,185,280,148,61,27,19,9,178,1500,85,42,98,83,289,337,790,673,1612,1209,985,577,598,411,1044,8833
11002,0,0,0,0,0,0,15,23,29,25,85,113,163,225,225,213,269,103,35,17,8,3,205,1717,129,104,143,144,595,468,1329,863,1973,1105,793,419,304,210,1184,9758
11003,0,0,0,0,0,0,23,31,21,17,62,75,89,133,141,117,176,88,41,22,18,3,183,1199,74,45,80,99,227,211,468,375,1010,831,726,423,423,288,896,6172
11004,4,0,0,0,0,0,42,51,38,28,107,182,275,499,498,454,702,347,146,48,43,32,466,3864,151,77,185,216,723,797,1983,1462,3725,2676,2371,1437,1300,845,2502,20463
11101,0,3,5,0,0,0,38,58,57,38,112,180,346,613,670,666,1251,662,411,136,93,46,599,5875,210,132,214,252,948,999,3019,2118,5458,4054,4083,2921,3072,2272,3348,33098
11102,7,0,0,0,0,0,30,46,39,27,94,126,264,386,418,446,743,340,159,76,40,28,416,3609,142,101,160,180,678,666,2011,1529,3706,2739,2462,1715,1440,898,2203,20640
11103,3,3,0,0,0,0,51,64,105,43,203,258,427,734,843,843,1572,916,463,195,146,80,780,7615,321,152,335,331,1125,1227,3189,2497,6314,5066,5047,3720,3972,3176,4195,40666
11201,0,0,0,0,0,0,28,39,31,27,102,145,262,452,472,426,761,290,153,55,43,22,467,3695,129,88,181,191,667,772,1970,1514,3984,2569,2117,1239,1127,961,2342,19850
11202,4,0,0,0,0,0,27,45,41,32,108,149,328,485,493,472,654,294,137,46,29,14,434,3729,141,93,188,192,795,824,1998,1522,3683,2414,1787,928,749,438,1823,17572
11203,3,0,0,0,0,0,39,54,52,32,94,151,293,524,539,533,949,440,194,62,42,19,533,4462,201,140,190,204,891,968,2797,1967,4744,3100,2517,1477,1245,808,2715,23978
11301,5,0,0,0,0,0,30,40,16,9,44,95,121,237,205,246,307,170,84,35,29,16,225,1831,133,60,91,117,415,402,933,800,2145,1648,1449,832,727,454,1474,11694
11302,0,0,0,0,0,0,6,14,12,8,22,34,48,80,49,49,98,48,18,11,6,5,82,566,42,26,43,49,140,135,357,241,670,481,464,246,198,105,534,3724
11303,3,3,0,0,0,0,46,67,48,24,117,154,273,459,439,472,767,392,173,68,66,26,471,3950,170,102,190,207,760,767,1996,1565,4105,3203,2846,1810,1700,1086,2769,23273
11401,6,3,0,0,0,0,39,69,60,30,140,202,343,529,614,600,817,317,182,52,32,38,575,4527,259,165,268,290,1197,1059,3567,2340,5321,3106,2437,1435,1210,800,3071,26522
11402,0,0,0,0,0,0,6,13,26,18,38,55,99,149,165,211,371,196,128,43,40,17,241,1801,123,79,93,83,370,339,984,859,2236,1686,1545,946,1033,951,1608,12935
11501,0,3,0,0,0,0,19,30,119,40,86,68,121,168,229,269,671,577,458,254,293,196,442,4001,643,235,247,153,597,567,1460,1462,4220,3826,4669,3800,6010,7865,4111,39856
11502,0,0,0,0,0,0,4,12,11,3,14,21,32,37,50,58,133,94,87,41,44,40,93,764,80,37,33,33,162,107,315,274,836,709,750,626,892,1272,893,7015
11503,0,0,0,0,0,0,6,9,17,13,24,12,38,49,64,64,170,95,72,19,33,7,94,772,67,35,46,25,137,120,305,293,912,899,938,675,780,614,746,6606
11504,0,0,0,0,0,0,9,9,21,11,25,21,40,58,51,77,161,131,113,43,38,29,94,909,107,41,37,34,130,114,282,305,877,936,1190,1031,1432,1411,916,8842
11601,6,3,0,0,0,0,62,86,126,66,179,201,367,515,578,610,1241,766,488,262,173,77,679,6334,598,207,331,315,1031,1094,2343,2077,5712,5035,4995,3266,3209,1841,3240,35286
11602,0,3,0,0,0,0,17,27,57,8,42,72,131,187,224,271,641,419,322,157,141,57,289,3021,371,78,110,112,372,398,902,876,2727,2923,3752,3013,3971,2824,2167,24615
11603,5,4,3,0,3,0,80,114,116,51,226,313,435,686,792,714,1205,648,407,179,135,64,729,6708,407,141,363,413,971,1192,2218,1923,4732,3957,3717,2174,1845,907,2891,27847
11701,0,0,0,0,0,0,21,34,38,19,41,40,92,148,167,174,359,247,154,83,86,36,218,1898,175,55,75,77,307,326,698,564,1634,1413,1401,1065,1408,1137,1220,11560
11702,0,0,0,3,0,0,17,26,33,13,51,53,103,107,129,171,365,262,202,85,86,64,218,1943,123,59,90,74,285,221,588,517,1389,1284,1525,1227,1842,2086,1219,12523
11703,0,0,0,0,0,0,25,40,154,46,155,139,229,284,304,363,664,502,376,132,270,150,445,4215,792,181,322,257,705,686,1352,1291,3687,3636,4696,3809,6250,8935,3883,40484
11801,0,0,0,0,0,0,19,25,98,39,43,64,107,161,163,236,555,414,367,134,370,225,457,3429,272,112,95,94,306,309,615,726,2206,2102,2729,2226,4504,9535,3633,29469
11802,0,4,0,0,0,0,30,42,98,45,102,105,184,283,302,369,825,637,488,203,266,151,532,4579,493,149,228,162,592,579,1218,1177,3185,2955,3525,2864,4383,6449,3533,31487
11901,3,4,3,3,0,0,74,103,241,91,313,306,502,746,792,781,1461,868,576,290,263,122,842,8208,843,268,641,532,1690,1730,3584,2934,6885,5256,4766,2992,3392,2456,4479,42452
11902,9,6,0,0,0,0,45,63,210,72,214,190,345,499,555,565,1135,692,391,207,144,80,582,5875,830,287,493,406,1408,1453,2984,2629,6055,4153,3467,2133,2225,1670,3493,33688
11903,5,3,0,0,0,0,51,62,213,63,154,140,218,384,438,500,940,602,429,242,187,118,536,5171,892,292,370,299,951,963,2164,1853,4926,3928,3870,2695,3206,3385,3331,33135
11904,3,6,0,0,0,0,30,46,149,52,151,147,247,377,431,520,1036,722,475,233,202,98,538,5365,661,248,337,313,1035,963,2386,2029,5319,4520,4568,2973,3429,2774,3552,35116
12001,0,0,0,0,0,3,12,15,93,27,63,75,80,142,169,245,511,393,345,159,194,96,299,2894,428,135,137,117,443,388,983,863,2448,2113,2609,1968,3230,4518,2220,22604
12002,0,0,3,0,0,0,8,15,37,16,48,28,66,85,109,109,268,213,178,88,159,97,202,1700,92,46,68,47,159,149,353,308,988,939,1259,1140,2255,4696,1426,13918
12003,5,5,0,0,0,0,33,49,208,71,140,153,250,369,417,456,1043,690,491,243,252,131,494,5420,844,279,332,263,890,912,2048,1753,5061,4252,4360,3065,4051,4812,3424,36345
12101,3,0,0,0,0,0,9,13,198,42,84,67,96,161,161,227,543,440,407,146,284,192,363,3436,590,158,172,129,392,400,824,866,2540,2410,3142,2297,4176,8120,3168,29397
12102,0,0,3,0,0,0,10,14,59,33,60,45,98,159,189,208,578,416,277,128,123,58,317,2764,307,125,156,93,367,361,897,891,2721,2494,2880,2211,3069,3254,2182,22020
12103,3,0,0,0,0,0,4,11,180,52,88,53,73,144,154,213,525,437,339,189,289,220,389,3330,601,200,187,108,365,407,781,888,2753,2490,2818,2321,4491,10085,3892,32398
12104,0,0,0,0,0,0,10,14,67,29,44,46,56,93,106,122,373,322,308,124,334,202,314,2535,216,69,82,66,179,221,398,470,1635,1636,2448,1975,4030,8010,2647,24086
12201,0,0,0,0,0,0,4,9,31,8,17,18,28,45,55,78,193,133,135,48,110,54,155,1117,87,28,39,29,101,101,231,237,778,785,1025,834,1645,3639,1356,10916
12202,0,0,0,0,0,0,8,10,28,17,26,31,52,80,97,139,390,266,214,94,128,70,305,1931,125,64,68,56,240,189,548,570,1964,1706,1827,1573,2210,3137,2125,16410
12203,3,0,3,3,0,0,12,32,76,32,76,80,140,277,306,402,936,698,568,224,257,170,597,4839,344,158,183,135,590,576,1398,1495,4449,4081,4840,3811,5552,7760,4306,39674
12301,0,0,0,0,0,0,13,15,38,16,31,69,105,179,203,247,511,362,243,121,102,37,268,2531,135,45,73,83,294,312,798,703,2044,2209,2612,2086,2347,1597,1630,16970
12302,3,3,0,0,0,0,100,126,151,61,233,343,609,899,998,918,1718,981,580,286,213,95,1028,9107,504,231,400,464,1363,1551,3087,2718,7059,5995,5458,3399,3190,1830,4183,41436
12303,0,0,0,0,0,0,11,19,13,8,22,44,82,141,139,131,276,168,111,53,29,21,206,1444,73,30,54,53,289,263,695,547,1500,1406,1571,1116,1231,912,1324,11071
12401,0,0,0,0,0,0,14,24,31,22,54,93,160,288,326,335,650,399,267,130,77,35,324,3177,117,74,112,127,455,549,1320,1222,3303,2620,2626,2051,2210,1695,2072,20542
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,3,0,0,0,0,0,32,44,107,31,149,216,383,633,633,662,1406,870,562,236,206,98,662,6870,351,113,248,285,845,980,2171,1888,5405,5160,5615,3946,4011,2612,3381,37013
12404,0,4,0,0,0,0,8,20,18,19,32,70,121,195,197,205,371,219,139,84,48,19,202,1937,66,46,51,83,261,278,591,522,1459,1331,1154,852,856,524,965,9027
12405,0,0,0,0,0,0,37,50,54,18,71,89,164,275,281,297,670,365,243,124,96,33,362,3138,162,47,129,123,377,426,967,847,2367,2104,2009,1236,1159,600,1481,14034
12501,3,0,0,0,0,0,33,40,147,36,141,109,182,217,277,300,574,325,206,108,85,40,308,3046,660,156,323,280,786,867,1622,1563,3694,2495,2236,1401,1521,1082,2052,20730
12502,0,0,0,0,0,0,17,27,102,35,93,76,127,188,206,203,448,343,232,127,92,60,234,2558,458,160,180,142,479,498,1006,898,2460,2156,2171,1635,2000,1818,1746,17805
12503,4,3,0,0,0,0,71,89,202,74,261,255,410,540,654,649,1318,779,472,222,172,95,725,6836,776,280,560,470,1579,1461,3043,2690,6352,4461,3917,2479,2489,1657,3973,36196
12504,3,3,3,0,0,0,32,46,136,48,147,127,227,322,403,402,947,581,455,197,152,79,463,4686,720,177,290,247,861,814,1938,1843,5473,5265,5383,3325,3878,2635,2954,35811
12601,0,0,0,0,0,0,4,4,65,31,38,29,46,68,71,88,249,199,147,77,99,53,153,1401,287,101,88,57,207,204,463,453,1387,1230,1406,1121,1721,2800,1321,12843
12602,3,0,0,0,4,0,23,27,169,46,95,94,155,240,302,363,805,592,423,223,236,161,411,4334,793,251,273,202,724,679,1593,1452,4124,3828,4146,3050,4339,5510,3329,34284
12701,5,0,0,0,0,0,63,77,115,40,144,174,274,360,419,486,840,528,322,160,148,84,536,4622,390,138,285,262,777,810,1687,1481,3887,3410,3434,2464,2530,1631,2722,25890
12702,9,3,3,0,3,3,116,158,389,129,560,474,712,949,1093,1148,1995,1186,714,321,288,139,1055,11145,1191,389,933,744,2301,2220,4840,3684,8191,5728,4576,2870,2907,1805,4952,47329
12703,5,0,4,0,0,0,56,73,123,44,152,199,298,453,527,555,1011,580,354,175,162,67,529,5242,471,173,299,340,1015,978,2088,1865,4581,3866,3671,2552,2661,1761,2976,29303
