SA3_CODE_2016,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_respons,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Turk_BP_B_OS,C16_Turk_Fa_O_B_OS,C16_Turk_Mo_O_B_OS,C16_Turk_BP_B_Aus,C16_Turk_Bplace_NS,C16_Turk_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_T_resp,C16_T_P_BP_B_OS,C16_T_P_Fa_only_bor_os,C16_T_P_Mo_O_B_OS,C16_T_P_BP_B_Aus,C16_T_P_Bplace_NS,C16_T_P_Tot_resp
10102,297,21666,3,20,5,215,5,247,503,23,39,136,8,716,358,69,22,157,5,608,368,137,113,287,11,919,3213,1829,1447,14064,286,20836,482,7,62,8,4,557,116,26,13,157,3,318,655,234,164,1512,20,2584,315,67,21,187,4,598,138,37,17,60,0,246,1006,29,17,24,13,1087,693,476,335,5787,88,7376,1003,273,100,925,22,2328,56,7,8,3,0,75,61,13,5,45,3,124,877,119,58,152,14,1211,147,53,28,141,10,373,198,41,27,25,5,291,205,111,79,47,4,437,284,52,34,125,3,495,108,14,15,41,3,183,851,471,389,3873,58,5641,291,44,35,54,5,430,82,24,7,5,0,122,175,18,21,58,0,263,76,12,14,5,0,104,32,8,0,0,0,44,103,3,3,0,0,115,137,50,20,173,3,383,3002,432,376,651,43,4504,140,39,15,339,3775,4321,13229,3947,2909,32764,4487,57331
10103,132,7994,0,0,0,23,3,29,111,9,3,42,4,176,33,13,3,12,0,62,178,45,36,72,7,333,1013,589,471,5379,137,7594,37,6,9,3,0,54,49,8,17,36,0,109,329,108,64,532,15,1046,38,6,16,28,0,89,38,7,6,17,0,69,37,3,5,8,3,52,185,139,93,1900,48,2365,177,56,24,174,6,446,30,0,0,0,0,28,51,16,0,34,3,99,18,3,3,4,0,24,23,8,13,24,0,61,18,16,4,8,3,53,91,31,20,14,3,163,76,15,11,29,0,134,46,11,3,21,0,78,277,159,146,1559,35,2167,13,4,4,7,0,33,28,6,3,3,0,45,25,9,0,5,0,41,7,0,0,0,0,10,18,0,0,0,0,16,15,0,0,0,0,15,33,19,7,51,0,114,616,129,88,231,21,1082,42,8,7,175,1660,1889,3040,1164,902,12277,1982,19366
10104,650,28988,0,20,5,496,17,536,188,25,41,148,3,408,194,19,16,38,0,277,691,185,110,305,15,1303,4803,2260,1609,21185,541,30395,203,0,56,9,8,279,155,22,15,191,13,394,941,205,183,1976,52,3351,152,32,10,94,0,283,145,30,8,41,0,220,142,10,9,15,0,172,834,521,314,7354,135,9152,414,159,68,609,20,1266,28,0,0,6,0,35,32,12,4,33,0,84,16,9,5,11,0,38,160,47,16,86,7,318,95,24,19,44,4,184,183,66,67,64,10,392,220,31,26,112,6,402,96,20,9,47,0,169,1163,575,423,5708,126,8001,38,3,3,8,5,54,102,25,18,23,0,165,96,11,11,59,9,181,27,3,3,3,0,35,15,7,3,0,0,25,71,0,4,3,0,82,213,60,28,225,5,535,1592,341,229,723,43,2927,108,30,27,645,4769,5585,10888,4152,2968,46562,6066,70638
10105,285,15349,3,3,0,107,4,114,160,5,9,71,3,247,40,5,3,18,3,74,167,37,38,103,6,350,1350,821,602,11402,299,14473,154,7,31,11,3,206,57,10,3,92,0,163,216,88,59,772,21,1159,96,31,17,103,0,240,40,17,7,20,0,84,148,6,3,12,0,170,317,220,144,4138,73,4896,167,63,21,255,8,516,64,0,0,3,0,72,44,15,3,15,0,70,20,4,0,4,0,27,78,26,4,73,3,188,63,12,10,6,0,90,72,36,29,26,0,160,72,20,7,42,0,140,33,3,10,9,3,62,366,237,156,2741,45,3552,16,0,0,3,0,20,21,15,17,3,0,59,42,5,4,23,5,78,20,0,4,3,0,25,8,0,0,0,0,12,6,0,0,3,0,11,61,24,15,126,0,227,805,146,105,236,20,1315,49,15,21,343,2844,3271,4001,1624,1185,25292,3453,35559
10106,287,16817,0,11,3,80,0,93,110,12,26,54,5,207,98,17,0,56,0,166,228,75,57,142,3,501,1469,875,757,11466,271,14842,85,9,15,11,0,113,46,12,11,93,3,166,231,93,79,956,13,1383,34,20,3,61,0,117,38,18,13,24,0,84,70,9,0,9,0,92,297,233,157,4409,73,5165,122,65,9,260,16,470,3,0,0,0,0,7,139,34,25,46,3,252,10,4,0,3,0,20,49,17,8,67,0,145,33,11,7,16,0,70,77,21,34,20,0,158,73,17,18,43,3,156,31,3,5,17,0,59,394,277,161,2766,57,3653,46,3,16,3,0,71,35,13,4,6,0,52,18,0,4,14,0,44,11,5,0,0,0,15,18,0,0,0,0,18,16,3,4,3,0,26,51,21,16,96,0,191,599,165,131,301,18,1213,44,29,14,383,2044,2510,3668,1802,1398,26444,2627,35942
10201,1167,67314,3,41,24,559,14,640,1961,123,156,376,24,2643,304,82,40,177,3,612,1204,346,227,695,25,2493,14612,6899,4821,46169,1120,73614,996,64,221,45,15,1343,507,104,74,446,13,1150,1610,537,324,3416,82,5971,596,198,71,479,6,1353,277,71,32,85,10,477,1108,76,49,76,0,1313,3152,1707,1101,16641,304,22905,1452,581,211,1952,53,4248,537,9,27,12,3,588,212,94,33,145,0,486,37,16,4,17,0,80,576,172,104,509,14,1372,487,150,99,97,7,843,825,434,272,239,15,1780,565,135,79,229,13,1014,479,49,58,106,3,699,3334,1686,1180,11872,253,18316,140,25,8,41,0,217,732,123,90,53,9,1000,607,55,42,197,6,906,156,27,15,24,4,228,122,19,18,17,0,179,197,6,15,8,0,236,578,162,115,581,9,1442,6115,1472,1110,1871,124,10686,282,108,68,1018,8283,9763,35692,13268,9275,99962,10849,169053
10202,1296,69820,3,40,10,716,12,791,953,86,103,367,14,1528,219,70,35,96,3,420,899,318,173,593,19,1990,9679,5821,4155,47850,1250,68762,787,43,233,42,18,1118,283,62,55,446,6,864,999,421,278,3416,81,5192,432,136,66,365,5,1006,208,63,21,88,3,378,756,57,43,78,7,943,2084,1349,816,14821,276,19352,1262,563,199,1914,61,3993,155,3,12,3,0,178,197,80,31,114,4,430,42,12,3,17,0,75,823,240,109,700,30,1902,614,178,122,129,15,1054,654,368,256,195,13,1487,369,95,60,220,4,747,222,40,40,96,4,396,2435,1422,937,10561,226,15584,114,16,6,40,5,179,286,63,54,39,3,440,468,48,30,178,7,723,57,17,7,10,0,92,46,17,0,12,0,87,130,3,26,7,3,179,373,111,77,466,14,1050,4012,1145,658,1569,78,7471,295,78,80,1229,8245,9923,24774,11393,7667,103864,10983,158683
10301,323,20063,0,11,7,279,5,303,230,13,30,123,5,397,45,10,14,21,0,85,225,99,60,234,6,628,1667,1140,897,14787,357,18849,140,6,57,17,8,224,56,9,14,146,0,227,273,113,81,1126,26,1620,43,19,9,92,5,167,47,8,3,17,0,82,234,14,10,3,0,257,384,305,199,6047,99,7028,165,134,44,477,6,825,19,0,5,0,0,30,75,30,6,46,8,170,12,6,3,5,0,22,59,20,31,104,0,210,101,32,22,20,0,173,114,73,37,59,0,289,90,27,8,70,3,202,35,13,16,19,0,81,485,283,226,3633,70,4694,27,6,4,19,0,56,70,17,17,10,0,110,58,5,0,23,0,92,44,3,3,12,0,63,4,3,0,0,0,6,55,0,7,0,0,67,71,39,18,123,3,254,1038,225,156,414,14,1849,70,14,14,436,4050,4589,4947,2271,1701,32912,4765,46594
10302,570,26646,0,12,4,475,8,496,186,12,13,73,6,288,37,8,3,12,3,63,201,62,43,157,3,471,1195,941,748,18915,492,22289,184,3,31,11,11,240,36,7,8,126,0,176,211,96,82,1603,38,2027,40,25,3,94,8,169,31,7,0,22,0,68,141,3,3,17,0,159,218,224,110,5751,111,6418,118,67,25,299,6,516,20,0,4,0,0,23,25,3,3,46,0,79,6,0,0,0,0,6,54,27,16,73,0,167,56,21,10,34,0,120,77,34,59,44,0,207,70,15,9,58,4,146,27,7,0,14,0,43,321,263,174,4139,81,4969,8,0,4,0,0,17,58,13,7,8,0,88,27,3,3,41,0,75,13,0,0,3,0,14,6,4,0,0,0,8,28,0,0,3,0,30,33,25,14,112,4,192,663,163,84,348,28,1291,42,19,19,786,4485,5347,3494,1849,1380,43018,5594,55336
10303,481,21142,0,6,3,193,11,216,159,13,13,83,4,274,55,9,0,19,3,84,236,81,51,153,4,527,1851,1140,827,14389,397,18610,165,3,59,11,8,247,50,15,7,81,0,150,321,95,78,1147,33,1667,83,27,9,84,8,212,54,16,4,19,3,93,133,6,4,11,0,159,309,266,140,4420,106,5243,214,81,43,373,5,726,18,3,0,8,0,26,26,9,7,19,0,63,11,3,0,0,0,18,102,36,18,90,4,244,55,21,20,22,0,126,112,49,34,41,0,242,99,42,10,42,3,199,22,11,0,21,0,52,474,316,249,3409,99,4557,32,0,0,0,3,37,56,7,9,4,0,77,55,0,8,32,3,104,14,3,0,0,0,21,8,8,0,5,0,18,51,0,5,0,0,65,75,41,19,132,3,268,793,171,130,351,21,1468,68,14,19,466,4615,5174,4797,2210,1565,32485,5546,46612
