SA3_CODE_2016,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6m,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6m,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85andover_N_c_b_0,C16_AP_85andover_N_c_b_1,C16_AP_85andover_N_c_b_2,C16_AP_85andover_N_c_b_3,C16_AP_85andover_N_c_b_4,C16_AP_85andover_N_c_b_5,C16_AP_85ov_N_c_b_6mor,C16_AP_85andover_N_c_b_NS,C16_AP_85_and_over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_ch_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_T_T
10102,96,39,26,66,620,24,22,67,109,61,29,22,30,367,16,42,81,101,65,32,31,76,441,6855,2818,5938,3585,1331,379,265,1938,23112
10103,44,20,23,42,316,23,10,44,56,37,20,15,41,237,18,16,56,46,36,17,21,62,281,2018,785,2062,1284,547,196,131,779,7803
10104,252,103,57,216,1771,99,75,262,285,200,99,65,155,1237,93,113,294,298,207,91,73,297,1462,6211,3177,8841,5785,2622,860,544,2849,30894
10105,103,49,27,75,668,47,30,89,115,77,41,38,72,511,50,37,97,100,73,40,46,132,571,3373,1514,3699,2656,1256,448,294,1290,14524
10106,100,52,55,77,627,37,21,72,89,82,42,49,77,462,49,31,81,80,86,29,64,117,536,3386,1415,3623,2801,1339,483,389,1300,14734
10201,451,154,81,305,3465,278,179,685,684,382,132,120,322,2789,286,334,843,717,405,167,160,662,3575,18412,8348,21104,12638,4698,1393,849,5020,72473
10202,431,154,141,350,3259,194,149,544,580,389,157,129,328,2470,213,198,629,521,341,154,166,608,2834,15590,7562,18702,12352,5078,1645,1074,5236,67238
10301,104,49,41,73,689,60,35,107,128,89,43,47,86,591,47,44,137,117,101,41,51,128,664,4892,1905,4707,3219,1479,492,385,1722,18805
10302,217,85,95,179,1257,62,34,157,194,152,102,87,109,899,86,54,171,221,166,103,126,178,1108,4458,1944,5047,4614,2448,938,696,2416,22553
10303,153,53,53,117,921,60,45,115,129,93,60,54,88,645,52,57,148,121,90,50,49,92,667,3939,1915,4850,3479,1630,548,383,2099,18849
10304,144,68,64,99,928,45,47,154,168,134,74,67,72,764,70,54,163,176,127,64,65,89,807,5740,2334,5952,4396,1989,696,510,1825,23439
10401,182,71,60,94,1139,66,56,182,206,151,71,66,125,921,75,61,200,198,159,82,80,152,1009,4242,2065,5819,4239,2042,689,493,1872,21456
10402,292,94,73,199,1816,85,72,303,288,180,94,82,160,1260,83,107,298,298,197,95,86,337,1518,8249,3978,10031,6714,2926,932,648,3147,36619
10501,67,35,33,65,417,12,17,36,44,49,23,31,50,254,20,9,44,52,46,18,36,46,269,1888,832,1972,1563,890,352,357,1449,9297
10502,68,40,17,51,411,21,19,62,68,52,30,27,57,339,19,21,67,68,56,24,18,151,418,1799,882,2285,1489,702,259,180,961,8556
10503,223,99,85,162,1287,57,50,160,210,169,92,98,117,939,68,61,170,213,186,63,108,153,1016,6333,2644,6568,5354,2738,981,824,2926,28368
10601,200,71,58,136,1190,49,50,190,205,142,61,69,133,902,71,90,208,197,144,67,73,199,1052,8057,3742,9381,6418,2784,895,631,3072,34986
10602,149,83,54,80,1003,46,45,155,192,119,54,56,98,758,59,61,150,170,133,50,51,149,819,7598,3364,8577,5386,2163,684,489,1826,30089
10603,203,81,42,162,1550,69,70,238,266,157,65,54,150,1071,74,90,239,192,138,69,62,254,1115,6372,3027,8818,5766,2328,701,416,2586,30006
10604,83,27,20,47,450,28,26,69,80,54,22,32,35,349,27,24,65,63,51,36,35,53,355,2643,1123,2988,2342,1009,351,272,1065,11789
10701,211,75,56,114,1490,55,67,302,321,149,82,69,167,1207,36,68,309,246,140,101,68,249,1225,7544,3338,9079,5696,2281,799,550,2061,31350
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10703,233,97,66,170,1624,62,74,275,259,179,83,65,145,1125,75,84,259,255,161,77,73,317,1294,8776,3810,11225,7010,2626,889,506,2714,37556
10704,261,96,61,170,2187,102,98,513,454,205,110,71,168,1726,130,209,574,494,233,114,117,228,2092,16991,5796,14615,8505,2871,922,580,3642,53923
10801,133,51,38,104,992,63,51,166,170,115,48,29,98,742,72,59,194,165,112,43,34,189,870,2576,1343,4052,2821,1205,395,206,1232,13831
10802,176,78,37,118,1065,51,40,135,161,123,67,42,131,753,65,77,182,148,129,76,50,236,967,3902,2022,5193,3848,1874,752,476,2159,20220
10803,0,0,0,0,11,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,7,57,17,45,19,4,0,0,15,163
10804,291,120,57,216,2143,150,119,390,344,242,95,82,177,1607,182,155,383,356,238,78,97,342,1830,7425,3636,9993,6595,2721,872,505,2725,34460
10805,215,85,67,122,1321,66,40,208,210,152,71,52,112,913,72,64,215,197,151,62,63,228,1045,4633,2119,6394,4673,2242,759,481,1961,23254
10901,174,69,73,127,1074,55,52,153,177,136,74,79,116,852,61,66,196,199,156,65,80,176,997,6684,2608,6352,4669,2030,697,524,2154,25715
10902,51,21,21,36,243,7,5,22,30,23,17,24,29,155,7,11,20,18,31,13,15,28,153,942,410,1178,1007,511,159,151,616,4982
10903,199,86,67,127,1079,48,41,116,146,144,78,65,103,736,51,57,120,172,118,78,69,132,799,3285,1471,4405,3648,1802,654,430,1824,17526
11001,101,43,48,65,684,35,25,68,109,75,51,40,62,466,30,45,100,111,77,34,55,86,538,4608,1520,3501,2688,1190,441,335,1480,15763
11002,152,54,47,104,915,52,22,107,116,110,48,57,85,595,48,36,128,119,97,50,68,151,699,3143,1417,3908,3190,1532,601,472,1669,15923
11003,72,28,23,75,402,21,17,49,50,47,28,32,53,280,16,15,35,42,42,12,29,72,268,2014,911,2377,1811,915,334,297,1333,9989
11004,268,102,118,193,1618,65,51,226,237,176,108,78,152,1094,91,83,233,249,182,107,118,213,1274,7246,3292,8481,6332,2907,1060,749,3030,33101
11101,327,120,76,187,2388,113,126,466,488,264,124,87,197,1866,106,175,484,477,252,114,109,371,2076,12239,5570,15818,9423,3360,976,609,2901,50890
11102,218,90,70,147,1467,83,67,232,248,185,88,68,160,1142,78,108,273,262,162,75,82,409,1455,7355,3447,9229,5954,2373,754,506,2154,31778
11103,309,115,90,266,2553,141,163,507,450,290,138,94,325,2104,187,216,597,442,294,150,125,855,2874,23305,7987,17952,9958,3598,1164,737,5034,69722
11201,221,92,40,176,1534,83,79,235,278,188,70,84,158,1169,125,114,337,326,230,74,100,320,1624,8180,4019,9100,5744,2317,645,439,3677,34113
11202,231,109,94,132,1264,61,48,174,209,156,100,113,97,958,87,72,234,248,198,98,118,161,1221,6926,2948,7216,5320,2599,980,718,2708,29417
11203,312,102,90,222,2241,139,129,383,426,252,123,93,264,1801,179,174,435,404,258,95,105,479,2132,8949,4536,11082,7110,2975,934,614,3614,39810
11301,143,59,42,94,806,31,26,111,149,120,53,66,106,666,43,38,150,143,109,69,63,171,782,4230,1701,4340,3704,1876,627,452,2207,19131
11302,45,26,32,38,280,11,8,28,45,32,25,30,29,206,14,13,44,46,32,41,32,68,276,1105,513,1477,1164,552,241,171,615,5848
11303,324,137,127,181,1709,71,65,205,261,230,117,131,124,1211,110,103,256,282,226,148,163,182,1475,9792,3432,8895,7033,3641,1366,1013,2892,38059
