GCCSA_CODE_2016,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85o,C16_F_Healt_T,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85o,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85o,C16_F_MngtCom_T,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85o,C16_F_Society_cultur_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creativ_art_85o,C16_F_Creative_arts_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85o,C16_F_FoodHos_PS_T,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85_ov,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85o,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85o,C16_F_FldStu_NS_T,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85o,C16_F_T_T,C06_P_NatPhy_sci_15_19,C06_P_NatPhy_sci_20_24,C06_P_NatPhy_sci_25_34,C06_P_NatPhy_sci_35_44,C06_P_NatPhy_sci_45_54,C06_P_NatPhy_sci_55_64,C06_P_NatPhy_sci_65_74,C06_P_NatPhy_sci_75_84,C06_P_NatPhy_sci_85_ov,C06_P_NatPhy_sci_Tot,C06_P_InfTec_15_19,C06_P_InfTec_20_24,C06_P_InfTec_25_34,C06_P_InfTec_35_44,C06_P_InfTec_45_54,C06_P_InfTec_55_64,C06_P_InfTec_65_74,C06_P_InfTec_75_84,C06_P_InfTec_85_ov,C06_P_InfTec_Tot,C06_P_EngRT_15_19,C06_P_EngRT_20_24,C06_P_EngRT_25_34,C06_P_EngRT_35_44,C06_P_EngRT_45_54,C06_P_EngRT_55_64,C06_P_EngRT_65_74,C06_P_EngRT_75_84,C06_P_EngRT_85_ov,C06_P_EngRT_Tot,C06_P_ArchBuild_15_19,C06_P_ArchBuild_20_24,C06_P_ArchBuild_25_34,C06_P_ArchBuild_35_44,C06_P_ArchBuild_45_54,C06_P_ArchBuild_55_64,C06_P_ArchBuild_65_74,C06_P_ArchBuild_75_84,C06_P_ArchBuild_85o,C06_P_Arch_building_Tot,C06_P_AgEnv_RS_15_19,C06_P_AgEnv_RS_20_24,C06_P_AgEnv_RS_25_34,C06_P_AgEnv_RS_35_44,C06_P_AgEnv_RS_45_54,C06_P_AgEnv_RS_55_64,C06_P_AgEnv_RS_65_74,C06_P_AgEnv_RS_75_84,C06_P_AgEnv_RS_85o,C06_P_AgEnv_RS_Tot,C06_P_Health_15_19,C06_P_Health_20_24,C06_P_Health_25_34,C06_P_Health_35_44,C06_P_Health_45_54,C06_P_Health_55_64,C06_P_Health_65_74,C06_P_Health_75_84,C06_P_Health_85o,C06_P_Healt_To,C06_P_Educ_15_19,C06_P_Educ_20_24,C06_P_Educ_25_34,C06_P_Educ_35_44,C06_P_Educ_45_54,C06_P_Educ_55_64,C06_P_Educ_65_74,C06_P_Educ_75_84,C06_P_Educ_85o,C06_P_Educ_Tot,C06_P_MngtCom_15_19,C06_P_MngtCom_20_24,C06_P_MngtCom_25_34,C06_P_MngtCom_35_44,C06_P_MngtCom_45_54,C06_P_MngtCom_55_64,C06_P_MngtCom_65_74,C06_P_MngtCom_75_84,C06_P_MngtCom_85o,C06_P_MngtCom_Tot,C06_P_Soc_cult_15_19,C06_P_Soc_cult_20_24,C06_P_Soc_cult_25_34,C06_P_Soc_cult_35_44,C06_P_Soc_cult_45_54,C06_P_Soc_cult_55_64,C06_P_Soc_cult_65_74,C06_P_Soc_cult_75_84,C06_P_Soc_cult_85o,C06_P_Society_cultur_Tot,C06_P_Creative_art_15_19,C06_P_Creative_art_20_24,C06_P_Creative_art_25_34,C06_P_Creative_art_35_44,C06_P_Creative_art_45_54,C06_P_Creative_art_55_64,C06_P_Creative_art_65_74,C06_P_Creative_art_75_84,C06_P_Creative_arts_85o,C06_P_Creative_arts_Tot
1RNSW,806,5021,17714,17320,19727,22102,12111,5349,1778,101919,273,2564,12583,14331,14131,17569,10725,4101,1114,77399,1593,8366,24577,27091,27090,22471,13796,4670,1703,131361,1332,6546,17698,18822,18742,15921,7357,1855,390,88656,223,1663,4413,4292,3530,2742,1806,754,227,19653,1667,4954,10282,8375,6975,4569,3103,834,386,41137,141,186,151,114,184,224,341,375,170,1884,75,287,796,1114,1168,931,605,253,99,5328,8107,5854,11445,11933,14644,16261,17203,15849,11523,112817,14703,38021,107724,112456,114608,109257,70808,35746,18130,621443,51,992,3340,3750,3986,3019,1262,602,107,17106,478,2180,3561,3394,2771,1254,272,52,11,13975,1481,8389,26325,36796,37671,30390,19632,10711,1943,173336,696,3724,10480,13237,13727,9800,6631,3209,544,62058,629,2692,7305,8019,6618,4337,2090,879,188,32759,475,3604,13168,19866,25276,14649,7887,3942,1010,89880,148,2255,11228,14475,23760,15580,7133,2962,703,78249,2734,12373,27615,30687,28359,19843,8800,4630,1037,136070,959,5505,14918,16318,16058,10502,4078,1673,304,70321,321,2314,4758,4503,4013,2792,1326,714,193,20940
1GSYD,898,8808,36996,29784,27009,23489,12992,6155,2290,148409,384,5791,25238,24293,22547,23331,14636,5774,1866,123863,2142,23927,94235,84148,62402,39243,20993,7046,3464,337605,1619,14917,48246,44465,35271,24641,12064,3470,1019,185713,683,8012,22660,15746,9905,5374,2724,1194,467,66758,1883,6591,17232,13644,10415,5703,3781,1105,521,60876,319,439,432,312,440,571,563,412,188,3674,171,1219,3992,4339,3463,2192,1206,515,185,17281,9356,12214,30419,23416,20633,18286,16488,14486,13242,158543,17958,90268,313686,270237,214499,156878,92234,43565,24551,1223874,143,4249,14393,14475,11503,7295,2841,1414,289,56603,839,9838,27691,17412,8559,2558,417,78,29,67424,1442,12196,49470,62592,57399,42894,24403,14703,3225,268323,884,6467,21787,21933,16561,12100,7052,3543,767,91082,265,1910,6111,5265,3823,2076,1073,488,135,21155,520,7420,29855,32155,31674,18901,9847,5679,1636,137691,196,4378,22772,25572,32642,21570,9356,4232,1353,122075,4218,37534,109692,96562,69665,42940,15789,9302,2620,388322,1544,15008,49310,42853,34790,21957,8065,3768,901,178195,934,10318,24505,16412,9733,5310,2326,1334,456,71329
19799,0,0,3,0,3,9,3,0,0,16,0,0,0,0,0,4,3,0,0,14,0,0,9,0,0,4,3,0,0,17,0,0,0,3,0,7,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,14,8,0,42,3,3,17,6,17,29,33,12,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,4,21,85,40,45,59,40,8,0,308,0,14,37,16,28,44,18,0,0,158,6,57,144,82,64,67,37,6,0,466,3,52,99,51,59,59,34,3,0,354,0,18,60,37,27,12,3,0,0,156,5,34,36,21,18,22,9,0,0,156,0,5,0,3,0,0,0,0,0,11,0,3,10,4,5,8,4,0,0,31,50,137,286,196,193,154,93,37,17,1167,71,370,848,485,472,448,262,64,21,3038,0,19,49,14,12,20,0,0,0,120,3,29,67,34,24,8,0,0,0,156,7,52,166,195,139,119,62,11,7,749,11,16,86,64,50,41,26,5,0,292,4,19,40,32,6,7,3,0,0,109,0,38,115,73,69,56,20,0,3,377,3,12,65,42,49,54,21,5,0,262,10,92,240,131,93,63,23,9,3,662,3,62,179,103,71,52,7,3,0,486,4,38,104,55,24,9,3,0,0,242
