GCCSA_CODE_2016,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85_ov,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85_ov,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85_ov,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85o,C16_P_Arch_building_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85o,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85o,C16_P_Healt_To,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85o,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85o,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85o,C16_P_Society_cultur_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85o,C16_P_Creative_arts_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85o,C16_P_Foo_hos_pers_S_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85_ov,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85o,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85o,C16_P_FldStu_NS_T,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85o,C16_P_T_T
1RNSW,54,1281,4195,4795,4395,4470,3435,1124,308,24057,297,1458,4472,4176,3310,2544,1202,208,27,17689,1203,10354,31330,32035,38089,38658,31253,15478,4813,203216,901,4821,13524,13468,14454,14078,9914,5049,1330,77531,634,2595,7031,8628,8494,6889,4424,1816,449,40952,953,5929,22283,22382,24833,27516,15028,6599,2223,127740,322,3053,15848,18399,18606,25144,15926,6046,1608,104957,2174,11404,34772,39156,39466,33924,22392,7692,2474,193455,1753,8605,23783,25803,25953,22860,12373,3636,838,125614,460,2837,6998,6464,5317,4602,3104,1214,363,31367,2176,6950,15539,13440,11015,7858,5591,1867,658,65087,277,345,313,241,330,415,590,600,270,3377,179,632,1762,2501,2786,2353,1632,778,299,12921,16844,13567,26702,26892,31800,33930,34137,28277,17391,229530,28230,73832,208548,218373,228847,225242,160991,80369,33044,1257485
1GSYD,198,6288,18109,16930,15323,11444,7123,2713,802,78937,599,6437,36300,36581,16940,7485,2080,285,49,106751,1091,14234,57704,57661,61501,53704,37464,19540,6886,309790,1252,8682,27905,26151,22846,15675,10114,5405,1563,119597,296,1961,6219,6533,5502,3900,1851,895,266,27429,1111,11702,49597,40363,36119,31013,17527,8600,3265,199301,463,6924,31363,30338,28807,31259,19805,7910,2503,159370,3286,40252,164327,144621,107873,70950,39639,13364,5374,589681,2260,21808,72248,66104,54057,39937,21657,6943,2033,287044,1267,13164,37038,25905,16035,9372,4853,2037,706,110388,2457,9578,28733,22288,16656,9352,6168,2186,807,98220,660,932,962,689,799,941,925,677,273,6867,332,2110,7141,7920,6735,4564,2666,1179,495,33136,19743,25990,64271,50433,43750,37183,31804,25400,19570,318145,35013,170068,601925,532508,432951,326789,203675,97132,44595,2444653
19799,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,6,18,5,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,16,0,0,0,0,0,3,5,0,0,16,0,0,10,0,0,3,5,0,0,23,0,0,0,3,0,7,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,4,3,4,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,4,11,16,18,0,69,4,3,30,15,24,43,60,25,3,212
19499,0,17,55,16,11,21,4,3,0,134,3,21,54,42,15,8,0,0,0,140,4,69,199,114,126,151,122,21,4,804,3,25,80,69,47,59,50,6,0,337,0,14,35,23,17,21,7,0,0,119,4,30,125,61,62,77,54,7,3,431,0,14,53,29,41,58,34,0,0,239,15,108,260,134,120,105,75,15,0,826,8,86,157,83,81,91,63,8,3,575,0,26,105,54,46,16,15,0,0,269,11,51,83,48,30,32,18,0,0,280,4,9,5,6,3,3,0,0,0,27,0,7,13,14,13,12,13,0,0,79,128,316,793,709,665,482,264,88,23,3472,183,808,2023,1392,1284,1142,722,150,41,7741
