GCCSA_CODE_2016,Aust_C06_M,Aust_C06_F,Aust_C06_P,Aust_C11_M,Aust_C11_F,Aust_C11_P,Aust_C16_M,Aust_C16_F,Aust_C16_P,Canada_C06_M,Canada_C06_F,Canada_C06_P,Canada_C11_M,Canada_C11_F,Canada_C11_P,Canada_C16_M,Canada_C16_F,Canada_C16_P,China_C06_M,China_C06_F,China_C06_P,China_C11_M,China_C11_F,China_C11_P,China_C16_M,China_C16_F,China_C16_P,Croatia_C06_M,Croatia_C06_F,Croatia_C06_P,Croatia_C11_M,Croatia_C11_F,Croatia_C11_P,Croatia_C16_M,Croatia_C16_F,Croatia_C16_P,Egypt_C06_M,Egypt_C06_F,Egypt_C06_P,Egypt_C11_M,Egypt_C11_F,Egypt_C11_P,Egypt_C16_M,Egypt_C16_F,Egypt_C16_P,Fiji_C06_M,Fiji_C06_F,Fiji_C06_P,Fiji_C11_M,Fiji_C11_F,Fiji_C11_P,Fiji_C16_M,Fiji_C16_F,Fiji_C16_P,Germany_C06_M,Germany_C06_F,Germany_C06_P,Germany_C11_M,Germany_C11_F,Germany_C11_P,Germany_C16_M,Germany_C16_F,Germany_C16_P,Greece_C06_M,Greece_C06_F,Greece_C06_P,Greece_C11_M,Greece_C11_F,Greece_C11_P,Greece_C16_M,Greece_C16_F,Greece_C16_P,Hong_Kong_C06_M,Hong_Kong_C06_F,Hong_Kong_C06_P,Hong_Kong_C11_M,Hong_Kong_C11_F,Hong_Kong_C11_P,Hong_Kong_C16_M,Hong_Kong_C16_F,Hong_Kong_C16_P,India_C06_M,India_C06_F,India_C06_P,India_C11_M,India_C11_F,India_C11_P,India_C16_M,India_C16_F,India_C16_P,Indonesia_C06_M,Indonesia_C06_F,Indonesia_C06_P,Indonesia_C11_M,Indonesia_C11_F,Indonesia_C11_P,Indonesia_C16_M,Indonesia_C16_F,Indonesia_C16_P,Iran_06_Cens_M,Iran_06_Cens_F,Iran_06_Cens_P,Iran_11_Cens_M,Iran_11_Cens_F,Iran_11_Cens_P,Iran_16_Cens_M,Iran_16_Cens_F,Iran_16_Cens_P,Iraq_C06_M,Iraq_C06_F,Iraq_C06_P,Iraq_C11_M,Iraq_C11_F,Iraq_C11_P,Iraq_C16_M,Iraq_C16_F,Iraq_C16_P,Ireland_C06_M,Ireland_C06_F,Ireland_C06_P,Ireland_C11_M,Ireland_C11_F,Ireland_C11_P,Ireland_C16_M,Ireland_C16_F,Ireland_C16_P,Italy_C06_M,Italy_C06_F,Italy_C06_P,Italy_C11_M,Italy_C11_F,Italy_C11_P,Italy_C16_M,Italy_C16_F,Italy_C16_P,Japan_C06_M,Japan_C06_F,Japan_C06_P,Japan_C11_M,Japan_C11_F,Japan_C11_P,Japan_C16_M,Japan_C16_F,Japan_C16_P,Korea_C06_M,Korea_C06_F,Korea_C06_P,Korea_C11_M,Korea_C11_F,Korea_C11_P,Korea_C16_M,Korea_C16_F,Korea_C16_P,Lebanon_C06_M,Lebanon_C06_F,Lebanon_C06_P,Lebanon_C11_M,Lebanon_C11_F,Lebanon_C11_P,Lebanon_C16_M,Lebanon_C16_F,Lebanon_C16_P,Malaysia_C06_M,Malaysia_C06_F,Malaysia_C06_P,Malaysia_C11_M,Malaysia_C11_F,Malaysia_C11_P,Malaysia_C16_M,Malaysia_C16_F,Malaysia_C16_P,Malta_C06_M,Malta_C06_F,Malta_C06_P,Malta_C11_M,Malta_C11_F,Malta_C11_P,Malta_C16_M,Malta_C16_F,Malta_C16_P,Netherlands_C06_M,Netherlands_C06_F,Netherlands_C06_P,Netherlands_C11_M,Netherlands_C11_F,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,New_Zealand_C06_M,New_Zealand_C06_F,New_Zealand_C06_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,Pakistan_C06_M,Pakistan_C06_F
1RNSW,999768,1028235,2028004,1037484,1069005,2106486,1055655,1084118,2139772,1175,1486,2665,1417,1785,3205,1617,2056,3671,2351,2387,4738,3589,3683,7272,4604,4974,9578,1627,1317,2942,1555,1303,2854,1319,1189,2505,528,412,936,643,476,1119,729,534,1262,738,904,1641,967,1107,2074,1126,1221,2349,5465,6155,11622,5386,6129,11516,5080,5882,10958,1589,1421,3009,1416,1327,2744,1261,1199,2458,728,713,1440,654,720,1376,856,870,1725,2130,1918,4047,4028,3403,7426,6780,5960,12740,556,737,1293,679,978,1655,676,1075,1752,281,213,503,460,374,834,729,559,1283,160,128,285,245,200,447,530,470,998,1707,1459,3169,2124,1776,3896,2276,1955,4229,5814,4753,10562,5324,4472,9792,4802,4120,8925,390,724,1113,356,857,1213,442,1063,1507,486,571,1058,771,813,1587,1130,1126,2262,693,524,1219,673,556,1228,755,613,1364,928,1213,2144,1135,1534,2663,1425,1718,3142,1217,1063,2274,1185,1018,2203,1154,998,2155,4156,3976,8130,4014,3985,7999,3657,3708,7370,12531,12713,25244,14316,14550,28868,15010,15270,30282,276,204
1GSYD,1221254,1265453,2486711,1297756,1334788,2632545,1365474,1386695,2752169,3590,3922,7506,4107,4600,8702,4527,5055,9586,49071,60072,109140,65608,82946,148558,98912,125767,224685,7809,7693,15502,7322,7500,14824,6311,6810,13120,8292,7945,16237,8984,8287,17269,9475,8966,18442,12603,14321,26924,13989,16208,30191,14492,17018,31510,9238,10132,19362,9225,10268,19489,8710,9791,18500,15690,16333,32020,13890,14901,28788,12726,14283,27005,17365,19497,36866,17525,19643,37169,19398,21182,40577,29196,23780,52978,47893,39983,87874,69996,60580,130573,9280,11284,20563,11472,13678,25147,13566,16429,29989,5900,5522,11416,7498,7105,14607,11793,9947,21739,10468,9751,20213,14576,14270,28849,20005,19232,39237,7480,6585,14063,9738,8183,17922,10699,9067,19763,23128,21435,44562,21495,20289,41782,20922,19575,40492,3436,6581,10021,3600,7273,10874,4108,8384,12490,14809,17315,32128,18534,21646,40175,23048,26465,49508,28205,26299,54501,28315,26705,55018,28851,27132,55979,9710,11497,21213,11271,13286,24551,13252,15219,28464,7488,7194,14680,6864,6770,13640,6137,6179,12316,5547,5102,10649,5251,4926,10170,4851,4631,9482,40771,40289,81064,42768,42183,84949,43700,42827,86526,4535,3617
19799,34,7,42,28,35,63,102,135,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,20,0,0,0,0,0,3,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,6,8,18,0,0
19499,3727,2674,6403,4868,3414,8280,4304,2726,7028,12,16,31,15,21,40,11,24,34,71,83,162,95,112,203,111,110,225,14,7,17,17,7,19,7,7,10,6,11,16,10,4,13,16,8,23,20,12,36,15,22,42,14,4,22,33,35,69,40,33,72,50,32,78,13,7,21,7,7,14,10,5,10,15,18,39,11,12,29,18,24,39,85,44,130,59,25,84,94,49,140,16,16,29,17,14,31,19,12,35,14,11,21,19,13,27,14,4,20,20,11,31,27,20,46,21,17,36,22,12,37,61,42,102,31,14,45,32,15,51,31,17,41,35,19,49,11,14,23,4,21,23,6,12,12,18,22,38,26,29,57,18,25,39,37,25,61,27,16,43,32,3,33,25,20,40,16,16,38,17,23,43,13,8,18,3,5,11,3,5,12,26,16,45,29,20,44,27,18,48,186,124,305,255,164,412,181,136,324,7,0
