GCCSA_CODE_2016,Tot_persons_C06_M,Tot_persons_C06_F,Tot_persons_C06_P,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_14_C06_M,Age_5_14_C06_F,Age_5_14_C06_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_25_34_C06_M,Age_25_34_C06_F,Age_25_34_C06_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_35_44_C06_M,Age_35_44_C06_F,Age_35_44_C06_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_45_54_C06_M,Age_45_54_C06_F,Age_45_54_C06_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_55_64_C06_M,Age_55_64_C06_F,Age_55_64_C06_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_65_74_C06_M,Age_65_74_C06_F,Age_65_74_C06_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_75_84_C06_M,Age_75_84_C06_F,Age_75_84_C06_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_grp_85ov_C06_M,Age_grp_85ov_C06_F,Age_grp_85ov_C06_P,Age_grp_85ov_C11_M,Age_grp_85ov_C11_F,Age_grp_85ov_C11_P,Age_grp_85ov_C16_M,Age_grp_85ov_C16_F,Age_grp_85ov_C16_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,IP_Abor_C06_M,IP_Abor_C06_F,IP_Abor_C06_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Tor_Strt_Is_2006_Ce_M,IP_Tor_Strt_Is_2006_Ce_F,IP_Tor_Strt_Is_2006_Ce_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2006_Ce_M,IP_B_Ab_To_St_Is_2006_Ce_F,IP_B_Ab_To_St_Is_2006_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_Tot_2006_Ce_M,IP_Tot_2006_Ce_F,IP_Tot_2006_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,Brthplace_Aust_2006_Ce_M,Brthplace_Aust_2006_Ce_F,Brthplace_Aust_2006_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Elsewhere_2006_Ce_M,Brthplace_Elsewhere_2006_Ce_F,Brthplace_Elsewhere_2006_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,LSH_Eng_only_2006_Ce_M,LSH_Eng_only_2006_Ce_F,LSH_Eng_only_2006_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Oth_Lan_2006_Ce_M,LSH_Oth_Lan_2006_Ce_F,LSH_Oth_Lan_2006_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,Aust_citiz_C06_M,Aust_citiz_C06_F,Aust_citiz_C06_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P
1RNSW,1193752,1226014,2419769,1239007,1273940,2512952,1301717,1341813,2643536,76609,72570,149173,81546,77732,159284,79636,74976,154615,175957,167805,343756,168731,160096,328824,169451,161194,330645,85913,81029,166947,85914,80956,166873,81832,77694,159525,68249,64905,133151,71870,69238,141115,75449,72109,147560,127337,131760,259094,129000,132943,261942,143234,147152,290388,158326,168080,326401,153093,162928,316022,148516,156403,304924,171533,174596,346124,173640,179930,353569,169896,178659,348557,148495,147656,296149,166117,166864,332977,178427,185530,363959,102563,107035,209597,119663,122891,242552,150284,152945,303231,63853,79999,143855,68880,82374,151252,78420,90318,168736,14929,30593,45519,20565,37979,58543,26562,44829,71398,4885,5563,10443,5510,5827,11342,6193,7537,13728,44366,45470,89840,55083,56921,112000,69159,70314,139473,1369,1242,2614,1411,1368,2780,1508,1376,2880,1090,1005,2094,1115,1066,2182,1437,1390,2830,46824,47719,94547,57602,59358,116960,72102,73085,145189,999768,1028235,2028004,1037484,1069005,2106486,1055655,1084118,2139772,120545,125204,245745,132579,139180,271761,143260,152549,295805,1083028,1120117,2203146,1115892,1156297,2272193,1131372,1170957,2302328,52242,55541,107784,61339,65724,127069,73164,79365,152530,1082746,1121328,2204081,1118649,1161895,2280547,1150097,1193469,2343561
1GSYD,2028727,2090459,4119190,2162221,2229453,4391673,2376766,2447221,4823991,139686,131130,270816,153486,145416,298898,159029,151145,310173,274854,259362,534217,280166,264144,544314,303428,286700,590126,139346,132990,272336,141924,133858,275789,147983,140387,288362,149293,148259,297556,154382,152879,307257,172289,168451,340737,309888,319693,629576,333809,343086,676894,381705,392700,774405,309497,320189,629686,319329,334160,653487,344463,351579,696037,273255,283583,556842,292338,302638,594980,307388,320191,627580,210987,211200,422184,233046,242564,475608,253616,270395,524011,122594,132574,255171,144795,153343,298141,179414,193069,372488,78249,106492,184736,81667,103569,185238,92308,111741,204051,21077,44996,66072,27271,53794,81066,35147,60875,96022,21749,24776,46526,23307,27274,50580,36364,45483,81846,19881,20654,40533,25449,26304,51752,33165,33816,66978,1077,1059,2134,1011,945,1957,962,968,1928,433,414,842,498,541,1035,591,634,1221,21390,22131,43519,26953,27789,54744,34716,35419,70135,1221254,1265453,2486711,1297756,1334788,2632545,1365474,1386695,2752169,640031,667378,1307412,732642,770984,1503620,862759,910741,1773496,1296474,1339523,2635997,1349230,1383215,2732448,1400433,1416378,2816815,584285,620857,1205143,688796,736742,1425534,834127,893448,1727574,1664978,1739247,3404220,1777232,1847763,3624996,1886229,1948797,3835026
19799,37,7,50,56,55,112,171,239,412,0,0,0,0,0,0,10,4,14,0,0,0,3,0,5,7,14,22,0,4,4,0,0,0,3,7,12,8,0,8,3,0,3,9,4,9,16,5,22,3,0,3,11,24,32,6,0,6,5,5,10,18,14,34,0,0,3,12,3,14,25,31,50,4,0,4,9,19,27,22,53,74,0,0,0,15,17,26,48,60,108,0,0,0,12,14,27,16,24,42,0,0,0,0,0,0,3,7,10,33,37,77,71,97,165,151,184,333,0,0,5,0,0,0,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,10,13,34,7,42,28,35,63,102,135,232,3,0,3,26,17,44,60,86,142,36,7,41,40,42,83,119,154,279,3,0,3,12,8,21,36,55,92,41,7,44,47,52,102,137,184,325
19499,5924,4248,10175,7593,5327,12917,7351,4939,12288,216,222,439,305,247,554,188,149,338,259,257,514,330,299,627,202,200,402,309,262,574,387,374,757,285,232,517,627,506,1134,700,609,1313,746,615,1358,1359,991,2353,1499,1161,2654,1615,1091,2703,1163,582,1744,1370,731,2101,1269,629,1900,824,541,1365,1216,671,1895,1148,646,1798,668,543,1211,963,719,1680,986,732,1722,347,211,562,625,346,968,719,477,1196,112,92,205,147,94,241,162,120,282,27,35,66,50,71,122,32,48,78,0,0,0,0,0,0,0,0,0,239,167,406,480,373,852,503,289,789,17,6,24,19,8,33,17,8,26,3,4,8,17,6,24,20,3,25,257,178,435,521,391,914,538,301,839,3727,2674,6403,4868,3414,8280,4304,2726,7028,1531,1146,2677,1731,1386,3121,1663,1346,3012,4330,3159,7491,4853,3770,8616,4175,3038,7212,909,714,1624,890,823,1716,997,821,1822,4405,3203,7612,4837,3784,8624,4199,3009,7203
