GCCSA_CODE_2016,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85_ov,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85_ov,C16_F_CL_CL_nfd_Tot,C16_F_CL_T_15_19,C16_F_CL_T_20_24,C16_F_CL_T_25_34,C16_F_CL_T_35_44,C16_F_CL_T_45_54,C16_F_CL_T_55_64,C16_F_CL_T_65_74,C16_F_CL_T_75_84,C16_F_CL_T_85_ov,C16_F_CL_T_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85o,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85_ov,C16_F_LE_NS_T,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85o,C16_F_T_T,C06_P_Post_Deg_15_19_yrs,C06_P_Post_Deg_20_24_yrs,C06_P_Post_Deg_25_34_yrs,C06_P_Post_Deg_35_44_yrs,C06_P_Post_Deg_45_54_yrs,C06_P_Post_Deg_55_64_yrs,C06_P_Post_Deg_65_74_yrs,C06_P_Post_Deg_75_84_yrs,C06_P_Post_Deg_85o,C06_P_Post_Deg_Tot,C06_P_GrDip_GrCe_15_19,C06_P_GrDip_GrCe_20_24,C06_P_GrDip_GrCe_25_34,C06_P_GrDip_GrCe_35_44,C06_P_GrDip_GrCe_45_54,C06_P_GrDip_GrCe_55_64,C06_P_GrDip_GrCe_65_74,C06_P_GrDip_GrCe_75_84,C06_P_GrDip_GrCe_85ov,C06_P_GrDip_GrCe_Tot,C06_P_BD_15_19,C06_P_BD_20_24,C06_P_BD_25_34,C06_P_BD_35_44,C06_P_BD_45_54,C06_P_BD_55_64,C06_P_BD_65_74,C06_P_BD_75_84,C06_P_BD_85o,C06_P_BD_Tot,C06_P_AdD_DL_15_19,C06_P_AdD_DL_20_24,C06_P_AdD_DL_25_34,C06_P_AdD_DL_35_44,C06_P_AdD_DL_45_54,C06_P_AdD_DL_55_64,C06_P_AdD_DL_65_74,C06_P_AdD_DL_75_84,C06_P_AdD_DL_85o,C06_P_AdD_DL_Tot,C06_P_CL_C_III_IV_15_19,C06_P_CL_C_III_IV_20_24,C06_P_CL_C_III_IV_25_34,C06_P_CL_C_III_IV_35_44,C06_P_CL_C_III_IV_45_54,C06_P_CL_C_III_IV_55_64,C06_P_CL_C_III_IV_65_74,C06_P_CL_C_III_IV_75_84,C06_P_CL_C_III_IV_85_ov,C06_P_CL_C_III_IV_Tot,C06_P_CL_C_I_II_15_19,C06_P_CL_C_I_II_20_24,C06_P_CL_C_I_II_25_34,C06_P_CL_C_I_II_35_44,C06_P_CL_C_I_II_45_54,C06_P_CL_C_I_II_55_64,C06_P_CL_C_I_II_65_74,C06_P_CL_C_I_II_75_84,C06_P_CL_C_I_II_85_ov,C06_P_CL_C_I_II_Tot,C06_P_CL_CL_nfd_15_19,C06_P_CL_CL_nfd_20_24,C06_P_CL_CL_nfd_25_34,C06_P_CL_CL_nfd_35_44,C06_P_CL_CL_nfd_45_54,C06_P_CL_CL_nfd_55_64,C06_P_CL_CL_nfd_65_74,C06_P_CL_CL_nfd_75_84,C06_P_CL_CL_nfd_85_ov,C06_P_CL_CL_nfd_Tot,C06_P_CL_T_15_19,C06_P_CL_T_20_24,C06_P_CL_T_25_34,C06_P_CL_T_35_44,C06_P_CL_T_45_54,C06_P_CL_T_55_64,C06_P_CL_T_65_74,C06_P_CL_T_75_84,C06_P_CL_T_85_ov,C06_P_CL_T_Tot,C06_P_LE_ID_15_19,C06_P_LE_ID_20_24,C06_P_LE_ID_25_34,C06_P_LE_ID_35_44,C06_P_LE_ID_45_54,C06_P_LE_ID_55_64,C06_P_LE_ID_65_74,C06_P_LE_ID_75_84,C06_P_LE_ID_85o,C06_P_LE_ID_Tot,C06_P_LE_NS_15_19,C06_P_LE_NS_20_24,C06_P_LE_NS_25_34,C06_P_LE_NS_35_44,C06_P_LE_NS_45_54,C06_P_LE_NS_55_64,C06_P_LE_NS_65_74,C06_P_LE_NS_75_84,C06_P_LE_NS_85_ov,C06_P_LE_NS_T,C06_P_Tot_15_19_yrs,C06_P_Tot_20_24_yrs,C06_P_Tot_25_34_yrs,C06_P_Tot_35_44_yrs,C06_P_Tot_45_54_yrs,C06_P_Tot_55_64_yrs,C06_P_Tot_65_74_yrs,C06_P_Tot_75_84_yrs,C06_P_Tot_85o,C06_P_T_T,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85o,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85ov,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85o,C11_P_BD_Tot
1RNSW,1445,2530,3559,3600,3880,3505,1902,438,128,20984,604,1642,3131,4573,7157,8118,6137,2281,798,34438,5748,18731,36945,35753,39629,32302,15992,4865,1871,191830,104,340,855,942,1476,2317,2353,1148,510,10054,8134,5931,11513,11995,15748,19227,21436,18895,12766,125634,14703,38021,107724,112456,114608,109257,70808,35746,18130,621443,8,242,3780,6588,8030,5978,2196,776,117,27727,6,283,2910,4876,7470,4069,1326,393,55,21385,94,9636,36309,33566,34883,21124,9015,4178,876,149678,591,6137,18770,26453,29319,21057,10811,5192,1130,119472,5753,26142,58778,71320,68495,47745,28134,14437,2614,323425,2679,5186,6325,5736,4738,2536,849,315,62,28439,800,2144,5780,7996,8395,6663,3100,1505,322,36705,9238,33473,70880,85060,81627,56946,32084,16263,2997,388565,550,1515,3571,6113,7770,6150,3878,2199,543,32294,18941,11286,21621,28090,30012,29937,32076,33843,12750,218550,29424,62564,157847,190754,199116,145257,91390,62848,18466,957665,6,389,6189,9140,9582,8851,4031,1202,237,39629,6,313,3436,5687,6970,6965,2211,572,90,26247,63,10160,42532,43484,35651,31404,14700,5542,1553,185091
1GSYD,1373,2205,3825,4823,4823,3793,1885,529,217,23465,728,2311,5194,8426,11326,10701,7709,2985,1554,50922,6023,20170,45243,45490,46255,34029,17965,6388,3129,224681,272,1090,3476,3581,4239,4647,3746,1883,885,23823,9569,12441,30251,23508,22162,21648,20947,17814,14878,173213,17958,90268,313686,270237,214499,156878,92234,43565,24551,1223874,73,2825,37089,38550,30452,17725,5752,2050,400,134913,34,881,9992,11791,12021,6495,2166,814,150,44338,433,45549,156769,117945,87073,47441,17880,8922,2218,484225,2226,23561,62610,64976,52750,34482,16009,8620,2405,267646,7158,35137,84310,88400,73815,54044,29698,17266,3946,393780,2631,5842,8881,7170,5786,3351,1125,582,110,35466,1127,4220,12091,14907,13758,10320,4374,2386,687,63878,10914,45195,105285,110478,93364,67716,35193,20239,4738,493123,926,3474,9816,12666,11987,8891,4825,3167,1001,56752,35000,34599,69621,65239,58530,49891,40830,42723,20090,416509,49600,156085,451171,421648,346168,232647,122651,86533,31004,1897500,43,3958,61225,53891,40125,25808,10176,2982,667,198878,29,1014,12190,14864,13139,10414,3407,1001,209,56260,397,48740,190632,148373,103467,66912,27672,11357,3405,600956
19799,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,0,0,11,0,0,4,0,3,7,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,14,8,0,47,3,3,17,6,17,29,33,12,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,7,8,3,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,8,17,7,0,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3
19499,0,14,9,5,7,17,7,0,0,60,3,14,13,11,11,24,16,0,0,92,14,71,99,71,98,101,48,5,0,504,0,3,11,7,7,5,5,0,0,37,55,136,288,194,188,172,109,42,17,1196,71,370,848,485,472,448,262,64,21,3038,0,14,105,74,35,35,8,0,0,281,0,4,30,17,17,27,3,0,0,109,0,174,510,213,117,81,24,7,5,1127,3,61,148,109,93,76,30,11,0,530,20,118,318,276,229,173,88,13,5,1248,15,24,33,16,12,9,0,0,0,116,6,14,42,39,34,16,9,0,0,164,49,151,391,338,278,193,99,18,5,1529,6,25,43,36,23,23,4,0,3,158,60,158,354,276,232,204,134,84,20,1523,126,582,1586,1069,795,652,307,119,33,5250,0,17,162,80,35,43,17,3,0,345,0,3,36,17,31,22,4,0,0,112,3,177,539,225,132,138,51,12,0,1283
